date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-03-06,27.542,55.52,27.979,,25.77,99.0,82.042,61.0,3.042,20.8,15.142,11.1
2011-03-07,14.98,17.979,3.0,,29.938,74.0,57.042,45.0,5.25,13.8,11.712,9.8
2011-03-08,24.625,30.479,5.854,,26.979,64.0,53.125,40.0,6.0,16.4,11.917,7.7
2011-03-09,21.542,25.5,3.958,,27.417,97.0,84.875,56.0,3.458,10.8,8.696,7.5
2011-03-10,11.834,14.188,2.354,,14.842,98.0,68.917,39.0,4.7,14.3,9.033,5.9
2011-03-11,5.229,6.917,1.688,,10.146,73.0,51.125,33.0,5.958,13.3,7.246,3.1
2011-03-12,8.968,11.082,2.114,,9.771,95.0,72.875,56.0,4.625,7.4,3.904,0.9
2011-03-13,11.042,13.375,2.334,,9.812,69.0,50.0,32.0,4.792,8.5,4.692,1.3
2011-03-14,22.312,27.271,4.958,,13.562,65.0,46.25,31.0,5.083,12.0,6.45,0.7
2011-03-15,22.73,38.52,15.792,,19.979,76.0,52.0,25.0,5.042,12.5,6.6,1.9
2011-03-16,16.563,21.63,5.067,,17.084,84.0,57.375,39.0,5.25,13.2,7.879,1.0
2011-03-17,18.834,25.646,6.812,,23.48,99.0,97.625,88.0,3.208,14.6,11.592,9.7
2011-03-18,21.342,29.078,7.734,,26.842,99.0,89.667,70.0,4.364,14.1,11.829,9.6
2011-03-19,6.648,8.898,2.25,,8.75,73.0,50.583,31.0,4.792,11.4,8.275,3.8
2011-03-20,9.416,11.75,2.333,,12.77,62.0,47.333,27.0,4.542,14.2,7.758,2.1
2011-03-21,6.666,8.5,1.833,,10.229,53.0,40.042,25.0,4.125,12.1,7.629,4.1
2011-03-22,22.292,32.48,10.188,,19.812,68.0,50.708,20.0,5.833,17.1,9.896,2.3
2011-03-23,26.271,33.896,7.625,,25.188,99.0,86.167,64.0,3.875,10.4,9.517,8.6
2011-03-24,16.584,20.812,4.23,,13.333,99.0,77.542,47.0,4.208,13.5,10.246,7.3
2011-03-25,4.271,5.334,1.062,,10.48,80.0,62.333,45.0,4.417,10.6,7.117,4.6
2011-03-26,8.204,10.451,2.248,,10.23,83.0,58.667,32.0,4.458,11.5,6.804,3.0
2011-03-27,19.354,24.812,5.458,,17.771,81.0,55.375,30.0,5.542,15.9,9.692,3.5
2011-03-28,24.062,36.27,12.208,,28.48,84.0,61.125,39.0,6.458,17.0,9.638,4.2
2011-03-29,17.729,22.834,5.104,,16.812,76.0,49.875,22.0,5.792,16.9,10.796,4.2
2011-03-30,22.812,33.416,10.604,,23.77,82.0,65.583,41.0,5.625,19.3,13.054,5.7
2011-03-31,6.416,7.834,1.417,,15.458,99.0,78.25,57.0,4.375,16.3,11.617,6.3
2011-04-01,19.854,25.083,5.229,,17.292,66.0,56.75,48.0,6.125,8.8,5.8,3.6
2011-04-02,16.896,21.667,4.771,,24.958,,,,6.667,,,
2011-04-03,6.416,7.5,1.084,,10.666,,,,5.0,,,
2011-04-04,9.263,11.08,1.816,,8.952,,,,4.833,,,
2011-04-05,12.76,16.801,4.042,,17.629,73.0,43.357,16.0,5.545,17.6,13.571,8.2
2011-04-06,19.834,25.625,5.792,,25.271,78.0,57.125,27.0,6.5,20.5,12.842,5.8
2011-04-07,16.125,20.812,4.688,,23.083,78.0,61.25,39.0,5.667,20.9,15.046,9.9
2011-04-08,6.917,8.729,1.812,,23.062,96.0,74.75,54.0,4.292,19.6,16.438,13.5
2011-04-09,10.167,13.188,3.021,,23.688,99.0,78.833,51.0,4.375,21.6,16.192,12.2
2011-04-10,8.416,10.354,1.938,,33.875,75.0,46.875,18.0,7.083,22.2,15.558,9.1
2011-04-11,14.403,18.428,4.024,,33.354,84.0,53.958,22.0,7.333,22.6,14.021,8.8
2011-04-12,7.916,9.875,1.958,,25.25,38.0,24.792,15.0,5.792,18.2,12.133,7.2
2011-04-13,24.834,31.896,7.062,,31.77,70.0,43.25,23.0,8.0,22.1,13.942,5.9
2011-04-14,21.896,28.834,6.938,,35.833,70.0,50.042,15.0,7.542,24.3,16.112,8.4
2011-04-15,17.771,21.875,4.104,,36.25,76.0,59.25,30.0,6.958,22.7,16.883,11.9
2011-04-16,11.333,15.562,4.229,,42.938,86.0,60.625,40.0,7.042,21.8,15.888,9.0
2011-04-17,4.75,6.312,1.562,,21.334,81.0,52.958,27.0,6.0,19.6,13.642,6.8
2011-04-18,8.616,11.854,3.238,,25.25,97.0,73.375,47.0,4.875,20.1,15.338,9.9
2011-04-19,8.812,11.834,3.021,,10.938,97.0,73.208,47.0,4.708,16.2,11.917,9.2
2011-04-20,6.259,8.637,2.378,,4.854,76.0,58.333,42.0,4.286,17.6,12.671,9.2
2011-04-21,17.104,23.417,6.312,,17.23,82.0,62.125,34.0,5.458,20.2,13.646,6.9
2011-04-22,14.354,17.417,3.062,,21.854,84.0,70.125,58.0,4.542,18.9,15.6,11.6
2011-04-23,4.604,5.875,1.271,,19.104,99.0,91.917,72.0,3.292,16.6,14.9,10.4
2011-04-24,7.27,8.854,1.583,,16.188,82.0,62.833,35.0,5.042,19.6,13.075,9.0
2011-04-25,18.11,23.584,5.473,,19.104,92.0,69.417,45.0,4.375,17.8,12.25,7.1
2011-04-26,13.812,18.229,4.416,,32.604,93.0,69.542,41.0,4.417,20.4,15.317,8.6
2011-04-27,3.98,4.708,0.729,,52.188,99.0,88.125,67.0,3.708,23.4,18.771,13.9
2011-04-28,9.75,11.562,1.812,,19.854,99.0,68.667,47.0,5.25,19.7,15.033,11.5
2011-04-29,9.646,11.208,1.562,,13.084,74.0,52.708,36.0,5.042,19.7,14.467,8.7
2011-04-30,10.896,13.521,2.625,,25.354,88.0,70.542,51.0,4.667,21.1,15.838,9.2
2011-05-01,5.46,6.231,0.771,,24.532,99.0,94.042,84.0,3.091,17.9,16.288,14.5
2011-05-02,7.791,9.666,1.875,,118.416,89.0,50.25,26.0,5.042,24.7,18.442,13.2
2011-05-03,13.146,15.584,2.438,,107.25,77.0,63.958,51.0,4.958,19.1,15.904,11.2
2011-05-04,11.042,13.521,2.479,,50.729,89.0,50.167,26.0,5.875,25.6,18.554,11.4
2011-05-05,8.958,10.688,1.729,,24.666,88.0,47.333,23.0,5.75,24.3,18.075,12.9
2011-05-06,7.322,8.694,1.372,,42.084,85.0,70.208,56.0,5.292,22.3,18.308,14.5
2011-05-07,5.854,7.125,1.271,,20.48,82.0,65.792,50.0,6.333,24.7,20.117,16.8
2011-05-08,9.438,11.479,2.042,,44.625,82.0,50.708,24.0,8.333,29.1,22.933,17.5
