date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,CO_mean,PM25_mean
2011-01-01,196.458,7.958,19.479,27.552,8.073,2.417,6.417,204.417,4.667,7.625
2011-01-02,194.792,6.208,21.077,29.506,8.429,2.572,5.875,201.0,3.708,6.708
2011-01-03,192.875,3.958,9.99,14.073,4.083,2.416,2.056,196.833,2.5,4.5
2011-01-04,192.75,4.875,14.51,23.042,8.531,2.438,3.528,197.625,2.917,5.625
2011-01-05,192.75,5.208,14.552,23.625,9.073,2.166,4.0,197.958,2.958,4.583
2011-01-06,196.217,12.739,30.644,70.14,39.496,3.229,10.0,208.957,6.375,11.565
2011-01-07,198.292,12.708,32.938,61.552,28.614,4.916,10.0,211.0,5.375,13.083
2011-01-08,204.667,19.75,41.229,95.854,54.625,5.708,19.861,224.417,8.708,21.708
2011-01-09,194.826,7.478,23.776,37.849,14.073,2.582,8.0,202.304,3.87,13.208
2011-01-10,195.875,10.083,31.448,68.438,36.99,3.75,9.875,205.958,4.75,12.417
2011-01-11,192.5,5.292,16.052,29.115,13.063,2.25,3.042,197.792,2.917,6.125
2011-01-12,193.917,8.958,26.156,47.334,21.177,2.583,5.319,202.875,4.125,7.458
2011-01-13,196.125,10.583,27.281,54.302,27.021,4.27,12.708,206.708,5.042,18.125
2011-01-14,192.0,5.167,17.063,30.177,13.115,2.562,5.556,197.167,3.292,7.75
2011-01-15,191.917,4.75,12.386,20.552,8.167,1.729,4.819,196.667,2.625,6.542
2011-01-16,196.333,8.292,23.862,48.309,24.446,2.264,7.931,204.625,3.875,10.667
2011-01-17,196.75,14.25,35.521,73.375,37.854,3.48,11.278,211.0,7.542,12.625
2011-01-18,196.542,16.542,35.948,72.552,36.604,3.98,10.097,213.083,7.0,11.292
2011-01-19,196.792,22.417,44.51,99.51,55.0,6.73,16.18,219.208,8.125,17.583
2011-01-20,195.667,15.708,39.014,81.132,42.118,4.604,13.431,211.375,7.0,16.261
2011-01-21,195.875,12.25,33.396,68.521,35.125,4.188,13.375,208.125,6.0,16.542
2011-01-22,189.292,6.042,17.01,27.167,10.156,2.0,5.0,195.333,3.75,5.292
2011-01-23,195.13,9.652,19.854,31.753,11.898,2.419,9.653,204.783,3.913,12.708
2011-01-24,193.208,9.542,21.296,35.652,14.356,2.125,8.514,202.75,4.375,11.167
2011-01-25,195.167,11.375,27.01,52.177,25.167,2.708,9.792,206.542,6.0,14.958
2011-01-26,197.792,13.125,30.854,63.198,32.344,3.27,12.472,210.917,6.875,16.292
2011-01-27,197.0,11.0,29.886,58.886,29.0,2.834,8.0,208.0,7.542,12.875
2011-01-28,195.167,7.333,18.812,32.438,13.625,2.375,7.375,202.5,3.625,10.083
2011-01-29,196.588,14.176,29.18,56.5,27.32,2.125,9.689,210.765,5.458,11.583
2011-01-30,196.375,15.625,38.416,82.323,43.906,4.14,10.055,212.0,6.458,12.417
2011-01-31,198.625,13.208,28.396,54.614,26.219,2.916,11.569,211.833,5.708,12.708
2011-02-01,198.292,14.292,34.081,64.797,30.716,5.604,12.292,212.583,6.375,14.583
2011-02-02,193.667,10.792,26.375,48.167,21.792,2.708,7.306,204.458,5.208,10.0
2011-02-03,196.208,13.042,30.595,58.94,28.346,3.416,8.764,209.25,5.75,10.5
2011-02-04,195.5,10.958,25.385,41.396,16.01,3.916,10.639,206.458,5.5,12.625
2011-02-05,195.25,9.083,17.844,27.01,9.167,2.542,6.222,204.333,4.417,10.042
2011-02-06,192.348,9.522,26.739,44.416,17.677,3.002,10.236,201.87,6.13,12.542
2011-02-07,194.636,16.045,33.01,61.834,28.823,4.584,19.22,210.682,6.833,19.435
2011-02-08,191.0,6.667,13.99,24.532,10.542,2.25,10.417,197.667,3.958,12.792
2011-02-09,193.208,8.708,18.792,36.042,17.25,2.562,8.556,201.917,4.667,9.125
2011-02-10,193.458,6.417,15.51,28.094,12.584,2.646,10.431,199.875,3.875,11.0
2011-02-11,193.167,6.083,14.844,23.886,9.042,2.771,6.389,199.25,3.333,9.208
2011-02-12,193.083,4.583,9.291,14.563,5.273,2.146,6.657,197.667,2.917,10.0
2011-02-13,194.75,7.958,19.771,34.792,15.021,2.741,8.181,202.708,4.042,10.958
2011-02-14,193.917,17.083,38.062,69.375,31.313,8.312,37.931,211.0,8.333,36.583
2011-02-15,191.958,7.792,19.708,30.427,10.719,4.125,19.472,199.75,4.625,19.625
2011-02-16,192.583,6.167,18.844,32.385,13.542,2.854,8.958,198.75,3.958,12.375
2011-02-17,193.375,9.625,27.208,47.692,20.483,3.292,7.875,203.0,6.292,10.917
2011-02-18,193.125,10.5,30.573,50.218,19.646,3.792,8.375,203.625,6.0,12.333
2011-02-19,200.125,12.875,35.114,68.917,33.802,4.146,12.986,213.0,6.542,16.292
2011-02-20,194.522,10.696,25.794,43.589,17.795,3.728,11.181,205.217,5.435,13.5
2011-02-21,193.583,8.167,13.219,21.365,8.146,3.604,13.278,201.75,3.333,15.087
2011-02-22,192.75,8.958,21.437,34.938,13.5,2.292,8.444,201.708,4.5,9.292
2011-02-23,192.542,12.417,27.667,40.438,12.771,5.104,25.125,204.958,6.875,23.958
2011-02-24,193.0,10.0,25.646,38.302,12.656,4.333,9.194,203.0,4.25,12.333
2011-02-25,195.25,9.792,29.646,42.719,13.073,6.625,12.625,205.042,4.167,14.375
2011-02-26,193.333,8.0,19.406,28.573,9.166,4.292,6.208,201.333,3.5,9.208
2011-02-27,193.333,9.625,24.442,38.612,14.17,4.196,4.5,202.958,3.75,9.083
2011-02-28,196.417,15.833,37.375,66.052,28.677,3.666,13.305,212.25,8.083,17.458
2011-03-01,193.083,16.333,35.562,58.177,22.614,4.292,23.389,209.417,6.833,24.042
2011-03-02,193.875,8.583,18.471,27.046,8.575,3.458,16.069,202.458,3.708,18.375
2011-03-03,194.125,9.583,20.614,31.594,10.979,3.125,14.014,203.708,3.958,14.583
2011-03-04,194.208,7.708,20.677,29.614,8.938,2.75,6.903,201.917,3.292,10.625
2011-03-05,198.0,12.783,36.891,61.461,24.569,5.657,14.389,210.783,7.13,15.417
2011-03-06,194.0,17.917,36.104,68.614,32.51,4.812,16.125,211.917,14.792,12.417
2011-03-07,188.208,8.542,20.198,32.177,11.979,2.542,5.847,196.75,4.625,8.25
2011-03-08,191.625,7.333,22.281,33.958,11.677,2.375,6.5,198.958,3.75,10.375
2011-03-09,192.545,8.273,24.438,35.573,11.136,3.542,9.174,200.818,4.167,11.348
2011-03-10,194.125,10.0,29.666,44.052,14.385,5.188,13.319,204.125,5.5,14.292
2011-03-11,191.833,6.208,15.698,22.573,6.875,2.146,11.014,198.042,4.0,11.375
2011-03-12,192.917,7.667,22.611,33.591,10.98,3.731,14.5,200.583,4.083,14.708
2011-03-13,192.833,7.583,21.781,33.198,11.416,2.542,11.681,200.417,4.292,11.125
2011-03-14,191.208,7.25,19.396,29.552,10.156,2.584,12.68,198.458,5.375,11.75
2011-03-15,191.667,6.417,17.375,24.594,7.219,3.416,19.986,198.083,5.5,18.958
2011-03-16,193.0,9.292,24.89,39.15,14.259,3.292,14.709,202.292,5.375,11.875
2011-03-17,189.0,6.917,18.062,26.031,7.969,1.792,13.819,195.917,5.167,12.417
2011-03-18,193.75,8.208,18.771,26.677,7.906,2.75,14.833,201.958,3.917,12.417
2011-03-19,193.87,5.957,14.585,23.836,9.251,2.51,10.153,199.826,3.391,11.208
2011-03-20,193.833,6.625,16.531,25.313,8.781,1.834,10.458,200.458,3.833,11.25
2011-03-21,194.25,8.5,21.438,32.917,11.479,2.688,11.347,202.75,4.792,12.042
2011-03-22,194.417,12.708,34.125,49.781,15.656,3.521,21.618,207.125,6.375,20.792
2011-03-23,193.542,9.375,24.759,34.326,9.567,3.0,17.073,202.917,5.083,18.292
2011-03-24,193.083,9.667,25.31,34.712,9.402,3.125,13.364,202.75,4.708,14.417
2011-03-25,192.292,6.25,18.375,25.656,7.281,2.021,6.833,198.542,3.625,11.333
2011-03-26,195.042,8.125,19.083,29.69,10.608,2.231,10.764,203.167,4.708,11.917
2011-03-27,194.167,8.167,22.632,33.3,10.668,1.834,11.667,202.333,5.75,12.522
