date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,CO_mean,PM25_mean
2011-01-01,204.479,18.125,13.396,18.375,4.979,,21.146,222.604,5.167,17.0
2011-01-02,195.438,9.48,7.084,11.0,3.916,,14.021,204.917,4.042,10.833
2011-01-03,190.098,4.284,4.458,5.062,0.604,,7.521,194.382,3.208,0.792
2011-01-04,192.166,10.708,10.855,19.608,8.753,,9.584,202.875,4.208,4.917
2011-01-05,190.752,6.82,11.208,17.812,6.604,,8.979,197.572,3.458,2.375
2011-01-06,193.27,14.666,21.938,37.98,16.042,,13.854,207.938,4.217,9.042
2011-01-07,194.479,7.729,11.438,19.812,8.375,,8.916,202.208,3.417,3.417
2011-01-08,194.334,7.584,7.625,9.625,2.0,,8.292,201.917,3.333,1.833
2011-01-09,198.646,15.834,17.812,32.688,14.875,,19.708,214.479,4.75,15.708
2011-01-10,199.424,20.258,23.834,43.25,19.416,,23.292,219.682,4.917,19.292
2011-01-11,201.396,19.333,18.364,48.734,30.37,,18.438,220.73,5.125,15.792
2011-01-12,194.254,9.754,15.23,27.812,12.584,,9.562,204.008,4.042,3.292
2011-01-13,196.854,20.146,23.104,55.875,32.77,,16.229,217.0,5.304,11.917
2011-01-14,197.52,7.854,10.188,14.958,4.771,,12.292,205.375,3.792,6.0
2011-01-15,201.479,14.625,13.729,19.604,5.875,,20.021,216.104,4.583,16.542
2011-01-16,198.562,14.084,20.0,37.938,17.938,,23.542,212.646,4.75,23.417
2011-01-17,196.78,20.608,21.944,45.008,23.065,,24.379,217.389,4.826,18.75
2011-01-18,199.828,29.839,27.027,58.791,31.764,,32.375,229.666,6.083,26.292
2011-01-19,194.875,22.896,20.5,44.0,23.5,,26.48,217.771,4.917,21.625
2011-01-20,190.75,14.52,15.667,24.812,9.146,,20.208,205.271,4.826,16.917
2011-01-21,190.73,10.77,11.5,14.312,2.812,,14.666,201.5,3.583,9.125
2011-01-22,194.625,16.438,10.729,16.833,6.104,,12.562,211.062,4.125,6.208
2011-01-23,194.27,17.25,12.354,32.812,20.458,,15.188,211.521,4.417,10.75
2011-01-24,190.54,13.316,16.854,21.896,5.042,,12.084,203.856,3.708,8.458
2011-01-25,194.93,18.752,20.088,41.337,21.25,,17.229,213.682,5.0,15.333
2011-01-26,194.688,15.708,15.167,28.125,12.958,,12.708,210.396,4.333,8.292
2011-01-27,199.958,22.104,20.583,43.167,22.583,,16.834,222.062,5.435,13.333
2011-01-28,196.125,14.542,11.625,25.167,13.542,,15.792,210.667,4.292,12.792
2011-01-29,193.146,5.458,4.542,5.271,0.729,,11.104,198.604,3.208,6.25
2011-01-30,194.205,9.235,13.752,22.541,8.788,0.692,11.7,203.44,3.87,7.174
2011-01-31,201.896,18.646,17.229,40.271,23.042,1.0,15.5,220.542,5.208,11.375
2011-02-01,195.911,11.74,17.189,43.745,26.556,1.417,14.02,207.652,4.958,8.75
2011-02-02,192.312,4.938,12.208,21.084,8.875,1.25,11.604,197.25,4.208,7.417
2011-02-03,196.062,13.25,20.167,37.667,17.5,1.125,13.938,209.312,5.042,9.25
2011-02-04,199.5,17.916,18.896,37.334,18.438,1.375,17.896,217.416,5.792,13.417
