date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean,CO_mean,SO2_mean
2011-01-01,,,16.729,26.1665,9.4375,,,5.25,2.0
2011-01-02,,,8.4585,12.082999999999998,3.625,,,3.75,2.292
2011-01-03,,,14.854,22.146,7.292,,,4.739,2.792
2011-01-04,,,11.771,18.23,6.459,,,4.042,4.083
2011-01-05,,,20.0625,40.229,20.167,,,4.667,1.208
2011-01-06,,,27.146,61.125,33.979,,,5.833,1.957
2011-01-07,,,14.3125,29.146,14.832999999999998,,,4.125,1.417
2011-01-08,,,17.2915,34.208,16.9165,,,5.958,1.333
2011-01-09,,,19.854,42.3335,22.479,,,6.042,2.417
2011-01-10,,,32.0835,81.375,49.2915,,,8.565,3.333
2011-01-11,,,16.888,31.3205,14.433,,,3.75,3.625
2011-01-12,,,27.6875,59.854,32.167,,,5.958,2.875
2011-01-13,193.667,16.556,24.375,59.604,35.229,,210.222,5.583,3.783
2011-01-14,196.417,18.083,25.0835,49.9375,24.854,,214.5,7.5,5.25
2011-01-15,194.917,17.417,16.25,28.333,12.0835,,212.333,5.083,3.0
2011-01-16,190.043,18.261,23.0875,63.475,40.3875,,208.304,5.375,3.0
2011-01-17,192.667,23.958,25.0265,59.1475,34.121,,216.625,7.13,3.25
2011-01-18,191.375,27.375,33.5815,83.1705,49.589,,218.75,7.125,3.0
2011-01-19,189.75,26.833,33.1665,89.75,56.5835,,216.583,7.75,3.5
2011-01-20,187.208,20.875,23.6875,51.0625,27.375,,208.083,5.417,2.87
2011-01-21,188.5,21.375,26.9375,61.9375,35.0,,209.875,6.958,2.917
2011-01-22,190.583,21.708,23.354,45.7705,22.4165,,212.292,7.125,3.125
2011-01-23,190.435,15.261,15.0835,30.8125,15.729,,205.696,3.875,2.417
2011-01-24,188.542,14.125,14.4375,27.5,13.0625,,202.667,2.913,2.083
2011-01-25,191.542,15.083,18.699,37.108,18.4085,,206.625,4.25,2.75
2011-01-26,191.167,15.25,21.9375,45.271,23.3335,,206.417,4.542,2.167
2011-01-27,193.167,20.917,28.7085,65.0835,36.375,,214.083,7.75,3.609
2011-01-28,192.708,17.0,21.333,41.646,20.3125,,209.708,5.125,3.083
2011-01-29,191.917,15.083,14.2085,27.3335,13.125,,207.0,4.583,2.0
2011-01-30,193.043,22.522,32.8335,84.8055,51.972500000000004,,215.565,8.19,2.542
2011-01-31,189.917,20.0,30.2915,67.25,36.9585,,209.917,6.375,2.542
2011-02-01,191.625,19.667,23.816,67.5715,43.7555,,211.292,6.458,3.917
2011-02-02,188.625,13.0,12.4375,22.542,10.104,,201.625,3.208,2.25
2011-02-03,191.792,18.208,23.9165,49.5,25.583,,210.0,5.708,2.261
2011-02-04,191.042,17.042,23.5625,43.708,20.1455,,208.083,5.708,4.125
2011-02-05,192.542,17.167,21.0835,33.5,12.4165,,209.708,7.042,5.333
2011-02-06,194.217,28.087,35.6875,88.125,52.4375,,222.304,9.208,4.0
2011-02-07,192.875,22.792,28.2085,60.104,31.896,,215.667,6.375,3.292
2011-02-08,190.042,14.667,14.6575,27.4265,12.769,,204.708,3.458,2.542
2011-02-09,190.958,16.083,20.521,43.771,23.25,,207.042,4.583,2.208
2011-02-10,189.958,17.083,21.979,47.292,25.3125,,207.042,4.792,2.696
2011-02-11,190.542,15.875,19.6875,36.0625,16.375,,206.417,5.458,2.333
2011-02-12,191.625,17.125,16.2915,28.7295,12.4375,,208.75,5.417,2.167
2011-02-13,191.13,23.87,33.75,82.4375,48.6875,,215.0,7.958,2.625
2011-02-14,193.708,30.458,35.729,100.25,64.521,,224.167,8.917,2.875
2011-02-15,191.292,23.667,25.174,72.0325,46.8585,,214.958,6.625,2.667
2011-02-16,189.875,18.833,32.375,74.3125,41.9375,,208.708,6.292,3.125
2011-02-17,188.478,17.087,19.0585,38.8695,19.811,,205.565,4.75,2.522
2011-02-18,190.292,14.417,14.396,27.0,12.604,,204.708,4.208,1.75
2011-02-19,192.417,17.167,16.3955,29.6045,13.207999999999998,,209.583,5.375,2.042
2011-02-20,194.391,22.087,31.4165,73.6665,42.25,,216.478,6.917,2.708
2011-02-21,197.458,33.667,41.3125,103.521,62.2085,,231.125,9.375,4.833
2011-02-22,192.0,22.875,36.1475,77.789,41.6415,,214.875,7.75,4.083
2011-02-23,191.917,23.958,27.7085,70.1045,42.396,,215.875,6.833,3.583
2011-02-24,190.75,17.875,18.521,36.1455,17.625,,208.625,4.958,3.609
2011-02-25,192.25,20.0,25.646,54.271,28.625,,212.25,6.75,2.583
2011-02-26,190.5,14.625,9.5625,16.1665,6.604,,205.125,3.667,1.958
2011-02-27,191.826,18.739,22.1455,50.646,28.5,,210.565,5.458,2.042
2011-02-28,192.083,20.083,28.875,64.1875,35.3125,,212.167,6.333,2.75
