date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2011-01-01,17.188,21.479,4.292,,3.084,,4.458
2011-01-02,5.044,5.26,0.218,,3.166,,3.261
2011-01-03,10.042,12.354,2.312,,2.812,,4.0
2011-01-04,4.913,5.217,0.304,,5.408,,3.87
2011-01-05,9.042,11.042,2.0,,2.021,,3.208
2011-01-06,19.021,30.771,11.75,,2.542,,4.5
2011-01-07,5.229,5.896,0.666,,2.0,,2.542
2011-01-08,12.271,15.938,3.666,,2.146,,3.458
2011-01-09,11.935,15.522,3.587,,3.334,,4.261
2011-01-10,23.826,35.067,11.241,,3.566,,6.042
2011-01-11,12.75,17.02,4.27,,3.792,,4.5
2011-01-12,13.625,20.104,6.48,,2.458,,3.167
2011-01-13,18.875,30.188,11.312,,3.208,,4.625
2011-01-14,8.75,9.625,0.875,,3.688,,4.0
2011-01-15,8.708,10.688,1.979,,3.25,,3.417
2011-01-16,10.566,12.239,1.674,,2.522,,3.478
2011-01-17,17.062,26.0,8.938,,2.792,,3.792
2011-01-18,24.916,38.083,13.166,,3.25,,5.167
2011-01-19,22.875,29.5,6.625,,2.77,,4.375
2011-01-20,13.625,15.708,2.083,,2.021,,3.333
2011-01-21,13.188,15.75,2.562,,2.0,,3.833
2011-01-22,12.438,15.604,3.167,,2.167,,3.458
2011-01-23,5.913,7.065,1.152,,2.064,,3.261
2011-01-24,7.584,9.354,1.771,,2.104,,2.667
2011-01-25,10.292,12.062,1.771,,3.292,,3.5
2011-01-26,11.396,13.958,2.562,,2.354,,3.042
2011-01-27,13.584,16.125,2.542,,3.729,,3.833
2011-01-28,10.146,11.5,1.354,,3.562,,3.5
2011-01-29,8.166,9.479,1.312,,2.166,,3.0
2011-01-30,17.978,27.826,9.848,,2.348,,4.217
2011-01-31,14.542,20.458,5.917,,2.354,,3.667
2011-02-01,15.73,24.5,8.771,,3.417,,
2011-02-02,5.542,6.73,1.188,,2.438,,
2011-02-03,17.479,24.188,6.708,,2.846,,
2011-02-04,17.042,21.708,4.667,,4.25,,
2011-02-05,15.146,17.292,2.146,,6.062,,
2011-02-06,23.447,31.629,8.182,,4.196,,
2011-02-07,9.958,11.4,1.442,,2.625,,
2011-02-08,8.716,9.982,1.266,,2.167,,
2011-02-09,10.666,12.98,2.312,,2.875,,
2011-02-10,13.812,22.792,8.979,,3.646,,
2011-02-11,4.834,5.292,0.458,,2.604,,
2011-02-12,7.979,8.958,0.979,,2.667,,
2011-02-13,25.315,31.021,5.706,,2.656,,
2011-02-14,23.77,35.604,11.834,,2.458,,
2011-02-15,14.25,17.257,3.007,,2.625,,
2011-02-16,17.034,20.306,3.271,,2.812,,
2011-02-17,7.104,8.458,1.354,,2.77,,
2011-02-18,5.854,6.812,0.958,,2.062,,
2011-02-19,10.48,13.208,2.729,,2.375,,
2011-02-20,22.752,30.486,7.736,,2.979,,
2011-02-21,28.345,41.068,12.723,,4.065,,
2011-02-22,16.625,19.146,2.521,,4.02,,
2011-02-23,16.604,24.688,8.084,,3.02,,
2011-02-24,6.312,7.5,1.188,,4.042,,
2011-02-25,10.292,12.375,2.083,,2.458,,
2011-02-26,4.5,5.354,0.854,,2.188,,
2011-02-27,9.956,12.304,2.348,,2.152,,
2011-02-28,15.479,20.521,5.042,,2.667,,
2011-03-01,19.708,23.438,3.73,,2.916,,
2011-03-02,21.562,30.666,9.104,,2.458,,
2011-03-03,5.396,5.792,0.396,,2.812,,
2011-03-04,11.25,12.542,1.292,,2.25,,
2011-03-05,25.954,36.364,10.409,,2.239,,
2011-03-06,27.98,40.208,12.229,,3.271,,
2011-03-07,9.354,10.625,1.27,,3.833,,
2011-03-08,7.729,9.479,1.75,,3.583,,
2011-03-09,12.688,15.146,2.458,,2.458,,
2011-03-10,6.042,7.104,1.062,,2.146,,
2011-03-11,6.416,7.73,1.312,,3.042,,
2011-03-12,6.783,7.76,0.978,,2.394,,
2011-03-13,6.688,7.396,0.708,,2.021,,
2011-03-14,18.625,22.5,3.875,,3.271,,
2011-03-15,14.146,16.25,2.104,,3.5,,
2011-03-16,20.271,23.854,3.583,,3.084,,
2011-03-17,27.083,39.833,12.75,,2.688,,
2011-03-18,16.688,21.584,4.896,,2.48,,
2011-03-19,6.087,7.348,1.261,,2.454,,
2011-03-20,8.542,10.416,1.875,,2.666,,
2011-03-21,7.688,8.688,1.0,,2.792,,
2011-03-22,24.438,29.77,5.334,,4.729,,
2011-03-23,22.48,25.292,2.812,,2.542,,
2011-03-24,10.562,11.75,1.188,,2.708,,
2011-03-25,4.834,5.479,0.646,,2.708,,
2011-03-26,6.522,7.044,0.522,,2.337,,
2011-03-27,19.188,23.688,4.5,,4.166,,
2011-03-28,18.5,22.938,4.438,,4.396,,
2011-03-29,18.333,22.521,4.188,,3.75,,
2011-03-30,21.604,27.646,6.042,,4.333,,
2011-03-31,12.125,13.083,0.958,,2.666,,
2011-04-01,15.98,17.375,1.396,,5.146,,4.208
2011-04-02,14.771,16.125,1.354,,4.666,,4.667
2011-04-03,4.25,4.458,0.208,,2.896,,2.25
2011-04-04,12.136,15.568,3.432,,2.98,,2.864
2011-04-05,20.625,28.084,7.458,,3.938,,3.875
2011-04-06,16.646,18.396,1.75,,4.479,,3.833
2011-04-07,18.208,20.188,1.979,,4.792,,3.792
2011-04-08,29.73,33.792,4.062,,3.708,,5.125
2011-04-09,8.604,8.958,0.354,,3.021,,3.458
2011-04-10,8.208,8.25,0.042,,4.729,,3.792
2011-04-11,11.809,13.329,1.52,,4.392,,4.087
2011-04-12,11.75,12.854,1.104,,3.604,,3.542
2011-04-13,19.604,22.396,2.792,,5.312,,4.25
2011-04-14,20.958,23.271,2.312,,7.292,,4.917
2011-04-15,23.396,25.48,2.084,,6.354,,4.583
2011-04-16,11.896,14.083,2.188,,3.833,,3.792
2011-04-17,7.084,7.292,0.208,,3.458,,2.583
2011-04-18,11.066,12.196,1.13,,3.522,,3.391
2011-04-19,8.479,9.146,0.667,,2.375,,3.25
2011-04-20,7.271,8.042,0.771,,1.666,,2.583
2011-04-21,15.708,18.104,2.396,,3.542,,3.583
2011-04-22,28.375,34.729,6.354,,2.834,,5.417
2011-04-23,15.166,16.979,1.812,,2.0,,3.917
2011-04-24,10.771,11.854,1.083,,2.5,,3.792
2011-04-25,18.79,23.858,5.07,,2.587,,4.478
2011-04-26,22.792,26.23,3.438,,3.896,,4.75
2011-04-27,18.792,21.271,2.479,,3.646,,4.5
2011-04-28,9.5,10.27,0.771,,2.354,,3.542
2011-04-29,10.854,11.916,1.062,,3.166,,4.0
2011-04-30,17.854,19.312,1.458,,4.292,,5.083
2011-05-01,15.708,17.562,1.854,,3.0,,4.583
2011-05-02,7.717,8.413,0.696,,3.646,,3.696
2011-05-03,12.0,12.688,0.688,,3.208,,4.292
2011-05-04,7.75,8.292,0.542,,4.02,,3.542
2011-05-05,5.5,5.625,0.125,,3.271,,2.708
2011-05-06,9.625,10.458,0.834,,3.896,,3.583
2011-05-07,7.75,8.084,0.334,,3.792,,3.25
2011-05-08,6.771,7.042,0.27,,5.0,,3.5
2011-05-09,12.07,12.728,0.658,,5.576,,4.13
2011-05-10,15.68,19.723,4.044,,4.092,,3.783
2011-05-11,19.021,26.146,7.125,,1.825,,4.333
2011-05-12,19.958,23.75,3.792,,2.417,,3.833
2011-05-13,8.229,8.771,0.542,,3.479,,3.167
2011-05-14,9.167,9.604,0.438,,4.458,,3.417
2011-05-15,9.625,9.958,0.334,,4.75,,3.375
2011-05-16,15.196,16.022,0.826,,5.456,,3.783
2011-05-17,11.958,12.708,0.75,,4.438,,3.542
2011-05-18,10.875,11.48,0.604,,4.167,,3.417
2011-05-19,14.458,15.458,1.0,,6.292,,3.917
2011-05-20,14.312,15.562,1.25,,5.479,,3.583
2011-05-21,10.438,11.792,1.354,,4.5,,3.083
2011-05-22,4.125,4.25,0.125,,2.958,,2.042
2011-05-23,9.587,10.892,1.304,,1.818,,3.043
2011-05-24,9.188,9.792,0.604,,2.208,,2.625
2011-05-25,16.646,17.646,1.0,,4.271,,3.75
2011-05-26,11.438,12.146,0.708,,4.396,,3.25
2011-05-27,12.688,13.479,0.792,,2.458,,3.083
2011-05-28,14.708,15.896,1.188,,1.896,,4.125
2011-05-29,6.625,7.208,0.583,,1.792,,2.75
2011-05-30,4.652,4.956,0.304,,1.782,,2.0
2011-05-31,8.084,8.688,0.604,,2.354,,2.708
2011-06-01,14.708,16.958,2.25,,2.166,,3.292
2011-06-02,16.271,19.021,2.75,,2.333,,4.083
2011-06-03,13.125,14.75,1.625,,4.25,,3.958
2011-06-04,12.98,14.625,1.646,,5.416,,4.458
2011-06-05,11.875,12.521,0.646,,4.979,,4.042
2011-06-06,9.025,9.326,0.301,,4.608,,3.727
2011-06-07,13.5,14.542,1.042,,4.688,,3.917
2011-06-08,13.042,13.708,0.666,,4.875,,3.417
2011-06-09,14.02,15.146,1.125,,4.5,,3.375
2011-06-10,21.708,25.479,3.77,,4.417,,4.917
2011-06-11,6.854,7.125,0.271,,2.75,,3.375
2011-06-12,10.542,10.938,0.396,,3.062,,4.25
2011-06-13,11.652,12.708,1.055,,3.245,,3.435
2011-06-14,5.5,5.917,0.417,,3.729,,2.708
2011-06-15,7.125,7.75,0.625,,3.688,,2.417
2011-06-16,14.438,15.875,1.438,,2.75,,3.25
2011-06-17,12.458,13.208,0.75,,3.104,,3.583
2011-06-18,18.042,19.938,1.896,,2.98,,4.583
2011-06-19,10.208,11.25,1.042,,2.875,,3.833
2011-06-20,19.609,24.956,5.348,,2.625,,4.696
2011-06-21,19.375,23.625,4.25,,3.566,,4.0
2011-06-22,14.604,19.666,5.062,,4.25,,3.583
2011-06-23,6.146,8.958,2.812,,3.479,,2.333
2011-06-24,4.896,6.916,2.021,,3.416,,1.958
2011-06-25,5.458,6.938,1.479,,3.542,,2.0
2011-06-26,6.5,8.166,1.667,,3.562,,2.542
2011-06-27,7.087,10.478,3.392,,3.458,,2.609
2011-06-28,4.996,6.496,1.5,,3.608,,1.958
2011-06-29,8.854,11.02,2.166,,4.809,,2.375
2011-06-30,9.042,11.0,1.958,,4.375,,2.333
2011-07-01,15.125,21.542,6.416,,3.583,,3.375
2011-07-02,4.583,5.5,0.916,,3.292,,1.875
2011-07-03,8.875,9.875,1.0,,4.229,,3.708
2011-07-04,10.909,13.864,2.954,,3.761,,3.273
2011-07-05,8.77,9.583,0.812,,3.833,,3.125
2011-07-06,12.166,14.396,2.229,,4.208,,4.0
2011-07-07,15.645,24.729,9.084,,2.125,,3.417
2011-07-08,10.667,21.646,10.979,,3.208,,3.75
2011-07-09,6.812,11.604,4.792,,3.479,,2.75
2011-07-10,6.479,8.333,1.854,,4.125,,2.917
2011-07-11,8.5,12.696,4.196,,3.817,,2.435
2011-07-12,14.229,23.083,8.854,,3.666,,3.208
2011-07-13,11.792,20.167,8.375,,4.146,,2.75
2011-07-14,11.25,15.229,3.979,,4.666,,2.75
2011-07-15,13.292,15.625,2.334,,5.375,,2.917
2011-07-16,16.562,18.604,2.042,,6.5,,4.042
2011-07-17,7.666,9.104,1.438,,4.292,,2.292
2011-07-18,5.783,8.87,3.087,,2.604,,2.174
2011-07-19,4.916,6.938,2.021,,2.386,,1.708
2011-07-20,4.834,6.25,1.416,,2.792,,1.833
2011-07-21,3.916,4.75,0.834,,2.771,,1.542
2011-07-22,7.562,9.584,2.021,,2.958,,2.125
2011-07-23,5.167,5.916,0.75,,3.625,,2.167
2011-07-24,6.062,6.708,0.646,,4.25,,2.625
2011-07-25,13.652,15.761,2.109,,4.021,,3.609
2011-07-26,10.062,11.98,1.917,,3.875,,2.875
2011-07-27,10.812,15.188,4.375,,3.562,,2.875
2011-07-28,10.52,13.666,3.146,,3.208,,2.917
2011-07-29,7.958,10.792,2.834,,3.312,,2.417
2011-07-30,6.646,7.52,0.875,,3.5,,2.042
2011-07-31,5.708,6.062,0.354,,3.584,,2.542
2011-08-01,8.522,10.5,1.978,,3.478,,3.227
2011-08-02,9.104,10.938,1.834,,3.25,,3.167
2011-08-03,7.708,10.25,2.542,,3.604,,2.292
2011-08-04,6.896,9.208,2.312,,3.875,,1.708
2011-08-05,10.584,14.604,4.021,,2.812,,2.583
2011-08-06,7.125,11.062,3.938,,3.167,,2.5
2011-08-07,7.833,10.23,2.396,,3.834,,2.75
2011-08-08,11.696,15.326,3.63,,4.152,,3.043
2011-08-09,14.375,16.854,2.48,,5.458,,3.542
2011-08-10,11.042,12.688,1.646,,5.75,,3.333
2011-08-11,8.438,9.583,1.146,,4.604,,2.583
2011-08-12,6.438,7.312,0.875,,3.958,,2.292
2011-08-13,7.0,8.062,1.062,,4.625,,2.5
2011-08-14,5.375,6.167,0.792,,5.27,,2.458
2011-08-15,8.5,10.066,1.566,,4.598,,2.739
2011-08-16,8.875,10.312,1.438,,4.75,,3.292
2011-08-17,11.833,16.021,4.188,,4.592,,3.875
2011-08-18,9.542,12.5,2.958,,4.52,,3.167
2011-08-19,7.104,8.062,0.958,,3.75,,2.5
2011-08-20,8.875,10.354,1.479,,3.5,,3.208
2011-08-21,6.896,8.084,1.188,,2.334,,2.875
2011-08-22,6.804,7.674,0.869,,2.979,,2.696
2011-08-23,10.5,13.792,3.292,,3.25,,3.333
2011-08-24,9.438,14.25,4.812,,3.208,,2.958
2011-08-25,10.979,16.812,5.833,,2.73,,2.792
2011-08-26,11.104,14.708,3.604,,2.854,,2.792
2011-08-27,6.75,8.062,1.312,,2.625,,2.5
2011-08-28,5.979,6.812,0.834,,3.833,,2.542
2011-08-29,9.804,11.761,1.956,,4.152,,2.739
2011-08-30,11.02,12.416,1.396,,4.542,,3.0
2011-08-31,8.75,10.771,2.021,,3.688,,2.583
2011-09-01,7.729,12.396,4.666,,2.458,,2.583
2011-09-02,5.584,7.396,1.812,,2.396,,1.958
2011-09-03,2.666,2.916,0.25,,2.208,,1.625
2011-09-04,9.812,11.188,1.375,,1.896,,3.042
2011-09-05,9.228,13.228,4.0,,2.392,,2.727
2011-09-06,5.875,6.646,0.771,,3.125,,2.167
2011-09-07,17.312,19.5,2.188,,4.604,,3.958
2011-09-08,16.021,17.875,1.854,,5.104,,3.833
2011-09-09,13.062,16.105,3.042,,4.166,,3.75
2011-09-10,12.271,16.396,4.125,,4.062,,4.375
2011-09-11,5.916,7.792,1.875,,3.271,,2.0
2011-09-12,9.565,13.108,3.544,,3.52,,2.391
2011-09-13,13.76,18.189,4.43,,4.162,,2.958
2011-09-14,14.708,18.017,3.309,,5.48,,3.375
2011-09-15,10.188,14.729,4.542,,4.312,,2.625
2011-09-16,8.688,13.542,4.854,,3.334,,2.458
2011-09-17,10.292,14.188,3.896,,2.584,,3.042
2011-09-18,7.91,12.354,4.444,,3.166,,2.667
2011-09-19,5.282,7.244,1.962,,3.062,,2.348
2011-09-20,8.041,9.375,1.333,,1.646,,2.292
2011-09-21,4.48,5.02,0.542,,1.562,,1.75
2011-09-22,4.938,5.833,0.896,,2.0,,2.25
2011-09-23,5.917,6.896,0.98,,2.542,,2.083
2011-09-24,6.77,7.98,1.208,,2.875,,2.5
2011-09-25,8.438,9.479,1.042,,2.896,,2.833
2011-09-26,19.223,24.858,5.636,,3.406,,4.25
