date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,RAIN_sum
2011-01-01,226.25,78.667,58.5,47.0,21.854,23.24,29.5,6.26,,3.125,30.636,8.5,4.462,1.3,248.104,0.0
2011-01-02,212.75,85.333,59.486,30.667,16.938,15.802,22.438,6.635,,2.604,24.271,9.967,4.914,1.7,229.688,0.0
2011-01-03,197.696,52.333,37.139,24.0,5.978,9.546,10.923,1.376,,1.648,8.917,9.633,5.588,2.833,203.674,0.0
2011-01-04,218.826,72.0,50.111,34.667,22.076,20.323,29.146,8.823,,2.625,16.24,9.3,4.275,-0.633,240.903,0.0
2011-01-05,197.226,51.667,33.645,18.667,8.244,16.295,25.069,8.774,,2.22,10.311,8.367,4.614,1.133,205.47,0.0
2011-01-06,232.208,66.0,45.167,32.667,26.875,30.031,57.365,27.333,,2.854,21.833,8.6,4.188,1.2,259.083,0.0
2011-01-07,232.898,74.667,42.879,21.0,14.446,17.219,24.708,7.49,,1.688,14.51,8.0,3.667,-1.3,247.344,0.0
2011-01-08,222.792,55.0,40.083,25.333,10.625,14.042,16.136,2.094,,1.479,12.906,8.8,4.242,0.233,233.416,0.0
2011-01-09,245.271,82.667,55.611,40.333,20.958,24.623,30.376,5.754,,2.77,28.125,9.7,4.849,0.767,266.23,0.0
2011-01-10,233.674,82.667,58.611,33.0,20.196,27.695,40.846,13.151,,2.294,26.698,9.567,5.232,-0.467,253.87,0.0
2011-01-11,216.239,90.667,66.514,39.0,17.022,19.2,27.377,8.177,,2.13,20.957,9.767,4.254,1.033,233.261,0.0
2011-01-12,236.486,62.667,40.595,27.667,16.946,23.649,40.68,17.031,,1.5,16.562,6.033,2.096,-0.833,253.432,0.0
2011-01-13,257.326,84.667,57.083,40.333,38.718,42.271,90.073,47.802,,3.292,28.062,8.9,3.578,-2.067,296.044,0.0
2011-01-14,288.167,79.667,49.361,30.333,19.5,24.812,38.75,13.937,,2.042,16.916,7.3,3.062,-1.433,307.666,0.0
2011-01-15,275.917,67.0,54.097,39.667,25.396,27.884,40.81,12.926,,2.25,24.427,5.867,2.517,-1.567,301.312,0.0
2011-01-16,270.278,65.333,53.792,44.0,13.012,19.938,23.782,3.844,,1.834,24.813,4.533,2.904,0.767,283.29,0.0
2011-01-17,267.156,74.0,54.411,39.667,17.104,19.772,33.814,14.041,,2.152,17.808,6.967,3.546,0.4,284.26,0.0
2011-01-18,265.188,78.333,63.639,46.333,30.542,35.665,64.437,28.772,,3.354,35.729,9.2,3.553,-2.067,295.729,0.0
2011-01-19,245.522,74.0,61.422,49.667,21.032,23.458,41.834,18.375,,3.812,33.5,9.6,5.121,0.133,266.555,0.0
2011-01-20,230.484,94.667,88.736,59.0,8.785,13.688,16.354,2.666,,2.375,22.198,5.3,2.546,1.3,239.269,18.0
2011-01-21,221.542,95.0,85.32,74.333,8.48,13.771,16.344,2.574,,1.521,15.75,3.433,2.717,2.2,230.021,11.0
2011-01-22,239.655,95.667,92.625,85.667,11.622,15.698,23.083,7.386,,1.562,15.271,6.533,4.094,2.3,251.277,18.0
2011-01-23,278.146,95.667,85.0,57.0,29.19,24.843,77.679,52.836,,2.096,20.592,8.3,3.819,0.5,307.337,10.0
2011-01-24,258.479,96.0,64.805,41.0,25.77,24.271,37.792,13.521,,2.138,14.368,3.833,1.462,-0.733,284.25,6.0
2011-01-25,255.43,84.667,62.207,28.0,37.17,34.158,71.745,37.587,,2.916,29.028,7.6,2.697,-1.567,292.6,0.0
2011-01-26,251.979,76.667,45.995,25.667,19.354,22.885,28.0,5.115,,2.562,17.0,5.533,1.507,-1.8,271.334,0.0
2011-01-27,266.568,70.333,55.111,33.0,29.565,29.667,58.08,28.413,,3.0,21.323,6.6,1.49,-3.267,296.134,0.0
2011-01-28,248.97,70.0,47.403,25.667,17.576,21.802,29.156,7.354,,2.875,21.167,5.433,1.242,-2.1,266.546,0.0
2011-01-29,226.188,50.667,36.986,25.0,7.375,7.056,7.968,0.913,,2.021,12.094,5.267,1.985,-1.1,233.562,0.0
2011-01-30,270.696,58.333,38.389,25.333,22.87,23.019,42.463,19.444,,2.25,15.076,5.567,1.826,-1.533,293.566,0.0
2011-01-31,238.916,66.667,45.736,30.333,19.73,32.729,58.646,25.917,3.75,3.671,23.438,7.433,2.386,-3.567,258.646,0.0
2011-02-01,273.625,63.0,46.361,32.667,14.083,21.918,35.036,13.118,16.652,3.396,18.083,11.467,5.5,-1.6,287.708,0.0
2011-02-02,231.083,47.667,32.792,17.333,5.875,12.644,15.193,2.55,9.25,2.0,12.927,4.7,1.611,-0.833,236.958,0.0
2011-02-03,352.217,70.0,42.875,22.0,24.174,34.083,66.729,32.646,14.208,3.084,20.386,5.667,1.168,-3.567,376.391,0.0
2011-02-04,358.833,79.0,46.903,25.0,33.917,34.454,75.943,41.49,15.667,3.75,22.625,9.7,3.792,-3.1,392.75,0.0
2011-02-05,331.667,83.667,53.639,35.0,13.75,15.0,16.833,1.833,17.292,3.354,22.271,8.533,4.662,-0.533,345.417,0.0
2011-02-06,265.208,97.333,89.334,77.333,29.083,35.668,52.361,16.692,34.375,2.692,49.45,4.367,3.383,1.367,294.292,7.0
2011-02-07,298.542,97.333,94.681,90.0,22.375,28.125,43.271,15.146,21.167,1.756,44.156,14.133,7.553,4.3,320.917,34.0
2011-02-08,272.75,92.0,46.583,27.333,16.208,16.79,27.529,10.74,4.913,2.479,14.583,7.767,6.146,2.567,288.958,0.0
2011-02-09,268.5,50.0,31.625,14.0,12.875,23.479,32.688,9.208,6.208,2.0,12.146,7.5,3.576,-0.033,281.375,0.0
2011-02-10,304.522,83.667,49.542,26.0,18.826,31.472,50.028,18.556,12.708,3.125,18.875,8.233,3.897,-0.567,323.348,0.0
2011-02-11,296.958,90.333,49.055,23.333,13.292,16.927,21.219,4.292,11.333,2.334,18.406,8.3,4.239,-1.133,310.25,0.0
2011-02-12,263.542,47.0,33.611,23.667,11.542,13.312,14.781,1.469,10.458,2.292,14.166,8.367,4.125,0.3,275.083,0.0
2011-02-13,315.458,71.0,49.208,33.667,17.208,22.75,26.073,3.323,16.75,2.981,22.137,8.333,4.724,0.233,332.667,0.0
2011-02-14,263.167,96.0,86.57,58.667,26.417,35.459,48.343,12.884,30.208,2.678,44.895,5.7,4.256,3.333,289.583,7.0
2011-02-15,274.708,93.667,67.931,35.667,26.125,32.487,48.656,16.169,26.87,2.75,45.386,9.6,6.368,4.067,300.833,0.0
2011-02-16,290.75,96.667,67.889,41.333,12.917,15.162,16.428,1.265,13.042,2.146,20.282,4.133,1.914,0.8,303.667,2.0
2011-02-17,305.478,96.667,76.306,36.667,11.043,18.438,23.0,4.562,13.292,2.354,27.458,7.3,2.547,-0.1,316.522,5.0
2011-02-18,283.75,90.0,46.625,13.667,6.708,10.604,12.031,1.427,8.292,1.854,13.917,5.133,1.158,-2.3,290.458,0.0
2011-02-19,312.75,66.333,42.028,19.333,12.917,22.292,27.521,5.229,12.25,2.146,16.635,6.967,1.536,-4.0,325.667,0.0
2011-02-20,259.312,68.333,44.189,16.333,19.396,35.362,51.394,16.032,16.292,3.079,22.827,9.733,3.858,-1.867,278.708,0.0
2011-02-21,257.792,69.667,45.347,18.333,28.354,43.479,68.729,25.25,18.708,4.29,28.364,12.1,6.544,0.167,286.146,0.0
2011-02-22,248.542,70.667,58.111,51.0,8.416,14.941,16.802,1.861,19.522,4.396,26.539,9.0,6.715,3.433,256.958,0.0
2011-02-23,235.839,95.667,88.222,41.0,23.532,33.25,55.844,22.594,24.958,3.042,42.021,9.9,6.15,4.2,259.37,17.0
2011-02-24,224.432,58.0,38.472,18.667,8.508,14.854,16.417,1.562,24.292,4.479,28.562,14.367,10.412,8.167,232.939,0.0
2011-02-25,236.938,96.0,85.583,59.333,10.292,14.771,16.708,1.938,13.583,1.958,21.073,8.833,5.196,3.1,247.23,12.0
2011-02-26,235.084,63.0,46.514,30.0,6.078,8.188,9.479,1.291,7.333,1.625,11.927,8.667,5.526,3.5,241.162,0.0
2011-02-27,224.312,37.667,28.236,17.333,5.229,8.458,9.792,1.333,8.708,1.564,12.615,7.9,4.117,0.767,229.542,0.0
2011-02-28,246.292,57.333,43.084,30.333,4.604,9.287,10.792,1.505,8.696,2.062,12.979,6.133,2.883,-0.8,250.896,0.0
2011-03-01,225.521,90.333,80.32,64.667,14.646,20.615,24.729,4.114,11.417,1.584,26.146,10.8,7.154,2.3,240.166,0.0
2011-03-02,241.81,97.0,87.597,70.0,11.385,17.125,18.688,1.563,10.125,2.125,23.782,8.467,6.496,3.533,253.196,14.0
2011-03-03,231.252,95.667,66.153,45.333,5.487,8.425,9.07,0.645,12.167,2.188,19.614,10.3,6.232,2.833,236.739,1.0
2011-03-04,245.667,85.0,62.708,54.667,5.23,7.062,7.406,0.344,14.958,2.646,21.167,6.233,4.878,3.3,250.896,0.0
2011-03-05,232.438,97.0,95.889,92.333,16.312,27.774,43.095,15.321,10.958,1.606,21.114,8.233,4.958,2.367,248.75,29.0
2011-03-06,253.438,95.667,90.222,78.0,20.671,25.446,46.574,21.127,10.792,2.152,32.898,14.567,10.508,8.0,274.108,7.0
2011-03-07,236.708,93.333,67.028,44.0,9.271,11.964,13.236,1.272,15.348,2.312,31.781,14.0,11.599,10.1,245.98,0.0
2011-03-08,232.021,88.667,73.681,55.0,5.584,8.334,8.927,0.594,11.292,2.188,22.677,9.767,8.192,6.567,237.604,1.0
2011-03-09,229.174,96.0,94.778,91.0,8.565,13.94,15.465,1.524,10.042,1.75,22.698,7.767,6.829,4.8,237.74,28.0
2011-03-10,225.125,95.667,86.791,70.667,6.125,9.166,9.979,0.813,3.5,1.5,10.625,6.4,4.474,2.767,231.25,16.0
2011-03-11,243.334,90.0,69.778,49.0,7.792,11.611,13.585,1.974,8.917,2.104,21.375,10.5,6.415,1.8,251.125,0.0
2011-03-12,220.09,87.0,40.495,15.333,7.318,15.092,19.839,4.746,5.833,2.24,14.054,11.5,6.351,1.9,227.408,0.0
2011-03-13,215.521,70.667,33.278,15.333,6.771,11.104,12.562,1.458,6.0,1.729,10.229,10.067,5.95,2.4,222.292,0.0
2011-03-14,240.125,74.667,52.819,28.333,9.458,19.683,22.32,2.637,9.957,2.5,15.74,10.467,6.028,1.267,249.584,0.0
2011-03-15,243.532,85.667,46.028,17.0,15.162,20.586,34.293,13.707,14.917,2.771,24.802,12.3,6.537,1.2,258.694,0.0
2011-03-16,240.942,64.333,47.875,32.0,11.858,23.333,28.354,5.021,18.042,2.771,23.729,10.9,6.294,-0.033,252.801,0.0
2011-03-17,233.334,96.0,88.306,63.667,24.208,35.419,47.906,12.488,21.542,2.688,35.708,10.033,7.197,5.6,257.541,20.0
2011-03-18,249.771,95.333,91.083,79.667,20.262,22.406,35.885,13.479,19.667,2.354,42.886,11.2,8.61,5.967,270.032,3.0
2011-03-19,224.248,95.0,38.708,16.0,9.209,16.979,25.085,8.105,6.958,1.87,17.013,11.0,8.456,6.333,233.456,0.0
2011-03-20,226.521,74.0,47.25,29.667,14.729,20.865,23.219,2.354,14.292,4.021,21.386,12.033,7.638,3.867,241.25,0.0
2011-03-21,213.661,62.333,30.959,16.667,5.386,13.006,14.512,1.507,8.696,2.042,15.125,11.3,7.206,4.0,219.048,0.0
2011-03-22,279.083,61.333,45.153,32.667,33.062,49.969,81.614,31.646,25.25,4.604,38.188,13.233,8.39,1.567,312.146,0.0
2011-03-23,262.776,96.0,78.222,51.333,28.404,34.893,53.48,18.587,31.042,2.771,48.073,11.267,8.814,6.9,291.18,12.0
2011-03-24,239.683,96.0,89.375,56.0,15.232,23.427,35.521,12.094,8.125,2.0,19.886,8.267,6.826,4.467,254.915,6.0
2011-03-25,260.417,88.667,46.028,23.333,17.979,18.542,38.479,19.938,8.625,2.458,15.688,12.933,8.128,3.2,278.396,0.0
2011-03-26,245.062,67.333,37.736,17.0,10.75,21.073,26.219,5.146,11.167,2.088,16.083,11.067,6.75,1.367,255.812,0.0
2011-03-27,237.557,69.667,44.722,19.0,14.028,25.884,30.998,5.114,14.333,2.97,18.875,12.967,8.206,2.167,251.585,0.0
2011-03-28,236.438,81.333,49.264,24.667,18.771,29.342,39.072,9.73,22.174,4.104,33.406,17.2,10.143,4.2,255.208,0.0
2011-03-29,218.208,66.333,40.625,12.667,6.458,17.08,20.2,3.119,14.042,3.416,19.094,16.0,10.681,4.567,224.667,0.0
2011-03-30,200.392,69.333,62.07,51.333,4.109,12.552,14.562,2.01,14.292,2.604,22.271,17.067,14.217,11.933,204.5,0.0
2011-03-31,198.208,94.0,65.75,33.667,3.542,9.25,10.468,1.219,19.667,2.042,30.542,18.433,13.472,7.733,201.75,7.0
2011-04-01,187.542,72.333,52.278,25.0,12.958,20.208,24.396,4.188,,3.896,23.677,15.367,10.374,3.267,200.5,0.0
2011-04-02,191.083,80.0,55.778,35.0,20.042,26.97,33.777,6.807,,4.75,38.146,18.467,13.014,7.8,211.125,0.0
2011-04-03,185.875,73.0,50.958,35.333,8.667,7.094,7.573,0.479,,2.375,19.854,9.367,7.451,5.533,194.542,0.0
2011-04-04,187.042,72.667,50.875,24.667,9.875,10.24,11.365,1.125,,2.125,19.948,13.367,8.09,4.567,196.917,0.0
2011-04-05,187.455,69.333,39.557,17.667,13.864,17.818,20.684,2.866,,3.314,18.054,15.133,9.201,2.267,201.318,0.0
2011-04-06,190.708,89.0,53.028,15.667,20.708,31.104,43.01,11.906,,4.688,31.656,18.6,12.561,5.7,211.417,0.0
2011-04-07,187.5,80.0,65.25,51.333,12.208,22.979,30.76,7.781,,5.208,27.479,18.467,14.826,11.533,199.708,0.0
2011-04-08,182.292,87.0,70.18,56.667,6.917,12.352,14.225,1.874,,3.979,30.656,17.5,15.747,14.233,189.208,0.0
2011-04-09,182.708,93.0,87.167,78.667,10.417,12.688,14.542,1.854,,2.938,26.583,16.767,15.286,11.4,193.125,0.0
2011-04-10,186.375,90.333,61.736,32.0,9.833,6.573,6.896,0.323,,2.562,22.698,17.267,13.075,9.167,196.208,0.0
2011-04-11,188.652,93.333,69.764,36.333,18.304,23.338,30.816,7.478,,4.52,31.549,18.733,13.079,6.867,206.957,6.0
2011-04-12,185.565,89.667,43.052,13.0,7.783,8.112,8.884,0.772,,1.757,18.054,15.533,10.279,6.3,193.348,1.0
2011-04-13,189.958,77.0,55.208,36.0,21.458,27.271,33.74,6.469,,5.188,31.396,18.633,12.764,6.267,211.417,0.0
2011-04-14,189.25,88.333,56.556,24.667,19.542,28.44,32.243,3.802,,5.98,39.948,21.733,15.294,8.4,208.792,0.0
2011-04-15,182.083,91.667,73.139,52.667,9.625,19.298,22.503,3.205,,7.083,39.802,20.5,17.053,14.1,191.708,0.0
2011-04-16,182.375,92.667,66.958,33.667,10.25,14.833,17.542,2.708,,4.084,25.636,20.9,17.371,12.333,192.625,0.0
2011-04-17,187.043,72.333,47.639,30.333,9.435,6.963,7.404,0.442,,2.521,20.396,17.733,12.981,9.3,196.478,0.0
2011-04-18,186.75,83.0,62.486,41.0,12.375,7.979,8.802,0.823,,2.354,19.958,18.267,14.249,10.6,199.125,0.0
2011-04-19,184.391,97.667,77.57,42.0,12.739,11.8,14.511,2.711,,1.928,18.984,17.667,11.607,6.033,197.13,31.0
2011-04-20,185.792,80.0,59.625,40.667,10.792,10.203,11.81,1.607,,2.084,13.75,15.3,10.022,4.267,196.583,0.0
2011-04-21,188.083,83.333,71.236,52.0,12.542,10.792,12.323,1.531,,2.042,17.448,16.067,11.901,8.467,200.625,0.0
