date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean,SO2_mean
2011-01-01,194.826,69.0,57.312,38.5,15.565,13.334,14.521,1.188,,14.042,11.25,6.648,2.1,210.391,2.583,2.917
2011-01-02,193.391,86.0,64.062,48.0,9.565,6.729,7.146,0.416,,13.98,8.65,6.015,4.1,202.957,2.958,3.292
2011-01-03,191.696,64.0,55.604,46.0,8.217,10.5,11.25,0.75,,17.48,7.55,5.675,3.5,199.913,3.0,3.958
2011-01-04,194.0,81.5,55.479,24.5,7.952,9.196,9.891,0.696,,24.892,8.05,4.306,1.8,201.952,3.391,5.826
2011-01-05,192.696,79.0,66.125,49.5,10.739,16.938,22.125,5.188,,9.458,6.9,3.35,0.35,203.435,3.167,2.625
2011-01-06,198.435,83.5,57.27,33.0,25.565,27.565,48.761,21.196,,17.146,9.25,5.098,0.25,224.0,4.25,3.458
2011-01-07,191.609,71.0,58.75,35.0,9.913,11.771,16.312,4.542,,8.416,8.6,5.142,2.5,201.522,2.458,2.208
2011-01-08,197.13,72.5,60.48,42.5,20.217,18.312,23.646,5.333,,11.02,7.65,4.385,2.05,217.348,3.208,2.583
2011-01-09,197.261,78.0,63.125,45.5,18.261,19.396,25.312,5.916,,18.834,10.4,5.783,2.55,215.522,4.208,3.958
2011-01-10,203.0,85.0,61.938,37.0,36.174,34.0,56.229,22.23,,34.812,10.95,6.385,1.4,239.174,6.0,5.125
2011-01-11,194.818,66.5,55.416,34.0,18.364,15.481,19.244,3.764,,25.562,10.0,6.012,1.4,213.182,3.708,4.25
2011-01-12,194.304,72.5,56.23,36.0,17.957,24.125,37.312,13.188,,10.708,7.3,3.375,0.3,212.261,3.958,3.333
2011-01-13,200.783,75.5,54.916,33.5,33.739,24.474,55.248,30.774,,18.434,9.65,5.446,1.3,234.522,4.958,3.833
2011-01-14,195.565,70.5,60.104,51.5,15.435,18.979,21.542,2.562,,33.77,7.65,5.64,4.2,211.0,4.667,5.417
