date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,194.5,88.5,74.896,58.5,9.222,14.93,19.055,4.125,,3.817,27.242,9.3,6.89,5.35,203.722,5.583
2011-01-02,190.141,89.0,67.646,50.0,3.549,6.073,7.478,1.406,,1.974,9.91,8.95,4.992,0.1,193.69,3.304
2011-01-03,193.417,79.5,62.646,42.0,5.625,12.604,15.847,3.243,,6.292,29.57,9.45,6.019,4.15,199.042,5.208
2011-01-04,191.167,88.5,70.771,51.5,4.153,10.715,13.979,3.264,,3.658,20.625,5.15,2.694,1.15,195.319,4.417
2011-01-05,191.145,81.0,65.042,43.0,6.261,14.333,21.333,7.0,,1.948,14.37,7.4,2.91,0.25,197.406,4.348
2011-01-06,193.188,80.5,67.167,48.5,8.091,21.528,40.604,19.076,,2.242,11.618,8.45,3.719,-0.05,201.279,5.042
2011-01-07,192.264,85.0,65.229,41.5,8.028,14.646,23.528,8.882,,1.383,5.32,10.05,5.779,1.35,200.292,3.875
2011-01-08,190.43,74.5,55.292,41.5,4.445,10.285,13.604,3.32,,2.175,5.406,11.05,7.042,3.5,194.875,3.292
2011-01-09,194.686,82.0,61.75,37.0,11.366,15.884,22.84,6.957,,6.131,27.903,11.45,7.235,3.95,206.051,5.565
2011-01-10,195.828,75.0,69.604,62.5,15.732,24.54,42.638,18.098,,6.108,41.924,6.75,4.531,2.05,211.56,8.391
2011-01-11,187.431,71.0,58.021,45.0,8.264,17.061,23.703,6.643,,3.467,16.25,6.3,3.76,1.3,195.694,4.542
2011-01-12,190.072,80.0,69.354,55.5,13.02,23.634,40.354,16.72,,3.191,11.785,7.55,3.769,0.05,203.092,5.917
2011-01-13,189.443,79.0,64.271,48.5,8.982,17.708,25.34,7.632,,5.975,24.486,6.85,4.975,3.3,198.425,5.042
2011-01-14,191.514,82.0,61.979,39.5,12.25,17.722,29.035,11.312,,3.083,23.299,9.65,4.883,1.0,203.764,5.167
2011-01-15,189.875,73.0,63.666,49.5,10.097,15.965,21.118,5.153,,2.108,10.882,8.55,5.521,3.05,199.972,4.458
2011-01-16,186.145,84.5,69.979,57.0,4.099,10.818,16.123,5.304,,0.907,8.407,6.9,5.302,2.3,190.245,3.652
2011-01-17,187.236,89.0,71.062,43.0,8.486,20.062,35.847,15.785,,1.113,6.188,11.2,5.154,0.4,195.722,4.083
2011-01-18,188.916,79.5,61.625,48.0,15.069,26.194,51.479,25.285,,4.808,10.993,11.35,7.31,2.05,203.986,7.75
2011-01-19,183.569,88.0,79.896,50.5,4.417,12.889,17.264,4.375,,2.175,8.827,9.85,7.877,6.95,187.986,3.333
