date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-04-12,10.3502,13.2416,2.8918,5.60925,,,186.826,3.13,9.435,196.261
2011-04-13,14.0912,17.2502,3.159,7.38025,,,187.5,3.417,11.667,199.167
2011-04-14,17.9668,21.2084,3.2415999999999996,13.1355,,,187.833,4.0,11.958,199.792
2011-04-15,31.7666,44.3502,12.583400000000001,11.823,,,189.542,6.708,22.167,211.708
2011-04-16,11.8502,19.165399999999998,7.3152,5.557375,,,187.913,4.5,13.565,201.478
2011-04-17,9.299800000000001,11.3082,2.0084,5.927,,,186.75,2.792,8.792,195.542
2011-04-18,20.0642,26.6666,6.6026,5.901,,,188.792,4.625,15.667,204.458
2011-04-19,5.5752,7.2584,1.6834,4.703749999999999,,,187.125,3.435,9.25,196.375
2011-04-20,7.986,10.439,2.4524,4.546875,,,185.913,2.833,8.696,194.609
2011-04-21,20.2248,28.0334,7.808400000000001,8.161375,,,187.667,3.292,12.792,200.458
2011-04-22,24.4748,33.7918,9.3168,6.11975,,,187.875,4.0,13.958,201.833
2011-04-23,11.0696,15.060399999999998,3.9908,4.672,,,185.167,3.292,11.167,196.333
2011-04-24,6.4164,7.5334,1.1166,6.947875,,,187.522,2.958,9.087,196.609
2011-04-25,7.933400000000001,10.3084,2.375,6.8125,,,186.667,2.875,8.583,195.25
2011-04-26,20.527,27.940199999999997,7.412999999999999,8.224,,,187.083,3.304,12.958,200.042
2011-04-27,13.8232,19.1218,5.2986,7.447875,,,186.25,3.208,12.333,198.583
2011-04-28,8.7416,10.525,1.7833999999999999,5.45825,,,187.435,4.583,10.435,197.87
2011-04-29,11.0916,13.758199999999999,2.6666,7.093875000000001,,,187.5,2.917,9.292,196.792
2011-04-30,16.1704,20.549,4.3788,8.051875,,,187.542,3.833,12.375,199.917
2011-05-01,7.5586,9.0916,1.5332000000000001,6.63025,,,184.458,2.167,8.583,193.042
2011-05-02,14.612799999999998,18.1552,3.5423999999999998,9.296875,,,187.522,3.75,10.739,198.261
2011-05-03,17.5918,21.6166,4.025,7.7865,,,189.292,4.478,14.5,203.792
2011-05-04,16.6508,20.0394,3.3888,9.474,,,188.375,5.042,13.333,201.708
2011-05-05,9.2584,11.1584,1.9002,6.880125,,,185.958,2.75,9.0,194.958
2011-05-06,13.125200000000001,17.167,4.0418,6.010375,,,186.348,2.875,10.783,197.13
2011-05-07,12.0492,14.838,2.7885999999999997,7.0625,,,182.708,1.917,7.833,190.542
