date,NO2_mean,NOX_mean,NO_mean,SO2_mean,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,16.968,24.125,7.157,1.639,196.104,4.76,67.0,56.958,39.0,15.302,,0.0,11.0,7.129,3.0,211.406
2011-01-02,8.264,12.421,4.157,1.986,191.323,4.536,72.0,57.375,42.0,8.094,,0.0,9.2,6.712,5.0,199.417
2011-01-03,14.676,21.815,7.139,2.875,191.031,4.852,62.0,50.542,43.0,9.125,,0.0,8.8,6.429,3.8,200.156
2011-01-04,10.822,17.063,6.241,4.53,191.183,4.842,65.0,48.125,22.0,8.247,,0.0,8.0,5.221,2.7,199.43
2011-01-05,20.719,34.392,13.673,1.007,193.557,5.148,74.0,61.458,46.0,15.666,,0.0,7.6,4.179,1.1,209.223
2011-01-06,28.768,56.413,27.645,1.643,196.002,6.031,79.0,54.292,34.0,22.096,,0.0,9.9,6.029,2.1,218.098
2011-01-07,12.671,21.657,8.986,0.708,192.386,4.011,65.0,54.792,38.0,9.958,,0.0,8.6,5.612,4.2,202.344
2011-01-08,16.593,25.88,9.287,0.736,195.458,4.251,65.0,53.667,38.0,13.688,,0.0,9.0,5.471,3.0,209.146
2011-01-09,20.292,32.958,12.667,2.139,197.656,5.438,66.0,57.5,44.0,17.5,,0.0,11.4,6.812,3.8,215.156
2011-01-10,33.627,72.623,38.996,3.238,200.088,7.632,79.0,59.417,42.0,26.154,,0.0,10.8,7.042,2.7,226.242
2011-01-11,18.773,36.21,17.437,3.167,192.364,5.23,60.0,49.5,32.0,11.448,,0.0,10.5,6.725,2.1,203.812
2011-01-12,25.477,50.221,24.744,1.186,194.601,5.148,64.0,54.5,42.0,16.295,,0.0,6.3,3.921,1.4,210.896
2011-01-13,23.954,55.368,31.415,2.597,195.801,6.364,71.0,51.458,31.0,22.82,,0.0,10.5,6.4,2.9,218.621
2011-01-14,22.773,39.718,16.945,3.903,195.281,6.674,61.0,52.792,46.0,15.198,,0.0,8.5,6.6,5.1,210.479
2011-01-15,17.148,27.5,10.352,1.903,194.042,5.271,69.0,56.25,43.0,15.635,,0.0,8.4,6.283,3.3,209.677
2011-01-16,15.145,26.806,11.661,0.933,191.336,4.303,60.0,51.917,45.0,14.139,,0.0,6.4,5.871,5.1,205.475
2011-01-17,26.301,50.816,24.516,1.153,195.705,5.338,74.0,53.875,31.0,22.732,,0.0,10.2,6.104,3.2,218.437
2011-01-18,33.333,64.653,31.319,1.014,198.335,6.54,73.0,50.333,29.0,33.628,,0.0,10.8,5.992,0.9,231.962
2011-01-19,32.225,63.549,31.324,1.095,195.282,5.718,87.0,67.333,50.0,30.157,,25.0,8.3,6.471,5.7,225.439
2011-01-20,20.224,33.792,13.568,0.667,189.521,4.661,87.0,75.792,65.0,18.176,,2.0,10.0,8.125,5.8,207.696
2011-01-21,22.889,34.741,11.852,0.694,191.615,5.042,87.0,80.375,68.0,19.754,,10.0,9.3,7.962,6.7,211.37
2011-01-22,24.468,39.241,14.773,1.514,194.323,5.208,89.0,74.667,62.0,21.396,,1.0,10.7,7.954,4.5,215.719
2011-01-23,14.536,29.245,14.709,1.437,190.542,4.46,69.0,58.333,40.0,12.083,,0.0,11.2,7.725,3.9,202.625
2011-01-24,17.866,36.021,18.155,1.625,190.022,4.187,55.0,45.083,34.0,10.714,,0.0,6.6,3.792,2.3,200.736
2011-01-25,21.533,40.884,19.351,2.681,192.688,5.264,56.0,44.375,32.0,12.666,,0.0,6.5,3.096,0.8,205.354
2011-01-26,22.724,42.155,19.431,1.633,194.162,5.006,63.0,46.458,35.0,14.33,,0.0,6.8,2.867,-0.6,208.492
2011-01-27,30.786,58.961,28.176,4.311,197.404,6.252,65.0,50.875,40.0,17.792,,0.0,8.3,4.55,0.5,215.195
2011-01-28,21.028,35.157,14.13,2.194,194.812,5.542,67.0,53.667,37.0,14.031,,0.0,8.8,5.133,2.7,208.844
2011-01-29,12.232,18.718,6.486,0.819,193.979,4.074,75.0,59.167,37.0,12.052,,0.0,7.1,3.692,1.9,206.031
2011-01-30,27.27,52.113,24.843,1.044,198.198,5.926,72.0,61.917,46.0,20.226,,0.0,7.3,3.804,1.4,218.424
