date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CO_mean
2011-01-01,10.844,13.792,2.948,,3.958
2011-01-02,4.562,5.938,1.375,,3.917
2011-01-03,8.354,10.614,2.26,,4.417
2011-01-04,6.187,8.888,2.701,,4.273
2011-01-05,14.771,23.792,9.021,,4.792
2011-01-06,22.531,47.5,24.969,,5.708
2011-01-07,16.938,31.719,14.781,,4.917
2011-01-08,14.635,21.198,6.562,,4.417
2011-01-09,16.49,26.573,10.083,,5.0
2011-01-10,25.542,59.312,33.771,,7.875
2011-01-11,14.118,20.323,6.204,,4.609
2011-01-12,20.51,33.688,13.177,,4.375
2011-01-13,18.448,39.802,21.354,,4.667
2011-01-14,13.584,20.458,6.875,,5.542
2011-01-15,11.646,17.51,5.865,,4.542
2011-01-16,9.021,17.229,8.208,,3.708
2011-01-17,18.625,36.438,17.812,,4.792
2011-01-18,31.635,62.072,30.437,,6.087
2011-01-19,18.452,31.875,13.424,,3.958
2011-01-20,11.75,19.708,7.958,,4.208
2011-01-21,14.406,22.032,7.625,,4.292
2011-01-22,20.573,31.51,10.938,,4.542
2011-01-23,10.677,14.854,4.177,,3.333
2011-01-24,9.927,12.646,2.719,,2.583
2011-01-25,12.262,17.427,5.165,,3.783
2011-01-26,11.24,15.656,4.417,,3.25
2011-01-27,19.812,36.136,16.323,,5.667
2011-01-28,17.468,25.552,8.083,,4.917
2011-01-29,8.917,12.854,3.937,,4.167
2011-01-30,19.302,37.073,17.77,,4.792
2011-01-31,19.083,31.031,11.948,,4.417
2011-02-01,17.826,31.491,13.664,,3.957
2011-02-02,7.59,10.236,2.646,,3.042
2011-02-03,15.896,26.594,10.698,,4.042
2011-02-04,17.011,27.344,10.334,,5.333
2011-02-05,15.177,20.167,4.989,,5.125
2011-02-06,24.184,40.406,16.222,,7.0
2011-02-07,13.14,19.096,5.956,,4.917
2011-02-08,6.427,8.854,2.427,,2.696
2011-02-09,13.278,21.086,7.807,,4.042
2011-02-10,14.677,23.542,8.865,,3.958
2011-02-11,13.688,21.834,8.146,,3.958
2011-02-12,8.792,11.177,2.386,,3.708
2011-02-13,20.969,32.646,11.677,,5.5
2011-02-14,25.854,41.292,15.438,,5.417
2011-02-15,17.999,37.536,19.537,,5.318
2011-02-16,17.712,30.959,13.248,,3.875
2011-02-17,11.208,18.469,7.26,,3.417
2011-02-18,10.917,16.052,5.135,,3.917
2011-02-19,12.834,18.125,5.292,,3.708
2011-02-20,22.666,37.27,14.604,,4.542
2011-02-21,35.167,62.635,27.469,,6.333
2011-02-22,26.166,38.26,12.094,,5.636
