date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean,TEMP_max,TEMP_mean,TEMP_min,SO2_mean,CO_mean
2011-01-01,189.0,8.5,15.834,19.167,3.333,,13.222,197.5,10.1,7.592,5.1,2.292,5.333
2011-01-02,189.261,6.0,7.213,8.243,1.029,,11.458,195.261,8.2,6.05,4.2,2.375,5.042
2011-01-03,188.458,6.0,11.486,13.389,1.903,,18.903,194.458,6.5,5.446,3.6,3.333,5.375
2011-01-04,190.083,6.167,10.104,11.496,1.392,,23.653,196.25,6.2,3.979,1.1,4.667,5.217
2011-01-05,187.625,5.583,8.731,10.034,1.303,,8.306,193.208,6.5,3.871,0.9,1.583,4.0
2011-01-06,187.727,7.182,16.634,19.805,3.17,,13.957,194.909,8.7,5.871,3.4,3.167,4.75
2011-01-07,187.708,5.625,6.708,7.722,1.014,,5.736,193.333,7.3,5.333,4.0,1.042,3.667
2011-01-08,188.25,6.458,10.653,12.569,1.916,,7.111,194.708,7.4,5.542,3.0,1.792,4.375
2011-01-09,189.826,8.217,16.028,20.306,4.278,,16.653,198.043,10.1,7.179,4.8,3.208,5.5
2011-01-10,191.875,11.75,26.417,47.736,21.32,,32.161,203.625,10.1,7.154,4.1,6.042,7.478
2011-01-11,190.318,6.409,10.503,12.335,1.833,,23.059,196.727,8.9,5.85,1.9,3.435,4.652
2011-01-12,191.708,7.208,16.609,20.812,4.203,,6.639,198.917,5.7,3.8,1.3,1.375,4.542
2011-01-13,191.292,7.333,18.671,22.673,4.002,,17.222,198.625,8.7,6.175,4.4,3.958,5.708
2011-01-14,194.375,8.125,16.682,20.399,3.716,,33.264,202.5,8.1,6.15,4.6,5.333,6.375
2011-01-15,190.958,6.5,9.996,11.655,1.659,,10.75,197.458,7.8,6.5,5.0,1.833,4.542
2011-01-16,190.348,5.826,15.393,21.924,6.531,,10.608,196.174,6.6,5.921,5.2,2.227,5.042
2011-01-17,190.833,9.0,19.678,29.337,9.658,,14.236,199.833,8.6,6.088,3.7,2.417,5.167
2011-01-18,192.667,12.208,34.386,54.826,20.44,,13.681,204.875,9.5,6.288,2.6,3.043,6.522
2011-01-19,194.9,19.5,27.769,42.91,15.142,,8.778,214.4,10.0,7.508,6.3,3.083,5.75
2011-01-20,191.583,15.75,22.782,30.857,8.075,,7.162,207.333,10.3,9.0,6.7,3.0,5.167
2011-01-21,190.087,14.957,24.488,35.617,11.129,,11.472,205.043,9.3,8.067,6.9,2.75,5.708
2011-01-22,190.652,9.13,21.416,29.703,8.287,,12.319,199.783,11.0,7.996,5.4,2.792,5.5
