date,SPM_mean
2011-01-01,8.0
2011-01-02,5.875
2011-01-03,7.083
2011-01-04,7.0
2011-01-05,7.227
2011-01-06,9.5
2011-01-07,9.417
2011-01-08,11.958
2011-01-09,10.75
2011-01-10,19.75
2011-01-11,10.542
2011-01-12,5.417
2011-01-13,8.417
2011-01-14,14.083
2011-01-15,11.375
2011-01-16,13.75
2011-01-17,10.833
2011-01-18,11.458
2011-01-19,11.958
2011-01-20,12.042
2011-01-21,9.542
2011-01-22,7.417
2011-01-23,8.625
2011-01-24,10.125
2011-01-25,7.5
2011-01-26,8.0
2011-01-27,11.667
2011-01-28,9.25
2011-01-29,7.875
2011-01-30,9.583
2011-01-31,9.292
2011-02-01,12.458
2011-02-02,11.792
2011-02-03,8.792
2011-02-04,12.042
2011-02-05,17.333
2011-02-06,23.917
2011-02-07,14.25
2011-02-08,7.875
2011-02-09,7.792
2011-02-10,8.478
2011-02-11,13.583
2011-02-12,13.542
2011-02-13,17.667
2011-02-14,27.125
2011-02-15,20.667
2011-02-16,9.083
2011-02-17,9.708
2011-02-18,9.542
2011-02-19,15.292
2011-02-20,10.583
2011-02-21,14.375
2011-02-22,25.292
2011-02-23,26.708
2011-02-24,31.583
2011-02-25,17.208
2011-02-26,14.042
2011-02-27,14.833
2011-02-28,14.042
2011-03-01,18.25
2011-03-02,14.333
2011-03-03,18.375
2011-03-04,15.125
2011-03-05,14.0
2011-03-06,8.667
2011-03-07,29.042
2011-03-08,21.458
2011-03-09,21.333
2011-03-10,12.375
2011-03-11,10.167
2011-03-12,10.125
2011-03-13,11.458
2011-03-14,14.0
2011-03-15,14.917
2011-03-16,20.208
2011-03-17,10.217
2011-03-18,11.042
2011-03-19,12.042
2011-03-20,10.125
2011-03-21,14.25
2011-03-22,17.042
2011-03-23,27.417
2011-03-24,8.125
2011-03-25,8.333
2011-03-26,13.042
2011-03-27,15.25
2011-03-28,28.875
2011-03-29,23.792
2011-03-30,20.667
2011-03-31,10.5
2011-04-01,19.217
2011-04-02,20.417
2011-04-03,22.208
2011-04-04,20.625
2011-04-05,23.0
2011-04-06,21.917
2011-04-07,16.25
2011-04-08,12.917
2011-04-09,13.625
2011-04-10,32.792
2011-04-11,22.708
2011-04-12,33.958
2011-04-13,23.792
2011-04-14,34.417
2011-04-15,28.5
2011-04-16,26.833
2011-04-17,16.792
2011-04-18,20.083
2011-04-19,10.833
2011-04-20,8.792
2011-04-21,15.833
2011-04-22,20.583
2011-04-23,10.792
2011-04-24,17.875
2011-04-25,20.042
2011-04-26,19.458
2011-04-27,28.708
2011-04-28,15.348
2011-04-29,13.708
2011-04-30,22.478
2011-05-01,25.292
2011-05-02,75.708
2011-05-03,103.208
2011-05-04,38.458
2011-05-05,14.435
2011-05-06,29.542
2011-05-07,16.833
2011-05-08,25.792
2011-05-09,30.542
2011-05-10,15.625
2011-05-11,16.25
2011-05-12,19.167
2011-05-13,58.792
2011-05-14,32.708
2011-05-15,31.625
2011-05-16,41.167
2011-05-17,47.708
2011-05-18,30.583
2011-05-19,25.292
2011-05-20,37.25
2011-05-21,30.75
2011-05-22,13.417
2011-05-23,13.917
2011-05-24,17.25
2011-05-25,16.292
2011-05-26,24.087
2011-05-27,16.25
2011-05-28,20.458
2011-05-29,10.75
2011-05-30,11.708
2011-05-31,12.917
2011-06-01,16.167
2011-06-02,13.542
2011-06-03,23.542
2011-06-04,38.458
2011-06-05,43.917
2011-06-06,36.958
2011-06-07,35.625
2011-06-08,30.208
2011-06-09,31.174
2011-06-10,40.348
2011-06-11,34.0
2011-06-12,28.652
2011-06-13,23.833
2011-06-14,15.625
2011-06-15,13.833
2011-06-16,18.042
2011-06-17,17.917
2011-06-18,24.333
2011-06-19,24.696
2011-06-20,27.375
2011-06-21,21.292
2011-06-22,22.542
2011-06-23,19.0
2011-06-24,25.0
2011-06-25,14.833
2011-06-26,19.625
2011-06-27,23.375
2011-06-28,23.75
2011-06-29,21.75
2011-06-30,22.208
2011-07-01,19.542
2011-07-02,28.333
2011-07-03,36.5
2011-07-04,25.042
2011-07-05,33.375
2011-07-06,34.583
2011-07-07,28.458
2011-07-08,17.417
2011-07-09,25.208
2011-07-10,22.917
2011-07-11,31.0
2011-07-12,19.708
2011-07-13,25.583
2011-07-14,23.625
2011-07-15,26.875
2011-07-16,33.957
2011-07-17,36.25
2011-07-18,37.25
2011-07-19,15.792
2011-07-20,17.792
2011-07-21,23.833
2011-07-22,19.667
2011-07-23,18.167
2011-07-24,23.292
2011-07-25,27.083
2011-07-26,23.125
2011-07-27,20.75
2011-07-28,18.125
2011-07-29,21.25
2011-07-30,21.417
2011-07-31,20.0
2011-08-01,18.542
2011-08-02,28.75
2011-08-03,28.542
2011-08-04,33.083
2011-08-05,30.083
2011-08-06,24.292
2011-08-07,25.333
2011-08-08,35.542
2011-08-09,24.708
2011-08-10,28.542
2011-08-11,26.958
2011-08-12,32.583
2011-08-13,27.167
2011-08-14,27.667
2011-08-15,27.667
2011-08-16,32.958
2011-08-17,35.125
2011-08-18,25.348
2011-08-19,9.652
2011-08-20,13.083
2011-08-21,9.0
2011-08-22,12.208
2011-08-23,13.042
2011-08-24,17.542
2011-08-25,15.458
2011-08-26,9.292
2011-08-27,15.125
2011-08-28,18.875
2011-08-29,21.375
2011-08-30,29.333
2011-08-31,37.625
2011-09-01,23.583
2011-09-02,26.125
2011-09-03,16.042
2011-09-04,9.667
2011-09-05,11.958
2011-09-06,11.208
2011-09-07,14.667
2011-09-08,20.417
2011-09-09,30.958
2011-09-10,26.917
2011-09-11,30.375
2011-09-12,22.792
2011-09-13,29.5
2011-09-14,30.125
2011-09-15,38.478
2011-09-16,32.833
2011-09-17,21.083
2011-09-18,14.542
2011-09-19,7.833
2011-09-20,7.333
2011-09-21,8.042
2011-09-22,8.083
2011-09-23,10.261
2011-09-24,13.083
2011-09-25,23.75
2011-09-26,27.292
2011-09-27,21.292
2011-09-28,22.0
2011-09-29,24.25
2011-09-30,15.417
2011-10-01,11.167
2011-10-02,10.125
2011-10-03,9.333
2011-10-04,10.833
2011-10-05,33.125
2011-10-06,11.125
2011-10-07,26.583
2011-10-08,34.25
2011-10-09,47.708
2011-10-10,34.458
2011-10-11,31.167
2011-10-12,27.792
2011-10-13,38.208
2011-10-14,24.083
2011-10-15,14.542
2011-10-16,21.25
2011-10-17,20.583
2011-10-18,14.625
2011-10-19,17.375
2011-10-20,28.125
2011-10-21,26.958
2011-10-22,20.917
2011-10-23,11.25
2011-10-24,10.167
2011-10-25,13.583
2011-10-26,12.167
2011-10-27,19.167
2011-10-28,21.087
2011-10-29,24.708
2011-10-30,25.5
2011-10-31,11.125
2011-11-01,17.958
2011-11-02,19.792
2011-11-03,28.917
2011-11-04,28.75
2011-11-05,46.417
2011-11-06,9.458
2011-11-07,10.875
2011-11-08,13.25
2011-11-09,10.917
2011-11-10,11.833
2011-11-11,11.417
2011-11-12,10.0
2011-11-13,15.292
2011-11-14,28.458
2011-11-15,11.25
2011-11-16,13.833
2011-11-17,20.042
2011-11-18,22.083
2011-11-19,10.708
2011-11-20,10.875
2011-11-21,7.25
2011-11-22,7.667
2011-11-23,9.417
2011-11-24,9.125
2011-11-25,7.792
2011-11-26,14.125
2011-11-27,18.25
2011-11-28,51.125
2011-11-29,39.208
2011-11-30,12.208
2011-12-01,5.542
2011-12-02,7.522
2011-12-03,6.333
2011-12-04,4.875
2011-12-05,9.25
2011-12-06,12.625
2011-12-07,11.0
2011-12-08,5.458
2011-12-09,4.458
2011-12-10,6.917
2011-12-11,5.667
2011-12-12,9.25
2011-12-13,9.292
2011-12-14,12.417
2011-12-15,12.25
2011-12-16,4.25
2011-12-17,7.167
2011-12-18,5.125
2011-12-19,5.667
2011-12-20,8.292
2011-12-21,11.875
2011-12-22,10.083
2011-12-23,6.917
2011-12-24,6.0
2011-12-25,6.333
2011-12-26,6.208
2011-12-27,7.333
2011-12-28,13.542
2011-12-29,9.292
2011-12-30,10.708
2011-12-31,9.75
2012-01-01,
2012-01-02,
2012-01-03,
2012-01-04,
2012-01-05,
2012-01-06,
2012-01-07,
2012-01-08,
2012-01-09,
2012-01-10,
2012-01-11,
2012-01-12,
2012-01-13,
2012-01-14,
2012-01-15,
2012-01-16,
2012-01-17,
2012-01-18,
2012-01-19,
2012-01-20,
2012-01-21,
2012-01-22,
2012-01-23,
2012-01-24,
2012-01-25,
2012-01-26,
2012-01-27,
2012-01-28,
2012-01-29,
2012-01-30,
2012-01-31,
2012-02-01,
2012-02-02,
2012-02-03,
2012-02-04,
2012-02-05,
2012-02-06,
2012-02-07,
2012-02-08,
2012-02-09,
2012-02-10,
2012-02-11,
2012-02-12,
2012-02-13,
2012-02-14,
2012-02-15,
2012-02-16,
2012-02-17,
2012-02-18,
2012-02-19,
2012-02-20,
2012-02-21,
2012-02-22,
2012-02-23,
2012-02-24,
2012-02-25,
2012-02-26,
2012-02-27,
2012-02-28,
2012-02-29,
2012-03-01,
2012-03-02,
2012-03-03,
2012-03-04,
2012-03-05,
2012-03-06,
2012-03-07,
2012-03-08,
2012-03-09,
2012-03-10,
2012-03-11,
2012-03-12,
2012-03-13,
2012-03-14,
2012-03-15,
2012-03-16,
2012-03-17,
2012-03-18,
2012-03-19,
2012-03-20,
2012-03-21,
2012-03-22,
2012-03-23,
2012-03-24,
2012-03-25,
2012-03-26,
2012-03-27,
2012-03-28,
2012-03-29,
2012-03-30,
2012-03-31,
2012-04-01,
2012-04-02,
2012-04-03,
2012-04-04,
2012-04-05,
2012-04-06,
2012-04-07,
2012-04-08,
2012-04-09,
2012-04-10,
2012-04-11,
2012-04-12,
2012-04-13,
2012-04-14,
2012-04-15,
2012-04-16,
2012-04-17,
2012-04-18,
2012-04-19,
2012-04-20,
2012-04-21,
2012-04-22,
2012-04-23,
2012-04-24,
2012-04-25,
2012-04-26,
2012-04-27,
2012-04-28,
2012-04-29,
2012-04-30,
2012-05-01,
2012-05-02,
2012-05-03,
2012-05-04,
2012-05-05,
2012-05-06,
2012-05-07,
2012-05-08,
2012-05-09,
2012-05-10,
2012-05-11,
2012-05-12,
2012-05-13,
2012-05-14,
2012-05-15,
2012-05-16,
2012-05-17,
2012-05-18,
2012-05-19,
2012-05-20,
2012-05-21,
2012-05-22,
2012-05-23,
2012-05-24,
2012-05-25,
2012-05-26,
2012-05-27,
2012-05-28,
2012-05-29,
2012-05-30,
2012-05-31,
2012-06-01,
2012-06-02,
2012-06-03,
2012-06-04,
2012-06-05,
2012-06-06,
2012-06-07,
2012-06-08,
2012-06-09,
2012-06-10,
2012-06-11,
2012-06-12,
2012-06-13,
2012-06-14,
2012-06-15,
2012-06-16,
2012-06-17,
2012-06-18,
2012-06-19,
2012-06-20,
2012-06-21,
2012-06-22,
2012-06-23,
2012-06-24,
2012-06-25,
2012-06-26,
2012-06-27,
2012-06-28,
2012-06-29,
2012-06-30,
2012-07-01,
2012-07-02,
2012-07-03,
2012-07-04,
2012-07-05,
2012-07-06,
2012-07-07,
2012-07-08,
2012-07-09,
2012-07-10,
2012-07-11,
2012-07-12,
2012-07-13,
2012-07-14,
2012-07-15,
2012-07-16,
2012-07-17,
