date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean,HUM_max,HUM_mean,HUM_min,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,202.396,12.708,20.931,31.333,10.403,11.25,2.167,11.181,215.104,3.625,90.0,76.417,60.0,,2.4,-0.308,-4.6
2011-01-02,191.396,7.916,17.389,22.875,5.486,7.25,1.084,6.083,199.312,2.542,91.0,77.167,62.0,,1.2,-0.721,-3.8
2011-01-03,189.956,3.392,5.0,6.514,1.514,4.542,0.5,4.014,193.348,1.833,81.0,71.625,58.0,,-2.6,-3.379,-4.7
2011-01-04,189.23,4.23,8.0,10.486,2.486,5.75,1.292,4.364,193.458,1.958,83.0,67.75,42.0,,-1.2,-3.342,-4.9
2011-01-05,189.665,4.557,7.183,9.891,2.708,5.348,0.896,5.33,194.222,2.0,89.0,76.333,51.0,,1.6,-0.567,-4.4
2011-01-06,197.812,14.812,30.365,63.145,32.78,10.833,1.958,9.496,212.625,4.87,90.0,83.583,73.0,,0.7,-0.429,-1.8
2011-01-07,198.084,23.521,33.111,76.25,43.139,23.792,2.646,14.042,221.604,4.625,87.0,69.667,53.0,,1.0,-1.588,-5.2
2011-01-08,211.271,35.75,43.764,123.625,79.861,25.708,3.333,23.778,247.021,8.542,84.0,73.958,61.0,,-2.7,-5.571,-9.1
2011-01-09,197.312,11.958,20.794,31.795,11.001,10.875,2.25,7.889,209.271,2.625,87.0,61.833,44.0,,0.0,-2.608,-5.2
2011-01-10,194.796,11.476,24.047,45.723,21.676,10.375,2.576,8.333,206.272,3.5,88.0,71.167,40.0,,-0.6,-4.367,-6.2
2011-01-11,191.73,5.771,9.518,13.478,3.96,4.875,1.312,3.806,197.5,2.083,77.0,54.917,39.0,,-4.9,-7.375,-10.7
2011-01-12,193.792,10.166,23.167,37.542,14.375,6.75,1.854,4.986,203.958,2.917,83.0,64.0,44.0,,-4.1,-6.771,-10.8
2011-01-13,198.27,14.146,24.876,52.468,27.592,17.583,3.334,14.334,212.416,3.696,73.0,62.042,50.0,,-3.7,-6.058,-8.3
2011-01-14,191.625,5.52,10.0,13.319,3.319,7.25,1.834,5.93,197.146,2.292,75.0,51.458,35.0,,-5.2,-7.983,-11.0
2011-01-15,191.604,4.938,8.416,11.597,3.181,6.958,1.771,5.014,196.542,2.042,62.0,48.958,42.0,,-4.4,-5.975,-7.1
2011-01-16,194.584,7.896,14.875,26.028,11.153,8.5,1.688,7.944,202.479,2.625,86.0,60.458,37.0,,-2.5,-5.171,-6.8
2011-01-17,203.152,18.674,34.736,79.097,44.361,18.833,2.271,12.472,221.826,4.458,83.0,71.0,56.0,,-3.4,-5.138,-6.5
2011-01-18,203.333,23.021,38.028,86.639,48.611,21.208,2.458,14.93,226.354,5.5,73.0,64.458,51.0,,-0.9,-3.567,-5.6
2011-01-19,206.27,35.0,45.854,118.46,72.606,26.348,5.167,23.583,241.27,7.75,79.0,70.917,56.0,,-0.7,-4.088,-8.7
2011-01-20,202.5,21.208,37.428,75.53,38.101,22.75,4.017,15.083,223.708,4.478,77.0,62.792,45.0,,-2.4,-5.742,-9.0
2011-01-21,199.542,12.688,26.292,43.5,17.208,13.958,4.354,11.347,212.23,3.583,79.0,72.542,67.0,,-0.8,-5.033,-9.7
2011-01-22,193.312,7.146,16.417,22.458,6.041,7.375,2.73,6.181,200.458,2.25,86.0,81.417,76.0,,2.3,0.771,-2.3
2011-01-23,191.271,6.25,10.69,14.428,3.738,12.583,1.5,11.014,197.521,2.708,90.0,71.75,53.0,,0.7,-2.604,-6.2
2011-01-24,192.72,8.666,17.514,25.972,8.458,12.625,1.721,8.695,201.386,3.042,84.0,60.583,38.0,,-3.2,-5.725,-6.9
2011-01-25,201.042,21.375,37.833,87.722,49.889,21.792,2.333,13.972,222.417,5.125,80.0,62.292,37.0,,-3.6,-6.846,-9.0
2011-01-26,199.75,14.896,27.986,60.764,32.778,18.875,2.25,15.208,214.646,4.417,75.0,52.792,35.0,,-4.4,-7.375,-9.7
2011-01-27,197.75,10.875,22.449,40.187,17.738,12.792,2.312,7.375,208.625,3.174,84.0,52.542,29.0,,-4.1,-7.55,-11.0
2011-01-28,194.25,5.979,12.278,18.528,6.25,10.167,2.438,6.431,200.23,2.042,83.0,64.417,45.0,,-5.4,-6.675,-8.3
