date,SO2_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean
2011-07-28,10.208,24.334,25.333,50.458,25.125
2011-07-29,12.333,29.854,39.417,66.417,27.0
2011-07-30,11.0,31.208,29.625,53.958,24.333
2011-07-31,10.417,33.208,17.958,24.292,6.333
2011-08-01,8.792,36.012,21.208,36.833,15.625
2011-08-02,8.5,23.368,18.583,31.458,12.875
2011-08-03,10.583,16.75,20.25,39.5,19.25
2011-08-04,9.391,16.087,16.435,40.304,23.87
2011-08-05,7.417,14.188,18.542,38.583,20.042
2011-08-06,11.5,14.416,19.292,50.542,31.25
2011-08-07,13.125,15.312,17.0,36.833,19.833
2011-08-08,13.375,19.958,26.542,50.958,24.417
2011-08-09,17.208,34.089,37.318,63.227,25.909
2011-08-10,15.958,40.27,32.292,54.25,21.958
2011-08-11,14.458,20.083,28.917,50.792,21.875
2011-08-12,14.5,34.246,29.917,44.375,14.458
2011-08-13,15.667,29.125,21.917,32.542,10.625
2011-08-14,13.708,38.23,16.833,25.167,8.333
2011-08-15,12.542,27.938,19.333,32.0,12.667
2011-08-16,13.125,32.188,21.5,32.333,10.833
2011-08-17,14.348,38.652,27.609,48.739,21.13
2011-08-18,14.042,43.688,25.0,44.625,19.625
2011-08-19,9.0,21.0,30.0,50.708,20.708
2011-08-20,8.125,17.834,26.458,35.042,8.583
2011-08-21,7.625,25.979,21.458,30.417,8.958
2011-08-22,12.542,19.104,39.792,63.833,24.042
2011-08-23,11.75,30.292,30.783,60.565,29.783
2011-08-24,13.125,23.125,25.0,53.417,28.417
2011-08-25,9.917,12.396,22.292,58.833,36.542
2011-08-26,11.833,15.479,22.5,48.792,26.292
2011-08-27,10.542,23.312,27.208,43.375,16.167
2011-08-28,13.0,27.375,16.042,24.708,8.667
2011-08-29,12.696,26.495,20.826,33.957,13.13
2011-08-30,11.167,17.417,22.083,34.583,12.5
2011-08-31,8.792,16.334,17.333,32.0,14.667
2011-09-01,6.208,21.312,12.292,29.917,17.625
2011-09-02,4.542,20.104,8.75,19.208,10.458
2011-09-03,4.083,12.396,14.333,26.542,12.208
2011-09-04,4.458,8.666,19.792,35.333,15.542
2011-09-05,6.292,13.021,31.042,66.917,35.875
2011-09-06,7.833,11.458,23.333,35.083,11.75
2011-09-07,12.417,18.604,41.333,62.375,21.042
2011-09-08,14.333,25.188,38.958,57.25,18.292
2011-09-09,14.667,23.384,27.773,45.545,17.773
2011-09-10,13.417,27.396,22.792,39.583,16.792
2011-09-11,11.375,13.938,14.792,28.458,13.667
2011-09-12,10.522,15.608,22.87,42.696,19.826
2011-09-13,14.208,18.292,26.333,44.708,18.375
2011-09-14,14.458,21.188,24.542,40.167,15.625
2011-09-15,10.333,15.146,18.417,41.583,23.167
2011-09-16,7.708,14.292,13.417,33.292,19.875
2011-09-17,8.958,14.438,22.375,47.5,25.125
2011-09-18,11.458,15.416,14.25,31.042,16.792
2011-09-19,8.917,15.25,14.75,30.208,15.458
2011-09-20,3.875,8.583,20.25,32.375,12.125
2011-09-21,4.542,7.729,16.792,26.167,9.375
2011-09-22,5.75,6.062,17.125,28.0,10.875
2011-09-23,7.708,9.73,16.792,29.083,12.292
2011-09-24,9.0,11.542,24.125,42.583,18.458
2011-09-25,8.25,14.021,17.5,25.625,8.125
2011-09-26,6.609,15.13,25.957,41.652,15.696
2011-09-27,9.708,17.438,27.292,40.417,13.125
2011-09-28,11.417,19.125,35.375,50.125,14.75
2011-09-29,11.542,25.416,39.125,56.292,17.167
2011-09-30,6.958,22.125,33.958,56.583,22.625
2011-10-01,5.667,10.854,11.917,17.833,5.917
2011-10-02,6.75,8.958,17.958,29.917,11.958
2011-10-03,5.708,6.979,15.917,23.167,7.25
2011-10-04,8.136,13.872,32.0,56.696,24.696
2011-10-05,6.417,15.25,25.125,37.292,12.167
2011-10-06,9.083,11.604,29.125,46.833,17.708
2011-10-07,9.5,28.625,25.875,36.917,11.042
2011-10-08,10.75,32.792,33.167,52.625,19.458
2011-10-09,12.375,35.812,28.625,35.625,7.0
2011-10-10,14.167,40.125,30.542,39.833,9.292
2011-10-11,11.625,55.208,45.917,79.833,33.917
2011-10-12,12.375,52.562,40.125,70.833,30.708
2011-10-13,9.208,51.583,41.958,61.375,19.417
2011-10-14,6.227,42.705,37.227,60.136,22.909
2011-10-15,7.542,19.0,35.042,68.625,33.583
2011-10-16,10.0,24.375,25.75,34.958,9.208
2011-10-17,10.13,22.98,39.125,75.042,35.917
2011-10-18,8.458,11.612,21.083,33.917,12.833
2011-10-19,8.083,16.479,26.542,40.375,13.833
2011-10-20,9.792,18.458,25.042,36.708,11.667
2011-10-21,7.417,12.146,20.917,32.958,12.042
2011-10-22,8.083,11.292,27.542,48.583,21.042
2011-10-23,9.417,14.062,21.565,36.304,14.739
2011-10-24,10.458,13.833,37.958,68.292,30.333
2011-10-25,7.625,19.896,24.304,49.826,25.522
2011-10-26,6.174,10.608,20.087,35.043,14.957
2011-10-27,7.167,13.355,30.625,64.417,33.792
2011-10-28,7.958,17.979,26.292,38.75,12.458
2011-10-29,10.083,22.208,33.917,48.792,14.875
2011-10-30,5.292,25.833,19.792,27.583,7.792
2011-10-31,7.125,15.27,26.583,57.875,31.292
2011-11-01,8.042,14.834,32.708,61.5,28.792
2011-11-02,8.0,15.938,31.833,48.833,17.0
2011-11-03,8.583,28.312,32.5,49.708,17.208
2011-11-04,10.792,31.896,38.333,70.583,32.25
2011-11-05,7.167,47.375,33.958,54.667,20.708
2011-11-06,9.333,28.812,25.708,45.125,19.417
2011-11-07,4.652,9.472,18.0,28.043,10.043
2011-11-08,5.583,10.396,22.958,47.0,24.042
2011-11-09,5.042,11.146,27.417,57.458,30.042
2011-11-10,4.667,11.729,30.042,65.542,35.5
2011-11-11,4.042,16.084,30.875,53.083,22.208
2011-11-12,7.417,20.77,37.625,95.542,57.917
2011-11-13,7.333,29.834,26.167,48.958,22.792
2011-11-14,8.25,37.062,41.762,94.619,52.857
2011-11-15,5.417,17.164,22.5,40.125,17.625
2011-11-16,5.458,10.375,28.917,65.542,36.625
2011-11-17,7.25,22.5,33.083,79.25,46.167
2011-11-18,5.75,21.625,36.333,62.667,26.333
2011-11-19,4.167,28.562,34.5,92.417,57.917
2011-11-20,5.25,12.583,15.417,24.917,9.5
2011-11-21,3.435,8.155,24.5,44.542,20.042
2011-11-22,5.083,14.229,43.167,118.125,74.958
2011-11-23,4.458,26.584,31.083,66.375,35.292
2011-11-24,4.083,8.125,20.625,35.167,14.542
2011-11-25,3.708,7.168,27.0,63.522,36.522
2011-11-26,5.125,14.521,36.25,114.167,77.917
2011-11-27,6.583,26.375,31.25,67.875,36.625
2011-11-28,5.625,42.334,36.042,95.5,59.458
2011-11-29,7.0,64.413,49.13,153.0,103.87
2011-11-30,3.958,46.75,37.75,137.75,100.0
2011-12-01,4.333,5.958,13.833,22.542,8.708
2011-12-02,1.875,9.958,24.25,51.292,27.042
2011-12-03,1.5,8.916,20.833,40.958,20.125
2011-12-04,2.0,6.271,19.083,40.333,21.25
2011-12-05,2.0,12.546,31.909,104.773,72.864
2011-12-06,3.125,16.208,39.167,96.0,56.833
2011-12-07,3.583,25.708,42.0,124.875,82.875
2011-12-08,2.917,26.062,40.333,105.292,64.958
2011-12-09,2.5,7.166,17.792,30.208,12.417
2011-12-10,2.417,14.333,28.917,61.75,32.833
2011-12-11,2.375,12.855,28.5,59.542,31.042
2011-12-12,3.833,28.438,40.708,136.125,95.417
2011-12-13,2.333,20.938,34.75,126.167,91.417
2011-12-14,3.625,21.771,41.083,91.833,50.75
2011-12-15,3.958,32.98,40.917,129.042,88.125
2011-12-16,2.583,9.542,23.708,46.792,23.083
2011-12-17,1.958,5.417,25.125,54.0,28.875
2011-12-18,2.458,9.5,22.208,39.458,17.25
2011-12-19,2.542,11.184,31.652,73.87,42.217
2011-12-20,2.217,7.522,35.0,71.435,36.435
