date,SPM_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-25,8.375,85.0,61.417,21.0,10.0835,14.270499999999998,4.1875,1.667,0.8905000000000001,47.0,-7.833,-47.0
2011-01-26,6.88525,76.0,49.667,26.0,5.4375,7.8125,2.375,1.958,0.7085,15.0,-26.042,-71.0
2011-01-27,10.13525,81.0,64.417,40.0,8.4795,13.417,4.9375,5.667,1.1875,18.0,-29.0,-70.0
2011-01-28,10.23975,91.0,55.417,27.0,4.2915,5.3955,1.104,4.708,1.034,1.0,-30.167,-62.0
2011-01-29,8.4585,77.0,51.875,20.0,3.451,4.286,0.835,2.5,0.8335,13.0,-29.5,-71.0
2011-01-30,9.04175,83.0,58.458,33.0,9.1875,14.6875,5.5,3.542,1.5,9.0,-31.542,-69.0
2011-01-31,9.527666666666667,77.0,53.75,23.0,9.206,13.4925,4.2875,3.0,1.0625,41.0,-25.667,-74.0
2011-02-01,8.9565,82.0,52.792,28.0,8.786,13.741,4.955,2.417,1.866,49.0,-13.583,-73.0
2011-02-02,7.82975,81.0,43.042,21.0,4.5835,6.8125,2.229,1.625,1.1535,-1.0,-25.75,-49.0
2011-02-03,7.51025,83.0,53.458,28.0,8.625,12.1875,3.5625,2.417,1.875,23.0,-31.667,-82.0
2011-02-04,9.7605,75.0,47.833,23.0,7.979,9.8545,1.875,5.5,1.5155,63.0,-0.583,-68.0
2011-02-05,13.89575,84.0,60.25,32.0,6.378500000000001,7.4239999999999995,1.0455,8.625,2.021,57.0,4.167,-39.0
2011-02-06,19.97925,100.0,81.083,54.0,11.354,16.4585,5.104,11.625,1.5,61.0,13.833,-33.0
2011-02-07,10.125,100.0,98.5,89.0,11.378499999999999,22.299,10.9205,1.375,0.854,84.0,48.75,27.0
2011-02-08,5.51025,100.0,49.458,21.0,4.271,6.25,1.9794999999999998,0.042,0.6875,52.0,13.292,-29.0
2011-02-09,5.552,72.0,61.167,26.0,7.375,10.7915,3.4165,1.125,0.8125,21.0,-18.0,-41.0
2011-02-10,9.34375,80.0,62.0,38.0,9.5415,14.2085,4.667,3.125,1.354,53.0,-2.125,-45.0
2011-02-11,8.479,83.0,49.667,23.0,5.354,6.6875,1.3330000000000002,3.125,0.841,45.0,0.792,-30.0
2011-02-12,8.33325,74.0,46.833,26.0,3.8965,4.5645,0.6675,2.917,0.4585,37.0,-7.833,-41.0
2011-02-13,12.0,77.0,50.5,29.0,9.8955,14.896,5.0,5.708,1.375,45.0,3.625,-43.0
2011-02-14,22.333,97.0,76.708,57.0,13.324,20.6105,7.2860000000000005,13.375,1.5415,56.0,19.708,-6.0
2011-02-15,13.6145,98.0,63.375,35.0,7.146,12.396,5.25,8.125,1.063,104.0,30.375,-1.0
2011-02-16,15.774,76.0,54.792,34.0,10.747499999999999,15.3905,4.6434999999999995,10.227,0.6875,37.0,-3.875,-27.0
2011-02-17,10.53125,87.0,60.958,27.0,7.542,11.25,3.7085,4.333,0.4375,42.0,-10.208,-53.0
2011-02-18,9.3125,78.0,49.458,29.0,3.5,4.667,1.167,2.708,0.3335,3.0,-31.042,-71.0
2011-02-19,9.28125,74.0,47.125,24.0,6.0169999999999995,7.27,1.2525,3.708,0.8545,43.0,-21.458,-83.0
2011-02-20,12.07275,65.0,46.458,24.0,10.6875,14.3335,3.646,5.0,1.1875,65.0,3.0,-52.0
2011-02-21,14.979,68.0,48.125,25.0,13.638,17.492,3.854,9.708,0.75,103.0,30.375,-29.0
2011-02-22,25.323,82.0,60.208,37.0,9.4375,11.9585,2.5205,14.583,2.3975,73.0,30.375,-18.0
2011-02-23,14.95825,100.0,91.25,54.0,11.3955,17.5835,6.1875,4.833,1.4794999999999998,86.0,48.5,15.0
2011-02-24,19.88525,90.0,61.208,34.0,9.292,11.8125,2.521,10.625,1.9169999999999998,111.0,51.625,4.0
2011-02-25,11.29175,100.0,98.417,93.0,10.7295,16.1665,5.4375,3.708,0.0665,23.0,9.875,0.0
2011-02-26,10.0105,100.0,76.5,43.0,5.6305,7.3469999999999995,1.7165,3.292,0.1875,31.0,5.708,-18.0
2011-02-27,10.771,92.0,57.167,26.0,7.7915,11.2915,3.5,4.125,0.125,29.0,-18.125,-56.0
2011-02-28,11.83325,76.0,55.417,34.0,11.117,15.1785,4.061999999999999,5.625,1.042,28.0,-18.75,-73.0
2011-03-01,7.338,100.0,83.667,55.0,10.015,15.0715,5.0565,-1.208,1.2855,100.0,42.042,0.0
2011-03-02,11.942499999999999,100.0,95.708,87.0,13.729,23.0625,9.3335,3.542,2.5415,37.0,18.333,2.0
2011-03-03,14.77075,100.0,84.583,54.0,6.458,8.229,1.771,6.792,0.665,56.0,20.042,-3.0
2011-03-04,17.947,99.0,76.792,59.0,5.157,6.7989999999999995,1.642,11.917,1.3335,43.0,9.0,-10.0
2011-03-05,7.73975,100.0,100.0,100.0,12.604,16.9375,4.3335,0.292,0.833,65.0,33.792,-9.0
2011-03-06,11.11475,100.0,91.792,69.0,11.160499999999999,17.7615,6.6015,2.042,1.472,146.0,85.542,39.0
2011-03-07,16.4895,100.0,66.875,29.0,8.8955,12.5,3.604,8.792,0.6665,128.0,80.5,38.0
2011-03-08,25.01025,85.0,70.583,54.0,9.0625,12.6875,3.625,13.917,1.4585,90.0,62.0,39.0
2011-03-09,14.44775,100.0,94.417,83.0,9.75,13.979,4.229,4.875,0.3335,53.0,33.25,19.0
2011-03-10,5.41675,100.0,91.458,71.0,6.1665,8.2085,2.042,-0.875,0.5245,57.0,22.0,3.0
2011-03-11,9.34375,99.0,88.417,64.0,3.75,4.3985,0.6485000000000001,1.292,0.604,58.0,19.625,-3.0
2011-03-12,6.77075,96.0,78.583,51.0,6.5,9.9585,3.4585,0.333,0.7085,41.0,1.042,-28.0
2011-03-13,5.25025,92.0,51.917,25.0,4.266500000000001,5.8405000000000005,1.5739999999999998,-0.833,0.0215,60.0,12.125,-23.0
2011-03-14,9.1355,90.0,57.542,31.0,8.792,11.6875,2.8955,4.292,1.0415,62.0,15.5,-33.0
2011-03-15,13.563749999999999,87.0,52.5,26.0,6.308999999999999,7.808,1.4995,7.545,0.771,74.0,21.333,-20.0
2011-03-16,18.84375,78.0,48.542,28.0,11.0415,13.4165,2.375,13.625,1.9049999999999998,76.0,21.958,-30.0
2011-03-17,19.9895,100.0,92.917,76.0,12.0625,15.917000000000002,3.8545,11.167,2.337,73.0,40.375,9.0
2011-03-18,10.375250000000001,100.0,95.875,84.0,7.445,9.0305,1.5859999999999999,1.125,1.9375,106.0,74.375,48.0
2011-03-19,6.5,100.0,54.458,24.0,4.792,7.4375,2.6455,-0.542,0.20800000000000002,75.0,34.792,-11.0
2011-03-20,10.60425,75.0,45.042,18.0,5.415,6.5875,1.1729999999999998,4.167,1.25,102.0,30.917,-32.0
2011-03-21,9.69775,68.0,43.917,19.0,5.0205,6.521,1.5,2.292,0.7295,77.0,22.167,-15.0
2011-03-22,15.5,68.0,44.458,18.0,11.521,14.729500000000002,3.2085,7.208,1.5830000000000002,118.0,48.125,-20.0
2011-03-23,20.59375,100.0,77.458,51.0,11.854,15.521,3.6665,11.0,2.375,94.0,57.583,38.0
2011-03-24,6.771,100.0,77.25,24.0,5.1045,6.6875,1.5830000000000002,-0.583,1.5285,127.0,51.792,4.0
2011-03-25,6.86475,84.0,53.958,25.0,3.9485,4.6985,0.75,1.75,0.729,88.0,31.0,-16.0
2011-03-26,9.875250000000001,79.0,46.875,16.0,6.1665,9.542,3.375,3.75,0.75,67.0,17.042,-28.0
2011-03-27,11.948,74.0,48.083,22.0,8.577,12.055,3.4785,5.208,2.1335,113.0,39.875,-26.0
2011-03-28,18.0835,76.0,47.708,29.0,7.25,9.5415,2.2915,9.917,1.271,131.0,59.542,-3.0
2011-03-29,15.295000000000002,72.0,46.042,22.0,8.667,11.9375,3.271,8.792,2.2915,148.0,66.125,-9.0
2011-03-30,21.16675,76.0,54.375,26.0,13.854,17.1665,3.3125,9.958,3.8040000000000003,164.0,91.625,31.0
2011-03-31,15.198,97.0,76.167,52.0,6.375,7.875,1.5,4.25,0.091,132.0,72.375,8.0
2011-04-01,15.82475,81.0,51.208,24.0,10.7345,13.25,2.5155,,0.9319999999999999,134.0,60.958,-6.0
2011-04-02,23.0625,83.0,50.292,29.0,9.4585,11.729,2.2705,,0.6875,155.0,78.833,19.0
2011-04-03,12.55225,75.0,41.875,26.0,3.913,4.5649999999999995,0.652,,0.10400000000000001,90.0,43.5,-7.0
2011-04-04,13.03125,79.0,43.875,18.0,6.604,8.625,2.0205,,0.0,90.0,31.958,-15.0
2011-04-05,12.604,57.0,33.792,14.0,7.625,9.8545,2.229,,0.021,158.0,67.583,-20.0
2011-04-06,14.85425,52.0,29.792,13.0,11.3725,14.239,2.867,,0.771,175.0,100.0,24.0
2011-04-07,23.92725,69.0,47.542,29.0,15.832999999999998,19.25,3.4165,,1.8935,168.0,101.083,41.0
2011-04-08,22.646,84.0,62.0,33.0,14.1665,17.7085,3.5415,,1.1665,171.0,116.75,48.0
2011-04-09,16.61675,100.0,94.167,79.0,10.7915,14.375,3.5835,,0.3335,109.0,98.375,84.0
2011-04-10,22.70825,97.0,83.542,66.0,6.3695,7.869,1.4994999999999998,,1.0205,125.0,92.333,61.0
2011-04-11,29.7395,88.0,65.167,51.0,9.083,11.479,2.396,,0.667,144.0,83.208,38.0
2011-04-12,17.854,58.0,31.667,15.0,4.271,4.875,0.6045,,0.271,119.0,59.958,9.0
2011-04-13,26.40625,65.0,34.917,9.0,9.839500000000001,11.701999999999998,1.862,,0.8125,198.0,97.708,2.0
2011-04-14,32.56225,53.0,31.875,18.0,11.854,13.0835,1.2294999999999998,,1.904,211.0,133.583,69.0
2011-04-15,32.76775,65.0,43.75,20.0,12.7955,14.308499999999999,1.5130000000000001,,2.146,219.0,146.542,75.0
2011-04-16,22.31275,79.0,47.875,22.0,6.3955,7.5625,1.1669999999999998,,0.4375,210.0,128.667,63.0
2011-04-17,15.67725,80.0,44.917,21.0,4.7915,5.5,0.7085,,0.4375,159.0,92.208,23.0
2011-04-18,22.3645,97.0,75.792,55.0,9.021,11.146,2.125,,0.458,138.0,95.083,46.0
