date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-01,197.347,31.805,19.625,32.396,12.77,,5.125,22.042,229.152,7.875
2011-01-02,192.021,20.562,13.229,21.042,7.812,,4.458,15.021,212.584,5.958
2011-01-03,188.5,17.042,12.521,22.958,10.438,,3.458,7.688,205.542,6.0
2011-01-04,196.206,25.586,17.557,34.178,16.621,,4.391,12.807,221.792,7.708
2011-01-05,191.771,27.667,23.271,52.73,29.458,,3.0,10.75,219.438,9.417
2011-01-06,195.978,36.301,33.484,74.706,41.221,,4.417,14.354,232.279,10.435
2011-01-07,190.274,16.532,16.916,28.542,11.625,,3.042,8.375,206.805,6.292
2011-01-08,190.416,18.771,16.0,26.042,10.042,,3.0,8.812,209.188,7.125
2011-01-09,196.917,37.166,26.98,56.958,29.98,,4.792,19.271,234.084,10.792
2011-01-10,197.054,50.62,34.712,84.056,49.344,,5.478,24.228,247.674,10.739
2011-01-11,193.333,28.688,23.146,57.146,34.0,,4.333,20.292,222.02,6.5
2011-01-12,195.938,33.667,25.854,62.25,36.396,,3.875,12.396,229.604,7.208
2011-01-13,197.692,50.038,35.146,99.583,64.438,,5.083,19.896,247.729,10.708
2011-01-14,197.896,34.334,24.792,53.75,28.958,,4.917,16.167,232.23,8.917
2011-01-15,200.75,35.104,25.021,48.479,23.458,,5.417,17.125,235.854,9.167
2011-01-16,193.768,24.072,25.65,44.169,18.519,,3.826,20.347,217.84,6.625
2011-01-17,197.875,41.521,33.0,74.334,41.333,,4.833,23.562,239.396,9.833
2011-01-18,203.667,51.625,42.583,99.75,57.166,,8.042,31.458,255.292,12.083
2011-01-19,194.174,30.348,26.9,52.829,25.93,,5.0,26.204,224.522,6.565
2011-01-20,187.48,19.792,15.562,25.896,10.334,,2.75,16.708,207.271,3.458
2011-01-21,185.875,19.312,15.042,25.125,10.083,,2.167,9.375,205.188,3.875
2011-01-22,191.258,35.772,14.75,33.854,19.104,,2.75,10.562,227.029,7.083
2011-01-23,200.54,51.097,25.446,106.358,80.913,,3.478,16.391,251.636,11.458
2011-01-24,194.75,39.297,25.906,77.118,51.212,,3.208,13.591,234.047,8.435
2011-01-25,194.042,50.125,29.771,92.708,62.938,,3.833,20.438,244.166,10.375
2011-01-26,193.138,29.446,26.542,59.375,32.834,,4.292,15.271,222.585,8.542
2011-01-27,196.375,37.292,30.354,89.48,59.125,,4.458,18.0,233.667,9.875
2011-01-28,193.0,22.75,20.812,44.771,23.958,,3.917,17.312,215.75,6.917
2011-01-29,188.491,11.228,9.958,15.166,5.208,,3.0,10.312,199.72,4.5
2011-01-30,191.854,29.708,25.521,60.875,35.354,,3.917,14.855,221.562,8.875
2011-01-31,193.854,31.375,27.021,69.604,42.584,,3.958,16.479,225.229,9.042
2011-02-01,192.664,22.054,18.174,38.296,20.12,,4.783,20.022,214.718,5.913
2011-02-02,191.834,17.5,21.188,42.52,21.334,,3.208,11.0,209.334,5.25
2011-02-03,198.312,48.25,33.042,99.729,66.688,,4.333,18.02,246.562,10.083
2011-02-04,198.008,43.644,31.48,94.479,63.0,,4.542,18.521,241.652,9.458
2011-02-05,200.646,42.083,29.916,55.396,25.48,,6.708,23.188,242.729,9.583
2011-02-06,196.229,39.854,34.771,68.708,33.938,,4.542,44.458,236.083,8.333
2011-02-07,196.544,45.152,29.974,62.998,33.024,,3.167,38.468,241.696,8.435
2011-02-08,191.746,25.794,20.76,37.892,17.132,,4.217,13.35,217.54,5.875
2011-02-09,193.354,25.834,23.146,47.771,24.625,,3.333,9.708,219.188,6.0
2011-02-10,197.562,39.104,31.23,72.875,41.646,,4.792,18.02,236.666,8.208
2011-02-11,192.941,30.43,24.104,42.834,18.729,,4.458,17.875,223.372,6.958
2011-02-12,192.166,17.5,15.042,25.292,10.25,,3.333,13.896,209.666,5.458
2011-02-13,194.602,28.734,34.824,65.073,30.248,,5.696,20.0,223.337,8.167
2011-02-14,192.296,31.055,29.028,50.055,21.027,,4.5,41.603,223.35,6.818
2011-02-15,192.834,31.125,23.771,46.25,22.479,,4.667,33.188,223.958,7.208
2011-02-16,187.458,20.352,21.604,33.5,11.896,,4.458,18.334,207.81,4.75
2011-02-17,191.146,27.104,26.416,48.146,21.729,,4.25,25.166,218.25,6.333
2011-02-18,188.907,13.242,13.542,24.416,10.875,,3.375,11.312,202.148,4.625
2011-02-19,192.726,23.153,18.25,30.417,12.167,,4.458,15.417,215.878,6.333
2011-02-20,194.997,29.369,29.016,53.56,24.544,,4.87,19.144,224.366,7.75
2011-02-21,195.979,36.979,35.896,74.416,38.52,,5.458,24.875,232.958,9.833
2011-02-22,193.189,26.01,25.212,38.703,13.49,,6.917,28.562,219.199,6.545
2011-02-23,190.534,35.684,26.812,48.896,22.084,,3.958,31.938,226.218,6.833
2011-02-24,191.854,22.458,21.688,29.354,7.667,,7.667,30.584,214.312,6.042
2011-02-25,192.146,28.896,21.854,33.271,11.417,,3.958,21.271,221.042,6.042
2011-02-26,192.652,22.217,15.25,22.75,7.5,,3.833,13.125,214.87,4.958
2011-02-27,189.405,11.572,10.634,18.372,7.737,,3.043,12.482,200.976,3.783
2011-02-28,195.584,16.938,20.104,32.375,12.271,,4.583,16.729,212.521,4.833
2011-03-01,198.946,54.367,29.666,79.979,50.312,,4.083,18.958,253.312,10.833
2011-03-02,197.792,42.875,28.166,70.125,41.958,,4.167,25.854,240.666,8.542
2011-03-03,194.208,24.708,18.0,27.708,9.708,,5.0,17.604,218.916,6.5
2011-03-04,195.996,22.068,13.625,20.188,6.562,,4.583,23.084,218.065,6.042
2011-03-05,192.002,34.538,24.18,44.788,20.608,,3.0,11.253,226.54,6.955
2011-03-06,202.832,66.54,35.796,84.222,48.426,,6.043,35.404,269.371,10.667
2011-03-07,195.646,37.146,23.583,38.896,15.312,,6.042,32.792,232.792,7.708
2011-03-08,194.375,30.834,25.188,41.542,16.354,,4.792,25.875,225.208,7.333
2011-03-09,191.574,31.915,23.521,39.604,16.083,,3.292,21.708,223.489,6.167
2011-03-10,188.73,24.25,15.25,26.0,10.75,,2.5,6.792,212.979,5.625
2011-03-11,192.021,26.292,15.729,22.75,7.021,,4.375,16.708,218.312,6.042
2011-03-12,189.696,17.411,14.042,26.75,12.708,,3.292,9.479,207.106,5.25
2011-03-13,190.646,15.979,16.5,27.5,11.0,,3.667,9.25,206.625,4.75
2011-03-14,194.893,34.062,28.038,48.184,20.146,,4.85,16.796,228.954,6.864
2011-03-15,192.5,27.583,23.23,55.188,31.958,,4.25,22.062,220.084,6.625
2011-03-16,190.875,19.521,19.375,28.958,9.584,,4.375,20.188,210.396,4.75
2011-03-17,195.079,45.052,39.084,64.833,25.75,,4.417,46.042,240.13,8.5
2011-03-18,199.021,55.354,28.562,55.666,27.104,,4.583,44.271,254.375,10.042
2011-03-19,190.67,23.934,19.31,37.738,18.428,,3.455,14.18,214.604,5.833
2011-03-20,189.25,23.708,17.792,27.48,9.688,,4.542,18.334,212.958,5.125
2011-03-21,189.547,19.158,15.522,24.909,9.386,,3.583,13.916,208.704,5.0
2011-03-22,199.777,50.122,43.333,91.438,48.104,,7.042,30.521,249.9,9.625
2011-03-23,191.667,36.5,35.792,57.604,21.812,,4.5,33.917,228.166,7.75
2011-03-24,190.834,46.958,31.25,58.52,27.27,,3.875,19.75,237.792,9.542
2011-03-25,194.61,31.212,19.167,39.312,20.146,,4.208,13.375,225.822,7.917
2011-03-26,194.794,35.745,29.066,62.108,33.044,,3.913,16.968,230.538,7.87
2011-03-27,194.708,30.396,25.562,43.334,17.771,,4.458,18.917,225.104,6.208
2011-03-28,195.854,33.542,24.438,51.104,26.667,,5.583,30.708,229.396,6.792
2011-03-29,192.962,20.385,16.333,28.271,11.938,,4.458,21.25,213.347,4.708
2011-03-30,190.688,23.021,7.292,8.417,1.125,,4.292,21.771,213.708,3.333
2011-03-31,186.354,27.208,6.062,8.73,2.666,,3.708,22.708,213.562,3.792
2011-04-01,191.333,22.708,18.98,33.083,14.105,,5.458,25.938,214.042,4.417
2011-04-02,195.604,32.229,27.75,42.812,15.062,,8.625,39.125,227.834,7.0
2011-04-03,190.848,18.428,13.208,17.979,4.77,,5.333,21.334,209.276,4.042
2011-04-04,190.25,16.978,13.5,21.544,8.044,,3.783,18.761,207.227,3.826
2011-04-05,194.188,23.042,24.708,39.979,15.271,,5.583,23.0,217.23,5.083
2011-04-06,197.354,35.5,24.729,54.708,29.979,,6.75,28.75,232.854,6.25
2011-04-07,190.776,25.776,16.458,32.5,16.042,,6.042,28.875,216.552,5.167
2011-04-08,186.75,17.562,4.438,4.938,0.5,,4.583,26.229,204.312,3.5
2011-04-09,187.021,26.396,7.646,9.625,1.979,,4.083,22.896,213.416,4.25
2011-04-10,191.838,23.82,8.792,10.52,1.729,,6.292,23.916,215.658,5.375
2011-04-11,190.409,29.678,15.746,23.105,7.36,,6.208,33.308,220.087,5.087
2011-04-12,187.292,20.25,13.958,20.084,6.125,,4.667,26.771,207.542,3.083
2011-04-13,189.824,24.544,18.277,25.998,7.72,,6.0,33.316,214.368,3.958
2011-04-14,190.666,31.23,21.77,32.062,10.292,,8.125,40.688,221.896,4.833
2011-04-15,185.708,23.812,10.625,13.312,2.688,,6.917,39.77,209.52,3.292
2011-04-16,184.278,24.094,6.708,8.167,1.458,,5.125,29.52,208.372,3.125
2011-04-17,186.771,18.729,7.312,9.042,1.729,,5.417,23.417,205.5,2.75
2011-04-18,188.314,28.807,17.108,25.087,7.978,,6.0,22.829,217.122,4.435
2011-04-19,186.542,26.084,15.02,24.229,9.208,,3.708,13.396,212.625,3.042
2011-04-20,190.208,30.416,23.521,38.5,14.979,,6.167,14.334,220.625,4.042
2011-04-21,187.092,28.464,16.52,27.312,10.792,,6.458,19.896,215.556,2.917
2011-04-22,185.062,27.5,11.812,16.604,4.792,,5.458,23.938,212.562,2.917
2011-04-23,179.27,25.666,4.73,5.229,0.5,,3.667,18.833,204.938,1.792
2011-04-24,183.837,24.684,7.771,9.5,1.729,,5.083,17.188,208.521,3.333
2011-04-25,188.758,31.495,18.304,28.413,10.109,,5.087,19.976,220.253,4.304
2011-04-26,191.125,30.688,18.334,35.208,16.875,,6.083,25.812,221.812,4.0
2011-04-27,186.084,28.021,4.208,5.271,1.062,,5.125,48.875,214.104,3.0
2011-04-28,185.815,26.892,6.958,8.834,1.875,,4.917,23.625,212.708,2.958
2011-04-29,190.854,30.667,13.916,19.396,5.479,,5.75,17.875,221.521,4.292
2011-04-30,191.979,30.75,10.729,16.188,5.458,,5.958,28.458,222.729,3.875
2011-05-01,185.576,26.536,3.792,4.666,0.875,,4.292,22.604,212.112,2.333
2011-05-02,191.021,37.35,14.214,28.6,14.386,,5.217,78.522,228.372,5.435
2011-05-03,193.229,32.521,14.896,23.146,8.25,,4.833,73.062,225.75,5.792
2011-05-04,190.27,29.762,7.958,11.083,3.125,,5.417,32.5,220.032,3.833
2011-05-05,191.584,30.646,11.584,16.48,4.896,,5.208,28.584,222.23,4.625
2011-05-06,192.438,32.792,16.438,24.084,7.646,,6.417,32.0,225.229,5.0
2011-05-07,192.971,52.065,25.875,44.938,19.062,,4.583,31.917,245.036,7.583
2011-05-08,191.125,44.062,10.73,19.896,9.166,,6.0,31.084,235.188,5.0
2011-05-09,190.212,41.221,14.47,24.86,10.39,,6.261,34.663,231.434,4.5
2011-05-10,190.458,44.167,19.958,28.958,9.0,,6.25,34.48,234.625,5.583
2011-05-11,192.773,38.955,22.772,31.716,8.945,,4.125,17.011,231.727,5.5
2011-05-12,188.958,39.375,20.792,33.604,12.812,,3.417,12.834,228.333,5.792
2011-05-13,188.792,47.125,26.958,42.48,15.52,,7.042,26.75,235.917,6.75
2011-05-14,186.958,35.708,15.73,24.604,8.875,,6.542,52.125,222.667,4.625
2011-05-15,182.208,20.667,7.812,10.146,2.334,,5.75,28.604,202.875,3.0
2011-05-16,184.354,27.104,6.771,7.958,1.188,,5.211,38.694,211.458,2.417
2011-05-17,185.962,36.764,15.978,24.174,8.196,,4.0,35.595,222.726,4.261
2011-05-18,190.5,39.896,19.625,31.625,12.0,,6.458,38.896,230.396,4.917
2011-05-19,187.432,39.405,17.416,35.812,18.396,,6.174,39.458,226.837,4.708
2011-05-20,183.834,34.021,10.438,13.062,2.625,,5.565,43.938,217.854,2.917
2011-05-21,180.958,35.166,5.792,6.979,1.188,,5.0,35.166,216.125,2.417
2011-05-22,181.646,37.79,5.688,7.938,2.25,,4.25,18.812,219.437,2.5
2011-05-23,186.604,36.771,19.328,32.527,13.199,,3.609,15.516,223.375,4.375
2011-05-24,188.026,41.699,19.636,32.97,13.332,,3.0,14.731,229.726,5.136
2011-05-25,194.25,44.666,15.125,41.354,26.23,,4.792,21.333,238.916,5.625
2011-05-26,192.155,45.99,19.834,35.146,15.312,,5.792,25.458,238.145,5.833
2011-05-27,188.75,44.104,19.354,31.792,12.438,,5.75,23.396,232.854,6.417
2011-05-28,187.521,50.854,18.354,31.062,12.708,,3.042,14.438,238.375,7.0
2011-05-29,191.156,47.588,13.062,18.979,5.917,,3.0,8.77,238.744,5.792
2011-05-30,180.104,34.646,8.98,15.584,6.604,,3.042,6.646,214.75,3.125
2011-05-31,185.226,29.841,11.696,20.434,8.738,,3.696,19.745,215.067,2.957
2011-06-01,186.292,32.834,16.229,25.52,9.292,,5.292,38.27,219.125,4.417
2011-06-02,190.042,47.479,23.729,42.562,18.834,,4.333,33.542,237.521,6.542
2011-06-03,187.327,46.188,14.75,24.98,10.229,,5.375,22.771,233.514,5.0
2011-06-04,185.646,45.812,10.646,17.896,7.25,,5.25,36.812,231.458,4.458
2011-06-05,183.77,47.25,9.562,13.812,4.25,,5.25,45.5,231.021,5.0
2011-06-06,186.121,44.372,13.87,21.652,7.782,,5.304,39.507,230.494,5.217
2011-06-07,184.0,45.208,12.979,16.979,4.0,,6.958,40.354,229.208,4.083
2011-06-08,189.042,56.938,21.73,35.021,13.292,,4.5,19.396,245.98,6.667
2011-06-09,190.208,55.525,17.188,31.458,14.271,,7.833,27.834,245.734,5.875
2011-06-10,179.979,49.146,10.708,14.0,3.292,,4.917,25.438,229.125,2.792
2011-06-11,183.25,60.521,17.375,24.104,6.729,,4.208,36.396,243.771,5.458
2011-06-12,191.356,61.498,14.625,19.25,4.625,,6.208,40.625,252.854,6.375
2011-06-13,189.638,62.022,22.956,32.543,9.587,,5.478,30.546,251.659,6.727
2011-06-14,191.625,61.375,22.52,34.562,12.042,,6.0,31.667,253.0,6.0
2011-06-15,191.75,49.708,18.271,25.27,7.0,,6.958,19.542,241.458,4.583
2011-06-16,188.865,56.834,17.666,30.979,13.312,,5.042,23.522,245.698,4.792
