date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean,PM25_mean
2011-01-01,190.625,94.0,66.75,38.0,11.083,10.896,18.229,7.3335,2.958,22.0625,76.0,6.167,-71.0,201.708,2.083,13.083
2011-01-02,186.833,91.0,76.167,53.0,10.333,11.8335,22.8335,11.0,2.25,11.770499999999998,44.0,5.5,-54.0,197.167,2.583,6.125
2011-01-03,194.13,93.0,77.75,50.0,11.043,18.833,40.979,22.146,2.417,12.229,29.0,-30.0,-79.0,205.174,3.333,6.167
2011-01-04,187.167,99.0,74.053,52.0,6.542,12.003499999999999,23.279,11.274999999999999,3.917,16.0625,31.0,-5.292,-44.0,193.708,2.696,10.25
2011-01-05,192.792,98.0,80.391,53.0,10.583,25.7085,55.5415,29.8335,3.083,13.4585,19.0,-37.708,-80.0,203.375,3.292,9.0
2011-01-06,197.217,99.0,80.565,50.0,11.478,29.0535,86.345,57.2915,3.174,20.75,27.0,-34.208,-95.0,208.696,4.125,15.333
2011-01-07,191.458,99.0,73.167,33.0,8.583,20.5205,44.9375,24.4165,2.542,14.0625,27.0,-17.917,-64.0,200.042,3.042,8.875
2011-01-08,195.667,88.0,74.542,49.0,11.792,20.4165,42.5,22.0835,2.792,15.625,24.0,-39.792,-98.0,207.458,3.167,11.958
2011-01-09,191.75,94.0,71.542,41.0,11.583,18.6875,35.5835,16.8955,3.25,19.2915,67.0,-8.75,-67.0,203.333,2.875,11.333
2011-01-10,192.348,94.0,77.0,51.0,17.043,30.042,78.6045,48.5625,3.542,20.7085,49.0,-7.792,-52.0,209.391,4.417,15.042
2011-01-11,187.5,83.0,68.792,52.0,9.042,12.04,25.9185,13.878499999999999,2.792,13.6665,40.0,3.042,-52.0,196.542,2.333,9.5
2011-01-12,189.708,85.0,69.417,43.0,12.708,23.792,53.5,29.7085,2.792,15.145499999999998,5.0,-48.208,-84.0,202.417,3.417,9.333
2011-01-13,187.208,94.0,72.333,35.0,13.25,20.958,54.479,33.521,3.292,16.109499999999997,72.0,-13.542,-89.0,200.458,2.958,8.083
2011-01-14,189.208,99.0,77.083,56.0,13.333,15.292000000000002,33.5625,18.271,3.0,13.354500000000002,18.0,-18.625,-43.0,202.542,3.042,7.542
2011-01-15,192.042,93.0,75.625,55.0,13.542,15.271,31.6455,16.375,3.0,16.9585,27.0,-14.833,-49.0,205.583,3.0,10.917
2011-01-16,187.522,75.0,66.333,54.0,8.783,14.5625,32.2085,17.646,2.292,17.375,4.0,-12.917,-25.0,196.304,2.458,10.375
2011-01-17,188.609,90.0,68.833,47.0,8.913,18.854,41.0415,22.1875,2.583,15.7085,29.0,-16.042,-50.0,197.522,2.583,8.042
2011-01-18,194.583,89.0,69.25,35.0,17.167,31.954,98.8415,66.888,3.458,24.7085,65.0,-19.375,-78.0,211.75,4.826,17.333
2011-01-19,200.583,99.0,74.6,51.0,18.708,29.5835,100.7085,71.125,4.0,26.6455,62.0,-3.458,-71.0,219.292,4.625,20.375
2011-01-20,189.667,100.0,100.0,100.0,10.125,24.1665,50.9375,26.7705,3.542,15.160499999999999,8.0,0.917,-5.0,199.792,3.375,9.958
2011-01-21,189.667,99.0,99.0,99.0,11.917,23.0835,47.396,24.3125,3.0,18.354,8.0,-2.292,-11.0,201.583,3.417,13.708
2011-01-22,196.125,99.0,94.364,87.0,17.292,26.0415,53.2085,27.1665,3.167,25.7085,37.0,7.667,-13.0,213.417,3.708,22.708
2011-01-23,190.783,99.0,78.571,69.0,10.261,17.167,39.6875,22.5205,3.125,15.6875,30.0,0.667,-28.0,201.043,3.042,10.667
2011-01-24,188.913,85.0,67.958,51.0,9.043,15.125,30.7085,15.582999999999998,3.083,11.5,0.0,-24.333,-59.0,197.957,2.333,4.625
2011-01-25,187.292,80.0,60.958,44.0,8.875,10.739,16.453,5.714,3.087,11.7915,16.0,-12.333,-40.0,196.167,1.5,3.958
2011-01-26,190.167,98.0,84.5,64.0,10.167,21.5205,40.25,18.7295,3.083,13.2085,-18.0,-40.75,-71.0,200.333,2.917,8.833
2011-01-27,190.208,97.0,83.043,61.0,10.333,19.375,39.565,20.19,3.583,16.5,-10.0,-28.583,-65.0,200.542,3.167,10.318
2011-01-28,190.25,100.0,84.0,62.0,10.292,15.229500000000002,30.021,14.7915,3.417,15.0625,-12.0,-39.375,-66.0,200.542,2.875,10.083
2011-01-29,192.583,85.0,73.375,54.0,12.875,18.771,29.854,11.0835,3.083,13.521,-9.0,-57.875,-89.0,205.458,2.583,8.417
2011-01-30,194.125,90.0,70.292,36.0,14.5,26.271,52.3125,26.0415,3.333,16.4585,10.0,-54.75,-113.0,208.625,3.208,10.458
2011-01-31,192.304,87.0,74.125,39.0,17.957,28.1455,58.5415,30.396,3.625,15.542000000000002,25.0,-39.625,-83.0,210.261,3.125,9.25
2011-02-01,186.522,95.0,67.565,42.0,13.522,14.412500000000001,24.532,10.1195,3.75,12.875,26.0,-14.583,-51.0,200.043,2.174,5.833
2011-02-02,190.542,94.0,69.583,36.0,11.583,22.8545,46.4375,23.5835,3.042,13.5,-34.0,-60.125,-114.0,202.125,3.458,8.875
2011-02-03,169.25,85.0,60.583,35.0,19.688,25.9165,63.146,37.229,3.333,18.1045,7.0,-60.583,-139.0,188.938,3.0,10.25
2011-02-04,,85.0,58.042,40.0,,8.6665,12.854,4.1875,3.227,14.625,34.0,-1.833,-29.0,,1.75,7.667
2011-02-05,,89.0,75.208,53.0,,22.6665,39.25,16.5835,3.5,21.8125,26.0,-18.958,-65.0,,3.542,15.0
2011-02-06,187.875,100.0,91.143,83.0,23.562,34.7705,75.271,40.5,3.583,31.604,30.0,-9.083,-67.0,211.438,4.958,24.917
