date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,83.0,63.375,39.4,16.38,28.31,11.93,0.292,16.2,7.48,2.757,-1.72,,192.435,6.625,17.217,209.652
2011-01-02,89.6,64.408,34.0,8.817,14.958,6.142,0.3,9.127,10.7,4.72,1.48,,188.783,3.708,15.304,204.087
2011-01-03,75.0,53.583,32.2,11.125,16.425,5.3,0.354,7.575,8.98,4.477,1.24,,187.0,4.167,11.652,198.652
2011-01-04,81.2,59.317,31.2,14.83,26.745,11.914,1.351,18.783,8.1,3.764,0.1,,190.0,5.542,14.261,204.261
2011-01-05,86.8,62.783,37.4,21.214,37.916,16.702,0.416,8.475,6.42,2.702,-0.54,,189.773,4.292,17.364,207.136
2011-01-06,75.6,61.083,49.6,30.483,69.696,39.214,0.896,12.192,7.68,3.828,-0.88,,189.0,4.792,20.174,209.174
2011-01-07,83.4,54.208,27.8,18.925,34.183,15.259,0.521,7.15,8.58,4.307,1.48,,189.13,3.583,15.391,204.522
2011-01-08,70.8,50.658,27.8,17.063,30.745,13.682,0.312,6.883,9.0,3.108,-1.38,,189.217,4.542,16.174,205.391
2011-01-09,82.8,62.008,45.8,22.267,45.783,23.517,0.726,13.261,9.7,4.428,-0.52,,190.348,5.125,19.913,210.261
2011-01-10,88.0,64.825,36.8,30.142,92.825,62.683,0.958,19.458,11.06,4.891,-0.6,,190.913,6.667,24.304,215.217
2011-01-11,80.4,56.992,35.0,22.524,82.564,60.041,0.729,15.865,9.74,5.022,1.62,,189.0,4.875,20.087,209.087
2011-01-12,67.6,42.409,27.0,20.989,46.293,25.305,0.438,7.901,7.32,2.727,-0.8,,187.696,3.708,14.522,202.217
2011-01-13,75.2,60.325,40.0,30.062,111.642,81.58,1.292,15.325,9.22,3.692,-1.86,,188.696,5.708,22.087,210.783
2011-01-14,79.0,58.767,40.2,17.925,31.625,13.7,1.666,12.825,7.96,5.556,3.2,,190.348,4.917,17.435,207.783
2011-01-15,81.4,64.217,41.2,14.255,22.653,8.398,0.646,10.367,7.78,4.902,1.6,,188.609,3.75,14.348,202.957
2011-01-16,90.4,55.075,40.4,25.021,56.438,31.417,0.766,15.918,6.82,4.308,1.12,,191.0,5.458,26.87,217.87
2011-01-17,93.6,71.9,31.4,30.681,88.528,57.847,0.111,17.775,9.22,3.858,-0.06,,190.304,6.0,23.913,214.217
2011-01-18,90.4,71.75,44.6,31.85,100.677,68.828,,22.158,10.64,3.668,-1.8,,191.5,7.333,50.0,241.5
2011-01-19,92.0,77.342,51.0,34.894,114.13,79.237,0.261,24.7,8.32,4.517,0.9,,188.875,6.292,27.75,216.625
2011-01-20,95.2,91.892,86.6,33.747,92.085,58.338,0.271,15.625,8.84,7.034,5.16,,189.667,6.375,54.833,244.5
2011-01-21,95.2,89.8,76.2,26.517,56.2,29.683,0.104,15.083,9.86,7.764,6.58,,192.043,4.875,26.217,218.261
2011-01-22,92.8,75.825,49.8,19.186,36.788,17.603,0.271,10.383,12.48,7.953,4.58,,192.217,4.625,25.826,218.043
2011-01-23,87.0,66.308,41.0,23.229,75.22,51.99,0.682,8.604,11.7,6.52,3.38,,193.435,5.333,18.565,212.0
2011-01-24,65.4,49.167,34.2,22.675,47.359,24.683,0.562,6.5,7.18,3.672,0.14,,191.87,3.792,13.913,205.783
2011-01-25,62.8,48.667,30.8,27.932,56.872,28.94,1.84,12.558,6.44,2.977,-0.08,,191.913,5.25,14.522,206.435
2011-01-26,79.4,64.801,37.4,25.5,48.492,22.992,0.5,8.493,5.6,1.932,0.2,,193.348,3.958,19.043,212.391
2011-01-27,86.0,67.833,47.4,35.445,114.551,79.105,1.438,16.208,6.12,2.25,-1.68,,194.217,6.333,24.348,218.565
2011-01-28,82.4,64.933,43.0,23.917,46.5,22.584,1.146,16.4,7.48,3.381,0.56,,193.391,4.542,15.0,208.391
2011-01-29,54.0,40.309,25.2,11.213,17.713,6.5,0.833,7.15,7.56,2.814,-0.18,,192.304,3.083,10.783,203.087
2011-01-30,69.0,49.142,31.6,28.208,65.375,37.167,0.848,9.102,6.44,2.61,-1.74,,193.435,4.375,18.435,211.87
2011-01-31,81.2,65.475,44.8,31.104,75.677,44.573,0.792,11.1,6.38,2.532,-1.18,,193.522,4.25,18.478,212.0
2011-02-01,85.0,68.767,46.0,30.114,107.927,77.812,1.042,15.125,7.5,1.639,-2.78,,192.174,5.292,16.609,208.783
2011-02-02,88.6,70.083,46.8,28.191,63.896,35.704,0.812,8.525,2.16,-0.215,-2.78,,192.913,4.625,15.0,207.913
2011-02-03,84.2,65.45,43.6,33.011,95.288,62.277,1.292,13.283,4.2,-0.818,-5.84,,196.957,6.375,22.348,219.304
2011-02-04,85.6,61.808,33.2,23.75,70.767,47.017,1.27,18.225,8.08,2.07,-4.3,,193.696,5.417,15.348,209.043
2011-02-05,86.0,57.033,31.2,18.49,33.08,14.59,0.938,20.308,8.9,4.428,-0.9,,193.217,4.917,13.348,206.565
2011-02-06,93.4,84.467,64.2,34.417,106.967,72.55,0.928,33.458,6.24,4.88,3.54,,196.348,7.708,35.696,232.043
2011-02-07,96.6,81.258,63.4,30.792,91.533,60.742,0.75,16.242,9.88,7.643,5.76,,196.826,7.125,31.522,228.348
2011-02-08,67.8,56.242,42.8,16.891,32.15,15.259,0.366,7.292,6.2,3.448,0.34,,191.043,3.208,13.087,204.13
