date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,27.625,46.146,18.521,,3.958,23.521,204.333,6.708,28.708,233.042
2011-01-02,20.166,33.52,13.354,,3.167,16.688,196.083,4.375,18.875,214.958
2011-01-03,18.625,28.479,9.854,,2.458,8.48,193.042,3.75,13.542,206.583
2011-01-04,27.488,47.94,20.452,,3.583,14.146,196.5,6.167,20.625,217.125
2011-01-05,36.667,82.458,45.792,,2.957,11.916,201.042,6.542,25.875,226.917
2011-01-06,40.784,84.716,43.93,,4.417,15.74,201.727,7.739,35.909,237.636
2011-01-07,18.916,37.021,18.104,,2.5,9.542,193.083,3.917,17.0,210.083
2011-01-08,16.521,32.646,16.125,,2.375,9.834,194.333,4.625,18.833,213.167
2011-01-09,28.125,63.27,35.146,,4.958,22.416,204.958,8.083,34.833,239.792
2011-01-10,35.934,81.816,45.884,,5.792,25.938,202.708,8.583,41.5,244.208
2011-01-11,27.174,72.736,45.562,,4.25,23.417,194.333,6.583,28.042,222.375
2011-01-12,33.938,77.095,43.156,,3.292,15.913,197.217,6.773,28.043,225.261
2011-01-13,44.046,108.654,64.608,,5.826,23.144,200.042,8.833,39.375,239.417
2011-01-14,29.521,61.458,31.938,,4.125,16.938,200.042,8.375,31.083,231.125
2011-01-15,29.896,54.584,24.688,,5.375,18.708,201.833,8.25,30.375,232.208
2011-01-16,30.104,56.021,25.917,,3.167,20.542,194.208,6.167,19.75,213.958
2011-01-17,34.75,66.166,31.416,,4.583,22.604,195.5,7.125,24.75,220.25
2011-01-18,51.591,132.704,81.114,,8.167,39.317,205.435,11.636,53.739,259.174
2011-01-19,35.462,70.131,34.669,,4.391,30.379,195.5,4.5,27.625,223.125
2011-01-20,23.771,45.542,21.771,,1.958,21.396,187.792,2.042,17.25,205.042
2011-01-21,21.688,43.896,22.208,,1.458,12.938,186.417,2.917,18.333,204.75
2011-01-22,21.042,48.062,27.021,,1.75,15.375,196.5,4.958,29.708,226.208
2011-01-23,32.896,121.02,88.125,,2.958,19.396,209.75,8.5,48.5,258.25
2011-01-24,29.646,58.646,29.0,,3.208,14.875,193.083,3.75,21.708,214.792
2011-01-25,33.188,81.416,48.229,,2.792,21.104,196.375,5.875,32.542,228.917
2011-01-26,32.592,65.691,33.1,,3.208,15.084,194.391,6.217,25.87,220.261
2011-01-27,36.772,89.653,52.881,,3.435,19.402,198.375,8.167,32.208,230.583
2011-01-28,27.666,56.834,29.166,,3.208,19.667,193.625,6.917,22.333,215.958
2011-01-29,14.25,25.166,10.916,,2.5,12.104,189.583,4.25,11.333,200.917
2011-01-30,31.271,64.938,33.667,,3.417,15.312,194.792,6.75,23.292,218.083
2011-01-31,37.396,79.104,41.708,,4.667,17.375,197.625,7.583,30.708,228.333
2011-02-01,23.354,42.208,18.854,,4.458,25.062,191.458,6.833,22.208,213.667
2011-02-02,25.326,53.39,28.065,,2.583,12.84,191.043,6.13,19.565,210.609
2011-02-03,37.004,84.602,47.598,,4.391,18.663,205.455,6.667,34.182,239.636
2011-02-04,35.771,77.146,41.375,,4.0,19.375,210.458,6.5,38.083,248.542
2011-02-05,36.875,66.208,29.334,,7.125,27.916,211.417,8.167,36.042,247.458
2011-02-06,42.625,93.23,50.604,,3.667,47.562,206.958,8.458,39.208,246.167
