date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2011-01-01,17.833,28.584,10.75,,0.958,18.833,7.375
2011-01-02,8.438,12.833,4.396,,0.917,10.646,5.375
2011-01-03,8.125,13.062,4.938,,1.0,12.562,5.917
2011-01-04,7.875,12.688,4.812,,3.208,20.708,4.478
2011-01-05,12.604,23.938,11.334,,0.917,5.812,4.083
2011-01-06,23.354,50.104,26.75,,1.0,12.708,5.708
2011-01-07,11.73,23.021,11.292,,1.0,5.083,4.208
2011-01-08,10.754,18.22,7.466,,1.0,6.834,4.792
2011-01-09,17.688,33.562,15.875,,1.458,15.75,6.167
2011-01-10,24.812,59.896,35.084,,1.25,23.146,7.875
2011-01-11,16.646,33.312,16.666,,2.333,23.25,6.75
2011-01-12,22.146,55.75,33.604,,1.042,9.208,7.292
2011-01-13,21.638,59.726,38.088,,1.625,14.64,8.125
2011-01-14,11.834,25.271,13.438,,2.167,16.875,4.826
2011-01-15,8.917,15.375,6.458,,1.0,9.416,3.75
2011-01-16,23.729,54.646,30.916,,1.13,14.771,5.083
2011-01-17,26.271,69.125,42.854,,1.0,15.02,6.083
2011-01-18,32.878,101.312,68.434,,1.917,21.667,7.875
2011-01-19,33.584,105.146,71.562,,1.583,22.229,8.208
2011-01-20,28.312,60.167,31.854,,1.0,11.542,6.208
2011-01-21,28.938,63.833,34.896,,1.0,13.375,7.083
2011-01-22,11.896,19.562,7.667,,0.958,6.688,4.958
2011-01-23,11.23,20.938,9.708,,1.042,4.48,4.625
2011-01-24,14.416,31.458,17.042,,1.0,5.938,3.652
2011-01-25,14.208,28.948,14.74,,1.458,13.666,3.875
2011-01-26,15.23,33.438,18.208,,1.0,7.312,4.542
2011-01-27,14.896,27.146,12.25,,2.333,17.458,5.083
2011-01-28,14.356,26.062,11.706,,2.167,18.021,5.292
2011-01-29,9.542,16.438,6.896,,1.0,8.646,4.708
2011-01-30,16.625,35.458,18.834,,1.0,8.25,5.125
2011-01-31,17.416,36.125,18.708,,1.0,7.479,5.583
2011-02-01,23.896,71.396,47.5,,1.375,18.5,7.375
2011-02-02,12.292,24.166,11.875,,1.0,8.833,5.875
2011-02-03,19.292,38.77,19.479,,1.292,10.834,4.391
2011-02-04,19.896,46.25,26.354,,2.125,20.688,4.583
2011-02-05,14.854,23.938,9.084,,2.957,28.333,4.333
2011-02-06,32.0,74.708,42.708,,1.167,42.062,7.083
2011-02-07,23.951,57.466,33.514,,1.167,16.312,6.125
2011-02-08,10.042,20.614,10.57,,1.042,6.794,2.875
2011-02-09,12.458,22.438,9.979,,1.042,9.396,3.292
2011-02-10,16.73,34.188,17.458,,1.042,10.25,3.75
2011-02-11,10.792,20.396,9.605,,1.0,8.98,3.75
2011-02-12,9.146,15.25,6.104,,1.0,10.562,3.833
2011-02-13,32.562,69.292,36.729,,1.375,17.188,5.522
2011-02-14,35.042,89.354,54.312,,1.0,17.479,6.25
2011-02-15,24.375,57.938,33.562,,1.217,23.98,4.667
2011-02-16,18.312,34.646,16.334,,1.083,12.77,3.542
2011-02-17,13.511,27.218,13.706,,1.083,9.77,3.583
2011-02-18,9.416,18.188,8.771,,1.0,8.458,3.458
2011-02-19,14.917,25.479,10.562,,1.042,11.396,5.167
2011-02-20,24.02,51.208,27.188,,1.0,12.688,5.917
2011-02-21,28.25,76.416,48.166,,1.708,18.062,6.917
2011-02-22,28.625,53.098,24.473,,2.167,30.307,7.375
2011-02-23,23.52,49.604,26.084,,1.292,23.479,5.826
2011-02-24,17.684,30.86,13.176,,2.5,29.084,4.708
2011-02-25,20.188,36.75,16.562,,1.565,22.458,5.167
2011-02-26,5.896,9.125,3.229,,1.0,5.958,3.125
2011-02-27,16.029,30.738,14.709,,1.0,12.666,4.042
2011-02-28,27.834,50.979,23.146,,1.75,15.375,5.542
2011-03-01,31.896,61.354,29.458,,1.583,20.0,6.625
2011-03-02,34.312,84.812,50.5,,1.0,27.583,9.042
2011-03-03,17.084,30.854,13.77,,1.333,16.084,6.25
