date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,SO2_mean
2011-01-01,203.217,,,,16.304,19.75,25.233,5.483,21.583,,,,219.522,5.375
2011-01-02,196.174,,,,10.261,11.804,19.298,7.494,11.858,,,,206.435,3.073
2011-01-03,189.565,,,,2.565,4.733,5.592,0.858,6.867,,,,192.13,2.99
2011-01-04,192.348,,,,2.565,4.63,5.52,0.89,21.355,,,,194.913,6.084
2011-01-05,192.095,,,,2.476,7.305,8.795,1.49,3.171,,,,194.571,2.938
2011-01-06,194.217,,,,6.957,19.086,26.037,6.951,10.386,,,,201.174,4.334
2011-01-07,192.826,,,,2.478,9.5,11.275,1.775,5.117,,,,195.304,4.104
2011-01-08,192.174,,,,3.391,8.967,10.533,1.567,5.058,,,,195.565,4.084
2011-01-09,194.652,,,,5.783,13.424,17.67,4.246,10.5,,,,200.435,4.614
2011-01-10,194.13,,,,8.609,20.802,28.524,7.722,16.61,,,,202.739,5.366
2011-01-11,196.174,,,,10.087,17.717,27.892,10.175,18.183,,,,206.261,4.531
2011-01-12,192.174,,,,5.13,11.89,16.508,4.618,4.473,,,,197.304,3.58
2011-01-13,198.783,,,,21.565,21.141,44.308,23.167,14.475,,,,220.348,5.302
2011-01-14,194.696,,,,3.783,8.4,11.208,2.809,10.217,,,,198.478,5.427
2011-01-15,191.043,,,,3.174,6.767,8.708,1.942,7.291,,,,194.217,3.531
2011-01-16,193.739,,,,5.783,19.177,24.494,5.317,11.285,,,,199.522,4.659
2011-01-17,193.348,,,,8.826,19.525,26.608,7.083,14.3,,,,202.174,4.042
2011-01-18,202.043,,,,27.304,36.717,81.841,45.124,28.508,,,,229.348,8.938
2011-01-19,196.522,,,,23.522,39.057,84.105,45.047,37.381,,,,220.043,7.386
2011-01-20,192.043,,,,14.261,28.758,41.067,12.309,19.25,,,,206.304,3.167
2011-01-21,192.609,,,,15.522,24.258,33.425,9.167,16.775,,,,208.13,3.271
2011-01-22,192.304,,,,7.261,11.592,15.417,3.825,8.883,,,,199.565,4.188
2011-01-23,192.957,,,,5.043,10.748,15.097,4.349,4.863,,,,198.0,3.949
2011-01-24,192.957,,,,4.652,9.159,13.017,3.858,4.325,,,,197.609,3.948
2011-01-25,190.522,,,,3.087,7.2,9.917,2.717,8.425,,,,193.609,4.094
2011-01-26,192.478,,,,3.304,9.423,13.345,3.921,4.542,,,,195.783,3.524
2011-01-27,193.522,,,,5.913,13.348,18.355,5.007,12.867,,,,199.435,4.916
2011-01-28,193.174,,,,4.565,11.392,15.108,3.717,14.908,,,,197.739,4.864
2011-01-29,194.739,,,,2.522,8.192,10.5,2.308,7.033,,,,197.261,4.698
2011-01-30,194.87,,,,5.087,14.756,20.482,5.726,7.058,,,,199.957,4.364
2011-01-31,193.217,,,,3.652,12.825,16.641,3.817,5.633,,,,196.87,4.292
2011-02-01,196.043,,,,15.913,20.892,37.333,16.442,14.225,,,,211.957,4.469
2011-02-02,193.13,,,,2.087,6.583,8.477,1.895,4.683,,,,195.217,3.17
2011-02-03,194.435,,,,4.87,15.158,19.567,4.408,7.733,,,,199.304,3.521
2011-02-04,196.043,,,,13.652,18.375,31.083,12.708,19.517,,,,209.696,5.146
2011-02-05,195.739,,,,7.348,12.6,15.442,2.842,25.642,,,,203.087,5.469
2011-02-06,197.783,,,,22.217,32.233,57.769,25.537,42.44,,,,220.0,4.016
2011-02-07,197.826,,,,10.87,20.55,34.325,13.775,15.825,,,,208.696,3.302
2011-02-08,191.667,,,,1.333,6.032,8.173,2.141,5.679,,,,193.0,3.51
2011-02-09,191.957,,,,1.696,8.353,11.864,3.51,6.841,,,,193.652,3.594
2011-02-10,191.0,,,,5.87,11.517,18.358,6.842,8.783,,,,196.87,3.906
2011-02-11,191.0,,,,1.13,6.525,9.733,3.208,6.667,,,,192.13,4.198
2011-02-12,192.478,,,,0.783,4.717,7.05,2.333,8.717,,,,193.261,4.01
2011-02-13,193.217,,,,16.261,28.478,45.378,16.9,18.203,,,,209.478,4.814
2011-02-14,195.435,,,,22.0,34.842,63.358,28.517,22.433,,,,217.435,3.114
2011-02-15,196.087,,,,11.609,24.667,49.391,24.724,24.576,,,,207.696,4.136
2011-02-16,192.696,,,,3.304,13.442,18.57,5.128,9.847,,,,196.0,4.359
2011-02-17,190.652,,,,2.13,6.983,9.75,2.767,7.1,,,,192.783,3.552
2011-02-18,194.652,,,,0.957,6.033,8.225,2.192,6.55,,,,195.609,3.166
2011-02-19,193.565,,,,4.913,8.9,12.633,3.733,8.391,,,,198.478,3.614
2011-02-20,193.957,,,,5.217,16.987,25.107,8.12,9.155,,,,199.174,4.125
2011-02-21,194.174,,,,11.13,25.125,41.658,16.533,16.15,,,,205.304,5.573
2011-02-22,196.522,,,,14.435,23.692,35.375,11.683,32.592,,,,210.957,5.76
2011-02-23,195.478,,,,15.609,22.83,39.807,16.978,36.721,,,,211.087,4.106
2011-02-24,195.87,,,,7.565,20.892,25.992,5.1,31.992,,,,203.435,7.906
2011-02-25,195.565,,,,9.826,22.217,29.683,7.467,34.683,,,,205.391,6.417
2011-02-26,192.826,,,,0.261,4.892,6.333,1.442,6.758,,,,193.087,3.615
2011-02-27,193.739,,,,1.217,10.613,13.396,2.782,8.439,,,,194.957,4.632
2011-02-28,195.0,,,,8.435,20.183,25.742,5.558,12.083,,,,203.435,5.812
2011-03-01,197.696,,,,18.565,29.351,40.123,10.773,25.492,,,,216.261,6.142
2011-03-02,200.087,,,,36.913,29.692,65.642,35.95,36.284,,,,237.0,3.229
2011-03-03,192.696,,,,1.565,8.108,10.283,2.175,10.541,,,,194.261,4.24
2011-03-04,197.478,,,,11.348,21.325,25.383,4.058,35.933,,,,208.826,4.364
2011-03-05,201.409,,,,21.273,35.929,52.344,16.416,23.895,,,,222.682,2.067
2011-03-06,199.652,,,,15.957,26.5,43.9,17.4,20.375,,,,215.609,5.323
2011-03-07,197.478,,,,6.739,13.466,15.742,2.275,26.783,,,,204.217,6.979
2011-03-08,197.478,,,,13.913,24.383,29.868,5.485,27.883,,,,211.391,8.284
2011-03-09,195.043,,,,6.609,20.55,24.492,3.942,24.125,,,,201.652,4.75
2011-03-10,192.304,,,,3.783,9.783,11.708,1.925,10.717,,,,196.087,3.844
2011-03-11,190.217,,,,1.087,4.692,5.817,1.125,9.8,,,,191.304,3.833
2011-03-12,192.913,,,,1.565,5.754,7.072,1.318,7.584,,,,194.478,2.784
2011-03-13,192.696,,,,0.739,6.717,8.1,1.383,7.592,,,,193.435,3.198
2011-03-14,194.087,,,,9.957,21.108,27.417,6.308,13.183,,,,204.043,5.916
2011-03-15,197.043,,,,11.043,21.074,31.055,9.981,18.532,,,,208.087,5.21
2011-03-16,192.435,,,,9.348,16.242,20.758,4.517,17.575,,,,201.783,5.448
2011-03-17,196.391,,,,24.565,27.992,41.008,13.017,33.583,,,,220.957,2.573
2011-03-18,199.174,,,,26.261,19.267,23.883,4.617,20.917,,,,225.435,4.01
2011-03-19,193.043,,,,1.13,4.941,7.18,2.239,6.954,,,,194.174,3.954
2011-03-20,191.87,,,,1.565,7.433,9.492,2.058,10.192,,,,193.435,4.573
2011-03-21,192.391,,,,1.043,7.458,8.917,1.458,10.292,,,,193.435,4.667
2011-03-22,194.652,,,,12.174,23.904,36.115,12.21,16.914,,,,206.826,7.762
2011-03-23,193.783,,,,18.217,29.575,36.958,7.383,27.692,,,,212.0,3.948
2011-03-24,195.435,,,,13.087,17.058,22.0,4.942,11.075,,,,208.522,3.114
2011-03-25,194.391,,,,2.652,3.975,4.825,0.85,8.642,,,,197.043,3.656
2011-03-26,195.348,,,,3.174,7.843,9.163,1.32,8.145,,,,198.522,4.202
2011-03-27,193.783,,,,5.174,15.117,18.034,2.917,14.533,,,,198.957,5.927
2011-03-28,196.87,,,,16.696,24.275,34.875,10.6,28.95,,,,213.565,7.562
2011-03-29,194.217,,,,7.304,16.011,19.149,3.138,20.672,,,,201.522,5.832
2011-03-30,198.565,,,,27.304,24.892,38.092,13.2,24.359,,,,225.87,7.403
2011-03-31,190.348,,,,0.913,4.658,5.517,0.858,13.908,,,,191.261,3.136
2011-04-01,193.273,78.0,49.708,20.0,12.682,18.633,25.5,6.867,19.167,17.9,10.442,2.2,205.955,7.635
2011-04-02,195.174,80.0,52.333,32.0,26.087,16.075,21.4,5.325,26.1,19.5,11.633,4.4,221.261,7.094
2011-04-03,190.0,52.0,37.625,25.0,4.0,4.3,5.017,0.717,9.233,12.0,8.883,6.2,194.0,4.156
2011-04-04,189.611,53.0,36.292,20.0,9.333,8.943,10.957,2.014,6.95,16.8,9.704,4.4,198.944,4.837
2011-04-05,192.105,76.0,40.958,23.0,9.263,13.642,16.875,3.233,16.75,17.0,10.562,6.2,201.368,6.656
