date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,23.667,40.02,16.355,13.896,199.261,6.083,22.087,221.348
2011-01-02,12.913,21.456,8.544,10.229,193.826,3.826,11.174,205.0
2011-01-03,16.729,23.812,7.084,8.812,192.696,3.917,11.826,204.522
2011-01-04,14.63,21.044,6.413,13.728,196.391,4.304,10.261,206.652
2011-01-05,24.958,48.938,23.98,9.5,195.739,4.792,15.913,211.652
2011-01-06,33.062,60.062,27.0,12.979,197.783,4.625,16.391,214.174
2011-01-07,20.896,43.104,22.208,9.104,194.957,3.958,11.913,206.87
2011-01-08,19.542,28.438,8.896,10.416,195.565,4.375,15.391,210.957
2011-01-09,25.326,43.978,18.652,15.02,194.87,4.913,15.957,210.826
2011-01-10,35.666,89.958,54.292,25.583,200.435,6.708,32.826,233.261
2011-01-11,26.292,66.688,40.396,16.02,196.478,5.667,20.304,216.783
2011-01-12,24.333,42.917,18.583,9.854,193.913,3.75,15.696,209.609
2011-01-13,29.721,77.838,48.116,16.151,193.261,5.0,18.304,211.565
2011-01-14,21.188,41.292,20.104,15.396,194.522,5.0,16.435,210.957
2011-01-15,20.062,35.312,15.25,13.25,195.13,4.917,16.435,211.565
2011-01-16,31.739,65.196,33.456,14.438,195.043,4.913,19.13,214.174
2011-01-17,30.958,65.062,34.104,16.979,193.913,4.292,18.783,212.696
2011-01-18,37.869,92.242,54.374,31.097,197.478,6.957,36.087,233.565
2011-01-19,38.042,85.084,47.042,28.708,193.609,6.667,35.696,229.304
2011-01-20,30.396,57.708,27.312,13.334,192.304,4.917,21.174,213.478
2011-01-21,26.458,47.0,20.542,16.48,192.565,5.167,17.696,210.261
2011-01-22,16.688,24.854,8.166,8.396,192.696,4.25,13.826,206.522
2011-01-23,19.13,40.652,21.522,9.52,195.739,4.652,17.348,213.087
2011-01-24,18.25,38.834,20.584,8.521,191.87,3.458,12.87,204.739
2011-01-25,16.52,30.375,13.854,13.812,191.696,4.0,13.174,204.87
2011-01-26,20.271,40.708,20.438,8.812,192.826,4.208,12.826,205.652
2011-01-27,23.739,42.478,18.739,16.916,195.087,4.87,16.826,211.913
2011-01-28,19.48,28.229,8.75,16.271,195.217,4.417,12.348,207.565
2011-01-29,12.146,18.083,5.938,7.834,195.304,4.125,10.13,205.435
2011-01-30,26.327,56.282,29.956,10.417,195.609,4.739,17.217,212.826
2011-01-31,27.104,58.188,31.084,11.0,195.696,5.125,22.913,218.609
2011-02-01,23.108,64.695,41.587,15.114,196.0,5.217,20.636,216.636
2011-02-02,22.104,41.458,19.354,9.333,194.13,4.167,15.217,209.348
2011-02-03,34.458,83.625,49.166,19.792,199.13,6.75,30.565,229.696
2011-02-04,24.479,61.292,36.812,20.104,198.217,6.583,21.696,219.913
2011-02-05,20.646,29.625,8.979,25.479,195.0,5.5,16.522,211.522
2011-02-06,32.978,70.87,37.892,27.125,194.609,7.13,25.739,220.348
2011-02-07,27.083,55.958,28.875,13.146,194.304,6.083,17.217,211.522
2011-02-08,15.0,27.979,12.979,12.084,191.522,3.208,8.348,199.87
2011-02-09,17.625,33.666,16.042,10.396,190.652,3.292,9.391,200.043
2011-02-10,21.584,37.334,15.75,13.416,191.87,3.875,13.957,205.826
2011-02-11,17.562,27.792,10.23,12.938,191.739,4.125,10.87,202.609
2011-02-12,15.021,21.771,6.75,13.938,194.261,4.5,12.217,206.478
2011-02-13,25.218,43.087,17.87,12.958,192.522,4.522,18.391,210.913
2011-02-14,32.792,84.166,51.375,18.042,194.348,6.792,31.87,226.217
2011-02-15,24.479,36.958,12.479,22.625,195.391,5.833,18.957,214.348
2011-02-16,15.542,19.083,3.542,11.916,191.217,3.917,10.913,202.13
2011-02-17,16.479,24.708,8.229,11.345,191.0,3.375,9.652,200.652
2011-02-18,15.521,26.375,10.855,10.188,193.783,3.833,9.087,202.87
2011-02-19,15.562,21.416,5.854,12.0,194.13,4.0,11.391,205.522
2011-02-20,27.136,49.228,22.091,14.899,196.364,4.864,20.727,217.091
2011-02-21,28.252,50.584,22.332,18.708,191.348,4.25,16.261,207.609
2011-02-22,36.166,63.334,27.167,33.979,198.435,6.042,31.957,230.391
2011-02-23,27.458,52.542,25.083,26.938,192.913,6.333,22.565,215.478
2011-02-24,26.417,41.438,15.02,35.77,194.565,5.167,14.304,208.87
2011-02-25,27.02,41.562,14.542,30.583,194.478,5.417,15.957,210.435
2011-02-26,12.229,16.75,4.52,12.562,194.435,3.667,9.913,204.348
2011-02-27,18.002,31.423,13.421,11.208,194.261,3.609,9.696,203.957
2011-02-28,28.125,43.334,15.208,16.042,195.174,4.75,18.783,213.957
2011-03-01,37.625,82.333,44.708,20.375,195.826,6.917,38.087,233.913
2011-03-02,33.5,81.87,48.37,27.955,196.409,6.913,33.727,230.136
2011-03-03,16.688,24.521,7.834,17.98,192.739,3.875,9.0,201.739
2011-03-04,25.854,37.125,11.271,29.458,196.652,6.304,19.304,215.957
2011-03-05,42.196,85.37,43.174,20.416,195.652,7.435,37.087,232.739
2011-03-06,33.188,75.48,42.292,18.0,197.957,7.208,35.13,233.087
2011-03-07,20.5,32.375,11.875,33.521,197.043,5.5,13.957,211.0
2011-03-08,30.833,50.584,19.75,31.812,195.565,6.417,20.0,215.565
2011-03-09,27.188,46.104,18.917,26.0,194.043,5.25,15.261,209.304
2011-03-10,14.292,22.875,8.584,13.145,191.261,3.917,10.87,202.13
2011-03-11,7.812,11.792,3.979,10.875,190.783,3.333,7.652,198.435
2011-03-12,16.522,27.608,11.087,11.75,192.87,3.522,8.565,201.435
2011-03-13,19.708,33.27,13.562,14.416,192.609,3.417,9.913,202.522
2011-03-14,31.042,51.188,20.146,18.146,195.174,4.833,21.304,216.478
