date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,PM25_mean
2011-01-01,80.0,63.417,39.0,15.146,18.916,3.771,0.0,9.812,11.4,5.592,0.2,
2011-01-02,82.0,68.042,56.0,8.917,13.812,4.896,1.0,11.625,7.7,5.133,3.0,
2011-01-03,69.0,56.75,43.0,12.916,18.771,5.854,0.0,14.27,7.6,4.921,2.2,
2011-01-04,77.0,55.125,24.0,8.542,14.0,5.458,0.0,19.208,7.7,3.825,1.1,
2011-01-05,82.0,67.208,47.0,16.708,27.896,11.188,0.0,6.0,8.0,2.95,0.0,
2011-01-06,87.0,63.708,30.0,28.48,65.25,36.77,0.0,12.708,10.3,3.938,-0.8,
2011-01-07,74.0,64.25,42.0,11.834,23.104,11.271,0.0,5.375,8.4,4.292,1.8,
2011-01-08,83.0,65.958,49.0,15.167,23.125,7.958,0.0,7.396,7.3,3.188,0.0,
2011-01-09,78.0,67.167,49.0,18.631,33.927,15.296,0.0,14.792,10.2,4.717,1.4,
2011-01-10,88.0,65.917,35.0,31.875,75.062,43.188,0.0,29.92,11.7,5.4,0.8,
2011-01-11,71.0,57.625,32.0,17.62,34.594,16.975,0.0,21.698,9.9,5.171,0.0,
2011-01-12,79.0,61.458,40.0,24.0,45.125,21.125,0.0,7.25,6.4,2.379,-0.9,
2011-01-13,82.0,57.833,31.0,25.562,68.0,42.438,0.0,14.812,10.2,4.208,-0.4,
2011-01-14,75.0,64.0,49.0,18.521,37.104,18.584,0.0,24.521,7.3,4.854,3.4,
2011-01-15,74.0,61.417,44.0,13.5,22.354,8.854,0.0,10.438,7.9,4.992,2.2,
2011-01-16,70.0,56.667,46.0,17.75,33.146,15.396,0.0,10.938,5.4,4.404,3.4,
2011-01-17,89.0,61.125,29.0,18.062,29.625,11.562,0.0,11.208,10.8,4.354,0.4,
2011-01-18,86.0,60.917,27.0,31.414,64.35,32.936,0.0,15.084,10.7,3.579,-2.4,
2011-01-19,91.0,76.5,50.0,31.521,68.042,36.521,28.0,13.292,7.5,4.479,1.9,
2011-01-20,91.0,87.375,81.0,24.604,47.216,22.612,8.0,6.958,8.7,6.521,4.7,3.917
2011-01-21,91.0,89.625,86.0,26.208,49.146,22.938,14.0,11.584,7.9,6.646,4.9,5.042
2011-01-22,93.0,82.667,58.0,19.104,32.042,12.938,0.0,8.438,11.7,6.438,3.3,4.333
2011-01-23,83.0,73.333,56.0,15.02,32.625,17.604,1.0,4.5,8.6,5.629,2.7,3.542
2011-01-24,76.0,57.833,39.0,16.817,35.623,18.806,0.0,6.354,5.9,2.579,0.7,8.739
2011-01-25,66.0,48.167,24.0,17.875,33.75,15.875,0.0,15.896,6.4,2.075,-0.5,22.435
2011-01-26,69.0,55.042,36.0,20.229,38.771,18.542,0.0,7.354,5.5,1.338,-1.3,11.583
2011-01-27,75.0,60.125,41.0,22.286,37.726,15.44,0.0,18.27,7.3,2.654,-0.6,25.083
2011-01-28,78.0,60.25,42.0,18.02,31.271,13.25,0.0,15.375,8.7,3.862,1.2,22.792
2011-01-29,84.0,70.333,48.0,11.688,15.521,3.834,0.0,6.354,6.0,2.108,-0.4,10.708
2011-01-30,83.0,73.792,57.0,21.976,41.146,19.17,0.0,8.875,4.8,1.662,-0.8,12.667
2011-01-31,78.0,60.917,35.0,26.25,58.084,31.834,0.0,9.756,7.0,1.954,-1.1,13.458
2011-02-01,81.0,59.417,28.0,23.375,58.334,34.958,0.0,17.354,7.6,2.333,-2.1,20.667
2011-02-02,69.0,55.625,42.0,10.792,21.875,11.084,0.0,7.562,3.3,-0.167,-2.6,11.458
2011-02-03,74.0,53.25,29.0,24.792,42.125,17.333,0.0,12.292,5.5,0.458,-4.1,18.083
2011-02-04,67.0,45.625,25.0,21.688,38.375,16.688,0.0,19.25,8.2,3.975,-0.7,25.333
2011-02-05,74.0,51.375,29.0,17.384,26.595,9.211,0.0,31.958,8.9,4.696,-0.6,36.375
2011-02-06,92.0,84.208,67.0,29.688,50.188,20.5,13.0,28.006,8.3,6.096,3.9,30.292
2011-02-07,92.0,84.5,68.0,25.396,50.902,25.506,35.0,12.461,8.8,7.179,4.6,14.417
2011-02-08,86.0,59.417,35.0,15.042,33.562,18.521,0.0,8.854,6.0,2.375,-0.7,12.0
2011-02-09,69.0,50.833,31.0,19.416,35.854,16.438,0.0,10.729,5.6,1.342,-2.9,14.792
