date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean,SO2_mean
2011-03-21,193.261,12.609,8.417,12.917,4.5,11.834,205.87,0.375
2011-03-22,194.478,17.13,17.562,28.354,10.792,16.188,211.609,1.0
2011-03-23,195.087,18.087,25.5,36.292,10.792,18.646,213.174,0.458
2011-03-24,195.409,13.136,14.395,18.458,4.062,6.979,208.545,0.0
2011-03-25,195.174,9.87,5.166,7.834,2.667,9.146,205.043,0.125
2011-03-26,195.591,10.455,8.593,9.796,1.204,9.458,206.045,0.217
2011-03-27,196.524,19.762,15.978,22.652,6.674,15.834,216.286,0.609
2011-03-28,196.739,18.652,16.625,25.375,8.75,25.084,215.391,1.417
2011-03-29,194.087,17.609,14.021,19.188,5.166,19.25,211.696,0.875
2011-03-30,195.348,19.348,18.416,27.75,9.333,20.333,214.696,1.0
2011-03-31,191.913,10.391,7.125,7.75,0.625,14.02,202.304,0.208
2011-04-01,191.13,17.522,21.02,28.792,7.771,18.208,208.652,0.375
2011-04-02,191.739,14.783,15.958,21.042,5.084,27.812,206.522,0.875
2011-04-03,189.0,8.261,7.188,7.542,0.354,12.271,197.261,0.042
2011-04-04,188.609,11.957,8.984,11.362,2.378,9.48,200.565,0.0
2011-04-05,189.826,13.435,16.261,20.044,3.782,19.108,203.261,0.682
2011-04-06,190.043,16.609,17.938,23.979,6.042,23.979,206.652,0.708
2011-04-07,189.304,14.609,15.354,20.958,5.604,21.458,203.913,0.458
2011-04-08,185.391,12.696,13.729,17.396,3.666,21.188,198.087,0.125
2011-04-09,185.87,11.696,10.916,12.625,1.708,18.125,197.565,0.0
2011-04-10,189.043,13.348,10.688,12.458,1.771,33.104,202.391,0.75
2011-04-11,192.87,14.739,15.122,19.4,4.278,31.73,207.609,1.261
2011-04-12,189.087,12.348,9.542,11.771,2.229,27.854,201.435,0.542
2011-04-13,192.435,20.87,25.25,33.479,8.229,31.479,213.304,1.5
2011-04-14,192.714,22.095,21.8,30.846,9.047,33.521,214.81,1.917
2011-04-15,191.217,20.391,18.312,23.771,5.458,35.77,211.609,1.375
2011-04-16,190.478,20.13,11.583,15.334,3.75,33.062,210.609,0.5
