date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean,PM25_mean
2011-05-03,4.604,4.792,0.188,69.792,1.5,
2011-05-04,2.792,2.958,0.166,33.167,1.556,
2011-05-05,2.822,2.908,0.087,17.908,1.361,
2011-05-06,3.778,4.158,0.38,24.817,2.474,
2011-05-07,2.334,2.334,0.0,17.633,2.139,
2011-05-08,3.125,3.23,0.104,26.3,1.792,
2011-05-09,5.875,6.271,0.395,24.292,3.625,
2011-05-10,12.25,14.75,2.5,21.167,2.069,
2011-05-11,14.208,15.833,1.625,15.308,1.236,
2011-05-12,7.108,8.25,1.142,11.433,1.472,
2011-05-13,3.49,3.782,0.292,45.642,1.621,
2011-05-14,3.834,4.104,0.27,31.025,2.19,
2011-05-15,3.438,3.688,0.25,25.0,2.625,
2011-05-16,5.621,5.842,0.222,31.855,3.653,
2011-05-17,5.974,6.278,0.304,48.2,2.861,
2011-05-18,4.77,5.062,0.292,23.217,2.681,
2011-05-19,7.208,7.396,0.188,21.167,3.68,
2011-05-20,6.992,7.16,0.167,34.475,4.351,
2011-05-21,5.354,5.479,0.125,25.924,3.387,
2011-05-22,3.042,3.229,0.188,14.8,1.153,
2011-05-23,5.62,6.835,1.214,14.432,0.972,
2011-05-24,3.83,4.264,0.434,10.2,1.292,
2011-05-25,5.166,5.812,0.646,14.025,1.833,
2011-05-26,6.646,7.271,0.625,20.408,2.417,
2011-05-27,6.527,7.201,0.674,14.342,1.188,
2011-05-28,7.062,7.979,0.917,12.381,1.1,
2011-05-29,4.167,4.834,0.666,5.567,0.722,
2011-05-30,2.062,2.458,0.396,12.067,0.667,
2011-05-31,3.854,4.396,0.542,10.833,1.028,
2011-06-01,9.5,11.0,1.5,11.092,0.903,
2011-06-02,7.812,9.646,1.833,9.796,1.083,
2011-06-03,5.779,6.45,0.671,20.375,2.246,
2011-06-04,4.458,4.666,0.208,40.766,3.176,
2011-06-05,3.208,3.25,0.042,38.7,2.556,
2011-06-06,4.084,4.208,0.125,26.736,2.347,
2011-06-07,6.032,6.546,0.514,22.085,3.486,
2011-06-08,6.084,6.333,0.25,23.911,2.889,
2011-06-09,5.73,5.834,0.104,23.333,3.055,
2011-06-10,7.438,7.943,0.505,40.05,2.769,
2011-06-11,3.688,3.833,0.146,29.267,0.931,
2011-06-12,2.416,2.604,0.188,24.672,1.375,
2011-06-13,3.616,4.136,0.521,17.806,1.347,
2011-06-14,3.633,4.11,0.478,14.529,1.223,
2011-06-15,5.334,6.042,0.708,12.009,1.472,
2011-06-16,5.89,6.759,0.869,22.143,1.833,
2011-06-17,5.025,5.527,0.502,15.957,1.993,
2011-06-18,6.312,7.271,0.958,23.65,1.058,
2011-06-19,3.458,3.854,0.396,18.933,1.625,
2011-06-20,5.666,6.438,0.771,12.142,1.819,
2011-06-21,3.538,3.747,0.208,12.097,2.528,
2011-06-22,4.288,4.37,0.084,21.944,2.889,
2011-06-23,3.458,4.294,0.836,25.217,3.528,
2011-06-24,2.392,3.088,0.696,18.175,3.625,
2011-06-25,2.834,3.75,0.917,16.15,1.738,
2011-06-26,2.875,3.458,0.584,15.425,2.055,
2011-06-27,2.188,2.458,0.271,10.568,2.431,
2011-06-28,2.104,2.542,0.438,18.077,2.705,
2011-06-29,3.416,4.958,1.542,13.607,1.278,
2011-06-30,4.193,6.006,1.812,18.15,1.5,
2011-07-01,4.25,5.998,1.748,15.067,1.153,
2011-07-02,3.021,4.021,1.0,18.087,1.125,
2011-07-03,2.604,3.125,0.521,30.15,2.0,
2011-07-04,2.688,3.166,0.48,23.425,2.25,
2011-07-05,2.938,3.562,0.625,29.867,1.361,
2011-07-06,4.916,5.562,0.646,25.142,2.347,
2011-07-07,4.557,5.804,1.246,8.575,1.528,
2011-07-08,3.155,4.332,1.178,15.108,2.028,
2011-07-09,3.542,4.25,0.708,14.075,2.044,
2011-07-10,3.52,3.625,0.104,21.058,1.958,
2011-07-11,4.125,4.458,0.334,18.558,1.917,
2011-07-12,4.854,5.896,1.042,15.517,1.792,
2011-07-13,4.839,5.972,1.133,16.652,1.981,
2011-07-14,5.786,6.606,0.82,21.124,2.511,
2011-07-15,5.481,6.374,0.892,25.172,2.249,
2011-07-16,5.354,6.416,1.062,31.161,2.302,
2011-07-17,3.396,4.208,0.812,18.867,1.764,
2011-07-18,2.896,4.622,1.726,14.587,0.917,
2011-07-19,4.375,7.25,2.875,5.458,1.292,
2011-07-20,3.625,4.875,1.25,12.209,1.167,
2011-07-21,2.236,3.22,0.984,19.208,0.945,
2011-07-22,3.521,4.438,0.916,12.642,0.889,
2011-07-23,3.542,4.729,1.188,16.25,1.045,
2011-07-24,3.208,4.188,0.979,21.908,1.569,
2011-07-25,4.8,5.636,0.836,23.182,1.333,
2011-07-26,4.0,5.188,1.188,17.917,1.944,
2011-07-27,4.854,5.625,0.771,11.725,1.577,
2011-07-28,2.892,4.116,1.225,20.075,1.944,
2011-07-29,2.375,3.333,0.958,19.659,0.903,
2011-07-30,1.458,1.625,0.167,18.533,0.806,
2011-07-31,0.875,0.875,0.0,11.75,0.931,
2011-08-01,2.174,2.478,0.304,19.525,1.445,
2011-08-02,3.292,3.5,0.208,19.15,2.139,
2011-08-03,3.292,3.792,0.5,16.817,1.833,
2011-08-04,4.458,5.042,0.583,23.367,1.819,
2011-08-05,2.917,3.042,0.125,18.642,1.297,
2011-08-06,3.542,4.25,0.708,12.933,1.168,
2011-08-07,2.167,2.25,0.083,16.2,1.417,
2011-08-08,4.68,5.416,0.736,20.868,1.653,
2011-08-09,4.667,5.417,0.75,19.692,1.708,
2011-08-10,4.174,5.214,1.04,27.683,1.792,
2011-08-11,2.875,3.917,1.042,20.917,1.097,
2011-08-12,3.104,3.834,0.729,28.646,0.861,
2011-08-13,1.938,2.604,0.666,15.633,0.806,
2011-08-14,2.375,2.958,0.584,23.858,1.514,
2011-08-15,2.606,3.232,0.626,24.175,1.417,
2011-08-16,2.208,2.708,0.5,29.834,1.333,
2011-08-17,3.152,3.8,0.648,32.052,1.847,
2011-08-18,2.771,3.042,0.271,23.03,1.569,
2011-08-19,4.278,4.623,0.345,6.421,1.083,
2011-08-20,3.958,4.25,0.292,9.259,1.1,
2011-08-21,2.958,3.458,0.5,7.875,0.75,
2011-08-22,3.789,4.166,0.378,10.333,0.917,
2011-08-23,6.042,6.875,0.834,15.892,1.097,
2011-08-24,5.938,7.75,1.812,22.425,1.5,
2011-08-25,4.396,7.917,3.521,12.1,1.166,
2011-08-26,4.752,7.882,3.13,12.008,1.264,
2011-08-27,3.584,4.958,1.375,14.784,1.018,
2011-08-28,3.0,3.562,0.562,18.885,1.125,
2011-08-29,4.595,5.829,1.234,25.438,1.458,
2011-08-30,6.166,7.0,0.833,31.177,1.459,
2011-08-31,6.625,7.875,1.25,37.636,1.472,
2011-09-01,5.229,7.854,2.625,18.438,1.375,
2011-09-02,4.921,8.336,3.415,12.521,1.167,
2011-09-03,0.771,0.854,0.084,13.979,0.847,
2011-09-04,1.688,1.938,0.25,6.969,0.833,
2011-09-05,3.619,4.187,0.568,8.125,0.833,
2011-09-06,3.584,4.125,0.542,9.104,1.319,
2011-09-07,3.73,4.125,0.395,11.667,1.855,
2011-09-08,5.729,6.146,0.416,20.333,2.847,
2011-09-09,7.73,8.992,1.261,24.793,1.954,
2011-09-10,5.938,7.021,1.084,32.438,1.729,
2011-09-11,2.938,3.896,0.958,15.094,1.278,
2011-09-12,4.598,5.874,1.276,15.827,2.232,
2011-09-13,4.846,5.857,1.011,17.339,1.486,
2011-09-14,6.229,7.23,1.0,27.199,1.889,
2011-09-15,5.104,6.229,1.125,16.408,2.389,
2011-09-16,5.208,7.771,2.562,15.434,1.086,
2011-09-17,4.334,7.312,2.979,8.364,0.876,
2011-09-18,1.812,3.0,1.188,10.094,1.014,
2011-09-19,3.342,4.223,0.881,10.958,0.931,
2011-09-20,10.604,12.334,1.731,5.241,0.722,
