date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,9.238,12.327,3.089,5.486,48.535,,197.375,6.042,16.75,214.125
2011-01-02,11.887,17.619,5.732,2.882,15.035,,194.979,5.854,16.542,211.52
2011-01-03,11.239,15.206,3.967,4.215,33.479,,195.354,5.829,16.792,212.146
2011-01-04,10.513,15.991,5.478,3.05,20.977,,192.666,4.726,15.438,208.104
2011-01-05,14.071,22.798,8.726,2.366,14.056,,191.625,5.461,16.604,208.229
2011-01-06,17.377,30.33,12.952,2.735,17.88,,195.359,6.73,21.32,216.679
2011-01-07,18.065,35.024,16.958,2.534,22.472,,199.125,8.312,33.396,232.521
2011-01-08,11.521,16.792,5.271,2.433,15.475,,191.458,7.0,14.833,206.292
2011-01-09,15.264,22.622,7.357,7.181,42.3,,198.5,8.583,16.458,214.958
2011-01-10,21.023,41.297,20.273,5.738,59.011,,203.118,10.872,29.748,232.867
2011-01-11,15.201,29.615,14.415,3.75,28.68,,195.772,7.896,20.371,216.144
2011-01-12,18.086,38.195,20.109,3.005,16.424,,198.479,7.646,26.708,225.188
2011-01-13,15.838,26.013,10.175,4.444,28.882,,193.737,6.292,17.391,211.128
2011-01-14,19.728,35.215,15.487,3.684,35.764,,197.396,7.333,27.48,224.875
2011-01-15,13.3,19.705,6.405,2.778,16.952,,193.0,5.476,19.23,212.229
2011-01-16,15.151,25.305,10.153,2.48,15.908,,190.021,5.375,17.604,207.625
2011-01-17,14.669,26.241,11.572,2.375,11.35,,192.454,5.358,20.842,213.295
2011-01-18,21.021,39.758,18.738,2.878,16.097,,191.224,8.02,27.226,218.45
2011-01-19,19.543,38.341,18.798,2.502,27.072,,189.702,8.454,26.521,216.223
2011-01-20,11.551,20.152,8.601,2.535,11.958,,192.95,5.37,15.256,208.206
2011-01-21,9.399,15.071,5.673,2.234,8.701,,192.458,4.292,12.75,205.208
2011-01-22,11.518,16.798,5.28,2.139,13.958,,194.98,4.916,15.375,210.354
2011-01-23,10.983,19.046,8.063,2.213,10.69,,194.375,5.02,14.172,208.548
2011-01-24,11.55,19.842,8.292,3.233,19.965,,201.202,5.792,15.544,216.746
2011-01-25,11.852,19.978,8.126,3.62,23.028,,202.815,5.99,15.924,218.739
2011-01-26,14.613,24.701,10.088,2.555,10.958,,203.48,6.25,19.625,223.104
2011-01-27,18.262,31.137,12.875,3.257,21.875,,197.038,7.438,23.614,220.652
2011-01-28,14.749,23.223,8.473,3.545,33.334,,198.75,6.458,20.73,219.48
2011-01-29,11.322,16.177,4.855,3.923,25.632,,199.354,5.521,14.438,213.792
2011-01-30,15.638,28.098,12.46,2.889,18.677,,198.098,6.289,21.378,219.476
2011-01-31,20.53,35.494,14.964,4.675,25.917,,193.292,7.979,22.708,216.0
2011-02-01,10.964,15.749,4.785,3.768,32.625,,192.886,5.354,12.655,205.542
2011-02-02,11.019,18.028,7.009,2.38,11.271,,189.958,4.854,10.667,200.625
2011-02-03,16.768,29.748,12.981,2.722,13.952,,192.873,6.229,18.645,211.518
2011-02-04,16.771,31.318,14.548,3.756,26.75,,196.5,7.574,18.5,215.0
2011-02-05,14.053,20.542,6.488,3.076,35.0,,197.042,6.479,17.604,214.646
2011-02-06,18.595,37.488,18.893,3.076,32.271,,206.792,8.125,29.188,235.979
2011-02-07,10.834,17.394,6.56,3.028,19.944,,193.666,5.562,13.416,207.084
2011-02-08,9.19,16.085,6.895,2.3,11.75,,191.837,4.062,10.464,202.301
2011-02-09,12.352,21.766,9.414,2.44,14.528,,192.625,5.504,12.084,204.708
2011-02-10,16.714,28.946,12.232,2.792,14.632,,193.258,6.02,16.699,209.958
2011-02-11,14.256,24.298,10.042,2.812,12.445,,195.396,5.417,17.771,213.166
2011-02-12,12.848,19.092,6.244,2.896,14.75,,197.77,5.375,17.083,214.854
2011-02-13,19.139,37.418,18.279,2.729,21.868,,196.104,7.042,24.75,220.854
2011-02-14,20.092,41.917,21.825,2.464,20.535,,200.792,7.437,29.562,230.354
2011-02-15,14.479,22.109,7.63,2.585,30.51,,197.942,6.047,15.67,213.612
2011-02-16,14.738,26.658,11.92,2.532,17.125,,196.98,4.896,17.25,214.229
2011-02-17,9.802,15.682,5.88,2.785,15.514,,191.466,5.271,11.173,202.638
2011-02-18,11.237,18.282,7.045,2.395,15.979,,192.938,5.958,11.646,204.584
2011-02-19,10.649,15.465,4.817,2.465,15.278,,193.084,5.142,12.584,205.666
2011-02-20,16.915,27.516,10.601,2.597,14.43,,194.062,6.334,17.646,211.708
2011-02-21,17.554,28.35,10.795,2.681,17.747,,195.73,6.0,21.125,216.854
2011-02-22,17.703,30.363,12.659,3.177,16.183,,196.242,6.584,21.014,217.256
2011-02-23,14.596,22.346,7.75,2.979,22.153,,197.667,7.02,18.562,216.23
2011-02-24,14.277,19.495,5.219,4.979,41.958,,196.418,9.063,17.513,213.932
2011-02-25,14.881,20.667,5.786,2.822,27.285,,194.312,6.521,15.562,209.875
2011-02-26,11.19,15.25,4.059,2.257,13.084,,194.25,5.042,15.146,209.396
2011-02-27,13.086,22.762,9.676,2.25,10.094,,198.188,5.98,19.875,218.062
2011-02-28,13.749,22.031,8.282,3.558,12.384,,197.688,4.896,19.666,217.354
2011-03-01,21.725,44.063,22.339,2.837,18.736,,204.375,7.25,33.375,237.75
2011-03-02,15.512,25.786,10.274,2.708,13.043,,199.208,6.708,23.458,222.667
2011-03-03,9.939,13.284,3.345,2.595,18.658,,191.25,3.938,11.5,202.75
2011-03-04,10.893,15.0,4.107,2.696,17.715,,194.25,5.792,15.25,209.5
2011-03-05,16.514,28.538,12.024,2.439,9.102,,194.458,7.47,23.667,218.125
2011-03-06,14.883,22.307,7.424,2.646,32.722,,188.662,8.041,17.532,206.194
2011-03-07,18.893,29.91,11.017,3.812,51.083,,190.372,9.779,19.771,210.142
2011-03-08,15.491,23.714,8.223,3.68,51.794,,192.229,10.292,20.188,212.416
2011-03-09,10.422,14.767,4.345,2.677,28.035,,191.93,6.812,10.441,202.372
2011-03-10,10.452,14.756,4.304,2.235,17.695,,191.334,5.761,10.25,201.583
2011-03-11,9.791,12.512,2.722,4.174,30.681,,193.916,5.354,12.521,206.438
2011-03-12,11.637,17.375,5.738,2.632,12.67,,190.0,4.375,10.188,200.188
2011-03-13,15.554,23.613,8.06,3.188,14.653,,192.25,5.75,16.396,208.646
2011-03-14,18.065,27.229,9.164,3.58,23.403,,194.209,7.041,21.712,215.922
2011-03-15,18.28,27.84,9.559,4.98,43.035,,196.396,6.615,23.979,220.375
2011-03-16,15.96,23.022,7.062,3.555,35.018,,192.522,5.646,16.364,208.885
2011-03-17,13.089,16.952,3.863,1.415,32.153,,194.416,6.458,16.938,211.354
2011-03-18,13.949,17.275,3.325,1.028,27.486,,194.604,6.916,15.458,210.062
2011-03-19,13.127,21.073,7.947,1.215,24.371,,194.428,6.354,15.534,209.962
2011-03-20,14.429,20.274,5.845,1.437,20.06,,193.27,6.036,16.916,210.188
2011-03-21,16.986,26.261,9.275,1.743,17.069,,194.232,6.984,19.411,213.644
2011-03-22,16.967,25.942,8.975,1.75,21.007,,192.375,6.458,21.458,213.834
2011-03-23,12.185,17.97,5.786,1.317,18.68,,190.494,6.021,17.22,207.714
2011-03-24,9.726,13.214,3.488,2.855,37.694,,191.666,6.625,12.375,204.042
2011-03-25,7.476,9.19,1.714,2.033,18.076,,191.875,4.19,10.604,202.48
2011-03-26,12.372,17.119,4.747,1.752,16.183,,192.771,6.229,14.5,207.271
2011-03-27,17.105,24.414,7.309,2.378,19.621,,195.229,6.02,17.521,212.75
2011-03-28,17.606,24.714,7.108,2.905,40.548,,194.978,6.762,20.331,215.308
2011-03-29,16.489,21.765,5.276,5.055,38.194,,193.146,6.562,16.479,209.625
2011-03-30,10.634,13.657,3.023,3.375,31.556,,188.074,4.369,11.114,199.188
2011-03-31,8.911,11.744,2.833,2.656,26.174,,189.708,4.375,10.146,199.854
2011-04-01,20.833,26.262,5.428,2.812,37.643,,193.625,9.405,24.792,218.416
2011-04-02,13.94,17.845,3.905,1.562,37.604,,191.417,6.542,20.667,212.083
2011-04-03,7.351,9.124,1.773,1.32,22.847,,189.416,3.812,11.146,200.562
2011-04-04,8.245,11.378,3.132,1.128,14.194,,189.678,2.935,11.661,201.339
2011-04-05,14.184,20.162,5.978,1.542,15.104,,191.688,4.75,18.062,209.75
2011-04-06,18.071,24.791,6.72,2.858,17.195,,189.81,6.084,19.698,209.508
2011-04-07,8.822,11.568,2.747,2.178,15.505,,186.938,3.208,11.896,198.834
2011-04-08,12.497,17.459,4.961,1.095,25.101,,187.562,4.271,16.125,203.688
2011-04-09,13.156,17.822,4.666,1.569,36.146,,191.292,5.334,18.292,209.584
2011-04-10,14.253,16.977,2.724,2.312,33.596,,192.458,5.896,18.667,211.125
2011-04-11,16.64,22.447,5.807,1.623,36.646,,195.021,7.004,24.166,219.188
2011-04-12,15.589,20.643,5.053,1.431,30.222,,192.0,6.104,19.646,211.646
2011-04-13,17.218,21.703,4.485,3.309,32.82,,192.256,5.5,20.138,212.394
2011-04-14,14.874,19.478,4.604,2.15,25.263,,190.576,5.25,18.622,209.198
2011-04-15,13.792,19.187,5.396,1.188,49.811,,188.208,5.208,18.042,206.25
2011-04-16,12.22,15.434,3.214,1.325,56.702,,190.833,6.334,15.833,206.667
2011-04-17,12.232,15.22,2.988,1.708,30.486,,191.166,5.812,17.25,208.416
2011-04-18,11.266,14.595,3.33,1.368,28.124,,188.667,3.688,14.605,203.27
2011-04-19,12.817,17.122,4.305,1.125,16.038,,190.646,5.146,15.605,206.25
2011-04-20,14.715,19.921,5.205,1.188,20.956,,191.513,5.87,19.142,210.654
2011-04-21,17.413,22.833,5.42,1.991,28.766,,190.5,6.506,19.438,209.938
2011-04-22,11.667,15.369,3.702,1.761,25.466,,186.39,5.042,13.986,200.375
2011-04-23,12.762,15.663,2.902,1.197,28.854,,188.958,4.0,15.292,204.25
2011-04-24,13.268,16.049,2.781,1.216,34.035,,191.5,5.77,15.354,206.854
2011-04-25,14.606,18.575,3.969,2.047,32.1,,191.059,5.812,17.36,208.419
2011-04-26,8.75,11.232,2.482,1.573,33.8,,185.812,2.77,12.104,197.916
2011-04-27,11.675,14.722,3.047,1.475,36.764,,187.981,4.5,14.168,202.148
2011-04-28,13.133,17.719,4.586,1.558,22.493,,190.77,4.818,15.312,206.084
2011-04-29,12.298,16.31,4.012,1.823,19.132,,191.94,5.084,17.334,209.272
2011-04-30,7.291,9.616,2.325,1.886,33.562,,186.708,4.125,11.812,198.521
2011-05-01,8.821,11.476,2.655,1.312,85.07,,186.812,4.938,12.75,199.562
2011-05-02,12.589,19.155,6.565,1.668,190.118,,192.718,6.304,18.935,211.652
2011-05-03,14.466,19.102,4.636,1.188,140.632,,193.312,6.875,19.0,212.312
2011-05-04,12.4,15.337,2.937,1.873,67.333,,190.576,3.0,17.796,208.37
2011-05-05,10.684,12.636,1.952,1.742,53.076,,188.917,3.685,15.396,204.312
2011-05-06,15.78,21.232,5.452,1.389,30.792,,188.816,5.542,19.654,208.47
2011-05-07,14.619,22.03,7.411,1.184,19.75,,187.23,7.896,21.125,208.354
2011-05-08,9.799,12.175,2.376,1.215,35.243,,185.292,3.188,14.271,199.562
2011-05-09,7.985,14.11,6.125,1.276,26.747,,182.0,3.73,16.75,198.75
2011-05-10,6.309,12.167,5.858,1.188,15.889,,176.979,1.354,12.562,189.542
2011-05-11,5.869,12.754,6.885,1.318,21.076,,178.513,3.312,13.158,191.671
2011-05-12,9.65,17.306,7.656,1.218,22.306,,181.812,7.604,16.98,198.792
2011-05-13,13.387,18.241,4.853,2.674,50.819,,191.435,5.354,16.522,207.956
2011-05-14,15.632,18.387,2.754,2.852,40.854,,193.966,5.521,17.157,211.123
2011-05-15,14.195,16.44,2.245,3.167,48.035,,192.334,5.75,16.334,208.666
2011-05-16,14.536,17.744,3.208,2.298,48.72,,191.634,5.896,18.145,209.779
