date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CO_mean
2011-01-01,5.583,8.222,2.639,,4.354,4.667
2011-01-02,5.861,8.055,2.194,,4.396,5.167
2011-01-03,7.25,10.028,2.778,,6.188,6.25
2011-01-04,7.167,10.208,3.042,,6.728,5.783
2011-01-05,14.002,23.565,9.563,,5.006,7.583
2011-01-06,14.893,25.086,10.193,,4.782,6.125
2011-01-07,11.208,18.333,7.125,,3.979,6.0
2011-01-08,9.764,14.222,4.458,,4.021,6.125
2011-01-09,11.208,17.764,6.555,,5.938,6.042
2011-01-10,14.959,23.417,8.458,,5.98,7.708
2011-01-11,10.514,18.361,7.847,,5.0,6.739
2011-01-12,12.574,20.941,8.366,,4.396,7.583
2011-01-13,14.139,23.653,9.514,,5.5,7.833
2011-01-14,14.542,22.597,8.056,,6.666,8.542
2011-01-15,10.403,14.694,4.292,,4.521,6.708
2011-01-16,10.458,18.931,8.472,,3.5,6.833
2011-01-17,7.653,13.069,5.417,,2.896,5.917
2011-01-18,13.958,24.444,10.486,,3.708,7.739
2011-01-19,15.261,36.52,21.259,,3.326,7.792
2011-01-20,8.056,16.5,8.444,,2.666,6.292
2011-01-21,11.361,23.347,11.986,,2.458,7.625
2011-01-22,6.681,12.194,5.514,,2.708,5.667
2011-01-23,6.944,12.208,5.264,,3.146,5.292
2011-01-24,9.611,15.736,6.125,,4.1,5.333
2011-01-25,9.764,16.375,6.611,,4.438,6.565
2011-01-26,12.194,20.192,7.998,,3.938,6.625
2011-01-27,15.167,25.194,10.028,,5.354,8.417
2011-01-28,12.57,19.68,7.111,,5.479,8.417
2011-01-29,7.431,11.208,3.778,,4.229,5.125
2011-01-30,14.389,23.917,9.528,,4.77,7.167
2011-01-31,12.708,20.569,7.861,,4.729,6.875
2011-02-01,10.68,17.083,6.403,,5.354,6.696
2011-02-02,7.015,10.53,3.515,,3.804,4.75
2011-02-03,11.694,19.359,7.665,,4.479,7.167
2011-02-04,14.194,21.736,7.542,,6.166,6.792
2011-02-05,11.319,16.181,4.861,,5.0,7.208
2011-02-06,14.722,30.875,16.153,,3.48,7.75
2011-02-07,11.125,21.694,10.569,,3.292,7.833
2011-02-08,7.625,12.125,4.5,,3.625,5.87
2011-02-09,11.005,20.751,9.746,,4.042,7.625
2011-02-10,10.764,16.917,6.153,,3.896,7.0
2011-02-11,8.431,12.875,4.445,,3.812,6.333
2011-02-12,8.569,12.069,3.5,,3.896,6.25
2011-02-13,15.167,26.861,11.694,,3.062,6.792
2011-02-14,16.431,42.222,25.792,,2.708,10.042
2011-02-15,15.43,27.208,11.778,,2.729,9.696
2011-02-16,8.364,13.493,5.129,,3.386,6.542
2011-02-17,8.236,14.319,6.083,,3.792,5.75
2011-02-18,7.278,11.722,4.444,,3.688,5.5
2011-02-19,6.653,10.125,3.472,,3.916,4.917
2011-02-20,11.111,17.903,6.792,,3.75,6.083
2011-02-21,14.666,22.667,8.0,,6.062,7.833
2011-02-22,13.111,25.597,12.486,,3.646,7.833
2011-02-23,8.78,17.191,8.41,,3.146,6.125
2011-02-24,7.403,10.292,2.889,,5.438,6.875
2011-02-25,12.569,20.389,7.819,,3.084,8.542
2011-02-26,5.083,7.264,2.181,,3.104,4.833
2011-02-27,9.305,14.959,5.653,,3.75,6.5
2011-02-28,9.597,15.417,5.819,,3.458,6.25
2011-03-01,13.08,23.611,10.531,,3.24,8.0
2011-03-02,14.583,27.208,12.625,,2.812,9.042
2011-03-03,4.444,7.25,2.806,,2.896,5.375
2011-03-04,7.194,12.18,4.986,,2.25,6.292
2011-03-05,17.264,30.417,13.153,,2.271,9.875
2011-03-06,10.625,18.153,7.528,,3.166,7.833
2011-03-07,9.764,13.666,3.903,,4.02,7.708
2011-03-08,10.551,17.701,7.15,,3.996,8.083
2011-03-09,9.986,16.903,6.917,,2.562,9.083
2011-03-10,5.542,8.097,2.555,,2.979,5.708
2011-03-11,4.611,6.528,1.917,,5.125,5.542
2011-03-12,6.472,9.542,3.07,,3.396,4.792
2011-03-13,9.708,14.75,5.041,,4.0,6.083
2011-03-14,11.671,16.984,5.313,,4.708,5.583
2011-03-15,12.269,18.183,5.914,,5.739,6.391
2011-03-16,13.24,21.178,7.938,,4.271,8.375
2011-03-17,15.972,29.0,13.028,,2.646,8.833
2011-03-18,12.375,21.236,8.861,,2.333,9.875
2011-03-19,8.458,14.528,6.069,,2.792,6.458
2011-03-20,9.611,14.972,5.361,,3.375,6.208
2011-03-21,11.167,16.68,5.514,,4.271,6.417
2011-03-22,10.615,15.821,5.206,,7.188,5.696
2011-03-23,15.292,25.528,10.236,,2.979,7.083
2011-03-24,6.208,8.472,2.264,,4.188,6.625
2011-03-25,4.57,6.278,1.708,,3.646,4.25
2011-03-26,8.611,12.445,3.833,,3.708,5.25
2011-03-27,10.431,15.195,4.764,,4.188,5.667
2011-03-28,9.097,12.931,3.833,,5.02,5.875
2011-03-29,10.096,13.743,3.648,,4.587,5.739
2011-03-30,10.305,14.375,4.07,,3.875,5.583
2011-03-31,7.75,11.208,3.458,,2.708,4.958
2011-04-01,10.991,15.077,4.086,,7.146,3.833
2011-04-02,9.319,13.042,3.722,,6.771,2.833
2011-04-03,3.111,4.111,1.0,,4.667,1.667
2011-04-04,3.181,4.806,1.625,,3.438,1.458
2011-04-05,7.708,10.972,3.264,,4.25,2.375
2011-04-06,7.972,11.055,3.083,,4.854,2.167
2011-04-07,6.894,10.399,3.504,,4.542,1.625
2011-04-08,9.139,13.681,4.542,,2.708,3.125
2011-04-09,5.958,10.222,4.264,,3.938,1.875
2011-04-10,5.639,7.875,2.236,,5.375,2.083
2011-04-11,5.361,8.07,2.708,,5.584,2.458
2011-04-12,6.167,8.639,2.472,,4.292,2.5
2011-04-13,6.903,9.875,2.972,,6.771,2.292
2011-04-14,8.099,11.01,2.91,,5.696,2.208
2011-04-15,11.0,14.93,3.931,,4.375,3.75
2011-04-16,7.597,12.097,4.5,,4.52,2.708
2011-04-17,4.972,6.903,1.931,,4.23,2.208
2011-04-18,11.653,21.195,9.542,,2.666,3.875
2011-04-19,7.194,11.028,3.833,,2.854,3.292
2011-04-20,5.875,8.486,2.611,,3.188,2.542
2011-04-21,7.981,11.828,3.847,,3.916,9.609
2011-04-22,12.875,19.694,6.819,,2.73,17.0
2011-04-23,5.222,7.625,2.403,,3.084,15.125
2011-04-24,4.666,6.569,1.903,,3.688,15.167
2011-04-25,6.722,9.681,2.958,,4.188,15.333
2011-04-26,7.792,11.5,3.708,,5.479,14.958
2011-04-27,7.222,11.514,4.292,,2.792,15.292
2011-04-28,7.375,10.446,3.071,,3.544,14.792
2011-04-29,5.653,9.375,3.722,,3.917,14.75
2011-04-30,7.583,12.264,4.681,,3.562,15.167
2011-05-01,4.264,6.847,2.584,,2.646,14.167
2011-05-02,8.736,13.236,4.5,,4.27,14.458
2011-05-03,6.403,9.695,3.292,,2.75,15.542
2011-05-04,4.958,7.764,2.806,,2.562,14.458
2011-05-05,5.221,7.795,2.575,,3.23,14.417
2011-05-06,6.069,9.361,3.292,,2.646,14.667
2011-05-07,5.514,9.042,3.528,,3.125,14.25
2011-05-08,3.694,5.931,2.236,,2.875,13.25
2011-05-09,6.375,9.958,3.583,,3.73,14.167
2011-05-10,5.528,10.653,5.125,,2.5,14.292
2011-05-11,4.528,10.042,5.514,,1.688,13.833
2011-05-12,5.388,13.772,8.384,,2.109,14.292
2011-05-13,6.167,9.528,3.361,,4.104,14.042
2011-05-14,6.458,9.028,2.569,,4.708,14.25
2011-05-15,5.069,6.597,1.528,,5.166,14.25
2011-05-16,6.375,8.639,2.264,,5.084,13.958
2011-05-17,6.028,8.681,2.653,,4.646,14.0
2011-05-18,7.861,10.472,2.611,,4.938,14.25
2011-05-19,5.947,8.663,2.716,,4.125,14.0
2011-05-20,4.75,7.208,2.458,,3.625,13.375
2011-05-21,4.792,8.083,3.292,,3.375,12.708
2011-05-22,3.458,6.0,2.542,,3.042,12.458
2011-05-23,6.458,11.416,4.958,,1.938,13.958
2011-05-24,6.514,10.028,3.514,,2.438,14.0
2011-05-25,6.181,9.208,3.028,,3.062,13.708
2011-05-26,7.694,22.658,14.963,,2.674,7.522
2011-05-27,7.611,20.25,12.639,,1.938,1.667
2011-05-28,9.833,22.583,12.75,,1.898,1.833
2011-05-29,5.806,13.403,7.597,,2.084,0.542
2011-05-30,3.597,7.097,3.5,,3.25,0.875
2011-05-31,5.07,9.0,3.931,,3.562,0.667
2011-06-01,6.431,11.125,4.695,,2.75,0.917
2011-06-02,6.677,11.787,5.11,,4.0,6.043
2011-06-03,6.653,11.944,5.292,,2.98,13.417
2011-06-04,4.459,8.125,3.666,,2.646,13.208
2011-06-05,4.431,8.542,4.111,,1.875,13.417
2011-06-06,6.028,10.861,4.833,,2.604,12.792
2011-06-07,7.33,12.952,5.622,,1.708,13.75
2011-06-08,6.667,10.167,3.5,,1.416,13.583
2011-06-09,7.692,12.355,4.663,,3.152,12.708
2011-06-10,7.667,12.945,5.278,,2.958,13.417
2011-06-11,8.792,16.264,7.472,,2.125,13.75
2011-06-12,6.903,10.528,3.625,,2.042,13.333
2011-06-13,8.056,13.222,5.167,,2.812,12.625
2011-06-14,6.542,9.778,3.236,,2.056,13.792
2011-06-15,8.347,12.125,3.778,,4.222,14.792
2011-06-16,9.568,15.72,6.152,,2.521,15.042
2011-06-17,6.958,12.264,5.305,,2.916,14.583
2011-06-18,9.153,14.805,5.653,,2.562,15.125
2011-06-19,6.778,10.541,3.764,,2.604,14.125
2011-06-20,9.042,14.597,5.556,,2.542,13.875
2011-06-21,8.222,16.625,8.403,,3.562,12.708
2011-06-22,5.792,13.125,7.333,,3.958,12.333
2011-06-23,3.776,10.687,6.911,,3.701,11.25
2011-06-24,3.361,9.625,6.264,,3.542,11.333
2011-06-25,2.875,7.764,4.889,,3.729,11.417
2011-06-26,1.694,4.153,2.458,,2.188,10.708
2011-06-27,3.083,9.375,6.292,,2.354,11.708
2011-06-28,3.653,8.805,5.153,,3.688,12.25
2011-06-29,4.097,9.986,5.889,,3.812,12.208
2011-06-30,4.979,10.453,5.475,,4.104,12.292
2011-07-01,5.972,12.278,6.305,,3.084,13.125
2011-07-02,5.514,9.569,4.056,,4.042,13.0
2011-07-03,4.75,8.0,3.25,,3.354,12.792
2011-07-04,5.0,9.236,4.236,,3.771,11.5
2011-07-05,7.111,10.778,3.667,,5.479,11.208
2011-07-06,8.083,14.125,6.042,,3.27,11.917
2011-07-07,6.503,16.012,9.509,,2.37,10.556
2011-07-08,4.194,12.778,8.583,,1.896,5.739
2011-07-09,3.153,10.208,7.056,,2.084,4.958
2011-07-10,2.5,6.708,4.209,,2.646,3.375
2011-07-11,3.181,8.791,5.611,,2.166,3.917
2011-07-12,3.319,11.306,7.986,,2.021,4.875
2011-07-13,4.083,11.18,7.097,,2.166,4.565
2011-07-14,3.907,10.129,6.222,,2.646,3.542
2011-07-15,5.333,13.0,7.666,,2.979,3.833
2011-07-16,4.389,10.389,6.0,,2.916,3.917
2011-07-17,2.444,5.653,3.208,,2.584,3.458
2011-07-18,3.584,10.792,7.208,,1.688,3.833
2011-07-19,1.82,4.291,2.472,,1.688,2.125
2011-07-20,3.736,8.597,4.861,,2.583,4.087
2011-07-21,5.334,9.275,3.941,,2.913,4.708
2011-07-22,6.903,10.917,4.014,,2.104,7.167
2011-07-23,4.694,9.278,4.583,,2.375,4.125
2011-07-24,3.472,6.291,2.82,,2.542,3.958
2011-07-25,6.778,12.222,5.444,,2.188,5.25
2011-07-26,5.208,10.055,4.847,,1.875,4.75
2011-07-27,4.736,12.222,7.486,,1.646,4.522
2011-07-28,4.334,11.761,7.427,,1.833,4.375
2011-07-29,6.167,11.875,5.708,,2.604,4.727
2011-07-30,5.5,12.736,7.236,,2.917,5.333
2011-07-31,4.236,7.014,2.778,,2.542,4.75
2011-08-01,5.653,9.972,4.32,,2.688,5.708
2011-08-02,4.805,10.264,5.458,,2.416,5.583
2011-08-03,3.417,9.25,5.833,,2.312,3.783
2011-08-04,4.34,14.7,10.361,,2.37,4.125
2011-08-05,4.125,13.611,9.486,,2.25,4.25
2011-08-06,2.264,8.083,5.819,,1.584,3.583
2011-08-07,2.514,8.042,5.528,,1.979,2.875
2011-08-08,3.333,9.736,6.403,,1.771,3.5
2011-08-09,4.569,10.792,6.222,,1.916,4.0
2011-08-10,4.681,11.25,6.569,,2.688,4.652
2011-08-11,6.148,10.951,4.803,,3.396,4.208
2011-08-12,5.319,8.875,3.556,,3.666,4.625
2011-08-13,4.042,6.653,2.611,,3.167,4.125
2011-08-14,3.111,5.417,2.306,,4.146,3.75
2011-08-15,3.82,6.736,2.917,,3.938,3.958
2011-08-16,4.792,8.417,3.625,,3.75,5.25
2011-08-17,4.486,8.75,4.264,,10.142,4.522
2011-08-18,4.728,8.554,3.826,,8.065,4.167
2011-08-19,7.375,11.847,4.472,,3.25,5.75
2011-08-20,6.667,9.875,3.208,,2.708,5.0
2011-08-21,5.042,8.306,3.264,,1.579,4.958
2011-08-22,5.153,10.069,4.917,,2.125,4.792
2011-08-23,4.861,10.694,5.833,,1.688,4.667
2011-08-24,4.18,9.514,5.333,,1.916,4.667
2011-08-25,5.08,16.312,11.232,,1.375,5.708
2011-08-26,4.125,13.097,8.972,,1.875,4.042
2011-08-27,4.056,10.264,6.208,,2.396,3.917
2011-08-28,2.792,5.472,2.681,,2.521,4.042
2011-08-29,4.806,10.458,5.653,,2.77,4.042
2011-08-30,5.778,10.139,4.361,,3.146,4.458
2011-08-31,5.583,9.931,4.347,,3.25,5.217
2011-09-01,5.475,14.21,8.735,,2.544,6.25
2011-09-02,4.944,14.722,9.778,,1.812,4.542
2011-09-03,4.972,11.861,6.889,,1.375,6.667
2011-09-04,3.917,8.25,4.333,,1.416,5.083
2011-09-05,4.778,8.528,3.75,,3.27,4.125
2011-09-06,7.444,11.486,4.042,,4.521,5.25
2011-09-07,7.972,12.208,4.236,,4.312,4.913
2011-09-08,6.709,10.696,3.986,,4.146,5.0
2011-09-09,5.736,12.764,7.028,,2.354,5.875
2011-09-10,3.958,10.305,6.347,,2.146,5.542
2011-09-11,2.417,6.278,3.861,,2.23,3.5
2011-09-12,4.361,10.139,5.778,,2.646,5.25
2011-09-13,3.989,11.294,7.306,,2.625,4.333
2011-09-14,5.286,10.525,5.239,,2.812,4.652
2011-09-15,4.537,10.924,6.387,,2.848,5.417
2011-09-16,3.792,12.139,8.347,,1.708,6.125
2011-09-17,1.417,8.458,7.042,,1.312,3.708
2011-09-18,1.181,7.083,5.903,,1.25,2.958
2011-09-19,3.167,11.833,8.667,,1.52,4.292
2011-09-20,2.097,7.0,4.903,,1.354,4.833
2011-09-21,3.458,9.889,6.431,,2.834,3.13
2011-09-22,3.217,5.236,2.019,,3.771,3.833
2011-09-23,4.375,6.917,2.542,,4.334,4.042
2011-09-24,7.166,11.944,4.778,,7.334,5.25
2011-09-25,5.75,8.945,3.194,,3.917,5.25
2011-09-26,6.764,14.861,8.097,,2.688,6.875
2011-09-27,7.125,13.806,6.681,,3.729,5.833
2011-09-28,7.431,11.653,4.222,,3.375,5.174
2011-09-29,7.536,13.561,6.026,,3.13,6.25
2011-09-30,8.139,14.264,6.125,,2.958,8.625
2011-10-01,5.472,9.444,3.972,,4.062,5.083
2011-10-02,3.722,6.417,2.694,,3.812,4.0
2011-10-03,4.125,6.236,2.111,,4.396,3.875
2011-10-04,8.556,14.222,5.667,,3.938,6.167
2011-10-05,8.264,16.43,8.167,,2.708,6.0
2011-10-06,6.355,11.417,5.062,,3.166,4.625
2011-10-07,8.792,13.236,4.445,,4.52,6.542
2011-10-08,7.347,11.417,4.069,,3.938,6.208
2011-10-09,4.208,6.736,2.528,,3.771,5.083
2011-10-10,5.111,9.167,4.056,,2.625,4.542
2011-10-11,9.416,16.611,7.194,,3.584,5.833
2011-10-12,8.5,14.805,6.305,,4.292,6.261
2011-10-13,9.097,18.829,9.732,,2.848,7.542
2011-10-14,7.069,15.486,8.417,,1.98,6.042
2011-10-15,7.694,18.153,10.458,,1.958,7.292
2011-10-16,5.597,9.111,3.514,,3.542,5.375
2011-10-17,9.514,15.819,6.306,,4.166,6.708
2011-10-18,7.861,12.569,4.708,,4.438,5.333
2011-10-19,8.486,13.556,5.069,,4.188,6.043
2011-10-20,8.284,13.846,5.562,,3.625,6.125
