date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,PM25_mean
2011-01-01,71.0,56.3335,38.0,12.847999999999999,15.696000000000002,2.848,0.9345,11.396,78.0,29.3335,-3.0,
2011-01-02,78.0,56.5415,31.0,9.75,12.896,3.146,0.9375,5.5835,105.5,35.0625,-11.0,
2011-01-03,65.0,45.9375,21.0,9.5625,13.0415,3.479,0.5835,2.6875,100.0,27.2085,-31.5,
2011-01-04,71.5,55.271,32.5,11.208,17.167,5.958,1.1455,5.25,94.5,25.958,-22.0,
2011-01-05,58.5,40.7085,20.5,15.0625,24.729,9.6665,0.979,3.8125,88.0,20.3125,-29.0,
2011-01-06,72.0,51.9585,29.5,20.146,33.896,13.75,1.146,6.458,93.5,24.3125,-30.5,
2011-01-07,78.0,51.229,19.0,14.911,27.8315,12.9205,1.18,4.4565,88.0,18.671999999999997,-32.5,
2011-01-08,60.5,44.0,24.5,9.761,12.5215,2.761,0.7605000000000001,3.5205,88.5,26.5205,-31.5,
2011-01-09,68.0,53.875,35.5,16.7915,23.125,6.333,0.8955,8.3335,86.0,30.2705,-11.0,
2011-01-10,77.5,62.3335,38.5,22.6875,33.0625,10.375,0.8545,10.271,95.0,29.7705,-22.5,
2011-01-11,81.5,56.2705,31.5,15.3955,25.6455,10.25,0.8545,9.104,87.0,30.896,-6.5,
2011-01-12,62.5,44.2085,24.0,19.625,26.6875,7.0625,0.958,5.333,60.0,10.8545,-35.5,
2011-01-13,73.5,58.0,34.0,24.917,44.7085,19.7915,1.0,9.542,100.5,23.125,-31.5,
2011-01-14,78.5,58.4375,37.0,21.6875,40.1665,18.4795,1.146,8.9375,63.5,10.3955,-35.5,
2011-01-15,73.0,60.125,44.0,18.6955,27.5215,8.826,1.0,12.396,48.0,8.4375,-28.0,
2011-01-16,68.5,53.6205,40.0,23.052999999999997,28.496,5.443,1.25,12.79,40.5,16.962,-5.0,
2011-01-17,71.5,54.358000000000004,34.0,20.982,29.372,8.3895,1.0925,13.307,68.5,20.433,-14.5,
2011-01-18,76.5,60.375,38.5,29.479,52.5625,23.0835,1.25,16.8125,83.0,20.167,-32.5,
2011-01-19,86.0,65.9375,41.5,20.604,30.8955,10.2915,1.0205,13.207999999999998,85.5,39.3545,-5.0,
2011-01-20,90.0,86.3335,79.5,8.4165,9.125,0.7085,0.604,6.5,20.5,13.5625,6.5,
2011-01-21,93.0,89.4165,83.5,11.417,12.896,1.479,0.5,3.5415,27.5,17.7085,7.5,
2011-01-22,92.5,86.4375,74.5,10.0435,11.9785,1.935,0.5,4.75,84.5,44.9375,24.5,
2011-01-23,92.5,87.271,80.0,19.021,31.125,12.104500000000002,0.5625,6.979,64.0,32.8545,0.5,
2011-01-24,91.5,77.771,56.0,17.646,22.333,4.6875,0.625,5.417,33.5,0.4375,-29.0,
2011-01-25,86.0,68.3125,38.5,15.5,20.958,5.458,0.625,4.604,71.5,12.3125,-26.0,
2011-01-26,75.0,58.5625,34.0,16.354,22.7915,6.4375,0.9585,7.042,54.5,1.104,-36.5,
2011-01-27,76.5,57.0,37.5,16.896,21.8335,4.9375,1.146,7.25,62.0,5.0,-43.0,
2011-01-28,79.0,55.8955,34.5,14.354,18.521,4.167,1.125,8.625,49.5,-0.16699999999999982,-38.0,
2011-01-29,67.5,44.5415,20.5,8.782499999999999,9.413,0.6305,1.1305,5.646,67.0,9.5415,-25.5,
2011-01-30,67.0,48.2085,24.5,16.8295,21.808,4.9785,0.9255,6.558999999999999,63.0,1.75,-47.0,
2011-01-31,71.0,53.4675,36.5,20.066000000000003,28.2795,8.214,0.8225,6.9094999999999995,82.5,10.8915,-46.5,
2011-02-01,69.0,45.021,24.0,13.6665,19.854,6.1875,2.146,9.854,116.0,34.3125,-39.0,
2011-02-02,60.5,36.458,19.5,12.75,20.479,7.729,1.125,5.083,43.0,0.5830000000000002,-39.5,
2011-02-03,64.5,44.1875,22.0,15.104,19.2085,4.104,1.167,5.9375,58.5,0.5205000000000001,-53.0,
2011-02-04,60.0,43.8125,20.5,19.7085,25.4375,5.7295,0.9375,8.896,104.5,24.1045,-34.0,
2011-02-05,75.0,56.271,33.5,16.152,21.304499999999997,5.152,1.6520000000000001,11.9165,77.0,20.917,-28.5,
2011-02-06,90.5,83.1045,74.5,23.75,44.0,20.25,0.521,22.646,41.0,21.792,-6.5,
