date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,78.0,62.292,39.0,6.562,9.75,3.188,0.5,10.542,7.9,1.394,-2.45,210.375,3.042,10.167,220.542
2011-01-02,79.0,62.208,45.0,3.771,6.042,2.271,0.292,5.5,8.55,2.719,-0.9,205.75,2.167,8.458,214.208
2011-01-03,70.0,52.542,33.0,3.792,6.354,2.562,0.042,2.208,7.0,2.606,-0.9,207.208,2.292,9.25,216.458
2011-01-04,87.0,65.375,38.0,5.604,10.812,5.208,0.375,5.396,6.6,1.106,-3.45,207.25,2.625,10.083,217.333
2011-01-05,79.0,64.708,34.0,7.674,17.609,9.934,0.043,4.328,5.25,0.692,-2.7,209.167,2.652,8.0,217.167
2011-01-06,72.0,53.875,35.0,12.875,33.729,20.854,0.083,4.812,8.65,2.615,-3.25,,2.875,,
2011-01-07,75.0,56.208,30.0,8.812,21.667,12.854,0.0,2.771,6.45,1.806,-1.5,,2.458,,
2011-01-08,74.0,60.875,34.0,5.604,11.333,5.73,0.0,2.521,6.2,0.996,-3.75,,2.542,,
2011-01-09,76.0,59.333,33.0,10.625,20.583,9.958,0.292,9.646,7.8,1.275,-3.75,,3.333,,
2011-01-10,82.0,61.75,35.0,16.627,36.688,20.062,0.292,12.354,9.05,2.84,-1.75,192.857,3.739,31.0,223.857
2011-01-11,83.0,58.792,34.0,11.104,26.334,15.229,0.208,11.521,7.1,1.015,-2.1,191.583,2.75,13.708,205.292
2011-01-12,65.0,48.292,29.0,10.0,24.208,14.208,0.0,3.5,4.55,-0.135,-3.8,189.917,2.5,9.875,199.792
2011-01-13,71.0,53.542,25.0,10.146,23.312,13.167,0.292,2.979,10.4,1.773,-4.95,187.792,2.458,10.125,197.917
2011-01-14,70.0,51.083,35.0,6.584,15.105,8.521,0.458,5.666,4.75,1.273,-1.5,192.0,3.0,10.167,202.167
2011-01-15,76.0,57.167,31.0,5.104,9.584,4.479,0.417,5.875,8.0,1.744,-3.05,191.417,2.75,9.583,201.0
2011-01-16,60.0,48.75,33.0,11.166,26.0,14.834,0.333,10.438,5.3,2.169,-0.15,191.583,3.75,13.25,204.833
2011-01-17,67.0,45.667,32.0,9.542,24.625,15.084,0.0,7.354,6.9,2.458,-1.75,188.75,2.542,8.958,197.708
2011-01-18,74.0,58.375,33.0,18.916,41.542,22.625,0.5,16.708,7.2,0.673,-4.45,190.958,3.917,19.542,210.5
2011-01-19,97.0,63.792,41.0,18.928,42.37,23.442,0.591,17.844,8.25,3.433,-1.5,185.7,3.652,18.4,204.1
2011-01-20,100.0,98.474,96.0,23.562,59.729,36.167,0.0,17.896,1.3,0.675,0.05,183.45,4.583,17.0,200.45
2011-01-21,100.0,98.25,94.0,14.666,34.479,19.812,0.0,13.208,2.55,1.4,0.45,189.208,3.667,11.833,201.042
2011-01-22,100.0,87.292,56.0,8.125,16.75,8.625,0.0,4.771,8.5,4.498,1.6,186.958,2.958,10.25,197.208
2011-01-23,91.0,62.375,41.0,9.479,24.542,15.062,0.0,3.48,9.4,3.946,0.2,187.958,3.583,7.333,195.292
2011-01-24,86.0,56.75,38.0,12.188,28.042,15.854,0.0,5.922,3.9,0.552,-2.4,189.85,3.565,9.6,199.45
2011-01-25,86.0,59.417,23.0,13.125,28.084,14.958,0.125,8.381,6.4,0.427,-4.15,190.875,3.083,9.5,200.375
2011-01-26,88.0,63.417,42.0,11.458,28.417,16.958,0.125,5.688,2.5,-1.258,-4.95,190.792,3.042,7.0,197.792
2011-01-27,81.0,68.917,46.0,12.854,27.979,15.125,0.292,5.062,3.8,-1.556,-6.2,191.25,3.333,8.458,199.708
2011-01-28,85.0,56.792,40.0,8.0,19.521,11.521,0.458,7.188,2.2,-0.952,-3.65,190.5,2.833,6.958,197.458
2011-01-29,78.0,58.087,34.0,5.595,10.974,5.378,0.0,4.95,2.55,-1.055,-3.65,191.292,2.75,6.667,197.958
2011-01-30,70.0,54.375,33.0,8.247,19.385,11.138,0.0,3.792,3.25,-0.696,-3.4,191.957,2.348,6.522,198.478
2011-01-31,81.0,59.417,22.0,10.864,24.574,13.71,0.174,6.932,6.6,-0.692,-5.75,190.875,2.792,8.708,199.583
2011-02-01,79.0,64.292,44.0,13.98,30.916,16.938,0.25,3.562,4.75,-1.077,-6.05,189.5,3.042,7.5,197.0
2011-02-02,75.0,51.417,24.0,7.438,18.5,11.062,0.458,3.73,1.95,-1.681,-5.3,190.958,2.792,6.583,197.542
2011-02-03,83.0,54.0,20.0,14.0,36.084,22.083,0.083,6.062,5.4,-0.965,-6.15,190.375,3.208,9.083,199.458
2011-02-04,69.0,52.417,26.0,10.021,19.375,9.355,0.583,6.646,8.1,0.29,-6.05,189.625,3.0,8.542,198.167
2011-02-05,78.0,57.125,30.0,8.5,14.396,5.896,0.5,15.812,8.55,2.579,-2.5,191.667,3.5,11.917,203.583
2011-02-06,95.0,78.875,53.0,15.938,33.625,17.688,0.458,36.584,6.1,1.962,-2.35,192.792,4.75,15.583,208.375
2011-02-07,100.0,80.292,55.0,11.271,25.354,14.083,0.083,12.396,11.2,6.36,2.55,187.583,3.875,14.792,202.375
2011-02-08,64.0,50.792,26.0,7.896,18.5,10.605,0.208,4.062,6.5,2.535,-2.2,187.208,2.833,6.417,193.625
2011-02-09,74.0,55.292,28.0,11.062,27.938,16.875,0.042,5.297,5.25,-0.01,-4.9,189.417,2.792,7.458,196.875
2011-02-10,76.0,55.125,26.0,11.024,25.904,14.879,0.208,4.911,7.75,1.671,-3.5,188.792,2.667,8.875,197.667
2011-02-11,76.0,55.375,39.0,7.5,17.625,10.125,0.042,4.042,4.4,0.698,-2.95,188.625,2.625,6.583,195.208
2011-02-12,77.0,56.042,39.0,4.521,8.52,4.0,0.25,4.812,4.9,0.031,-4.6,188.875,2.167,7.667,196.542
2011-02-13,61.0,47.75,33.0,16.858,40.549,23.69,0.667,14.146,5.7,2.215,-2.0,190.917,4.125,14.5,205.417
2011-02-14,98.0,80.667,61.0,21.522,50.392,28.87,0.174,33.98,6.35,2.498,-1.05,190.435,4.783,18.174,208.609
2011-02-15,96.0,66.375,45.0,10.125,24.0,13.875,0.75,11.938,10.05,3.638,0.45,187.958,3.333,8.625,196.583
2011-02-16,76.0,51.083,26.0,15.542,32.542,17.0,0.125,12.542,6.5,1.552,-1.55,188.958,3.167,9.458,198.417
2011-02-17,90.0,57.625,25.0,15.042,32.042,17.0,0.125,13.584,5.3,0.808,-3.55,189.792,3.417,10.5,200.292
2011-02-18,89.0,58.375,31.0,8.542,18.646,10.105,0.042,5.646,1.7,-1.469,-4.75,188.292,2.833,5.25,193.542
2011-02-19,81.0,52.333,29.0,7.5,13.229,5.73,0.083,5.958,5.75,-0.683,-6.85,189.75,2.875,8.042,197.792
2011-02-20,71.0,48.667,21.0,15.646,31.062,15.416,0.625,9.438,9.25,1.669,-5.0,189.917,3.125,11.625,201.542
2011-02-21,68.0,50.625,36.0,13.935,28.978,15.044,0.875,9.918,10.5,4.429,-2.25,187.708,2.833,10.375,198.083
2011-02-22,77.0,58.833,38.0,18.354,38.417,20.062,1.333,26.52,10.0,5.552,0.15,189.167,3.583,15.208,204.375
2011-02-23,96.0,80.625,53.0,15.0,33.979,18.98,0.542,23.854,12.35,6.298,2.2,187.083,3.792,14.75,201.833
2011-02-24,68.0,51.292,32.0,12.69,23.154,10.464,2.208,18.938,10.8,7.29,3.95,187.917,3.75,7.292,195.208
2011-02-25,99.0,76.333,53.0,12.48,25.688,13.208,0.125,12.896,7.2,4.352,0.5,188.333,3.667,10.292,198.625
2011-02-26,86.0,58.792,42.0,5.666,9.604,3.938,0.125,5.166,6.85,2.256,-0.3,187.833,2.333,5.042,192.875
2011-02-27,57.0,44.958,32.0,9.544,20.282,10.739,0.0,6.438,4.25,0.575,-2.45,188.435,2.609,4.913,193.348
2011-02-28,67.0,49.458,32.0,18.312,40.568,22.256,0.25,11.312,6.25,0.971,-4.6,191.048,3.696,15.762,206.81
2011-03-01,100.0,82.75,54.0,19.375,41.77,22.396,0.292,18.75,11.85,5.106,0.75,190.917,3.917,19.542,210.458
2011-03-02,100.0,94.125,84.0,22.938,52.458,29.52,0.0,22.0,5.1,3.467,1.95,191.125,4.292,18.292,209.417
2011-03-03,100.0,61.167,41.0,10.072,18.674,8.604,0.375,9.292,9.85,5.438,0.5,189.958,3.0,10.208,200.167
2011-03-04,99.0,74.125,54.0,10.625,19.062,8.438,0.292,23.021,6.5,2.704,-0.95,191.875,3.542,12.917,204.792
2011-03-05,100.0,97.348,93.0,18.688,44.0,25.312,0.0,11.648,4.85,2.367,0.0,191.583,4.125,17.458,209.042
2011-03-06,99.0,82.833,49.0,15.146,33.583,18.438,0.292,7.042,19.05,9.673,3.5,186.708,3.5,17.5,204.208
2011-03-07,95.0,60.125,40.0,10.875,18.666,7.792,0.5,16.75,12.25,8.971,5.3,188.958,4.0,11.125,200.083
2011-03-08,88.0,75.0,61.0,24.188,47.584,23.396,0.583,40.854,10.45,8.025,5.45,193.0,5.125,20.042,213.042
2011-03-09,99.0,95.083,79.0,21.188,49.542,28.354,0.0,29.812,7.55,5.015,1.55,192.625,5.0,17.708,210.333
2011-03-10,100.0,96.0,88.0,16.167,37.334,21.166,0.0,6.833,5.75,3.515,1.3,191.708,4.833,15.167,206.875
2011-03-11,98.0,87.583,65.0,10.166,19.062,8.895,0.0,10.042,6.85,3.717,0.2,190.042,3.5,11.458,201.5
2011-03-12,94.0,78.083,42.0,11.036,23.68,12.644,0.042,2.584,7.3,1.452,-2.8,189.0,2.739,10.0,199.0
2011-03-13,89.0,61.958,41.0,12.854,27.604,14.75,0.0,4.604,6.3,1.952,-1.85,191.0,2.792,14.0,205.0
2011-03-14,80.0,54.583,25.0,15.316,32.375,17.06,0.375,9.021,9.45,3.271,-2.5,193.208,3.208,16.25,209.458
2011-03-15,85.0,56.167,33.0,11.274,23.158,11.885,0.208,11.958,7.65,3.375,-0.75,195.375,2.833,10.042,205.417
2011-03-16,67.0,50.417,27.0,20.737,41.743,21.006,0.348,18.769,9.7,3.844,-1.9,185.286,3.583,18.429,203.714
2011-03-17,95.0,82.083,64.0,19.271,36.146,16.875,0.0,25.958,7.9,4.977,1.25,194.208,4.25,24.875,219.083
2011-03-18,100.0,91.478,72.0,13.5,22.104,8.604,0.0,21.646,11.85,7.956,5.35,192.1,4.25,27.75,219.85
2011-03-19,92.0,50.833,35.0,6.542,13.438,6.896,0.0,3.938,6.45,3.975,0.85,188.722,2.042,19.556,208.278
2011-03-20,57.0,42.542,27.0,7.702,15.81,8.108,0.042,6.146,11.25,4.942,-1.1,190.0,2.125,21.304,211.304
2011-03-21,69.0,43.75,25.0,9.44,19.57,10.13,0.0,8.042,9.35,4.008,-0.6,189.75,2.292,20.625,210.375
2011-03-22,65.0,47.375,22.0,13.948,27.682,13.734,0.19,13.938,13.45,6.365,-1.2,191.333,2.833,19.611,210.944
2011-03-23,98.0,75.833,51.0,18.396,36.916,18.521,0.417,28.416,10.1,6.833,4.25,193.292,4.208,25.75,219.042
2011-03-24,98.0,67.75,30.0,9.8,22.721,12.921,0.0,6.688,13.75,7.456,2.35,190.292,3.083,15.5,205.792
2011-03-25,89.0,56.25,22.0,4.996,8.534,3.538,0.0,3.521,11.15,4.821,-0.15,191.583,2.417,10.583,202.167
2011-03-26,80.0,54.0,23.0,10.896,22.98,12.084,0.0,8.542,8.4,3.121,-1.4,194.25,2.542,17.375,211.625
2011-03-27,78.0,48.125,20.0,17.458,38.458,21.0,0.542,11.834,14.3,6.127,-1.9,196.261,3.208,17.217,213.478
2011-03-28,81.0,60.0,32.0,11.836,23.324,11.488,0.667,16.875,15.05,6.294,0.6,193.864,3.043,18.5,212.364
2011-03-29,71.0,40.958,13.0,18.607,36.996,18.388,0.609,15.056,18.5,9.75,0.5,187.542,3.25,15.417,202.958
2011-03-30,66.0,49.167,27.0,20.596,34.154,13.556,1.0,26.958,18.4,11.396,5.5,194.375,3.792,25.75,220.125
