date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,197.0,,,,6.5,3.833,4.25,0.417,13.208,16.75,,,,203.5
2011-01-02,196.0,,,,7.609,5.167,6.208,1.042,10.583,17.708,,,,203.609
2011-01-03,192.708,,,,5.625,4.318,4.636,0.318,4.083,10.25,,,,198.333
2011-01-04,195.625,,,,5.833,4.792,5.042,0.25,12.458,17.708,,,,201.458
2011-01-05,196.125,,,,5.542,6.708,7.292,0.583,6.458,11.708,,,,201.667
2011-01-06,196.875,,,,8.042,10.25,11.792,1.542,9.958,15.5,,,,204.917
2011-01-07,198.125,,,,7.542,9.667,10.833,1.167,7.208,13.5,,,,205.667
2011-01-08,197.833,,,,5.083,5.125,5.5,0.375,8.333,12.333,,,,202.917
2011-01-09,199.913,,,,6.565,5.833,6.208,0.375,13.583,15.75,,,,206.478
2011-01-10,194.833,,,,6.083,6.5,7.091,0.591,11.292,18.083,,,,200.917
2011-01-11,195.25,,,,9.5,9.458,11.542,2.083,14.458,18.542,,,,204.75
2011-01-12,196.0,,,,5.625,6.625,7.417,0.792,8.625,13.458,,,,201.625
2011-01-13,195.625,,,,11.25,11.625,14.458,2.833,13.083,15.792,,,,206.875
2011-01-14,199.333,,,,6.833,7.167,7.958,0.792,11.833,16.083,,,,206.167
2011-01-15,203.667,,,,6.75,6.417,6.75,0.333,18.167,18.25,,,,210.417
2011-01-16,204.174,,,,5.087,6.292,6.667,0.375,13.792,19.25,,,,209.261
2011-01-17,198.875,,,,4.25,5.091,5.727,0.636,10.042,12.583,,,,203.125
2011-01-18,198.792,,,,4.542,5.625,6.125,0.5,12.875,15.875,,,,203.333
2011-01-19,196.167,,,,6.833,7.958,8.292,0.333,20.25,21.417,,,,203.0
2011-01-20,194.958,,,,3.292,3.75,3.833,0.083,10.167,16.917,,,,198.25
2011-01-21,192.5,,,,6.875,8.75,9.25,0.5,7.875,14.0,,,,199.375
2011-01-22,192.667,,,,6.875,7.0,7.375,0.375,4.75,10.208,,,,199.542
2011-01-23,202.826,,,,7.652,6.625,8.5,1.875,8.435,12.375,,,,210.478
2011-01-24,198.417,,,,4.333,3.955,4.682,0.727,5.292,9.833,,,,202.75
