date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-01,204.208,22.667,24.0,30.27,6.271,3.083,22.75,226.875,4.833
2011-01-02,198.583,16.167,15.688,19.521,3.834,1.542,18.166,214.75,3.333
2011-01-03,194.833,12.5,12.084,14.271,2.188,1.292,9.958,207.333,2.375
2011-01-04,196.333,14.667,14.5,20.334,5.833,2.417,15.812,211.0,4.292
2011-01-05,196.833,15.917,17.416,22.938,5.521,1.167,10.834,212.75,3.833
2011-01-06,199.217,20.304,24.282,32.804,8.522,1.87,13.438,219.522,4.043
2011-01-07,198.208,12.833,13.604,16.73,3.125,1.042,9.5,211.042,2.25
2011-01-08,200.0,14.125,13.0,15.521,2.521,1.333,10.646,214.125,1.958
2011-01-09,209.167,27.375,28.666,43.354,14.688,3.208,25.25,236.542,5.0
2011-01-10,200.375,20.0,25.125,34.5,9.375,2.667,22.125,220.375,4.375
2011-01-11,198.208,22.875,26.146,38.729,12.584,2.375,25.458,221.083,3.708
2011-01-12,194.318,18.864,20.796,30.704,9.909,2.591,12.62,213.182,3.565
2011-01-13,193.042,26.875,29.292,48.77,19.48,3.25,18.062,219.917,6.417
2011-01-14,195.833,21.25,21.0,32.042,11.042,3.708,16.646,217.083,5.083
2011-01-15,197.625,21.833,22.25,29.77,7.521,5.25,16.646,219.458,5.333
2011-01-16,193.0,15.75,22.938,28.271,5.333,3.792,19.792,208.75,3.292
2011-01-17,192.875,21.958,25.312,31.438,6.125,3.792,18.979,214.833,3.958
2011-01-18,200.042,42.875,42.98,74.52,31.542,6.458,34.271,242.917,7.125
2011-01-19,192.87,22.043,27.478,35.604,8.125,4.391,29.596,214.913,4.0
2011-01-20,189.167,12.875,15.334,19.708,4.375,2.0,17.584,202.042,2.542
2011-01-21,188.0,11.125,12.292,15.5,3.208,1.458,10.334,199.125,2.167
2011-01-22,191.333,16.125,14.729,20.583,5.854,1.375,12.292,207.458,3.375
2011-01-23,195.458,25.833,24.521,47.375,22.854,2.542,19.417,221.292,5.292
2011-01-24,191.667,18.417,20.0,25.521,5.52,2.917,12.438,210.083,3.208
2011-01-25,192.667,21.25,22.604,37.229,14.625,2.083,17.125,213.917,4.875
2011-01-26,195.087,22.391,26.841,35.478,8.636,2.913,13.708,217.478,4.609
2011-01-27,196.792,24.583,27.042,45.354,18.312,3.042,18.521,221.375,5.833
