date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-01-01,202.917,11.75,16.625,26.458,9.833,,214.667
2011-01-02,192.565,3.478,5.273,9.182,3.909,,196.043
2011-01-03,191.273,3.182,6.864,10.955,4.091,,194.455
2011-01-04,194.167,4.375,9.083,15.417,6.333,,198.542
2011-01-05,191.625,3.042,3.958,7.917,3.958,,194.667
2011-01-06,194.5,5.708,10.917,20.542,9.625,,200.208
2011-01-07,191.958,2.0,3.833,7.167,3.333,,193.958
2011-01-08,194.667,3.625,6.333,9.625,3.292,,198.292
2011-01-09,200.0,7.783,15.0,21.273,6.273,,207.783
2011-01-10,196.0,7.136,17.773,26.091,8.318,,203.136
2011-01-11,192.25,5.167,7.292,10.708,3.417,,197.417
2011-01-12,192.458,4.667,10.833,16.875,6.042,,197.125
2011-01-13,192.417,5.167,12.833,21.292,8.458,,197.583
2011-01-14,192.917,2.667,4.208,7.833,3.625,,195.583
2011-01-15,193.708,3.0,6.458,9.708,3.25,,196.708
2011-01-16,204.261,13.391,27.5,42.864,15.364,,217.652
2011-01-17,203.773,15.909,30.391,46.0,15.609,,219.682
2011-01-18,198.25,12.458,28.375,43.333,14.958,,210.708
2011-01-19,201.208,15.75,27.083,42.833,15.75,,216.958
2011-01-20,194.875,7.25,19.583,29.792,10.208,,202.125
2011-01-21,192.542,4.958,12.0,16.958,4.958,,197.5
2011-01-22,205.708,10.667,21.0,31.25,10.25,,216.375
2011-01-23,192.652,3.957,5.409,9.227,3.818,,196.609
2011-01-24,192.955,4.591,10.864,16.955,6.091,,197.545
2011-01-25,195.542,6.375,14.083,22.375,8.292,,201.917
2011-01-26,194.458,3.583,8.75,14.5,5.75,,198.042
2011-01-27,196.208,3.708,8.167,13.417,5.25,,199.917
2011-01-28,192.542,1.75,3.167,6.417,3.25,,194.292
2011-01-29,192.792,1.708,2.042,4.75,2.708,,194.5
2011-01-30,192.043,3.87,9.364,14.909,5.545,,195.913
2011-01-31,193.364,3.591,8.182,12.5,4.318,,196.955
2011-02-01,192.375,4.292,8.458,11.958,3.5,,196.667
2011-02-02,191.083,3.375,7.125,11.667,4.542,,194.458
2011-02-03,192.708,4.708,11.917,19.333,7.417,,197.417
2011-02-04,191.25,2.792,6.042,8.833,2.792,,194.042
2011-02-05,199.0,6.625,16.542,25.0,8.458,,205.625
2011-02-06,209.826,24.13,37.818,72.0,34.182,,233.957
2011-02-07,205.727,19.818,31.739,50.261,18.522,,225.545
2011-02-08,189.875,4.5,6.167,10.542,4.375,,194.375
2011-02-09,191.292,3.042,8.5,14.292,5.792,,194.333
2011-02-10,195.833,5.958,14.208,20.125,5.917,,201.792
2011-02-11,191.833,2.75,7.458,11.75,4.292,,194.583
2011-02-12,193.25,3.083,6.417,8.792,2.375,,196.333
2011-02-13,201.826,12.348,28.091,44.182,16.091,,214.174
2011-02-14,203.762,18.238,32.696,54.435,21.739,,222.0
2011-02-15,191.75,6.833,11.333,15.083,3.75,,198.583
2011-02-16,190.375,3.667,13.083,19.042,5.958,,194.042
2011-02-17,193.333,6.792,9.222,12.222,3.0,,200.125
2011-02-18,190.75,2.5,8.0,11.583,3.583,,193.25
2011-02-19,199.792,4.417,13.375,17.417,4.042,,204.208
2011-02-20,203.174,9.478,24.227,35.0,10.773,,212.652
2011-02-21,196.591,8.909,24.636,34.955,10.318,,205.5
2011-02-22,206.625,15.708,31.5,47.333,15.833,,222.333
