date,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-01-01,3.592,17.175,184.833,2.5,8.604,10.875,2.271,16.021,187.333
2011-01-02,2.608,13.242,185.625,1.417,5.292,6.708,1.416,12.771,187.042
2011-01-03,4.308,20.992,185.667,2.167,7.52,9.354,1.834,22.312,187.833
2011-01-04,4.617,21.684,187.636,3.045,7.771,9.562,1.792,21.792,190.682
2011-01-05,3.251,18.903,186.5,4.958,15.604,20.02,4.416,18.979,191.458
2011-01-06,3.609,14.325,185.833,5.0,16.688,24.292,7.604,14.478,190.833
2011-01-07,2.965,12.683,187.333,5.292,14.979,19.875,4.896,8.896,192.625
2011-01-08,1.708,11.092,187.167,2.083,13.854,17.292,3.438,8.812,189.25
2011-01-09,4.583,29.05,189.542,5.583,17.375,25.188,7.812,28.666,195.125
2011-01-10,4.801,35.792,187.636,6.727,22.054,34.057,12.004,37.25,194.364
2011-01-11,4.792,23.625,186.708,5.458,11.659,14.682,3.022,22.812,192.167
2011-01-12,3.706,13.675,187.917,5.917,22.875,36.334,13.458,10.375,193.833
2011-01-13,5.356,24.133,187.375,6.625,16.625,21.812,5.188,23.125,194.0
2011-01-14,6.538,35.117,188.375,8.042,18.208,25.521,7.312,38.75,196.417
2011-01-15,3.183,15.517,185.625,3.875,13.166,16.271,3.104,15.0,189.5
2011-01-16,2.132,16.561,185.909,9.273,17.5,26.458,8.958,16.208,195.182
2011-01-17,3.117,12.833,184.667,6.083,19.438,29.334,9.896,13.25,190.75
2011-01-18,3.462,18.498,185.125,9.458,25.416,42.396,16.98,20.02,194.583
2011-01-19,2.233,21.6,184.875,16.625,26.834,46.688,19.854,19.666,201.5
2011-01-20,2.3,18.033,183.917,10.125,22.458,33.062,10.604,11.917,194.042
2011-01-21,1.567,17.092,183.333,9.625,19.021,25.688,6.667,10.166,192.958
2011-01-22,1.742,15.183,182.458,4.583,12.812,16.0,3.188,11.062,187.042
2011-01-23,2.467,14.083,185.273,5.818,11.104,14.854,3.75,12.77,191.091
2011-01-24,2.808,9.658,186.583,1.917,8.763,12.256,3.493,8.104,188.5
2011-01-25,3.733,17.583,187.667,2.208,11.812,17.958,6.146,17.562,189.875
2011-01-26,2.667,10.583,188.458,2.792,10.042,13.729,3.688,9.166,191.25
2011-01-27,4.579,26.272,188.958,6.417,20.737,34.555,13.818,29.917,195.375
2011-01-28,3.981,33.233,189.208,6.292,16.333,25.271,8.938,38.188,195.5
2011-01-29,2.867,13.361,187.542,2.083,10.938,14.48,3.542,15.48,189.625
2011-01-30,3.667,13.994,186.182,2.545,13.417,19.312,5.896,15.146,188.727
2011-01-31,3.507,11.175,185.25,2.875,14.979,21.02,6.042,10.867,188.125
2011-02-01,4.329,21.217,186.458,3.417,10.583,13.166,2.584,20.104,189.875
2011-02-02,2.806,7.658,186.083,1.667,6.708,8.708,2.0,4.458,187.75
2011-02-03,3.254,10.54,186.833,3.708,13.208,19.271,6.062,8.688,190.542
2011-02-04,4.497,17.817,186.875,3.542,12.25,15.145,2.896,17.854,190.417
2011-02-05,4.591,36.517,187.333,3.542,12.438,14.938,2.5,37.875,190.875
2011-02-06,2.493,61.375,186.682,10.5,20.5,29.271,8.771,52.979,197.182
2011-02-07,3.175,21.925,186.833,13.875,21.805,36.516,14.71,15.333,200.708
2011-02-08,3.003,8.389,186.125,2.042,8.208,10.292,2.083,5.042,188.167
2011-02-09,2.959,10.25,187.0,2.917,9.375,11.854,2.479,8.396,189.917
2011-02-10,3.514,14.292,186.833,3.75,14.521,18.416,3.896,14.562,190.583
2011-02-11,3.176,10.125,187.042,2.125,10.375,13.02,2.646,9.562,189.167
2011-02-12,2.873,10.775,187.583,0.792,9.583,11.75,2.166,8.146,188.375
2011-02-13,2.546,24.036,187.174,6.087,20.729,26.75,6.02,23.5,193.261
2011-02-14,2.127,26.4,187.042,20.083,26.375,45.0,18.625,20.188,207.125
2011-02-15,2.774,24.895,186.667,17.167,27.562,47.542,19.98,20.396,203.833
2011-02-16,3.102,12.483,184.208,3.833,12.708,16.416,3.708,13.98,188.042
2011-02-17,3.196,11.692,184.667,2.708,11.021,13.146,2.125,10.084,187.375
2011-02-18,2.747,11.433,187.25,1.917,7.333,8.604,1.271,11.375,189.167
2011-02-19,2.795,10.242,186.667,0.958,9.979,11.584,1.604,11.375,187.625
2011-02-20,3.498,15.025,185.364,3.682,18.666,26.584,7.916,16.166,189.045
2011-02-21,5.405,23.958,184.0,11.708,28.332,40.58,12.248,25.438,195.708
2011-02-22,3.096,36.933,183.292,12.625,24.812,35.688,10.875,34.062,195.917
2011-02-23,3.664,40.116,184.458,16.083,25.916,42.416,16.5,31.333,200.542
2011-02-24,5.516,34.4,186.292,6.625,20.125,24.104,3.979,39.229,192.917
2011-02-25,3.94,39.383,184.417,9.875,20.021,24.25,4.229,37.542,194.292
2011-02-26,3.282,10.833,183.875,1.833,8.812,10.104,1.292,9.292,185.708
2011-02-27,3.927,18.217,186.167,3.917,17.834,23.312,5.479,19.979,190.083
2011-02-28,3.073,12.146,186.565,2.609,11.958,14.062,2.104,11.792,189.174
2011-03-01,3.704,39.267,184.875,16.25,24.417,37.25,12.834,34.375,201.125
2011-03-02,5.552,44.0,183.708,17.25,30.604,56.646,26.042,30.792,200.958
2011-03-03,3.677,17.683,184.792,5.375,12.416,14.875,2.458,15.208,190.167
2011-03-04,2.261,24.075,186.125,2.875,9.0,10.292,1.292,23.438,189.0
2011-03-05,3.333,25.592,186.739,15.087,23.312,38.667,15.354,20.25,201.826
2011-03-06,3.875,23.645,188.542,18.333,22.761,39.938,17.176,16.854,206.875
2011-03-07,4.47,37.408,190.917,14.583,21.77,27.188,5.416,39.562,205.5
2011-03-08,3.875,42.583,191.0,11.667,21.375,27.854,6.479,44.458,202.667
2011-03-09,2.314,20.233,188.792,6.708,18.062,22.708,4.646,17.334,195.5
2011-03-10,2.505,22.884,188.25,4.708,14.458,18.854,4.396,20.896,192.958
2011-03-11,3.95,22.042,188.0,1.833,7.834,9.354,1.521,21.75,189.833
2011-03-12,3.226,12.066,188.708,1.792,6.646,7.938,1.292,10.354,190.5
2011-03-13,3.169,11.811,188.667,1.75,12.834,15.062,2.23,11.166,190.417
2011-03-14,4.597,17.1,186.091,5.727,23.834,36.479,12.646,18.521,191.818
2011-03-15,5.417,31.739,186.167,7.583,18.562,22.875,4.312,32.834,193.75
2011-03-16,3.533,18.975,184.792,7.917,17.896,21.875,3.98,20.146,192.708
2011-03-17,4.255,35.725,182.5,12.5,28.604,35.834,7.229,28.938,195.0
2011-03-18,3.408,41.783,184.5,10.75,22.062,26.042,3.98,33.916,195.25
2011-03-19,3.292,12.492,183.458,4.208,12.729,14.666,1.938,10.27,187.667
2011-03-20,4.225,18.783,184.682,5.0,15.958,20.0,4.042,17.5,189.682
2011-03-21,3.813,12.484,186.292,2.875,16.206,21.394,5.187,12.354,189.167
2011-03-22,5.408,17.142,184.833,6.167,21.146,30.0,8.854,14.396,191.0
2011-03-23,3.275,29.141,184.292,18.625,27.938,41.25,13.312,25.125,202.917
2011-03-24,3.62,24.417,185.458,4.917,6.854,10.188,3.334,23.771,190.375
