date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2011-01-01,3.35,3.712,0.362,,0.854,8.417,2.042
2011-01-02,2.931,3.597,0.667,,0.958,7.861,2.348
2011-01-03,2.181,2.875,0.694,,1.042,7.347,2.0
2011-01-04,3.109,3.875,0.767,,0.916,9.75,2.208
2011-01-05,2.292,3.028,0.736,,0.979,10.945,2.375
2011-01-06,3.224,4.26,1.036,,1.152,11.797,2.167
2011-01-07,4.076,5.376,1.3,,0.896,7.833,2.375
2011-01-08,2.556,3.417,0.861,,0.979,7.903,2.125
2011-01-09,3.972,5.125,1.153,,0.938,8.306,2.348
2011-01-10,4.429,5.7,1.27,,1.021,9.666,2.542
2011-01-11,2.611,3.403,0.791,,0.958,7.153,2.125
2011-01-12,3.139,4.055,0.916,,1.0,8.264,2.208
2011-01-13,4.418,5.798,1.38,,1.086,10.639,2.792
2011-01-14,2.459,3.361,0.903,,1.0,9.806,2.042
2011-01-15,1.861,2.541,0.681,,1.0,10.305,2.167
2011-01-16,3.605,4.812,1.207,,0.979,10.75,2.522
2011-01-17,5.319,6.986,1.667,,0.958,9.917,2.708
2011-01-18,10.292,12.431,2.139,,0.938,13.125,3.625
2011-01-19,8.477,10.872,2.395,,0.958,10.403,3.167
2011-01-20,5.615,6.755,1.141,,0.978,8.667,2.083
2011-01-21,5.334,5.972,0.639,,0.979,10.222,2.0
2011-01-22,6.042,7.608,1.566,,0.958,11.139,3.292
2011-01-23,3.587,4.657,1.07,,0.938,12.906,2.739
2011-01-24,3.028,4.042,1.014,,1.021,10.264,2.458
2011-01-25,3.495,4.57,1.075,13.0,1.229,12.305,2.5
2011-01-26,2.903,3.903,1.0,6.0,1.062,8.403,2.125
2011-01-27,3.0,3.87,0.87,11.583,1.392,10.292,2.292
2011-01-28,2.598,3.442,0.844,7.75,1.0,9.833,2.458
2011-01-29,2.292,3.014,0.722,5.542,0.979,9.445,2.083
2011-01-30,2.681,3.583,0.903,9.083,1.27,12.0,2.261
2011-01-31,2.567,3.326,0.759,9.667,1.104,11.708,2.292
2011-02-01,4.389,5.292,0.903,6.458,1.021,11.153,2.583
2011-02-02,8.736,12.986,4.25,7.958,0.958,10.507,3.458
2011-02-03,3.667,4.666,0.999,7.917,1.174,11.083,2.5
2011-02-04,4.167,5.139,0.972,9.208,1.125,12.069,2.625
2011-02-05,4.847,5.653,0.805,9.292,1.125,13.337,2.75
2011-02-06,8.641,10.281,1.64,14.75,1.104,15.308,3.435
2011-02-07,4.735,5.515,0.782,20.042,1.604,21.186,3.267
2011-02-08,2.653,3.375,0.722,9.167,1.188,10.236,2.042
2011-02-09,4.145,5.823,1.678,7.0,1.125,8.847,2.042
2011-02-10,3.482,4.142,0.659,7.375,1.196,9.444,2.167
2011-02-11,2.722,3.333,0.611,7.042,1.084,9.667,2.0
2011-02-12,2.272,2.758,0.486,8.125,1.042,9.514,2.0
2011-02-13,6.861,7.653,0.792,8.25,1.125,9.681,3.174
2011-02-14,9.569,10.889,1.319,11.333,1.312,11.708,3.333
2011-02-15,4.307,4.941,0.634,16.708,1.812,17.916,3.083
2011-02-16,3.611,4.222,0.611,6.875,1.021,7.889,2.625
2011-02-17,4.453,5.141,0.687,9.25,1.282,9.528,2.625
2011-02-18,3.638,4.232,0.595,8.0,1.104,11.097,2.542
2011-02-19,3.819,4.458,0.639,11.125,1.458,11.542,2.542
2011-02-20,7.542,8.208,0.667,11.292,1.416,11.375,3.478
2011-02-21,4.832,5.515,0.683,11.625,1.438,16.32,3.0
2011-02-22,8.943,10.142,1.199,10.667,1.542,10.303,3.391
2011-02-23,8.639,9.917,1.278,13.25,1.916,13.292,3.625
2011-02-24,6.949,7.692,0.743,14.417,1.696,13.792,3.083
2011-02-25,6.695,7.236,0.542,9.667,0.958,11.347,2.667
2011-02-26,3.528,3.986,0.458,11.417,1.125,13.945,2.708
2011-02-27,3.755,4.361,0.606,12.25,1.229,14.069,2.783
2011-02-28,6.403,7.153,0.75,8.667,1.104,11.069,3.375
2011-03-01,9.703,10.728,1.025,12.625,1.333,11.495,4.045
2011-03-02,10.332,11.08,0.748,18.667,1.478,17.875,3.958
2011-03-03,6.875,7.514,0.639,11.417,0.958,13.028,3.542
2011-03-04,6.62,6.941,0.321,11.542,0.979,11.5,3.542
2011-03-05,8.5,8.972,0.472,7.667,0.916,8.986,2.522
2011-03-06,6.909,7.341,0.432,4.174,0.682,6.729,2.652
2011-03-07,5.027,5.511,0.485,5.708,0.75,12.854,2.333
2011-03-08,7.097,7.722,0.625,14.75,0.771,18.542,3.042
2011-03-09,8.005,8.705,0.7,15.583,0.674,20.354,3.292
2011-03-10,5.048,5.409,0.361,8.083,0.604,12.979,2.125
2011-03-11,4.542,4.889,0.347,5.333,0.625,8.875,2.167
2011-03-12,6.528,7.166,0.639,4.458,0.73,9.167,2.696
2011-03-13,6.555,7.24,0.685,6.917,0.668,9.369,2.714
2011-03-14,7.35,7.725,0.375,11.958,0.834,11.887,3.042
2011-03-15,5.833,6.305,0.472,18.583,1.312,18.833,2.875
2011-03-16,6.97,7.558,0.588,12.833,1.0,14.667,2.542
2011-03-17,8.111,8.667,0.556,22.583,0.958,18.042,2.542
2011-03-18,5.222,5.819,0.597,14.458,0.729,16.083,3.0
2011-03-19,3.808,4.252,0.444,8.958,0.875,12.292,2.043
2011-03-20,4.306,4.75,0.444,11.917,1.062,14.806,2.042
2011-03-21,3.87,4.441,0.571,14.583,1.125,17.281,2.542
2011-03-22,3.024,3.595,0.571,22.958,0.932,29.739,2.826
2011-03-23,5.159,6.246,1.087,17.75,0.892,19.25,3.208
2011-03-24,5.069,5.861,0.792,3.292,0.75,6.417,3.542
2011-03-25,2.597,3.208,0.611,5.25,0.854,8.472,2.333
2011-03-26,3.07,3.806,0.736,15.458,0.896,16.666,2.609
2011-03-27,4.847,5.778,0.93,16.875,1.104,19.972,3.083
2011-03-28,4.903,5.653,0.75,19.542,1.02,21.375,3.5
