date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2011-01-01,15.542,19.375,3.834,16.312,197.043,17.522,,214.565
2011-01-02,8.708,11.042,2.333,12.833,191.043,7.174,,198.217
2011-01-03,14.919,20.008,5.088,18.021,191.565,9.435,,201.0
2011-01-04,10.125,13.584,3.458,20.916,191.478,6.478,,197.957
2011-01-05,25.688,39.688,14.0,12.438,195.087,17.435,,212.522
2011-01-06,28.826,59.37,30.544,17.182,198.636,23.864,,222.5
2011-01-07,20.417,31.604,11.188,8.854,194.739,13.913,,208.652
2011-01-08,19.77,27.166,7.396,10.916,200.217,24.261,,224.478
2011-01-09,22.583,33.062,10.479,21.062,199.696,23.826,,223.522
2011-01-10,34.557,67.155,32.598,32.646,200.2,32.55,,232.75
2011-01-11,20.114,31.038,10.924,23.205,192.522,11.0,,203.522
2011-01-12,29.541,51.25,21.71,12.166,197.087,23.348,,220.435
2011-01-13,26.375,53.334,26.958,20.167,194.783,24.783,,219.565
2011-01-14,27.666,43.604,15.938,40.25,196.348,15.348,,211.696
2011-01-15,22.312,32.666,10.354,17.771,197.609,22.696,,220.304
2011-01-16,15.521,18.292,2.771,13.062,193.565,15.261,,208.826
2011-01-17,19.696,28.19,8.492,12.417,193.957,21.609,,215.565
2011-01-18,33.13,50.282,17.152,20.5,200.5,43.318,,243.818
2011-01-19,29.771,46.375,16.604,24.021,196.087,34.304,,230.391
2011-01-20,19.854,23.375,3.521,11.396,190.087,20.043,,210.13
2011-01-21,22.312,26.958,4.646,18.271,192.609,24.174,,216.783
2011-01-22,22.52,30.271,7.75,18.084,194.0,21.043,,215.043
2011-01-23,21.438,38.125,16.688,9.562,193.0,10.783,,203.783
2011-01-24,19.166,32.405,13.238,8.542,191.45,8.5,,199.95
2011-01-25,19.104,32.271,13.167,17.584,191.826,8.13,,199.957
2011-01-26,25.438,46.73,21.292,11.25,193.391,12.565,,205.957
2011-01-27,28.916,48.896,19.98,25.917,195.095,16.286,,211.381
2011-01-28,27.792,40.0,12.208,25.792,195.435,16.565,,212.0
2011-01-29,14.521,16.771,2.25,9.021,195.565,13.217,,208.783
2011-01-30,30.614,57.898,27.284,12.0,198.739,20.913,,219.652
2011-01-31,26.498,44.709,18.212,12.208,193.348,15.174,,208.522
2011-02-01,25.5,40.354,14.854,18.958,195.565,17.957,,213.522
2011-02-02,15.688,25.23,9.542,8.625,192.565,8.043,,200.609
2011-02-03,31.804,61.122,29.318,13.792,196.727,16.818,,213.545
2011-02-04,20.5,32.375,11.875,19.979,193.826,10.348,,204.174
2011-02-05,25.13,31.826,6.696,38.416,198.522,19.565,,218.087
2011-02-06,31.978,48.39,16.412,36.198,199.75,37.6,,237.35
2011-02-07,35.564,67.294,31.73,19.188,196.609,29.174,,225.783
2011-02-08,16.917,28.875,11.958,12.208,193.087,8.261,,201.348
2011-02-09,18.688,31.77,13.084,9.75,194.478,8.696,,203.174
2011-02-10,31.082,58.688,27.606,16.314,194.261,19.739,,214.0
2011-02-11,24.158,36.272,12.114,13.0,193.478,13.261,,206.739
2011-02-12,17.584,22.562,4.979,13.854,194.217,11.13,,205.348
2011-02-13,32.334,47.312,14.98,22.896,198.696,35.348,,234.043
2011-02-14,37.504,74.054,36.551,23.625,202.652,51.217,,253.87
2011-02-15,32.604,75.375,42.771,26.916,202.913,48.826,,251.739
2011-02-16,33.646,68.625,34.979,17.396,196.13,26.0,,222.13
2011-02-17,22.782,43.819,21.036,12.334,191.682,15.318,,207.0
2011-02-18,18.708,26.083,7.375,9.23,194.739,11.217,,205.957
2011-02-19,17.292,20.167,2.875,13.666,198.174,15.478,,213.652
2011-02-20,37.302,62.51,25.208,16.373,199.045,29.636,,228.682
2011-02-21,44.021,77.375,33.354,30.354,200.435,40.304,,240.739
2011-02-22,26.084,34.646,8.562,24.334,197.0,27.652,,224.652
2011-02-23,26.062,51.948,25.886,24.208,195.87,27.087,,222.957
2011-02-24,14.792,17.021,2.23,29.688,194.348,17.478,,211.826
2011-02-25,27.729,44.208,16.479,34.875,197.174,25.261,,222.435
2011-02-26,7.854,8.77,0.916,12.292,195.087,12.565,,207.652
2011-02-27,14.521,20.896,6.375,15.688,198.957,19.435,,218.391
2011-02-28,16.355,18.416,2.062,11.271,195.217,16.391,,211.609
2011-03-01,44.562,68.562,24.0,30.708,200.696,48.261,,248.957
2011-03-02,31.584,60.583,29.0,26.188,195.739,33.87,,229.609
2011-03-03,12.667,15.667,3.0,16.375,193.043,11.87,,204.913
2011-03-04,13.208,14.895,1.688,19.354,196.304,13.565,,209.87
2011-03-05,34.625,63.021,28.396,16.666,196.522,36.913,,233.435
2011-03-06,37.609,86.718,49.109,30.021,202.333,40.619,,242.952
2011-03-07,19.845,25.248,5.402,30.042,196.522,16.696,,213.217
2011-03-08,28.369,38.116,9.748,32.102,199.565,23.13,,222.696
2011-03-09,24.312,29.5,5.188,20.73,195.826,21.174,19.208,217.0
2011-03-10,18.792,26.396,7.604,15.229,193.565,15.304,13.292,208.87
2011-03-11,14.25,18.542,4.292,16.688,193.391,11.783,16.667,205.174
2011-03-12,22.582,33.834,11.25,12.334,193.957,8.957,12.375,202.913
2011-03-13,27.891,41.93,14.04,11.711,193.864,12.818,11.75,206.682
2011-03-14,32.37,48.944,16.574,13.23,194.714,24.857,12.375,219.571
2011-03-15,27.021,42.104,15.084,22.25,195.652,19.739,19.208,215.391
2011-03-16,36.896,57.125,20.229,18.562,198.652,31.652,17.042,230.304
2011-03-17,35.875,50.354,14.479,29.542,197.522,43.0,17.333,240.522
2011-03-18,30.266,40.475,10.208,37.0,196.609,25.217,21.25,221.826
2011-03-19,19.116,27.025,7.908,8.792,195.409,12.773,5.583,208.182
2011-03-20,20.666,26.188,5.521,14.771,195.739,15.826,13.167,211.565
2011-03-21,27.562,40.734,13.171,14.708,193.043,15.348,13.542,208.391
2011-03-22,39.125,58.167,19.042,26.0,197.304,30.739,20.542,228.043
2011-03-23,23.166,30.334,7.167,17.854,191.087,24.87,11.958,215.957
2011-03-24,16.496,21.928,5.432,19.604,188.913,8.565,15.833,197.478
2011-03-25,11.458,15.062,3.604,14.958,194.391,8.261,14.583,202.652
2011-03-26,27.542,39.625,12.083,15.312,197.739,11.522,13.667,209.261
2011-03-27,38.228,56.517,18.289,24.703,199.391,27.217,21.583,226.609
2011-03-28,31.935,46.394,14.458,31.25,196.391,23.087,25.583,219.478
2011-03-29,38.022,51.991,13.968,24.759,198.045,26.864,22.083,224.909
2011-03-30,22.752,29.508,6.756,14.312,190.043,13.783,12.0,203.826
2011-03-31,18.458,23.958,5.5,13.312,189.87,9.435,7.375,199.304
2011-04-01,35.464,41.678,6.214,33.678,194.053,22.316,,216.368
2011-04-02,30.524,38.029,7.504,36.708,195.826,31.174,,227.0
2011-04-03,7.065,8.369,1.304,9.938,190.087,6.217,,196.304
2011-04-04,18.506,24.12,5.615,10.25,192.826,15.174,,208.0
2011-04-05,32.044,41.457,9.413,19.166,194.087,23.87,,217.957
2011-04-06,34.352,44.288,9.936,21.646,193.565,26.783,,220.348
2011-04-07,27.248,34.892,7.645,16.438,190.87,18.826,,209.696
2011-04-08,30.665,40.168,9.504,23.646,192.591,32.045,,224.636
2011-04-09,21.396,37.271,15.875,19.521,191.826,23.174,,215.0
2011-04-10,19.896,22.23,2.334,35.0,194.304,19.478,,213.783
2011-04-11,24.45,32.068,7.619,32.716,193.957,18.087,,212.043
2011-04-12,27.771,38.646,10.875,29.208,192.783,20.826,,213.609
2011-04-13,33.146,41.916,8.771,31.292,194.609,24.043,,218.652
2011-04-14,39.934,51.029,11.095,41.5,195.913,33.261,,229.174
