date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean
2011-01-01,96.0,79.083,57.0,10.2295,11.354,1.125,32.875,4.333,28.4795,88.0,69.583,46.0,190.917,10.792,201.708
2011-01-02,93.0,73.042,52.0,5.391500000000001,6.260999999999999,0.8695,12.708,1.6955,11.458,90.0,53.5,22.0,189.261,4.826,194.087
2011-01-03,88.0,67.708,52.0,8.5205,9.3335,0.8125,34.875,6.146,31.7085,80.0,62.458,42.0,191.625,5.542,197.167
2011-01-04,86.0,66.75,53.0,5.913,6.717499999999999,0.8045,24.087,3.0869999999999997,18.913,61.0,31.5,5.0,189.826,4.609,194.435
2011-01-05,83.0,66.542,50.0,12.125,13.9375,1.8125,17.5,1.771,12.2085,73.0,32.125,-1.0,190.208,6.583,196.792
2011-01-06,83.0,72.333,55.0,19.0415,24.0,4.9585,22.292,2.833,15.771,83.0,40.75,10.0,191.583,9.083,200.667
2011-01-07,89.0,77.042,58.0,13.146,17.0835,3.9375,11.583,1.5415,8.4165,88.0,43.0,5.0,191.875,7.167,199.042
2011-01-08,93.0,76.875,51.0,12.25,15.75,3.5,10.167,2.479,7.75,107.0,51.083,-16.0,191.167,6.917,198.083
2011-01-09,96.0,75.125,46.0,13.239,16.0435,2.8045,37.833,6.109,30.5415,109.0,51.875,14.0,197.261,11.826,209.087
2011-01-10,91.0,80.583,60.0,21.521,30.0625,8.5415,58.333,6.104,46.3125,90.0,46.875,0.0,197.125,12.625,209.75
2011-01-11,92.0,59.625,42.0,9.0,10.4375,1.4375,19.75,3.1875,16.3335,69.0,43.708,7.0,190.125,7.542,197.667
2011-01-12,91.0,76.458,56.0,15.239,19.022000000000002,3.783,17.625,2.9165,11.9795,79.0,36.917,-18.0,190.87,9.13,200.0
2011-01-13,82.0,63.625,47.0,12.4165,13.646,1.2295,30.667,5.479,26.1665,74.0,52.542,14.0,190.417,8.167,198.583
2011-01-14,92.0,70.958,47.0,14.5625,18.875,4.3125,27.625,2.9375,23.5415,94.0,38.583,-8.0,195.292,11.833,207.125
2011-01-15,86.0,72.417,57.0,13.042000000000002,15.375,2.3335,17.417,2.271,14.604,81.0,46.333,10.0,191.833,8.708,200.542
2011-01-16,94.0,79.417,61.0,15.5655,18.4785,2.9130000000000003,18.417,2.435,11.354,75.0,44.833,-3.0,189.652,9.957,199.609
2011-01-17,98.0,81.125,54.0,19.833,34.9165,15.0835,14.25,2.9375,14.130500000000001,100.0,31.75,-25.0,193.619,19.524,213.143
2011-01-18,95.0,84.292,67.0,23.5,43.75,20.25,19.625,3.0835,16.7705,97.0,47.792,-8.0,195.333,26.75,222.083
2011-01-19,97.0,95.958,94.0,23.5625,30.417,6.854,15.792,3.604,15.479,84.0,72.833,61.0,191.167,22.417,213.583
2011-01-20,98.0,81.042,59.0,11.042,14.6665,3.625,10.333,1.7919999999999998,7.8125,120.0,89.0,45.0,189.75,19.0,208.75
2011-01-21,93.0,78.125,56.0,15.354500000000002,19.542,4.1875,11.583,2.167,7.8125,118.0,70.792,36.0,190.292,20.292,210.583
2011-01-22,96.0,86.167,69.0,10.6455,14.083,3.4375,16.292,1.625,12.5205,102.0,64.292,27.0,193.25,19.75,213.0
2011-01-23,87.0,65.5,46.0,9.388,11.971,2.5835,11.583,1.8045,7.8125,62.0,33.417,9.0,189.348,2.696,192.043
2011-01-24,93.0,74.917,47.0,7.8260000000000005,8.7275,0.9015,15.917,2.229,10.979,33.0,7.333,-11.0,190.348,3.0,193.348
2011-01-25,94.0,72.458,50.0,10.1045,11.6455,1.542,20.917,2.521,16.9585,40.0,11.0,-16.0,191.5,3.167,194.667
2011-01-26,68.0,54.917,44.0,8.2295,9.2085,0.979,11.875,2.75,8.0625,58.0,25.958,-9.0,191.625,2.042,193.667
2011-01-27,95.0,85.75,69.0,23.6045,29.4375,5.8335,34.125,3.083,28.292,49.0,27.417,6.0,193.833,6.583,200.417
2011-01-28,97.0,77.958,45.0,15.854500000000002,22.083,6.2295,39.958,3.25,32.4585,100.0,47.833,6.0,194.542,6.167,200.708
2011-01-29,94.0,76.708,48.0,11.542,13.0625,1.521,21.958,2.4585,13.8125,100.0,36.625,-13.0,193.75,5.083,198.833
2011-01-30,93.0,65.458,36.0,12.875499999999999,16.197499999999998,3.322,13.833,2.1559999999999997,9.9165,92.0,37.042,-13.0,191.043,7.043,198.087
2011-01-31,87.0,63.917,38.0,23.604,28.7915,5.1875,23.652,4.4815000000000005,20.130499999999998,76.0,26.292,-32.0,192.458,9.333,201.792
2011-02-01,85.0,60.833,43.0,7.4375,8.333,0.896,31.0,4.3125,27.333,87.0,56.625,14.0,190.375,5.417,195.792
