date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CO_mean
2011-01-01,13.25,20.729,7.479,,1.0,4.792
2011-01-02,7.304,9.334,2.03,,0.957,3.0
2011-01-03,7.542,9.729,2.188,,0.917,3.208
2011-01-04,5.771,7.229,1.458,,1.833,3.261
2011-01-05,14.663,21.128,6.464,,0.875,4.917
2011-01-06,13.479,21.396,7.916,,0.875,4.583
2011-01-07,16.084,24.729,8.646,,0.917,4.875
2011-01-08,8.562,14.354,5.792,,0.875,3.583
2011-01-09,17.264,28.446,11.182,,0.957,5.125
2011-01-10,13.916,27.167,13.25,,1.25,5.625
2011-01-11,10.375,18.042,7.666,,1.208,4.217
2011-01-12,13.732,22.089,8.356,,1.0,4.083
2011-01-13,14.562,24.875,10.312,,1.5,5.542
2011-01-14,11.021,16.416,5.396,,1.375,5.167
2011-01-15,8.646,11.312,2.667,,0.875,3.708
2011-01-16,16.808,32.368,15.56,,1.087,5.833
2011-01-17,16.542,30.604,14.062,,1.083,5.208
2011-01-18,11.334,19.166,7.833,,1.125,4.304
2011-01-19,12.513,24.506,11.994,,1.083,5.208
2011-01-20,17.542,33.916,16.375,,1.042,5.458
2011-01-21,17.542,33.104,15.562,,1.0,5.5
2011-01-22,6.792,8.917,2.125,,0.958,2.875
2011-01-23,10.866,16.076,5.21,,1.0,4.125
2011-01-24,10.625,15.667,5.042,,0.958,3.458
2011-01-25,8.0,11.562,3.562,,1.583,3.435
2011-01-26,11.008,15.706,4.698,,1.083,3.667
2011-01-27,17.125,24.812,7.688,,1.583,5.583
2011-01-28,12.646,16.875,4.229,,1.125,4.167
2011-01-29,13.875,16.667,2.792,,0.917,4.667
2011-01-30,19.065,29.527,10.462,,1.043,5.5
2011-01-31,14.458,20.938,6.48,,0.917,4.583
2011-02-01,11.596,15.604,4.008,,2.25,4.571
2011-02-02,8.728,10.548,1.82,,1.25,3.167
2011-02-03,16.084,22.646,6.562,,1.0,4.583
2011-02-04,13.562,18.396,4.834,,2.167,4.25
2011-02-05,16.625,23.166,6.542,,1.542,6.25
2011-02-06,19.106,38.062,18.956,,1.261,9.583
2011-02-07,16.5,39.656,23.156,,1.75,8.25
2011-02-08,7.396,12.666,5.271,,1.208,2.739
2011-02-09,12.416,18.188,5.771,,1.083,3.917
2011-02-10,13.438,19.312,5.875,,1.0,3.958
2011-02-11,10.104,14.52,4.416,,1.125,3.458
2011-02-12,7.646,9.146,1.5,,1.125,3.667
2011-02-13,16.521,26.702,10.182,,1.0,5.25
2011-02-14,18.636,40.536,21.898,,1.167,7.125
2011-02-15,14.084,24.188,10.104,,1.292,5.739
2011-02-16,11.688,17.938,6.25,,1.125,3.75
2011-02-17,11.771,19.646,7.875,,1.333,4.0
2011-02-18,11.354,17.771,6.417,,1.125,3.583
2011-02-19,9.52,11.75,2.23,,0.958,3.375
2011-02-20,13.892,19.921,6.029,,1.13,4.292
2011-02-21,18.794,29.966,11.172,,1.208,5.667
2011-02-22,16.584,23.646,7.062,,1.417,5.696
2011-02-23,18.396,35.584,17.188,,1.667,7.292
2011-02-24,12.604,17.708,5.104,,2.042,4.75
2011-02-25,17.125,27.5,10.375,,1.083,5.375
2011-02-26,6.021,7.062,1.042,,1.0,3.167
2011-02-27,11.064,15.196,4.132,,1.043,3.708
2011-02-28,12.271,16.367,4.096,,1.0,4.125
2011-03-01,12.25,15.895,3.646,,1.0,3.708
2011-03-02,17.255,35.218,17.962,,1.0,5.708
2011-03-03,13.375,16.833,3.458,,0.5,4.5
2011-03-04,8.896,11.021,2.125,,0.083,3.5
2011-03-05,18.778,38.292,19.514,,0.565,6.75
2011-03-06,12.752,20.218,7.466,,0.375,5.333
2011-03-07,11.916,16.458,4.542,,1.0,6.565
2011-03-08,11.02,15.229,4.208,,0.625,6.75
2011-03-09,10.812,16.0,5.188,,0.833,5.667
2011-03-10,7.312,9.52,2.208,,0.667,3.458
2011-03-11,4.812,5.938,1.125,,1.042,3.042
2011-03-12,6.49,9.85,3.36,,0.913,3.333
2011-03-13,10.502,14.038,3.536,,0.875,3.458
2011-03-14,8.77,11.0,2.229,,1.083,3.913
2011-03-15,10.979,13.771,2.792,,1.25,3.958
2011-03-16,10.396,14.062,3.667,,0.75,3.083
2011-03-17,14.646,20.354,5.708,,0.917,4.167
2011-03-18,8.062,10.729,2.666,,0.708,3.667
2011-03-19,7.618,10.244,2.626,,0.696,3.318
2011-03-20,7.475,11.923,4.448,,0.75,3.292
2011-03-21,8.354,11.188,2.834,,0.917,3.478
2011-03-22,14.167,20.917,6.75,,1.083,4.042
2011-03-23,15.0,22.708,7.708,,0.875,4.208
2011-03-24,10.125,15.166,5.042,,0.833,3.375
2011-03-25,7.438,8.542,1.104,,0.958,3.375
2011-03-26,11.002,16.381,5.379,,0.913,4.083
2011-03-27,11.635,18.562,6.928,,1.13,3.667
2011-03-28,12.77,19.0,6.229,,1.167,5.043
2011-03-29,8.666,11.084,2.416,,0.917,3.25
2011-03-30,8.604,9.896,1.292,,1.792,3.083
2011-03-31,9.75,14.896,5.146,,1.0,2.708
2011-04-01,9.229,10.02,0.792,,0.75,4.083
2011-04-02,6.812,7.292,0.48,,0.125,3.333
2011-04-03,4.688,4.896,0.208,,0.0,2.25
2011-04-04,6.892,7.434,0.543,,0.13,2.708
2011-04-05,6.729,7.542,0.812,,0.375,2.958
2011-04-06,7.521,8.48,0.958,,0.417,3.174
2011-04-07,8.584,9.75,1.167,,0.458,2.958
2011-04-08,7.875,9.166,1.292,,0.208,2.917
2011-04-09,4.021,4.312,0.292,,0.0,2.792
2011-04-10,4.875,5.042,0.166,,1.125,3.292
2011-04-11,7.108,7.739,0.63,,0.174,3.5
2011-04-12,6.896,7.75,0.854,,0.25,3.083
2011-04-13,6.916,7.916,1.0,,0.667,3.478
2011-04-14,7.416,8.062,0.646,,1.417,3.875
2011-04-15,11.938,13.312,1.375,,0.958,4.208
2011-04-16,7.354,8.146,0.792,,0.125,3.5
2011-04-17,4.604,5.021,0.416,,0.0,2.292
2011-04-18,7.652,9.022,1.37,,0.087,3.0
2011-04-19,5.604,6.25,0.646,,0.0,2.958
2011-04-20,5.125,5.479,0.354,,0.0,2.739
2011-04-21,6.812,7.916,1.104,,0.375,2.917
2011-04-22,10.771,12.708,1.938,,0.375,3.25
2011-04-23,6.75,7.125,0.375,,0.0,3.042
2011-04-24,5.104,5.333,0.229,,0.292,2.875
2011-04-25,6.783,7.196,0.413,,0.565,3.417
2011-04-26,12.729,14.875,2.146,,1.208,4.125
2011-04-27,8.337,9.094,0.758,,0.583,3.348
2011-04-28,7.604,8.438,0.834,,0.042,3.167
2011-04-29,5.979,6.52,0.542,,0.167,3.125
2011-04-30,8.125,9.059,0.935,,1.333,3.458
2011-05-01,4.166,4.25,0.084,,0.375,2.5
2011-05-02,5.718,6.087,0.37,,0.522,3.25
2011-05-03,6.23,6.771,0.542,,0.0,3.792
2011-05-04,3.73,3.917,0.188,,0.333,2.565
2011-05-05,3.208,3.25,0.042,,0.0,2.083
2011-05-06,6.02,6.834,0.812,,0.625,2.833
2011-05-07,5.542,5.958,0.416,,0.208,2.333
2011-05-08,3.396,3.584,0.188,,0.583,2.542
2011-05-09,8.044,9.261,1.218,,1.739,3.625
2011-05-10,8.458,12.5,4.042,,0.708,3.0
2011-05-11,8.458,8.938,0.479,,0.083,3.043
