date,SO2_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,2.7915,32.417,4.75,5.75,1.0,
2011-01-02,2.521,16.042,2.913,3.913,1.0,
2011-01-03,2.875,28.208,3.958,4.958,1.0,
2011-01-04,2.2705,21.0,2.292,3.292,1.0,
2011-01-05,2.5,17.083,4.545,5.545,1.0,
2011-01-06,2.125,13.25,7.042,8.375,1.333,
2011-01-07,2.5,15.25,7.417,8.625,1.208,
2011-01-08,3.25,16.25,3.875,4.875,1.0,
2011-01-09,3.792,27.75,7.696,8.696,1.0,
2011-01-10,5.4585,48.958,12.625,15.333,2.708,
2011-01-11,3.3335,28.875,6.458,7.833,1.375,
2011-01-12,2.8695000000000004,12.042,8.261,9.435,1.174,
2011-01-13,3.3955,19.875,6.083,7.083,1.0,
2011-01-14,3.396,35.75,9.417,11.0,1.583,
2011-01-15,3.0,20.958,5.583,6.583,1.0,
2011-01-16,2.2295,11.875,7.696,8.783,1.087,
2011-01-17,2.8125,9.458,6.667,8.083,1.417,
2011-01-18,2.583,15.591,8.375,9.917,1.542,
2011-01-19,2.458,19.0,11.917,13.708,1.792,
2011-01-20,2.5625,13.042,10.0,11.917,1.917,
2011-01-21,2.104,13.125,6.292,7.792,1.5,
2011-01-22,1.9165,13.458,3.375,4.417,1.042,
2011-01-23,2.4585,9.875,2.174,3.174,1.0,
2011-01-24,3.5,13.75,2.167,3.167,1.0,
2011-01-25,3.339,18.417,4.667,5.667,1.0,
2011-01-26,2.6045,7.917,3.583,4.583,1.0,
2011-01-27,2.7295,14.5,5.875,6.917,1.042,
2011-01-28,3.5835,26.583,7.25,8.417,1.167,
2011-01-29,4.625,25.833,3.75,4.75,1.0,
2011-01-30,3.6665,20.542,6.391,7.565,1.174,
2011-01-31,5.021,22.333,6.739,8.217,1.478,
2011-02-01,3.1875,30.083,4.25,5.25,1.0,
2011-02-02,2.1875,8.25,1.875,2.875,1.0,
2011-02-03,2.271,9.667,5.083,6.375,1.292,
2011-02-04,2.4795,15.5,4.042,5.042,1.0,
2011-02-05,2.271,24.125,5.792,6.792,1.0,
2011-02-06,1.6875,20.875,10.478,15.174,4.696,
2011-02-07,1.824,17.5,3.792,4.792,1.0,
2011-02-08,2.021,9.625,1.625,2.625,1.0,
2011-02-09,2.4375,11.375,3.792,4.792,1.0,
2011-02-10,2.4375,12.625,6.958,8.333,1.375,
2011-02-11,2.5415,11.125,5.458,6.5,1.042,
2011-02-12,4.5625,15.25,4.792,5.792,1.0,
2011-02-13,2.146,12.792,10.348,11.609,1.261,
2011-02-14,1.979,17.083,17.167,23.583,6.417,
2011-02-15,2.2915,15.304,11.261,12.783,1.522,
2011-02-16,3.521,23.083,4.875,5.875,1.0,
2011-02-17,3.854,15.75,2.667,3.667,1.0,
2011-02-18,3.271,13.375,1.708,2.708,1.0,
2011-02-19,3.104,13.458,2.167,3.167,1.0,
2011-02-20,2.667,12.125,5.217,6.304,1.087,
2011-02-21,3.492,16.583,9.792,11.739,1.75,
2011-02-22,4.771,21.083,8.208,9.458,1.25,
2011-02-23,2.604,19.167,5.167,6.458,1.292,
2011-02-24,7.176,36.667,5.875,6.875,1.0,
2011-02-25,3.5835,30.708,4.542,5.542,1.0,
2011-02-26,3.0835,12.792,4.167,5.167,1.0,
2011-02-27,2.854,11.458,6.304,7.565,1.261,
2011-02-28,2.625,13.5,9.958,11.5,1.542,
2011-03-01,2.4749999999999996,17.22,13.417,15.583,2.167,9.667
2011-03-02,2.462,13.43,9.083,10.583,1.5,5.792
2011-03-03,4.208,15.6045,4.833,5.833,1.0,8.75
2011-03-04,3.2915,21.9165,6.167,7.167,1.0,16.875
2011-03-05,2.125,16.396,10.348,11.609,1.261,7.0
2011-03-06,2.3545,20.75,3.417,4.417,1.0,14.375
2011-03-07,4.82,44.4775,4.182,5.182,1.0,37.957
2011-03-08,3.896,40.9375,10.625,11.625,1.0,36.5
2011-03-09,3.6665,27.5835,4.375,5.375,1.0,24.5
2011-03-10,3.271,17.646,3.917,4.917,1.0,12.458
2011-03-11,5.125,25.896,3.333,4.333,1.0,22.417
2011-03-12,3.521,9.4795,2.167,3.167,1.0,5.958
2011-03-13,3.271,10.542,6.167,7.333,1.167,6.583
2011-03-14,3.917,12.771,4.875,6.0,1.125,9.458
2011-03-15,5.7085,38.006,6.636,7.682,1.045,35.917
2011-03-16,5.0,29.5835,4.583,5.583,1.0,25.708
2011-03-17,2.6665,27.167,5.417,6.417,1.0,19.75
2011-03-18,2.125,22.1455,4.792,5.792,1.0,14.958
2011-03-19,2.6665,23.229,6.174,7.652,1.478,16.75
2011-03-20,2.479,17.6875,5.417,6.5,1.083,14.542
2011-03-21,3.333,16.0,5.958,7.167,1.208,10.875
2011-03-22,5.1625,21.458,5.792,6.792,1.0,14.292
2011-03-23,1.6265,21.293999999999997,3.167,4.167,1.0,13.0
2011-03-24,3.771,37.0625,2.958,3.958,1.0,
2011-03-25,3.292,17.9585,2.292,3.292,1.0,
2011-03-26,2.75,13.4375,2.913,3.913,1.0,
2011-03-27,2.771,15.375,4.5,5.542,1.042,
2011-03-28,2.9795,34.75,4.333,5.375,1.042,
2011-03-29,3.854,34.6875,4.773,5.773,1.0,
2011-03-30,11.392,29.799500000000002,2.375,3.375,1.0,
2011-03-31,3.229,23.625,2.292,3.292,1.0,
2011-04-01,4.3955,45.271,5.167,6.167,1.0,
2011-04-02,3.7915,38.0625,3.583,4.583,1.0,
2011-04-03,4.125,36.4375,5.458,6.458,1.0,
2011-04-04,5.333,19.271,5.5,6.5,1.0,
2011-04-05,4.3335,15.9585,5.167,6.25,1.083,
2011-04-06,4.9375,18.9795,5.75,6.875,1.125,
2011-04-07,9.0475,17.585,3.25,4.25,1.0,
2011-04-08,3.8705,17.987,3.375,4.375,1.0,
2011-04-09,4.6455,37.625,3.292,4.292,1.0,
2011-04-10,5.9375,31.5835,3.875,4.875,1.0,
2011-04-11,4.896,38.6665,3.458,4.458,1.0,
2011-04-12,4.792,30.7705,5.083,6.083,1.0,
2011-04-13,5.271,28.7575,3.957,4.957,1.0,
2011-04-14,4.75,26.9375,3.542,4.542,1.0,
2011-04-15,5.2705,48.083,3.833,4.833,1.0,
2011-04-16,5.271,66.896,5.833,6.875,1.042,
2011-04-17,6.4375,53.354,5.667,6.667,1.0,
2011-04-18,5.5835,29.2295,3.478,4.478,1.0,
2011-04-19,4.167,20.25,3.375,4.375,1.0,
2011-04-20,3.5195,22.177999999999997,5.042,6.083,1.042,
2011-04-21,5.292,26.583,4.667,5.708,1.042,
2011-04-22,9.536000000000001,26.712,2.75,3.75,1.0,
2011-04-23,3.354,25.729,2.417,3.417,1.0,
2011-04-24,3.479,35.1875,3.208,4.208,1.0,
2011-04-25,4.1665,32.1665,5.609,6.913,1.304,
2011-04-26,6.9375,26.646,3.167,4.167,1.0,
2011-04-27,4.75,34.3125,4.391,5.391,1.0,
2011-04-28,3.8545,26.0625,2.917,3.917,1.0,
2011-04-29,3.9585,20.7295,3.0,4.0,1.0,
2011-04-30,8.625,33.875,1.458,2.458,1.0,
2011-05-01,4.083,53.75,1.875,2.875,1.0,
2011-05-02,3.7705,170.0,3.87,4.913,1.043,
2011-05-03,3.271,171.20850000000002,4.958,5.958,1.0,
2011-05-04,4.208,92.2915,3.125,4.125,1.0,
2011-05-05,3.521,35.1875,2.667,3.667,1.0,
2011-05-06,3.142,18.2935,3.0,4.0,1.0,
2011-05-07,3.75,16.792,4.208,5.208,1.0,
2011-05-08,3.875,23.7915,2.375,3.375,1.0,
