date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,64.0,53.708,48.0,23.594,35.812,12.219,24.0,1.238,22.323,8.3,5.417,2.7,5.528,196.521,15.416,211.938
2011-01-02,81.0,58.208,38.0,19.435,31.268,11.833,18.583,1.083,19.365,10.0,5.567,3.0,4.512,194.708,12.91,207.618
2011-01-03,51.0,41.333,31.0,14.655,22.287,7.632,9.125,0.861,10.146,9.0,6.158,3.8,3.57,190.25,7.562,197.812
2011-01-04,60.0,44.87,31.0,22.637,36.374,13.736,13.696,1.238,14.291,8.4,5.075,2.3,4.841,193.562,13.104,206.666
2011-01-05,34.0,28.083,18.0,26.449,52.758,26.31,11.5,1.132,12.479,8.0,5.117,2.7,4.347,192.542,12.176,204.72
2011-01-06,52.0,36.792,27.0,42.193,93.717,51.524,18.625,2.794,21.032,8.4,5.817,3.0,5.95,197.444,19.022,216.466
2011-01-07,53.0,38.0,25.0,23.396,47.219,23.823,10.167,1.167,12.792,7.7,5.146,3.3,4.195,192.334,10.875,203.208
2011-01-08,41.0,34.25,28.0,17.471,28.338,10.867,10.417,1.167,12.302,8.1,5.429,2.9,3.848,192.645,9.872,202.517
2011-01-09,70.0,48.625,42.0,32.794,62.138,29.344,21.958,1.917,24.386,8.7,5.475,2.6,6.125,195.896,18.25,214.146
2011-01-10,73.0,55.0,38.0,42.213,94.094,51.88,24.542,2.654,27.771,9.2,6.288,2.1,6.138,198.604,22.542,221.146
2011-01-11,68.0,54.875,37.0,33.572,81.127,47.554,22.167,2.007,24.939,9.4,5.346,1.8,5.137,193.382,23.524,216.906
2011-01-12,46.0,38.458,32.0,31.042,65.344,34.302,13.0,1.472,16.312,6.1,3.546,0.6,4.18,194.708,13.729,208.438
2011-01-13,53.0,46.5,42.0,47.604,129.323,81.719,23.792,3.671,25.583,9.4,5.317,1.1,7.601,200.75,27.771,228.521
2011-01-14,53.0,41.565,35.0,27.941,57.897,29.957,13.864,1.595,15.426,7.4,4.956,3.0,5.354,194.625,14.122,208.746
2011-01-15,48.0,44.958,40.0,29.17,51.411,22.24,19.458,2.389,20.354,6.5,4.421,1.9,5.917,200.354,18.312,218.666
2011-01-16,48.0,44.583,42.0,33.502,72.039,38.537,20.591,1.643,23.674,5.1,4.1,2.6,4.906,193.667,16.021,209.688
2011-01-17,54.0,47.542,40.0,31.799,68.522,36.723,13.708,1.528,21.114,6.9,4.596,2.7,4.597,190.089,12.888,202.978
2011-01-18,58.0,51.958,47.0,50.156,128.833,78.677,27.875,3.014,34.003,8.1,4.871,1.4,7.708,198.708,32.438,231.146
2011-01-19,70.0,57.542,53.0,37.562,88.188,50.625,26.583,2.192,32.729,9.7,5.929,2.3,5.611,194.0,23.292,217.292
2011-01-20,98.0,92.542,74.0,28.27,56.278,28.009,19.083,1.286,22.913,4.1,2.508,1.8,3.986,189.958,13.587,203.544
