date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,7.024,7.988,0.964,15.25,2.644,,187.417,82.0,71.375,51.0,11.833,11.8,6.629,1.4,199.25,3.896
2011-01-02,4.125,4.53,0.405,19.208,3.38,,186.167,78.0,59.542,45.0,7.625,10.0,7.512,5.7,193.792,4.417
2011-01-03,5.405,6.018,0.613,20.792,3.398,,185.583,80.0,60.125,50.0,8.292,9.5,6.846,3.9,193.875,3.479
2011-01-04,5.233,5.773,0.541,38.458,6.013,,186.333,75.0,57.917,43.0,8.417,7.2,5.833,4.3,194.75,6.108
2011-01-05,8.448,9.387,0.939,15.917,2.514,,186.333,91.0,70.667,56.0,14.958,7.5,5.112,2.6,201.292,4.416
2011-01-06,11.702,14.297,2.595,17.25,2.954,,187.542,96.0,68.167,47.0,23.333,9.3,5.883,1.2,210.875,4.812
2011-01-07,6.5,7.257,0.757,6.625,1.546,,187.833,89.0,68.042,53.0,10.333,7.7,5.779,2.1,198.167,3.646
2011-01-08,9.299,10.548,1.25,8.417,1.31,,189.833,89.0,70.25,46.0,14.417,8.2,3.708,-0.5,204.25,4.354
2011-01-09,13.062,15.396,2.334,20.167,3.186,,191.208,86.0,66.958,47.0,18.0,10.9,6.633,3.0,209.208,5.125
2011-01-10,17.847,22.66,4.812,32.583,3.075,,190.042,95.0,76.75,50.0,30.833,10.9,6.046,1.5,220.875,7.208
2011-01-11,7.945,9.043,1.098,25.875,3.763,,186.458,85.0,63.375,44.0,14.25,9.3,6.658,3.5,200.708,4.304
2011-01-12,11.427,13.351,1.924,8.375,1.741,,187.542,76.0,60.917,45.0,16.458,6.6,3.521,0.3,204.0,5.104
2011-01-13,11.775,15.723,3.948,25.591,4.708,,187.042,84.0,65.083,47.0,23.625,8.4,5.521,1.6,210.667,5.208
