date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean
2011-01-01,4.542,5.625,1.084,0.479,10.938,
2011-01-02,2.188,2.625,0.438,0.083,8.229,
2011-01-03,2.958,3.417,0.458,0.271,8.854,
2011-01-04,7.604,9.771,2.166,0.73,8.312,
2011-01-05,2.375,2.854,0.479,0.584,8.229,
2011-01-06,7.021,10.042,3.021,0.396,8.312,
2011-01-07,4.0,5.046,1.046,0.25,11.812,
2011-01-08,7.292,9.312,2.021,0.5,9.896,
2011-01-09,8.104,10.792,2.688,0.542,9.0,
2011-01-10,7.417,9.104,1.688,0.708,11.958,
2011-01-11,7.5,10.458,2.958,1.125,10.292,
2011-01-12,9.354,12.5,3.146,1.23,8.458,
2011-01-13,8.334,10.604,2.271,1.5,9.062,
2011-01-14,8.041,9.458,1.416,1.229,9.688,
2011-01-15,7.771,9.084,1.312,0.958,9.105,
2011-01-16,10.25,13.395,3.146,0.542,9.605,
2011-01-17,12.604,18.042,5.438,0.542,9.542,
2011-01-18,12.218,18.109,5.892,0.565,10.1,
2011-01-19,7.625,10.27,2.646,0.75,10.458,
2011-01-20,7.292,9.604,2.312,0.875,7.938,
2011-01-21,9.792,12.73,2.938,0.584,9.75,
2011-01-22,4.292,5.542,1.25,0.521,7.667,
2011-01-23,4.396,6.396,2.0,0.416,9.458,
2011-01-24,7.979,10.916,2.938,1.708,9.98,
2011-01-25,13.688,20.02,6.334,0.958,13.895,
2011-01-26,12.438,17.5,5.062,1.188,11.292,
2011-01-27,10.333,14.104,3.771,0.812,10.334,
2011-01-28,11.312,15.688,4.375,0.521,10.917,
2011-01-29,5.958,7.104,1.146,0.604,8.854,
2011-01-30,8.521,10.958,2.438,0.625,8.438,
2011-01-31,6.916,9.146,2.229,0.75,10.562,
2011-02-01,7.591,10.704,3.114,1.396,9.458,
2011-02-02,2.834,3.708,0.875,0.292,7.196,
2011-02-03,9.729,13.625,3.896,1.292,9.021,
2011-02-04,11.125,15.667,4.542,0.666,11.708,
2011-02-05,7.208,9.458,2.25,1.104,14.583,
2011-02-06,10.834,15.812,4.979,1.438,16.771,
2011-02-07,13.708,17.312,3.604,0.73,20.396,
2011-02-08,5.688,7.896,2.208,1.875,17.062,
2011-02-09,6.75,9.292,2.542,1.208,12.208,
2011-02-10,7.23,9.75,2.52,1.666,12.5,
2011-02-11,5.708,7.292,1.584,1.146,10.5,
2011-02-12,4.604,5.438,0.833,0.792,11.416,
2011-02-13,7.834,10.438,2.604,0.979,9.938,
2011-02-14,11.5,15.584,4.084,0.958,18.042,
2011-02-15,6.0,7.977,1.977,1.0,20.084,
2011-02-16,4.542,5.625,1.084,0.688,12.438,
2011-02-17,6.75,9.48,2.729,0.938,14.188,
2011-02-18,2.833,3.458,0.625,0.375,7.938,
2011-02-19,4.625,5.666,1.042,0.708,8.938,
2011-02-20,6.5,8.708,2.208,1.354,12.5,
2011-02-21,4.042,5.271,1.23,1.271,18.688,
2011-02-22,11.936,15.864,3.928,1.414,18.761,
2011-02-23,3.48,4.264,0.784,1.271,13.792,
2011-02-24,2.416,3.5,1.084,1.271,11.584,
2011-02-25,6.375,8.188,1.812,1.292,10.083,
2011-02-26,3.312,4.166,0.854,3.688,11.25,
2011-02-27,3.479,4.375,0.896,1.438,11.229,
2011-02-28,10.312,14.23,3.916,1.354,12.604,
2011-03-01,21.042,26.542,5.5,1.312,26.625,
2011-03-02,13.021,16.48,3.458,1.792,24.125,
2011-03-03,4.555,5.892,1.337,0.916,19.25,
2011-03-04,3.28,4.339,1.059,1.02,12.498,
