date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean
2011-04-17,7.792,8.792,1.0,13.528,,2.583
2011-04-18,13.503,16.566,3.063,14.986,,2.609
2011-04-19,13.468,16.171,2.703,9.667,,2.5
2011-04-20,17.278,29.75,12.472,10.25,,2.25
2011-04-21,17.042,21.875,4.833,14.25,,2.667
2011-04-22,19.111,22.903,3.792,27.111,,2.583
2011-04-23,9.805,12.125,2.319,11.916,,2.5
2011-04-24,6.555,7.542,0.986,8.694,,2.625
2011-04-25,18.718,25.312,6.594,14.792,,2.522
2011-04-26,22.139,26.541,4.403,17.889,,3.083
2011-04-27,12.653,15.952,3.3,33.403,,3.0
2011-04-28,7.972,9.486,1.514,12.194,,2.833
2011-04-29,11.25,13.139,1.889,11.569,,3.125
2011-04-30,16.32,19.084,2.764,25.778,,3.0
2011-05-01,12.097,13.625,1.528,22.958,,2.75
2011-05-02,9.629,10.641,1.013,72.904,,2.609
2011-05-03,11.889,13.445,1.555,47.347,,2.5
2011-05-04,10.139,11.764,1.625,24.958,,2.542
2011-05-05,7.597,9.097,1.5,17.611,,2.458
2011-05-06,13.375,16.986,3.611,18.694,,2.5
2011-05-07,20.681,26.389,5.709,31.708,,2.542
2011-05-08,10.792,13.25,2.458,26.222,,2.958
2011-05-09,17.919,20.597,2.679,22.958,,3.087
2011-05-10,27.058,34.063,7.005,35.225,,3.333
2011-05-11,20.015,24.865,4.85,18.585,,2.833
2011-05-12,16.111,18.792,2.681,19.833,,2.667
2011-05-13,18.514,27.68,9.167,19.167,,2.875
2011-05-14,15.722,19.333,3.611,37.942,,3.417
2011-05-15,7.194,8.653,1.458,16.083,,3.167
2011-05-16,14.612,18.76,4.148,26.403,,3.043
2011-05-17,20.792,23.945,3.153,37.042,,3.208
2011-05-18,20.445,23.611,3.167,42.011,,3.208
2011-05-19,26.73,31.214,4.484,41.696,,3.304
2011-05-20,28.889,36.625,7.736,42.736,,3.708
2011-05-21,18.625,22.695,4.069,37.889,,3.75
2011-05-22,9.458,11.972,2.514,25.069,,2.833
2011-05-23,15.88,20.862,4.982,11.611,,2.696
2011-05-24,16.472,19.403,2.931,11.653,,2.792
2011-05-25,20.972,29.917,8.944,15.042,,2.833
2011-05-26,20.653,27.153,6.5,21.681,,3.042
2011-05-27,22.861,30.153,7.292,22.32,,2.958
2011-05-28,14.805,16.57,1.764,21.292,,2.958
2011-05-29,8.819,10.75,1.931,9.889,,2.958
2011-05-30,6.638,7.905,1.267,3.153,,2.826
2011-05-31,6.875,9.889,3.014,12.861,,2.958
2011-06-01,13.923,18.748,4.825,29.591,,2.625
2011-06-02,26.125,35.625,9.5,36.847,,2.667
2011-06-03,23.057,29.215,6.157,28.955,,2.917
2011-06-04,18.153,23.236,5.083,37.0,,3.0
2011-06-05,15.347,18.014,2.667,50.361,,2.917
2011-06-06,12.018,13.509,1.49,34.014,,3.043
2011-06-07,24.917,30.18,5.264,43.75,,4.0
2011-06-08,21.945,26.086,4.142,16.784,,3.0
2011-06-09,19.007,23.75,4.743,21.472,,3.5
2011-06-10,19.187,23.375,4.188,27.139,,3.25
2011-06-11,16.875,19.43,2.556,30.083,,2.958
2011-06-12,15.486,17.389,1.903,35.917,,3.292
2011-06-13,25.388,29.784,4.397,30.833,,3.696
2011-06-14,21.153,26.583,5.431,22.5,,3.333
2011-06-15,18.681,23.153,4.472,11.0,,3.583
2011-06-16,23.197,30.635,7.438,19.616,,3.565
2011-06-17,12.84,15.726,2.886,12.152,,2.955
2011-06-18,23.653,31.528,7.875,19.694,,3.833
2011-06-19,10.944,12.514,1.569,25.389,,3.583
2011-06-20,14.946,18.469,3.522,19.181,,3.304
2011-06-21,16.333,23.528,7.195,10.57,,3.375
2011-06-22,26.667,32.944,6.278,26.319,,3.917
2011-06-23,18.099,24.148,6.048,31.57,,3.75
2011-06-24,9.25,12.708,3.459,17.788,,3.208
2011-06-25,11.333,16.403,5.07,14.667,,3.292
2011-06-26,8.722,11.556,2.833,20.264,,3.333
2011-06-27,18.458,27.199,8.741,25.333,,3.522
2011-06-28,23.014,35.903,12.889,38.667,,4.208
2011-06-29,18.136,21.841,3.705,24.952,,3.875
2011-06-30,20.458,25.444,4.986,26.014,,3.75
2011-07-01,18.486,23.472,4.986,32.111,,3.833
2011-07-02,10.764,13.833,3.069,46.07,,4.125
2011-07-03,11.639,14.694,3.056,20.264,,3.833
2011-07-04,8.534,11.079,2.545,29.833,,3.739
2011-07-05,15.222,17.861,2.639,19.778,,3.583
2011-07-06,16.852,19.918,3.065,22.091,,3.833
2011-07-07,14.542,18.319,3.778,20.945,,3.708
2011-07-08,25.75,44.014,18.264,31.57,,4.083
2011-07-09,19.222,35.805,16.583,25.583,,4.833
2011-07-10,8.944,10.931,1.986,14.194,,3.75
2011-07-11,15.411,21.211,5.8,14.694,,4.217
2011-07-12,10.639,15.597,4.958,12.569,,3.458
2011-07-13,12.528,18.889,6.361,14.778,,3.542
2011-07-14,14.12,28.656,14.536,14.867,,3.048
2011-07-15,20.5,32.333,11.833,20.278,,2.542
2011-07-16,10.111,12.792,2.681,18.722,,3.458
2011-07-17,6.903,8.861,1.958,18.306,,2.667
2011-07-18,5.67,8.478,2.808,14.125,,2.826
2011-07-19,9.792,20.5,10.708,19.653,,2.833
2011-07-20,7.514,11.903,4.389,19.625,,2.792
2011-07-21,7.625,10.903,3.278,10.264,,2.667
2011-07-22,10.472,15.041,4.569,12.153,,2.625
2011-07-23,8.945,12.111,3.167,9.736,,2.917
2011-07-24,8.555,10.819,2.264,14.889,,3.292
2011-07-25,12.31,18.22,5.91,19.986,,3.174
