date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean,CO_mean,PM25_mean
2011-01-01,85.0,69.5,52.0,5.4863333333333335,8.028,2.5416666666666665,2.6806666666666668,,120.0,92.75,67.0,194.3955,8.625,203.02100000000002,4.333,
2011-01-02,57.0,50.667,46.0,4.985333333333333,7.058,2.0723333333333334,2.347,,98.0,81.167,59.0,190.3865,7.591,197.9775,3.783,
2011-01-03,86.0,73.792,59.0,6.722,10.194333333333333,3.4723333333333333,1.875,,95.0,66.542,53.0,195.6875,13.5625,209.25,5.083,
2011-01-04,93.0,69.458,55.0,5.2636666666666665,7.9303333333333335,2.6666666666666665,1.7083333333333333,,95.0,64.458,39.0,190.9375,8.125,199.0625,3.583,
2011-01-05,57.0,54.708,53.0,8.764000000000001,14.402666666666667,5.639,2.4583333333333335,,78.0,65.042,55.0,190.3545,14.271,204.625,4.458,
2011-01-06,66.0,55.917,46.0,9.583333333333334,17.930666666666667,8.347333333333333,1.8473333333333333,,107.0,72.625,42.0,192.22899999999998,15.3125,207.54149999999998,4.667,
2011-01-07,83.0,61.875,39.0,10.0,23.680666666666667,13.680666666666667,2.0,,114.0,60.458,11.0,196.47899999999998,20.9375,217.41649999999998,6.5,
2011-01-08,86.0,67.25,35.0,7.444333333333333,13.402666666666667,5.958333333333333,2.75,,134.0,67.333,5.0,196.875,17.521,214.39600000000002,5.333,
2011-01-09,77.0,62.875,48.0,10.139000000000001,17.069333333333333,6.930666666666667,3.097,,126.0,93.542,55.0,196.318,14.318,210.6365,5.391,
2011-01-10,89.0,62.5,49.0,11.889000000000001,24.333333333333332,12.444666666666668,5.5,,116.0,78.625,20.0,201.5325,47.589,249.12150000000003,7.583,
2011-01-11,60.0,54.083,47.0,8.444666666666667,13.375333333333336,4.930666666666666,3.5696666666666665,,91.0,82.583,47.0,192.824,30.7065,223.53050000000002,4.667,
2011-01-12,79.0,55.5,41.0,11.138666666666666,20.194666666666667,9.055333333333332,2.3193333333333332,,101.0,55.917,-13.0,191.6875,16.833,208.5205,4.958,
2011-01-13,83.0,62.292,51.0,10.305666666666667,19.014,8.708333333333334,4.125,,94.0,72.167,44.0,194.4375,16.6665,211.1045,5.25,
2011-01-14,75.0,65.0,49.0,12.124666666666664,20.458,8.333333333333334,3.558,,113.0,74.458,42.0,195.39749999999998,19.6,214.9975,6.292,
2011-01-15,87.0,77.875,60.0,7.416999999999999,11.486333333333334,4.069333333333334,1.3333333333333333,,77.0,63.583,54.0,195.91649999999998,13.6665,209.583,4.958,0.0
2011-01-16,89.0,85.875,83.0,10.695333333333332,18.999666666666666,8.304333333333334,1.2083333333333333,,80.0,65.0,46.0,190.795,14.727,205.523,5.435,5.5
2011-01-17,90.0,71.208,39.0,8.166666666666666,15.902666666666667,7.736,2.1363333333333334,,138.0,70.125,15.0,190.875,15.6875,206.5625,4.667,14.542
2011-01-18,87.0,66.458,36.0,7.7636666666666665,18.277666666666665,10.514000000000001,2.0,,168.0,104.125,47.0,193.537,18.751,212.288,5.267,23.087
2011-01-19,91.0,89.083,87.0,9.819333333333333,19.847333333333335,10.028,1.6946666666666665,,134.0,115.792,99.0,189.54149999999998,17.083,206.625,3.208,19.917
2011-01-20,92.0,80.125,65.0,9.861333333333333,20.958333333333332,11.097333333333333,1.8336666666666666,,153.0,113.417,74.0,189.6875,21.729,211.41649999999998,2.583,16.75
2011-01-21,91.0,76.333,55.0,7.736,17.138666666666666,9.403,2.1666666666666665,,161.0,108.208,70.0,189.176,16.538,205.714,2.333,18.583
2011-01-22,90.0,73.625,58.0,4.652666666666667,8.430666666666667,3.778,1.264,,134.0,105.667,77.0,190.10399999999998,10.771,200.875,1.292,14.667
2011-01-23,62.0,55.042,44.0,5.028,8.333666666666668,3.3056666666666668,1.4306666666666665,,92.0,70.458,48.0,188.7345,6.7955000000000005,195.53,0.708,12.75
2011-01-24,68.0,53.542,47.0,5.111,8.042,2.9306666666666668,2.0946666666666665,,65.0,49.625,35.0,190.54149999999998,7.1745,197.716,1.125,19.087
2011-01-25,85.0,68.625,46.0,8.735999999999999,15.402666666666667,6.666666666666667,2.1666666666666665,,57.0,35.417,17.0,193.8125,11.979,205.79149999999998,2.333,24.417
2011-01-26,60.0,46.5,39.0,8.208333333333334,14.833333333333334,6.625333333333334,1.5556666666666665,,74.0,42.708,11.0,193.1875,12.6665,205.85399999999998,1.958,12.0
2011-01-27,69.0,51.75,34.0,10.083333333333334,18.708333333333332,8.625,1.832,,110.0,64.5,8.0,195.163,13.254,208.41649999999998,4.087,19.5
2011-01-28,84.0,63.458,45.0,9.722,16.361,6.639,1.8470000000000002,,108.0,80.917,64.0,193.04149999999998,12.832999999999998,205.875,5.208,25.458
2011-01-29,85.0,60.042,33.0,6.569333333333333,10.319333333333335,3.75,2.638666666666667,,133.0,80.833,30.0,193.47899999999998,13.104500000000002,206.58350000000002,5.25,29.417
2011-01-30,63.0,48.833,36.0,10.753666666666668,19.898666666666667,9.145,3.125,,116.0,74.542,35.0,195.226,18.494999999999997,213.7215,5.783,26.542
2011-01-31,73.0,46.625,29.0,13.111333333333334,24.444333333333333,11.333333333333334,4.230666666666667,,103.0,51.333,5.0,196.97899999999998,22.9165,219.8955,6.417,32.917
2011-02-01,79.0,64.542,46.0,8.125,13.222,5.097333333333333,1.9303333333333335,,131.0,82.375,22.0,198.6045,13.8335,212.4375,5.625,37.292
2011-02-02,84.0,61.708,44.0,5.139,9.166666666666666,4.027666666666667,1.3613333333333333,,54.0,28.583,-14.0,190.83350000000002,6.375,197.208,3.083,9.792
