date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,CO2_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,14.238,25.965,11.727,,15.222,202.514,4244.167,87.0,60.625,42.0,172.472,1.292,6.6,2.008,-1.8,374.986,4.667
2011-01-02,9.213,12.248,3.035,,11.305,193.333,4073.75,89.0,55.167,22.0,47.917,0.692,9.4,3.246,-1.2,241.25,4.227
2011-01-03,13.738,18.528,4.79,,8.653,194.375,4134.167,61.0,41.5,22.0,43.681,1.194,7.9,2.592,-2.4,238.056,5.17
2011-01-04,13.684,19.325,5.641,,10.139,196.528,4102.083,67.0,45.292,29.0,10.974,1.712,7.8,2.396,-1.9,207.502,4.25
2011-01-05,23.052,42.351,19.299,,11.954,197.138,4291.5,67.0,50.917,31.0,17.924,1.152,5.2,0.867,-2.9,215.062,5.875
2011-01-06,24.456,47.734,23.278,,15.805,200.682,4229.583,70.0,51.375,29.0,17.574,1.244,7.0,1.604,-3.8,218.257,5.301
2011-01-07,22.39,49.624,27.234,,10.856,195.916,4368.333,69.0,49.0,24.0,21.5,1.347,6.1,1.721,-1.7,217.416,5.812
2011-01-08,16.96,28.648,11.688,,12.394,197.458,4354.583,68.0,48.667,25.0,14.5,2.014,6.2,0.912,-4.0,211.958,5.188
2011-01-09,18.167,29.954,11.787,,15.491,193.979,4267.917,66.0,52.25,33.0,10.27,2.944,7.6,2.262,-2.4,204.25,4.433
2011-01-10,24.253,46.055,21.802,,19.588,197.581,4278.75,82.0,54.75,35.0,16.625,2.153,7.0,3.062,-1.1,214.206,5.038
2011-01-11,16.432,29.102,12.67,,13.248,194.091,4111.667,71.0,47.0,27.0,9.647,2.154,7.2,2.525,-0.7,203.737,3.692
2011-01-12,23.318,44.002,20.683,,12.565,196.629,4195.217,57.0,36.917,20.0,16.04,1.885,4.6,0.071,-4.8,212.668,4.729
2011-01-13,27.232,57.679,30.446,,18.991,197.195,4188.75,63.0,43.625,27.0,19.347,2.747,8.9,1.917,-5.2,216.542,5.666
2011-01-14,15.64,26.74,11.1,,12.44,196.208,4064.583,62.0,36.917,20.0,12.986,1.436,5.3,1.888,-1.1,209.194,4.417
2011-01-15,18.875,30.155,11.28,,18.681,200.347,4185.833,59.0,45.875,30.0,16.417,1.764,5.7,1.308,-2.9,216.764,5.646
2011-01-16,22.907,42.695,19.788,,17.389,196.903,4127.917,59.0,42.292,28.0,16.292,1.509,4.3,1.633,-1.0,213.194,5.396
2011-01-17,23.423,42.661,19.238,,14.556,195.75,4107.083,57.0,42.667,28.0,15.403,1.5,6.5,2.25,-0.4,211.153,5.339
2011-01-18,28.778,56.066,27.288,,22.727,195.678,4158.333,59.0,46.417,28.0,19.223,1.895,7.6,2.117,-2.5,214.901,5.958
2011-01-19,21.793,42.005,20.213,,20.645,195.955,4114.348,61.0,51.458,33.0,15.151,2.472,9.3,3.988,-0.8,211.105,4.438
2011-01-20,13.634,19.603,5.969,,15.634,190.299,4037.917,96.0,86.708,56.0,8.498,0.715,3.1,1.562,0.9,198.798,2.854
2011-01-21,11.358,16.332,4.973,,9.074,189.667,4145.0,100.0,93.833,79.0,8.444,0.667,1.9,1.192,0.4,198.111,2.646
2011-01-22,9.54,14.554,5.015,,7.153,189.194,4209.583,99.0,86.792,78.0,10.528,1.111,5.6,3.392,1.4,199.722,2.958
2011-01-23,15.872,36.055,20.184,,12.371,195.083,4241.25,100.0,78.125,47.0,15.139,1.181,6.5,2.667,0.4,210.222,4.538
2011-01-24,16.971,27.385,10.414,,11.238,191.542,4121.25,97.0,49.5,33.0,12.655,1.331,4.3,1.329,-1.7,204.197,3.827
2011-01-25,22.456,49.363,26.906,,13.008,194.166,4165.0,75.0,52.708,15.0,17.389,2.014,7.0,1.271,-2.7,211.556,4.916
