date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,SO2_mean,THC_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min,CO_mean
2011-01-01,22.7876,30.670799999999996,7.8833,25.5335,202.98616666666666,20.465333333333334,,1.15625,223.4515,65.33333333333333,49.708333333333336,39.0,88.0,48.19466666666667,14.666666666666666,4.896
2011-01-02,13.7818,20.2224,6.4407,18.5627,198.13316666666665,14.953000000000001,,0.84775,213.08616666666668,74.0,52.222,25.666666666666668,103.0,50.833,16.333333333333332,3.4219999999999997
2011-01-03,9.5084,11.875,2.3667000000000002,4.1168,190.06233333333333,6.742999999999999,,0.28125,196.80550000000002,46.0,30.902666666666665,17.333333333333332,100.66666666666667,59.708333333333336,30.0,2.271
2011-01-04,19.738,28.4061,8.668000000000001,10.491299999999999,197.3225,15.787999999999998,,1.088,213.1105,60.666666666666664,41.90266666666667,27.666666666666668,98.66666666666667,47.65266666666667,5.0,4.022
2011-01-05,13.9399,21.1718,7.2319,5.832800000000001,191.43949999999998,8.577666666666667,,0.88175,200.01733333333334,44.333333333333336,28.791666666666668,16.333333333333332,91.0,51.43033333333333,20.666666666666668,2.6875
2011-01-06,30.608299999999996,63.55,32.9418,15.425,198.986,24.888833333333334,,1.6355,223.875,61.333333333333336,41.264,27.333333333333332,88.0,48.34733333333333,19.666666666666668,5.354
2011-01-07,17.9458,30.587400000000002,12.641499999999999,9.241800000000001,196.45833333333334,15.180666666666667,,0.61475,211.639,66.66666666666667,38.764,19.333333333333332,85.66666666666667,42.486,-1.3333333333333333,3.396
2011-01-08,13.958400000000001,17.375,3.4166,7.8417,196.96516666666665,11.687333333333333,,0.51025,208.65283333333332,50.0,34.083333333333336,21.333333333333332,90.0,50.291666666666664,5.666666666666667,2.9585
2011-01-09,24.8658,33.6235,8.757900000000001,21.7541,196.46699999999998,18.1475,,1.8045,214.61483333333334,73.33333333333333,50.041666666666664,33.666666666666664,97.66666666666667,50.27766666666667,9.0,4.661
2011-01-10,30.4021,50.8538,20.4518,21.4493,197.04233333333332,20.929666666666666,,1.357,217.9718333333333,73.0,52.847,31.333333333333332,98.66666666666667,55.09733333333333,-0.6666666666666666,5.01
2011-01-11,20.5713,32.5082,11.9373,15.916299999999998,191.86516666666668,15.027666666666667,,1.27725,206.893,81.0,58.05533333333333,34.333333333333336,100.0,46.208333333333336,12.333333333333334,3.2495
2011-01-12,23.0216,44.0472,21.025399999999998,10.719899999999999,194.91983333333334,17.3965,,0.67875,212.316,52.0,34.111333333333334,21.666666666666668,64.33333333333333,27.347333333333335,-3.6666666666666665,4.0
2011-01-13,39.9876,92.325,52.3375,20.7417,199.77766666666665,37.652833333333334,,2.37525,237.43066666666667,68.66666666666667,48.416666666666664,30.666666666666668,98.0,40.90266666666667,-14.333333333333334,6.521
2011-01-14,24.775,46.4666,21.6916,10.8124,198.61816666666667,20.764,,0.854,219.38199999999998,65.33333333333333,39.416666666666664,24.333333333333332,77.0,38.263666666666666,-2.0,4.875
2011-01-15,26.9209,42.1,15.1792,20.2084,201.95133333333334,24.020833333333332,,1.4685000000000001,225.97233333333335,56.333333333333336,44.05566666666667,30.333333333333332,60.0,30.375,-7.0,5.6875
2011-01-16,24.7696,37.7807,13.011199999999999,21.3703,196.34416666666667,16.907999999999998,,1.025,213.25199999999998,55.0,43.80566666666667,34.333333333333336,48.0,31.291666666666668,9.666666666666666,3.909
2011-01-17,19.6939,36.538799999999995,16.8451,12.7137,193.18233333333333,15.399,,0.83125,208.5815,68.33333333333333,44.458333333333336,28.666666666666668,72.66666666666667,39.763666666666666,13.666666666666666,3.1134999999999997
2011-01-18,35.8322,71.37100000000001,35.5389,28.49822222222222,201.49983333333333,32.95066666666667,,1.62525,234.45000000000002,70.0,54.56933333333333,35.666666666666664,93.0,40.18066666666667,-12.666666666666666,5.9375
2011-01-19,22.9375,44.375,21.4375,26.3337,195.53483333333335,21.659666666666666,,1.7395,217.19449999999998,65.33333333333333,55.75,47.333333333333336,100.0,53.861,3.3333333333333335,3.854
2011-01-20,12.8582,15.9168,3.0585,16.5499,189.27783333333332,8.034666666666666,,0.7190000000000001,197.3125,89.66666666666667,83.68066666666667,59.666666666666664,54.333333333333336,26.527666666666665,15.666666666666666,2.2915
2011-01-21,12.5126,15.562700000000001,3.0499,8.8624,188.96533333333332,7.972166666666666,,0.08349999999999999,196.9375,90.66666666666667,82.014,72.66666666666667,37.0,29.625,20.0,2.271
2011-01-22,13.7666,20.3459,6.5792,8.7,191.77083333333334,11.694333333333333,,0.04175,203.46533333333332,92.0,87.45800000000001,80.33333333333333,70.66666666666667,45.56933333333333,26.0,3.0415
2011-01-23,24.4362,73.5521,49.1157,14.9171,204.73283333333333,27.483833333333333,,0.483,232.2165,91.66666666666667,82.86133333333333,59.666666666666664,87.0,42.528,5.0,6.1495
2011-01-24,25.9292,44.9916,19.0625,10.758199999999999,197.0765,16.382,,0.59375,213.45833333333334,92.33333333333333,62.06933333333333,40.666666666666664,45.666666666666664,21.180666666666667,-6.333333333333333,3.854
2011-01-25,33.2671,76.9499,43.683,21.669,203.40233333333333,32.68983333333333,,1.431,236.09216666666666,78.66666666666667,57.736,27.333333333333332,80.66666666666667,32.87533333333334,-8.333333333333334,5.6525
2011-01-26,23.2717,32.6866,9.415000000000001,12.756699999999999,195.71325000000002,13.33525,,0.91325,209.0485,81.0,46.84733333333333,24.666666666666668,57.333333333333336,19.625,-16.0,3.2705
