date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-01,196.75,19.292,21.125,28.771,7.646,17.417,2.875,16.854,216.042,5.708
2011-01-02,190.75,11.375,13.771,17.042,3.27,9.25,2.625,11.792,202.125,3.875
2011-01-03,189.875,9.583,14.0,18.0,4.0,4.292,2.458,4.834,199.458,3.708
2011-01-04,195.5,16.667,20.583,31.416,10.834,10.083,3.25,9.792,212.167,5.667
2011-01-05,194.042,15.417,23.438,39.25,15.812,5.083,2.208,6.104,209.458,5.417
2011-01-06,194.13,27.217,34.108,66.565,32.456,9.292,3.304,10.354,221.348,6.783
2011-01-07,190.708,13.208,17.938,24.146,6.208,5.042,2.458,6.208,203.917,3.417
2011-01-08,190.458,12.292,14.542,19.396,4.854,5.333,2.417,5.396,202.75,3.792
2011-01-09,196.792,25.417,27.062,46.542,19.48,14.375,3.375,16.396,222.208,6.458
2011-01-10,196.125,30.667,35.562,68.688,33.125,15.292,4.0,18.625,226.792,7.125
2011-01-11,191.0,19.091,23.021,47.618,24.597,16.136,3.913,16.745,210.091,5.25
2011-01-12,193.333,26.75,26.413,52.344,25.932,8.333,3.0,9.312,220.083,5.739
2011-01-13,198.208,46.0,37.916,95.688,57.771,15.083,3.833,17.604,244.208,8.792
2011-01-14,195.875,23.208,26.271,45.708,19.438,13.0,3.917,13.895,219.083,6.333
2011-01-15,196.875,24.0,24.646,40.812,16.167,13.417,3.833,13.896,220.875,6.917
2011-01-16,192.292,20.833,24.583,35.52,10.938,16.417,2.792,16.666,213.125,4.208
2011-01-17,197.042,33.042,33.542,65.479,31.938,19.542,3.583,19.286,230.083,6.167
2011-01-18,197.522,42.565,42.326,86.522,44.196,23.273,4.783,25.312,240.087,7.565
2011-01-19,191.375,22.958,28.5,49.021,20.521,17.0,3.792,21.458,214.333,4.75
2011-01-20,188.375,10.542,19.479,30.354,10.875,11.833,1.542,11.73,198.917,3.792
2011-01-21,187.125,9.917,17.312,26.562,9.25,5.25,1.583,5.958,197.042,3.583
2011-01-22,191.0,17.208,17.521,31.666,14.146,7.208,2.167,9.146,208.208,5.292
2011-01-23,193.625,33.292,27.938,77.875,49.938,10.625,2.625,12.625,226.917,7.125
2011-01-24,196.583,23.583,28.062,54.916,26.854,9.958,1.583,11.396,220.167,5.875
2011-01-25,195.043,32.087,33.171,76.369,43.198,11.917,2.909,13.737,227.13,8.174
2011-01-26,193.667,22.792,27.104,44.584,17.48,10.708,2.25,9.792,216.458,5.292
2011-01-27,196.75,23.875,30.188,62.229,32.042,12.5,2.542,11.146,220.625,6.625
2011-01-28,192.083,16.458,21.02,34.438,13.416,13.417,2.417,11.938,208.542,4.708
2011-01-29,189.792,8.833,12.625,16.105,3.48,7.875,1.958,6.854,198.625,3.583
2011-01-30,193.25,22.125,28.73,52.23,23.5,9.75,2.0,9.333,215.375,5.583
2011-01-31,195.417,26.083,30.812,66.125,35.312,10.917,2.583,9.938,221.5,7.292
2011-02-01,193.333,15.25,25.958,55.416,29.458,14.375,4.292,15.167,208.583,5.75
2011-02-02,192.182,10.909,20.783,34.087,13.304,9.391,2.348,6.409,203.091,4.565
2011-02-03,199.333,26.708,33.625,71.208,37.584,10.333,2.75,9.875,226.042,7.917
