date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,15.145,17.625,2.48,,3.042,11.354,11.0,6.467,1.8
2011-01-02,7.084,7.896,0.812,,3.5,14.02,8.4,5.767,4.1
2011-01-03,11.196,12.738,1.542,,3.125,15.792,7.4,5.517,3.8
2011-01-04,8.854,10.146,1.292,,4.466,23.166,7.2,4.042,1.7
2011-01-05,12.875,15.562,2.688,,2.833,7.792,6.6,3.471,0.6
2011-01-06,21.29,36.932,15.643,,3.127,11.165,9.5,5.096,0.7
2011-01-07,11.667,14.562,2.896,,2.458,5.75,7.5,4.992,2.6
2011-01-08,9.917,12.229,2.312,,2.166,5.812,7.7,4.317,1.6
2011-01-09,15.521,21.0,5.479,,3.896,13.479,11.0,5.983,2.8
2011-01-10,28.148,50.704,22.557,,4.354,26.688,11.0,6.446,2.0
2011-01-11,12.486,15.22,2.736,,5.042,25.802,9.7,5.933,1.7
2011-01-12,26.333,45.75,19.417,,2.833,7.042,7.1,3.417,0.3
2011-01-13,27.0,68.958,41.958,,3.542,14.625,9.8,5.688,1.8
2011-01-14,20.042,23.833,3.792,,5.292,28.958,7.9,5.675,4.3
2011-01-15,15.625,20.792,5.167,,2.917,11.333,8.2,5.729,3.1
2011-01-16,11.025,12.138,1.112,,2.596,11.479,5.7,5.179,4.4
2011-01-17,16.868,24.886,8.019,,2.91,12.688,9.1,5.304,2.0
2011-01-18,25.584,41.604,16.021,,3.125,13.146,10.6,5.025,-0.4
2011-01-19,27.334,51.23,23.896,,3.125,11.875,7.7,5.542,4.0
2011-01-20,10.478,11.448,0.97,,2.166,4.875,9.4,7.514,5.3
2011-01-21,15.479,18.0,2.52,,2.104,10.979,8.6,7.479,6.5
2011-01-22,18.604,23.792,5.188,,2.708,11.875,11.5,7.525,3.7
2011-01-23,9.75,11.666,1.916,,2.312,4.02,9.2,6.433,3.2
2011-01-24,11.342,14.388,3.047,,2.312,4.812,5.8,2.908,1.2
2011-01-25,13.271,16.229,2.958,,3.5,14.688,5.6,2.417,0.1
2011-01-26,13.184,15.79,2.606,,2.646,6.062,5.3,2.004,-0.9
2011-01-27,17.806,23.381,5.574,,4.598,19.586,7.9,3.754,0.9
2011-01-28,11.562,13.562,2.0,,4.375,16.916,7.8,4.392,2.5
2011-01-29,6.812,7.646,0.833,,3.708,5.729,5.7,3.254,1.7
2011-01-30,19.979,30.688,10.708,,2.896,6.812,5.8,2.833,0.4
2011-01-31,15.6,19.874,4.274,,2.73,7.458,6.6,2.979,0.2
2011-02-01,18.854,38.604,19.75,,4.229,14.354,9.0,3.458,-1.1
2011-02-02,8.458,10.229,1.771,,2.834,5.166,3.0,0.279,-1.6
2011-02-03,23.326,36.196,12.87,,3.228,10.398,4.9,1.092,-3.2
2011-02-04,19.5,27.479,7.98,,4.562,18.292,7.9,4.617,1.6
2011-02-05,15.979,18.458,2.48,,6.875,31.938,8.8,5.8,1.5
2011-02-06,26.225,34.486,8.261,,5.05,28.312,9.4,7.0,4.7
2011-02-07,20.846,27.9,7.054,,3.008,11.854,10.2,8.429,5.6
2011-02-08,9.629,11.621,1.992,,2.708,9.083,5.4,3.05,0.0
2011-02-09,9.917,13.125,3.208,,2.875,12.666,5.2,2.029,-1.4
2011-02-10,12.304,17.652,5.348,,3.244,10.663,6.9,3.596,-0.2
2011-02-11,7.042,8.458,1.417,,3.771,9.595,7.2,4.045,1.5
2011-02-12,9.218,10.182,0.964,,3.438,10.229,7.8,4.046,1.6
2011-02-13,26.509,33.22,6.71,,3.416,16.208,5.8,3.829,2.2
2011-02-14,31.172,51.702,20.53,,3.479,17.042,6.9,5.408,4.0
2011-02-15,18.602,32.546,13.944,,3.562,12.146,7.8,4.779,2.5
2011-02-16,26.546,40.704,14.159,,3.653,18.33,8.1,4.212,1.5
2011-02-17,11.933,14.964,3.03,,3.021,9.792,6.7,3.412,-0.3
2011-02-18,6.854,8.166,1.312,,2.896,6.229,3.6,1.275,-0.9
2011-02-19,10.292,12.562,2.27,,2.916,8.166,7.9,1.992,-2.7
2011-02-20,25.479,36.979,11.5,,3.458,13.125,8.7,3.962,-0.8
2011-02-21,29.958,49.125,19.167,,4.875,21.146,8.8,5.446,0.4
2011-02-22,18.473,20.756,2.284,,4.842,20.354,11.4,8.538,5.1
2011-02-23,20.492,28.446,7.953,,3.375,14.646,13.0,10.588,8.6
2011-02-24,6.196,6.532,0.335,,4.688,28.104,12.3,8.754,6.2
2011-02-25,20.125,25.0,4.875,,3.688,25.416,8.2,6.942,5.6
2011-02-26,4.958,5.25,0.292,,2.938,11.125,5.8,4.4,1.1
2011-02-27,7.932,9.134,1.203,,3.22,12.029,6.2,2.867,0.5
2011-02-28,16.221,20.404,4.184,,3.036,9.292,8.7,4.454,-1.0
2011-03-01,28.208,36.064,7.856,,3.625,15.042,15.5,9.858,4.8
2011-03-02,26.298,41.91,15.612,,3.562,16.5,11.5,10.117,8.4
2011-03-03,3.708,3.875,0.166,,3.208,16.125,12.4,8.929,6.4
2011-03-04,7.854,8.25,0.396,,2.792,13.834,9.8,7.625,4.3
2011-03-05,23.684,38.28,14.597,,2.584,9.86,12.8,10.919,9.4
2011-03-06,33.08,57.252,24.172,,4.672,21.438,17.6,13.429,11.1
2011-03-07,10.125,10.812,0.688,,4.958,32.896,12.7,10.9,8.1
2011-03-08,10.228,12.258,2.03,,5.271,25.834,14.9,9.9,6.6
2011-03-09,19.606,21.829,2.222,,3.375,19.519,8.8,7.025,6.0
2011-03-10,7.458,8.062,0.604,,2.771,8.875,10.3,7.958,5.7
2011-03-11,8.062,9.146,1.084,,3.208,12.292,10.0,5.333,2.0
2011-03-12,7.7,8.572,0.871,,2.857,8.562,6.6,3.554,0.6
2011-03-13,11.416,13.312,1.896,,3.25,7.562,8.2,4.104,1.2
2011-03-14,24.042,31.833,7.792,,4.042,10.625,10.2,5.771,0.6
2011-03-15,18.829,30.895,12.066,,4.229,16.02,9.5,5.904,2.5
2011-03-16,21.508,27.076,5.568,,3.645,12.432,13.8,7.925,1.3
2011-03-17,24.916,33.25,8.333,,3.188,16.958,14.1,11.558,9.3
2011-03-18,23.584,41.479,17.896,,4.166,25.771,13.3,11.796,10.0
2011-03-19,5.436,6.272,0.836,,3.312,7.92,9.6,6.942,3.3
2011-03-20,12.854,15.583,2.729,,4.0,9.312,11.1,6.7,1.6
2011-03-21,12.062,13.605,1.542,,3.73,10.834,12.4,7.517,4.0
2011-03-22,27.057,41.195,14.138,,5.854,20.25,14.2,9.442,2.8
2011-03-23,22.324,25.386,3.062,,3.042,14.188,11.4,9.883,7.8
2011-03-24,16.042,17.73,1.688,,3.521,11.708,12.9,9.708,7.1
2011-03-25,5.688,6.48,0.792,,3.292,12.354,10.5,6.617,4.3
2011-03-26,10.188,12.021,1.834,,2.904,8.438,9.6,5.788,2.8
2011-03-27,26.424,34.881,8.456,,5.066,18.848,13.8,8.7,3.1
2011-03-28,20.666,34.416,13.75,,5.292,24.52,16.6,9.871,5.4
2011-03-29,23.983,31.614,7.631,,4.646,15.958,17.0,10.975,4.5
2011-03-30,22.264,31.378,9.115,,5.083,13.896,19.6,14.217,7.1
2011-03-31,14.208,15.708,1.5,,3.167,10.229,17.0,10.762,4.9
2011-04-01,24.294,29.161,4.868,,5.708,23.896,19.4,12.704,4.8
2011-04-02,18.812,23.979,5.167,,6.0,29.292,18.9,11.958,7.0
2011-04-03,1.708,1.771,0.062,,2.958,7.916,10.4,7.358,5.7
2011-04-04,8.27,10.354,2.083,,3.25,8.458,13.0,8.233,2.5
2011-04-05,17.812,22.696,4.884,,4.712,15.908,18.0,10.583,4.1
2011-04-06,18.968,22.415,3.448,,5.166,16.938,19.6,12.917,5.0
2011-04-07,21.604,25.604,4.0,,5.271,16.917,20.9,15.875,10.5
