date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CO_mean
2011-04-10,27.979,36.49,8.51,7.055,33.427,,6.958
2011-04-11,23.125,28.74,5.614,3.0,30.615,,6.292
2011-04-12,25.304,37.222,11.918,3.413,25.208,,5.917
2011-04-13,25.052,33.25,8.198,6.153,32.604,,7.333
2011-04-14,34.708,44.802,10.094,6.5,35.073,,7.417
2011-04-15,27.625,32.333,4.708,5.5,34.802,,5.458
2011-04-16,15.427,18.458,3.031,2.194,38.927,,5.542
2011-04-17,13.323,14.583,1.26,2.917,15.031,,4.333
2011-04-18,18.364,22.666,4.302,2.806,22.364,,5.0
2011-04-19,12.188,16.76,4.573,0.93,8.302,,4.042
2011-04-20,21.573,30.812,9.24,2.5,13.854,,4.708
2011-04-21,30.497,42.238,11.742,4.86,30.177,,5.783
2011-04-22,33.562,43.688,10.125,9.389,34.26,,5.625
2011-04-23,16.604,21.396,4.792,2.236,19.614,,6.625
2011-04-24,13.48,15.323,1.844,2.389,26.812,,6.958
2011-04-25,18.396,22.771,4.375,2.653,24.198,,6.792
2011-04-26,18.776,22.061,3.284,2.877,24.78,,6.583
2011-04-27,22.821,29.962,7.141,3.19,27.643,,2.792
2011-04-28,15.635,19.583,3.948,2.347,21.416,,1.0
2011-04-29,19.208,23.521,4.312,4.847,16.906,,0.833
2011-04-30,23.406,25.469,2.062,5.625,34.885,,0.875
2011-05-01,13.864,16.927,3.062,2.583,75.667,,1.083
2011-05-02,18.135,24.104,5.969,2.458,136.646,,1.167
2011-05-03,27.646,33.208,5.563,4.722,125.51,,1.708
2011-05-04,21.656,27.677,6.021,5.0,70.688,,1.792
2011-05-05,14.994,16.174,1.18,4.284,39.104,,3.522
2011-05-06,12.656,13.792,1.136,2.903,29.427,,3.478
2011-05-07,15.969,17.062,1.094,3.222,33.906,,3.458
2011-05-08,24.084,33.844,9.76,4.208,37.0,,5.75
2011-05-09,24.031,36.625,12.594,5.111,46.844,,6.583
2011-05-10,18.064,59.05,40.985,2.248,26.766,,5.455
2011-05-11,20.365,57.323,36.958,2.569,15.688,,5.708
2011-05-12,17.521,28.114,10.594,2.056,20.0,,6.542
2011-05-13,16.708,22.021,5.312,2.694,38.354,,6.0
2011-05-14,16.24,19.24,3.0,3.93,32.542,,5.75
2011-05-15,22.292,24.927,2.635,3.958,28.062,,4.833
2011-05-16,29.625,38.562,8.937,8.333,36.458,,5.0
2011-05-17,23.323,28.406,5.084,3.458,41.5,,6.208
2011-05-18,28.427,35.615,7.188,4.986,33.438,,4.5
2011-05-19,18.383,20.878,2.494,4.368,32.729,,5.583
2011-05-20,14.625,16.708,2.084,3.82,26.563,,5.375
2011-05-21,14.812,19.885,5.073,3.833,20.667,,6.333
2011-05-22,13.406,16.542,3.135,2.32,16.042,,5.875
2011-05-23,12.302,13.979,1.677,0.972,8.542,,5.083
2011-05-24,9.584,10.552,0.968,1.611,6.0,,5.0
2011-05-25,16.927,18.479,1.552,4.417,14.354,,5.583
2011-05-26,14.554,15.493,0.939,2.528,16.323,,5.333
2011-05-27,17.771,20.864,3.094,4.083,21.364,,5.75
2011-05-28,17.25,21.094,3.844,1.736,11.365,,7.333
2011-05-29,8.698,10.406,1.708,0.555,5.906,,5.917
2011-05-30,11.969,16.229,4.26,0.986,15.99,,5.0
2011-05-31,19.698,25.76,6.062,3.292,12.167,,5.208
2011-06-01,26.521,33.49,6.969,5.431,23.76,,6.167
2011-06-02,28.304,38.178,9.874,6.324,44.012,,4.913
2011-06-03,28.948,46.0,17.052,7.986,49.51,,2.708
2011-06-04,23.365,32.312,8.948,5.125,35.719,,2.5
2011-06-05,22.917,27.698,4.781,5.722,34.886,,2.625
2011-06-06,25.75,46.823,21.073,8.194,48.802,,3.583
2011-06-07,11.769,12.751,0.982,4.394,28.916,,1.792
2011-06-08,21.552,24.469,2.917,4.208,19.386,,2.458
2011-06-09,22.416,28.552,6.135,5.111,37.292,,3.042
2011-06-10,23.438,31.542,8.104,4.292,42.26,,3.083
2011-06-11,28.718,37.167,8.448,4.611,19.188,,4.333
2011-06-12,21.542,27.156,5.614,2.417,19.823,,2.792
2011-06-13,20.573,28.917,8.344,2.236,34.364,,5.25
2011-06-14,23.958,30.24,6.282,4.069,56.802,,4.458
2011-06-15,25.158,31.226,6.068,4.421,45.784,,3.833
2011-06-16,12.262,13.258,0.996,1.015,12.031,,2.792
2011-06-17,22.844,32.208,9.365,3.556,13.719,,3.417
2011-06-18,25.844,37.094,11.25,3.125,27.958,,4.417
2011-06-19,14.552,16.156,1.604,1.292,13.573,,2.625
2011-06-20,21.177,33.031,11.854,2.889,16.531,,3.667
2011-06-21,28.833,46.24,17.406,6.083,24.76,,4.625
2011-06-22,18.792,37.687,18.896,4.875,31.938,,3.083
2011-06-23,9.724,23.619,13.896,2.979,21.562,,3.625
2011-06-24,12.354,20.469,8.115,3.75,24.698,,3.292
2011-06-25,9.25,15.146,5.896,2.403,26.333,,2.333
2011-06-26,6.396,9.292,2.896,1.875,22.229,,3.375
2011-06-27,19.636,26.104,6.469,1.236,17.146,,4.708
2011-06-28,17.271,32.458,15.188,4.083,25.875,,4.083
2011-06-29,14.688,25.646,10.958,4.611,31.01,,3.375
2011-06-30,16.982,28.33,11.348,5.53,31.917,,2.174
2011-07-01,15.018,24.977,9.959,1.681,34.948,,5.304
2011-07-02,21.823,37.031,15.208,3.542,42.75,,7.625
2011-07-03,12.812,22.281,9.468,1.834,36.719,,5.167
2011-07-04,14.552,23.813,9.26,0.611,30.521,,7.625
2011-07-05,21.385,27.114,5.729,3.667,34.667,,8.25
2011-07-06,19.396,26.635,7.239,1.347,23.834,,6.583
2011-07-07,8.682,18.098,9.417,0.389,13.51,,3.368
2011-07-08,13.646,25.104,11.458,4.125,24.76,,0.333
2011-07-09,9.511,17.875,8.364,3.611,22.156,,0.583
2011-07-10,10.229,17.198,6.969,4.028,19.656,,1.208
2011-07-11,12.521,20.052,7.531,3.264,18.521,,1.174
2011-07-12,10.417,18.927,8.51,3.639,14.844,,2.083
2011-07-13,10.844,15.958,5.114,3.792,14.282,,1.625
2011-07-14,10.738,19.511,8.773,4.214,16.302,,1.522
2011-07-15,12.094,20.166,8.073,4.5,16.521,,1.25
2011-07-16,13.562,19.167,5.604,4.042,21.24,,2.25
2011-07-17,9.896,12.229,2.333,3.5,25.187,,1.708
2011-07-18,10.052,13.396,3.344,3.084,20.521,,1.375
2011-07-19,6.417,10.448,4.031,0.653,13.417,,0.792
2011-07-20,6.648,11.7,5.053,0.614,28.694,,1.667
2011-07-21,11.656,20.167,8.51,1.041,14.75,,2.5
2011-07-22,19.229,29.427,10.198,3.583,25.542,,3.042
2011-07-23,19.833,29.635,9.802,4.097,23.302,,3.958
2011-07-24,23.073,34.052,10.979,7.333,32.042,,3.917
2011-07-25,16.458,20.177,3.719,4.5,34.312,,2.667
2011-07-26,13.604,17.24,3.636,3.278,23.396,,2.542
2011-07-27,14.979,22.302,7.323,4.347,20.521,,3.125
2011-07-28,14.26,30.428,16.168,4.586,26.156,,2.0
2011-07-29,13.667,30.781,17.114,3.611,21.104,,2.792
2011-07-30,13.886,23.802,9.917,3.847,23.166,,3.458
2011-07-31,13.021,16.781,3.76,3.347,28.604,,3.167
2011-08-01,17.969,26.458,8.49,3.861,41.062,,3.292
2011-08-02,15.208,18.906,3.698,4.778,39.458,,3.167
2011-08-03,9.281,14.625,5.344,3.958,15.427,,2.708
2011-08-04,6.99,10.004,3.013,2.269,12.886,,2.917
2011-08-05,11.375,13.812,2.438,3.375,21.177,,3.583
2011-08-06,5.927,8.312,2.386,1.222,17.25,,3.0
2011-08-07,5.719,8.552,2.833,1.903,15.729,,3.208
2011-08-08,9.49,13.739,4.25,2.514,24.552,,3.75
2011-08-09,16.281,27.896,11.614,3.528,31.094,,4.583
2011-08-10,13.396,30.646,17.25,3.458,24.073,,5.292
2011-08-11,11.022,21.162,10.14,2.201,18.476,,2.5
2011-08-12,11.312,20.646,9.333,2.805,15.104,,3.0
2011-08-13,9.125,14.104,4.979,2.209,20.552,,2.458
