date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CO_mean
2011-01-01,13.2,16.842,3.642,,1.709,5.646
2011-01-02,6.334,7.558,1.225,,2.291,4.875
2011-01-03,11.358,13.692,2.333,,3.028,5.625
2011-01-04,10.575,12.658,2.083,,4.681,5.646
2011-01-05,20.71,32.258,11.549,,1.809,6.522
2011-01-06,21.64,39.725,18.085,,1.524,5.584
2011-01-07,15.417,24.233,8.817,,0.514,5.125
2011-01-08,16.642,23.967,7.325,,0.972,5.958
2011-01-09,17.367,26.033,8.667,,2.236,5.834
2011-01-10,24.056,53.052,28.996,,3.168,8.396
2011-01-11,13.57,20.033,6.463,,3.125,5.292
2011-01-12,20.234,35.425,15.192,,1.087,5.826
2011-01-13,20.375,44.0,23.625,,3.167,5.958
2011-01-14,16.775,23.683,6.908,,5.125,6.438
2011-01-15,13.942,19.058,5.117,,1.361,5.292
2011-01-16,12.725,20.854,8.129,,0.875,4.75
2011-01-17,17.583,28.283,10.7,,0.551,4.93
2011-01-18,31.884,66.742,34.858,,2.347,7.166
2011-01-19,24.05,47.211,23.16,,0.783,6.044
2011-01-20,15.1,22.142,7.042,,0.333,4.916
2011-01-21,16.683,23.975,7.291,,0.375,5.27
2011-01-22,17.3,25.3,8.0,,1.417,5.396
2011-01-23,14.205,20.436,6.231,,1.764,4.584
2011-01-24,10.278,13.983,3.704,,1.625,3.598
2011-01-25,14.877,21.13,6.252,,2.518,5.104
2011-01-26,13.192,18.395,5.204,,2.406,4.066
2011-01-27,21.633,33.058,11.425,,3.375,5.792
2011-01-28,18.392,24.783,6.391,,2.472,6.021
2011-01-29,8.434,11.408,2.975,,0.514,4.438
2011-01-30,18.575,33.647,15.072,,1.014,5.708
2011-01-31,20.903,35.526,14.622,,2.569,6.426
2011-02-01,14.205,17.991,3.786,,4.726,5.229
2011-02-02,9.938,13.347,3.409,,1.71,4.108
2011-02-03,15.771,25.663,9.892,,1.511,4.875
2011-02-04,15.916,21.938,6.021,,4.167,5.688
2011-02-05,15.354,19.354,4.0,,4.604,6.166
2011-02-06,31.438,54.95,23.512,,3.438,8.271
2011-02-07,19.842,30.073,10.232,,2.342,6.271
2011-02-08,8.6,11.683,3.083,,1.792,3.834
2011-02-09,13.23,19.773,6.544,,1.464,4.174
2011-02-10,18.408,29.1,10.692,,1.755,5.271
