date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,15.792,18.198,2.406,,1.748,13.097,190.174,5.292,8.87,199.043
2011-01-02,6.104,6.536,0.432,,1.305,11.111,187.667,4.348,4.417,192.083
2011-01-03,11.073,11.75,0.677,,2.125,18.125,187.458,4.583,4.958,192.417
2011-01-04,9.098,10.209,1.112,,3.593,23.278,188.125,4.75,4.417,192.542
2011-01-05,16.43,23.196,6.765,,0.611,8.68,189.25,4.542,6.292,195.542
2011-01-06,26.602,40.003,13.4,,1.483,13.389,192.708,5.417,11.208,203.917
2011-01-07,7.421,9.547,2.126,,0.417,6.153,189.292,3.375,3.625,192.917
2011-01-08,12.802,14.792,1.99,,0.836,5.347,188.087,4.167,6.696,194.783
2011-01-09,20.01,26.458,6.448,,2.042,16.556,190.042,4.87,9.5,199.542
2011-01-10,33.535,64.946,31.411,,3.476,33.722,193.333,7.292,16.625,209.958
2011-01-11,12.143,15.382,3.239,,2.278,21.986,185.25,4.292,4.583,189.833
2011-01-12,20.577,28.464,7.888,,1.275,6.875,189.238,4.091,6.857,196.095
2011-01-13,21.278,31.356,10.078,,2.375,16.694,190.917,5.125,8.625,199.542
2011-01-14,17.462,22.643,5.182,,3.861,34.319,191.458,6.0,7.5,198.958
2011-01-15,11.632,15.066,3.434,,0.781,12.458,190.087,4.708,7.391,197.478
2011-01-16,18.019,27.894,9.875,,0.865,11.05,187.875,4.043,5.0,192.875
2011-01-17,22.253,37.436,15.183,,1.055,15.167,191.125,4.458,9.458,200.583
2011-01-18,38.125,65.198,27.073,,1.023,14.694,193.792,5.667,16.167,209.958
2011-01-19,26.348,44.767,18.42,,1.097,10.125,189.333,4.75,11.292,200.625
2011-01-20,19.183,28.536,9.354,,0.708,5.958,185.167,4.0,6.0,191.167
2011-01-21,24.169,33.728,9.558,,0.472,9.361,187.125,4.958,8.958,196.083
2011-01-22,25.731,38.779,13.048,,2.207,11.75,191.261,6.083,13.043,204.304
2011-01-23,13.0,17.542,4.542,,0.694,6.389,187.542,3.609,6.75,194.292
2011-01-24,12.354,16.281,3.927,,0.393,5.605,187.792,3.208,5.625,193.417
2011-01-25,16.317,22.822,6.504,,1.708,15.459,190.048,4.375,6.524,196.571
2011-01-26,16.594,25.287,8.693,,0.875,8.292,192.375,4.042,7.875,200.25
2011-01-27,21.435,30.863,9.428,,4.0,23.718,192.714,5.0,8.19,200.905
2011-01-28,12.964,15.404,2.44,,2.583,20.125,191.208,3.792,6.875,198.083
2011-01-29,6.806,7.608,0.802,,0.653,6.556,188.13,3.125,6.696,194.826
2011-01-30,25.594,39.875,14.281,,1.278,9.0,194.0,4.826,13.458,207.458
2011-01-31,19.565,27.169,7.603,,1.177,9.403,190.458,3.958,9.917,200.375
2011-02-01,20.722,30.403,9.681,,2.273,17.667,190.5,4.792,10.792,201.292
2011-02-02,10.011,12.609,2.597,,0.736,6.722,188.417,3.292,6.208,194.625
2011-02-03,23.181,35.042,11.861,,0.917,10.653,193.042,4.833,10.917,203.958
2011-02-04,15.949,19.036,3.087,,3.153,20.75,189.667,4.583,7.625,197.292
2011-02-05,18.945,23.156,4.211,,5.006,37.339,191.652,5.958,10.13,201.783
2011-02-06,32.063,48.368,16.306,,2.98,29.444,190.375,6.174,14.083,204.458
2011-02-07,29.413,57.398,27.985,,1.237,19.458,198.1,6.522,22.6,220.7
2011-02-08,11.646,15.344,3.698,,0.663,10.528,189.571,3.208,4.714,194.286
2011-02-09,16.357,22.08,5.723,,1.097,11.333,188.522,4.208,9.217,197.739
2011-02-10,23.167,36.302,13.136,,1.555,13.389,191.174,4.625,11.348,202.522
2011-02-11,14.83,18.693,3.864,,1.514,10.542,189.043,4.5,7.696,196.739
2011-02-12,10.819,12.679,1.86,,1.075,11.583,189.174,4.292,6.609,195.783
2011-02-13,25.009,36.243,11.234,,1.444,14.25,188.957,4.696,9.217,198.174
2011-02-14,38.997,90.596,51.598,,1.555,21.583,197.348,6.75,20.913,218.261
2011-02-15,27.75,64.104,36.354,,1.592,18.764,195.739,6.25,14.391,210.13
2011-02-16,22.272,33.844,11.571,,1.5,12.222,188.304,4.083,8.0,196.304
2011-02-17,13.633,17.304,3.671,,1.216,11.156,187.913,3.625,6.174,194.087
2011-02-18,9.867,12.953,3.086,,0.486,6.209,190.348,3.667,5.043,195.391
2011-02-19,16.934,21.904,4.97,,1.567,10.278,192.609,4.625,8.304,200.913
2011-02-20,33.51,59.948,26.438,,2.167,11.861,194.174,5.696,13.913,208.087
2011-02-21,48.969,118.93,69.962,,5.753,33.528,200.087,8.75,30.696,230.783
2011-02-22,27.502,36.99,9.488,,2.37,24.558,189.043,5.0,11.696,200.739
2011-02-23,21.725,38.076,16.352,,1.681,17.111,189.348,5.167,11.565,200.913
2011-02-24,14.611,18.813,4.203,,1.817,26.547,189.35,4.364,4.75,194.1
2011-02-25,29.695,45.029,15.334,,2.111,27.111,192.043,5.917,12.957,205.0
2011-02-26,6.183,6.897,0.715,,0.432,8.806,190.125,3.375,6.417,196.542
2011-02-27,12.281,18.323,6.042,,0.597,9.944,192.0,3.478,6.75,198.75
