date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,SO2_mean
2011-01-01,22.242,31.55,9.308,23.167,21.813,1.309
2011-01-02,14.287,24.626,10.339,15.042,14.25,1.272
2011-01-03,10.35,11.425,1.075,11.417,10.986,1.188
2011-01-04,12.283,14.083,1.8,19.417,20.854,2.844
2011-01-05,16.219,20.277,4.058,7.609,8.834,1.998
2011-01-06,28.302,47.101,18.799,14.375,14.546,1.767
2011-01-07,17.283,23.817,6.533,8.333,9.452,1.792
2011-01-08,15.525,19.375,3.85,7.667,9.618,1.802
2011-01-09,20.565,29.069,8.504,17.625,15.542,2.989
2011-01-10,31.342,59.558,28.217,26.75,23.042,3.114
2011-01-11,23.592,44.483,20.892,21.708,20.18,2.99
2011-01-12,21.467,33.442,11.975,8.25,9.493,2.021
2011-01-13,27.85,63.625,35.775,18.75,18.486,3.969
2011-01-14,16.35,21.616,5.267,15.083,14.458,4.312
2011-01-15,12.95,15.442,2.492,9.917,11.389,2.688
2011-01-16,25.157,36.278,11.122,15.87,13.735,1.9
2011-01-17,26.544,43.301,16.757,20.083,16.707,1.968
2011-01-18,41.012,114.935,73.923,38.375,33.042,5.83
2011-01-19,42.259,114.065,71.806,44.583,37.937,5.499
2011-01-20,33.508,56.868,23.361,28.417,16.88,1.742
2011-01-21,26.742,41.933,15.192,27.0,16.192,1.833
2011-01-22,16.475,21.592,5.117,12.125,9.633,2.042
2011-01-23,21.583,34.53,12.948,11.792,9.825,1.978
2011-01-24,19.55,28.344,8.794,10.833,8.759,1.823
2011-01-25,17.9,23.7,5.8,13.875,12.258,2.604
2011-01-26,20.15,29.325,9.175,10.625,9.092,3.719
2011-01-27,26.575,50.383,23.808,23.042,17.7,3.479
2011-01-28,21.625,28.517,6.892,23.75,18.983,3.344
2011-01-29,13.058,15.208,2.15,12.208,9.291,1.719
2011-01-30,21.983,34.27,12.287,13.167,10.1,2.304
2011-01-31,24.5,38.058,13.558,13.083,10.383,2.5
2011-02-01,27.214,58.462,31.248,19.182,16.575,3.0
