date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,17.834,23.944,6.111,,2.854,16.806,11.167,7.292,3.067,,3.913,,
2011-01-02,8.403,10.986,2.583,,3.625,13.847,8.833,6.375,4.5,,3.542,,
2011-01-03,13.542,17.709,4.167,,4.125,20.75,7.767,5.922,3.533,,3.75,,
2011-01-04,10.708,14.435,3.727,,6.739,27.522,7.8,4.558,1.867,,4.217,,
2011-01-05,15.056,23.347,8.292,,2.729,9.458,7.0,3.681,0.6,194.875,4.167,24.5,219.375
2011-01-06,29.365,60.571,31.207,,3.729,14.903,9.9,5.918,1.767,196.083,4.833,25.875,221.958
2011-01-07,10.708,16.667,5.958,,2.625,9.75,8.2,5.469,4.033,192.792,3.875,13.542,206.333
2011-01-08,14.347,20.028,5.681,,2.812,8.819,8.033,5.354,3.2,194.522,3.565,14.696,209.217
2011-01-09,21.375,34.333,12.958,,4.416,20.292,10.633,6.532,3.8,196.667,4.792,21.083,217.75
2011-01-10,36.25,80.07,43.819,,5.562,34.041,10.833,6.912,2.567,202.0,7.875,42.25,244.25
2011-01-11,15.903,25.542,9.639,,5.084,26.181,10.1,6.304,2.267,191.75,4.292,16.125,207.875
2011-01-12,25.423,44.057,18.634,,3.348,12.391,6.5,3.778,1.033,196.5,5.261,24.727,221.227
2011-01-13,26.651,65.498,38.847,,3.771,19.055,10.2,6.132,2.5,197.917,5.5,30.042,227.958
2011-01-14,19.736,30.208,10.472,,5.834,33.792,8.333,6.288,4.733,196.25,5.5,20.417,216.667
2011-01-15,17.097,26.764,9.667,,3.0,15.153,8.533,6.221,3.133,194.652,4.304,16.696,211.348
2011-01-16,14.903,23.375,8.472,,2.542,12.944,6.467,5.783,5.067,193.417,3.417,13.583,207.0
2011-01-17,24.236,42.43,18.195,,2.354,15.444,9.867,6.088,2.9,196.25,4.542,23.667,219.917
2011-01-18,35.023,65.195,30.172,,2.604,13.569,10.833,5.938,0.9,199.583,5.125,30.625,230.208
2011-01-19,31.058,55.217,24.159,,2.456,15.087,8.067,6.403,5.333,196.042,4.13,27.625,223.667
2011-01-20,24.388,41.462,17.074,,1.708,11.944,10.067,8.086,5.6,195.625,4.25,23.292,218.917
2011-01-21,24.403,36.097,11.694,,1.625,16.236,9.233,7.949,6.433,194.292,3.667,18.458,212.75
2011-01-22,26.139,45.472,19.333,,2.792,16.806,11.233,7.808,4.4,202.826,5.0,30.0,232.826
2011-01-23,11.903,18.847,6.944,,2.042,6.722,10.433,6.842,3.633,192.75,3.458,12.917,205.667
2011-01-24,14.389,22.445,8.056,,2.062,5.847,6.067,3.343,1.8,191.625,3.25,12.458,204.083
2011-01-25,19.028,31.5,12.472,,3.375,17.653,6.233,2.756,0.433,194.208,4.292,14.5,208.708
2011-01-26,19.243,31.47,12.227,,2.112,9.855,6.033,2.29,-1.033,195.833,4.174,17.25,213.083
2011-01-27,25.799,41.258,15.459,,4.292,25.472,8.0,3.894,0.367,198.625,6.083,23.458,222.083
2011-01-28,15.556,21.875,6.32,,3.229,20.5,8.6,4.681,2.567,195.458,4.583,14.292,209.75
2011-01-29,11.764,16.945,5.181,,1.875,7.792,6.5,3.71,1.667,194.435,3.583,11.913,206.348
2011-01-30,25.889,43.791,17.903,,1.958,11.153,6.167,3.235,0.833,197.917,5.25,23.667,221.583
2011-01-31,25.972,47.028,21.056,,2.188,9.861,7.4,3.156,0.1,196.458,4.958,20.792,217.25
2011-02-01,27.096,64.76,37.664,,3.438,18.403,8.633,4.199,0.133,200.375,5.792,29.917,230.292
2011-02-02,13.754,22.527,8.773,,2.477,8.792,3.567,0.479,-1.767,191.708,3.609,10.875,202.583
2011-02-03,26.34,46.411,20.071,,3.25,12.722,5.433,1.233,-3.267,197.75,5.292,21.833,219.583
2011-02-04,20.472,30.847,10.375,,5.229,19.653,8.133,4.728,1.367,194.917,4.917,15.708,210.625
2011-02-05,21.056,30.57,9.514,,7.312,38.347,9.033,6.1,1.933,197.043,5.125,18.13,215.174
2011-02-06,30.722,49.75,19.028,,5.375,34.333,9.867,7.651,5.233,201.522,5.083,29.609,231.13
2011-02-07,26.542,44.889,18.347,,3.5,19.541,10.4,8.901,6.2,197.042,5.5,28.25,225.292
2011-02-08,14.361,23.819,9.459,,3.354,13.222,6.367,3.665,0.1,190.208,3.292,13.375,203.583
2011-02-09,17.232,27.696,10.464,,3.656,10.851,5.733,2.453,-1.067,192.045,4.043,14.545,206.591
2011-02-10,22.373,40.007,17.634,,4.104,13.403,7.433,4.036,0.233,192.667,4.458,18.708,211.375
2011-02-11,16.292,25.722,9.431,,3.396,12.403,7.333,4.642,1.633,192.125,4.083,13.042,205.167
2011-02-12,12.236,18.056,5.819,,3.271,12.861,7.867,4.397,1.167,192.957,3.542,10.478,203.435
2011-02-13,29.208,44.125,14.917,,3.146,17.486,6.233,4.753,3.1,196.583,4.0,20.375,216.958
2011-02-14,37.792,78.153,40.361,,2.958,23.861,7.633,6.231,4.9,204.542,5.708,37.125,241.667
2011-02-15,27.38,61.094,33.715,,3.271,23.569,7.933,5.329,2.9,201.833,5.958,37.167,239.0
2011-02-16,26.739,45.841,19.102,,3.804,17.449,8.133,4.458,1.533,194.167,4.565,22.75,216.917
2011-02-17,14.835,22.863,8.029,,3.479,13.528,7.633,3.921,1.467,190.333,4.0,13.208,203.542
2011-02-18,10.778,16.667,5.889,,2.292,8.653,5.2,1.862,-0.2,192.625,3.792,10.125,202.75
2011-02-19,21.569,34.222,12.653,,3.354,13.125,7.367,2.626,-1.7,197.435,4.292,16.913,214.348
2011-02-20,38.417,77.181,38.764,,4.27,16.0,9.1,4.421,-0.467,203.25,6.833,35.375,238.625
2011-02-21,43.139,90.722,47.583,,6.708,31.153,8.867,5.908,1.5,202.25,7.333,42.5,244.75
2011-02-22,23.611,32.319,8.709,,4.812,26.917,11.9,8.962,5.333,193.708,4.292,19.625,213.333
2011-02-23,21.49,38.449,16.959,,3.522,23.826,12.7,10.924,8.933,193.909,5.174,24.0,217.909
2011-02-24,14.348,21.127,6.779,,5.229,30.722,13.133,9.41,6.8,192.792,4.583,15.083,207.875
2011-02-25,22.958,35.514,12.556,,4.417,28.361,8.833,7.576,6.233,193.667,5.0,19.5,213.167
2011-02-26,7.778,12.153,4.375,,2.688,10.167,7.167,5.094,2.167,192.696,3.435,11.696,204.391
2011-02-27,12.943,19.456,6.512,,3.022,11.493,6.967,3.232,1.0,194.833,3.652,12.125,206.958
2011-02-28,22.166,38.701,16.534,,3.396,11.042,9.167,4.861,-0.467,196.13,3.958,20.261,216.391
2011-03-01,37.497,58.581,21.083,,4.842,26.027,15.467,10.371,5.167,195.2,5.708,21.9,217.1
2011-03-02,27.552,53.414,25.862,,4.604,24.431,11.833,10.8,8.8,194.778,5.333,30.222,225.0
2011-03-03,10.819,15.292,4.472,,3.604,18.639,13.1,9.518,7.1,193.542,4.167,15.167,208.708
2011-03-04,12.278,15.542,3.264,,3.229,17.958,9.833,8.169,5.467,194.917,3.391,13.833,208.75
2011-03-05,26.25,50.472,24.222,,2.875,17.861,13.267,11.514,10.0,199.792,5.0,37.292,237.083
2011-03-06,35.736,76.458,40.722,,5.521,29.292,17.867,13.854,11.867,203.478,7.542,46.174,249.652
2011-03-07,13.565,18.754,5.188,,5.587,35.868,13.3,11.406,8.833,196.783,6.174,20.696,217.478
2011-03-08,23.333,37.194,13.861,,5.417,32.208,15.167,10.575,6.633,196.696,6.5,21.478,218.174
2011-03-09,25.498,38.223,12.725,,3.833,24.792,9.733,7.769,6.733,197.125,4.917,19.208,216.333
2011-03-10,10.389,16.25,5.861,,2.98,15.278,10.967,8.41,6.0,193.375,4.417,17.333,210.708
2011-03-11,12.445,18.195,5.75,,3.77,15.764,10.233,5.861,2.167,192.042,3.826,13.125,205.167
2011-03-12,11.111,17.486,6.375,,2.958,12.0,7.567,3.826,1.233,194.042,3.75,14.333,208.375
2011-03-13,16.903,26.569,9.667,,2.625,10.861,7.7,4.388,1.4,194.875,4.167,17.042,211.917
2011-03-14,34.814,59.562,24.747,,4.896,19.333,10.7,6.233,1.1,199.292,5.667,30.083,229.375
2011-03-15,22.275,43.478,21.203,,4.63,22.652,10.867,7.021,3.533,196.273,5.609,23.455,219.727
2011-03-16,29.52,41.429,11.909,,3.896,15.986,13.533,8.383,2.3,195.917,4.792,25.583,221.5
2011-03-17,31.528,54.514,22.986,,3.438,24.278,14.9,12.185,9.867,201.625,5.75,37.208,238.833
2011-03-18,31.337,64.909,33.571,,5.375,46.069,13.7,12.161,9.8,211.542,8.13,51.292,262.833
2011-03-19,9.778,14.597,4.82,,3.125,9.083,10.067,7.532,4.2,191.25,3.25,12.667,203.917
2011-03-20,20.833,30.194,9.361,,4.834,16.806,11.2,7.176,2.0,192.958,3.833,16.583,209.542
2011-03-21,17.639,24.5,6.861,,4.062,14.139,12.667,8.067,3.933,191.917,3.833,16.083,208.0
2011-03-22,38.522,60.362,21.841,,7.609,25.493,14.333,10.276,4.367,196.304,5.739,33.0,229.304
2011-03-23,25.461,35.973,10.513,,3.146,18.389,12.233,10.56,8.5,192.542,3.958,21.75,214.292
2011-03-24,20.625,30.028,9.403,,4.312,19.555,12.8,10.464,7.5,194.583,5.083,20.625,215.208
2011-03-25,9.222,13.097,3.875,,3.75,17.472,11.2,7.367,4.833,193.0,3.304,10.833,203.833
2011-03-26,14.931,21.667,6.736,,3.208,13.528,9.4,6.317,3.0,194.75,4.333,17.5,212.25
2011-03-27,31.889,47.097,15.208,,6.0,23.972,14.133,9.039,3.133,198.083,5.875,25.542,223.625
2011-03-28,31.141,67.947,36.807,,6.479,35.125,16.067,10.79,6.5,201.167,6.333,31.25,232.417
2011-03-29,34.02,53.992,19.972,,6.108,21.754,17.067,11.542,5.1,197.476,5.0,22.81,220.286
2011-03-30,30.531,46.575,16.043,,6.458,22.361,20.167,15.068,8.733,193.292,4.625,24.542,217.833
2011-03-31,18.834,25.597,6.764,,3.875,16.028,17.167,11.435,5.1,190.75,4.042,16.833,207.583
2011-04-01,36.607,47.44,10.833,,7.125,29.097,19.967,13.586,6.167,192.542,5.375,25.375,217.917
2011-04-02,33.944,51.319,17.375,,8.23,38.278,19.133,12.989,7.733,214.0,5.917,59.0,273.0
2011-04-03,5.945,8.236,2.292,,3.27,10.57,11.433,8.046,6.133,,2.833,,
2011-04-04,11.347,16.264,4.917,,3.292,8.639,14.733,9.333,4.467,,3.087,,
2011-04-05,28.859,40.97,12.111,,5.125,18.361,18.1,11.511,5.167,,4.208,,
2011-04-06,32.417,41.972,9.555,,6.438,21.861,20.167,13.675,6.567,,3.958,,
2011-04-07,36.217,50.014,13.797,,7.326,23.132,21.2,16.662,11.7,190.143,4.348,27.286,217.429
2011-04-08,37.486,53.958,16.472,,5.062,26.958,18.4,15.875,14.733,193.583,4.417,34.208,227.792
2011-04-09,17.806,25.278,7.472,,3.583,20.833,19.367,15.556,13.7,190.708,3.583,19.625,210.333
2011-04-10,22.833,27.32,4.486,,6.625,38.375,19.2,15.226,9.9,192.174,4.458,17.826,210.0
2011-04-11,26.597,37.264,10.667,,7.417,33.278,19.633,12.636,8.167,192.333,5.043,22.708,215.042
2011-04-12,25.597,34.625,9.028,,5.354,30.736,15.367,11.439,6.533,192.0,4.375,22.208,214.208
