date,PM25_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,,19.5,25.417,5.917,0.583,29.708
2011-01-02,,13.182,20.091,6.909,0.348,23.708
2011-01-03,,3.958,5.458,1.5,0.125,21.833
2011-01-04,,3.125,4.75,1.625,0.417,21.333
2011-01-05,,3.0,4.583,1.583,0.083,23.542
2011-01-06,,7.625,10.083,2.458,0.375,23.333
2011-01-07,,13.792,20.625,6.833,0.625,23.875
2011-01-08,,21.417,32.792,11.375,0.5,31.542
2011-01-09,,22.545,36.227,13.682,1.522,32.917
2011-01-10,,27.417,56.042,28.625,1.0,31.917
2011-01-11,,18.042,39.375,21.333,1.042,29.333
2011-01-12,,22.25,45.208,22.958,2.708,25.25
2011-01-13,,26.042,50.667,24.625,2.542,29.083
2011-01-14,,10.667,15.375,4.708,1.125,24.542
2011-01-15,,10.25,14.875,4.625,1.292,24.583
2011-01-16,,11.364,17.136,5.773,1.826,25.458
2011-01-17,,26.292,50.5,24.208,3.0,18.739
2011-01-18,,33.0,77.458,44.458,2.25,8.542
2011-01-19,,32.375,85.042,52.667,1.208,8.708
2011-01-20,,27.5,58.875,31.375,0.833,8.333
2011-01-21,,24.542,44.375,19.833,0.75,16.792
2011-01-22,,23.417,33.958,10.542,0.708,32.042
2011-01-23,,15.364,35.364,20.0,0.652,25.917
2011-01-24,,12.875,23.625,10.75,0.708,23.958
2011-01-25,,31.833,61.917,30.083,2.375,35.792
2011-01-26,,27.75,53.833,26.083,1.417,37.208
2011-01-27,,24.958,47.333,22.375,1.25,33.875
2011-01-28,,14.708,25.625,10.917,0.833,24.917
2011-01-29,,11.833,15.875,4.042,1.917,21.542
2011-01-30,,23.182,34.864,11.682,1.087,25.042
2011-01-31,,31.583,62.75,31.167,1.708,34.583
2011-02-01,,24.708,47.375,22.667,1.042,33.375
2011-02-02,,13.708,18.792,5.083,1.125,25.75
2011-02-03,,29.167,60.625,31.458,1.667,33.333
2011-02-04,,26.333,48.375,22.042,1.708,40.792
2011-02-05,,17.5,28.25,10.75,1.167,28.417
2011-02-06,,34.409,69.864,35.455,3.783,41.208
2011-02-07,,31.542,58.583,27.042,1.0,52.667
2011-02-08,,8.833,10.917,2.083,1.333,31.208
2011-02-09,,14.458,21.167,6.708,2.167,24.958
2011-02-10,,11.708,14.792,3.083,1.5,27.833
2011-02-11,,15.917,22.875,6.958,1.542,25.5
2011-02-12,,10.833,15.25,4.417,1.167,25.458
2011-02-13,,13.909,20.273,6.364,1.217,26.417
2011-02-14,,35.167,72.625,37.458,3.083,40.75
2011-02-15,,19.708,32.625,12.917,0.917,42.208
2011-02-16,,8.208,10.542,2.333,1.125,25.458
2011-02-17,,27.708,49.167,21.458,1.542,21.87
2011-02-18,,14.583,19.958,5.375,0.792,9.125
2011-02-19,,17.125,23.917,6.792,0.917,9.125
2011-02-20,,27.045,43.409,16.364,1.783,8.375
2011-02-21,,12.375,16.708,4.333,1.458,8.5
2011-02-22,,19.583,26.5,6.917,2.292,7.875
2011-02-23,,27.708,45.042,17.333,1.458,9.083
2011-02-24,,13.333,16.875,3.542,0.75,9.0
2011-02-25,,18.0,23.208,5.208,0.375,22.875
2011-02-26,,15.458,20.125,4.667,0.417,30.708
2011-02-27,,21.636,35.682,14.045,0.652,29.292
2011-02-28,,30.833,57.125,26.292,1.875,34.125
2011-03-01,,39.208,65.25,26.042,3.125,47.5
2011-03-02,,8.458,10.167,1.708,1.75,31.333
2011-03-03,,7.333,9.208,1.875,1.0,26.0
2011-03-04,,6.292,7.75,1.458,0.875,24.125
2011-03-05,,15.636,21.318,5.682,1.348,27.5
2011-03-06,,19.292,24.792,5.5,0.208,29.625
2011-03-07,,13.889,16.667,2.778,0.583,26.048
2011-03-08,,11.333,12.333,1.0,0.105,27.739
2011-03-09,,7.25,8.542,1.292,0.0,28.583
2011-03-10,,5.125,5.792,0.667,0.042,25.292
2011-03-11,,5.083,5.708,0.625,0.042,30.208
2011-03-12,,8.864,10.682,1.818,0.87,26.875
2011-03-13,,10.375,14.417,4.042,0.5,26.625
2011-03-14,,14.75,18.833,4.083,0.333,32.042
2011-03-15,,10.5,14.625,4.125,0.625,36.167
2011-03-16,,7.833,9.458,1.625,0.542,18.478
2011-03-17,,13.875,16.417,2.542,1.25,7.667
2011-03-18,,8.958,11.083,2.125,0.583,7.5
2011-03-19,,5.727,7.636,1.909,0.217,8.375
2011-03-20,,5.125,6.5,1.375,0.25,7.958
2011-03-21,,7.417,9.542,2.125,0.417,9.292
2011-03-22,,11.792,15.167,3.375,0.875,8.375
2011-03-23,,11.167,13.833,2.667,0.75,11.583
2011-03-24,,7.125,8.5,1.375,1.083,21.167
2011-03-25,,8.708,10.375,1.667,0.667,31.458
2011-03-26,,10.0,12.409,2.409,0.609,33.708
2011-03-27,,10.708,12.75,2.042,0.292,32.375
2011-03-28,,9.583,11.417,1.833,0.625,34.042
2011-03-29,,18.167,21.792,3.625,1.583,49.875
2011-03-30,,14.542,16.917,2.375,0.958,46.958
2011-03-31,,13.083,14.958,1.875,0.0,34.542
2011-04-01,,7.042,9.0,1.958,0.125,41.875
2011-04-02,,4.667,6.792,2.125,0.125,24.167
2011-04-03,,2.083,3.25,1.167,0.0,20.667
2011-04-04,,6.818,8.818,2.0,0.217,22.458
2011-04-05,,9.375,11.125,1.75,0.292,30.0
2011-04-06,,11.542,14.375,2.833,0.792,36.333
2011-04-07,,15.417,21.417,6.0,0.958,36.333
2011-04-08,,9.458,14.375,4.917,0.083,28.292
2011-04-09,,12.167,16.792,4.625,0.25,23.417
2011-04-10,,6.375,10.292,3.917,0.083,31.333
2011-04-11,,6.045,7.682,1.636,0.217,39.875
2011-04-12,,8.292,8.5,0.208,0.042,30.5
2011-04-13,,10.333,11.042,0.708,0.708,33.25
2011-04-14,,15.042,17.917,2.875,0.292,35.208
2011-04-15,,10.708,15.542,4.833,0.458,19.217
2011-04-16,,8.167,10.208,2.042,0.0,8.0
2011-04-17,,1.583,2.417,0.833,0.0,7.875
2011-04-18,,2.545,3.727,1.182,0.0,11.708
2011-04-19,,3.5,5.292,1.792,0.292,20.583
2011-04-20,,3.667,4.917,1.25,0.0,24.625
2011-04-21,,4.917,5.5,0.583,0.083,29.333
2011-04-22,,5.125,6.0,0.875,0.042,25.875
2011-04-23,,10.792,11.625,0.833,0.042,22.958
2011-04-24,,9.417,10.458,1.042,0.0,23.417
2011-04-25,,6.273,7.636,1.364,0.087,26.833
2011-04-26,,7.583,9.75,2.167,0.042,28.333
2011-04-27,,10.208,15.083,4.875,0.167,35.292
2011-04-28,,7.375,9.875,2.5,0.0,22.083
2011-04-29,,5.542,7.917,2.375,0.042,21.833
2011-04-30,,7.917,11.208,3.292,0.333,34.458
2011-05-01,,5.458,9.083,3.625,0.083,29.542
2011-05-02,,2.136,3.182,1.045,0.0,19.458
2011-05-03,,1.958,2.083,0.125,0.042,19.333
2011-05-04,,3.792,3.833,0.042,0.0,18.333
2011-05-05,,3.0,3.0,0.0,0.0,23.25
2011-05-06,,4.333,5.042,0.708,0.042,27.375
2011-05-07,,5.792,5.875,0.083,0.0,26.542
2011-05-08,,3.583,4.083,0.5,0.0,22.375
2011-05-09,,2.909,4.0,1.091,0.0,20.958
2011-05-10,,4.292,6.25,1.958,0.0,22.792
2011-05-11,,5.583,7.917,2.333,0.292,20.708
2011-05-12,,7.042,11.333,4.292,0.375,22.583
2011-05-13,,6.667,9.208,2.542,0.042,21.292
2011-05-14,,3.167,4.417,1.25,0.0,20.583
2011-05-15,,2.167,4.167,2.0,0.0,20.25
2011-05-16,,4.318,6.182,1.864,0.0,20.913
2011-05-17,,4.375,6.417,2.042,0.0,23.042
2011-05-18,,9.708,13.708,4.0,0.083,26.667
2011-05-19,,10.958,17.542,6.583,0.25,35.458
2011-05-20,,6.875,15.333,8.458,0.0,43.292
2011-05-21,,4.458,11.708,7.25,0.042,32.167
2011-05-22,,3.333,8.667,5.333,0.0,24.792
2011-05-23,,3.636,5.909,2.273,0.0,23.625
2011-05-24,,2.833,2.833,0.0,0.0,26.458
2011-05-25,,3.333,3.5,0.167,0.0,25.375
2011-05-26,,6.75,8.667,1.917,0.042,27.375
2011-05-27,,5.875,9.333,3.458,0.042,27.875
2011-05-28,,3.167,6.25,3.083,0.125,27.333
2011-05-29,,3.75,5.958,2.208,0.0,25.667
2011-05-30,,4.045,4.182,0.136,0.0,23.375
2011-05-31,,4.042,4.083,0.042,0.208,32.25
2011-06-01,,4.708,4.958,0.25,0.5,33.167
2011-06-02,,5.167,5.167,0.0,0.042,33.333
2011-06-03,,7.375,9.417,2.042,0.083,33.125
2011-06-04,,7.688,12.938,5.25,0.042,26.708
2011-06-05,,,,,0.0,32.167
2011-06-06,,,,,0.0,31.458
2011-06-07,,,,,0.083,36.783
2011-06-08,,,,,0.0,37.583
2011-06-09,,,,,0.042,35.0
2011-06-10,,,,,0.0,34.667
2011-06-11,,,,,0.0,35.458
2011-06-12,,,,,0.0,32.292
2011-06-13,,,,,0.0,25.5
2011-06-14,,,,,0.0,23.667
2011-06-15,,,,,0.042,24.458
2011-06-16,,,,,0.0,16.667
2011-06-17,,,,,0.0,8.0
2011-06-18,,,,,0.0,7.708
2011-06-19,,,,,0.0,7.667
2011-06-20,,,,,0.0,7.125
2011-06-21,,,,,0.0,8.875
2011-06-22,,3.286,3.714,0.429,0.167,8.583
2011-06-23,,3.15,3.8,0.65,0.0,8.583
2011-06-24,,4.125,5.375,1.25,0.0,9.958
2011-06-25,,3.792,4.625,0.833,0.0,13.5
2011-06-26,,4.542,5.625,1.083,0.0,20.167
2011-06-27,,5.455,8.318,2.864,0.087,26.583
2011-06-28,,5.958,7.833,1.875,0.0,26.391
2011-06-29,,6.0,8.167,2.167,0.0,32.75
2011-06-30,,8.0,9.667,1.667,0.083,44.5
2011-07-01,,5.75,7.0,1.25,0.0,46.75
2011-07-02,,4.292,5.458,1.167,0.0,37.917
2011-07-03,,2.583,3.625,1.042,0.0,23.167
2011-07-04,,8.409,11.909,3.5,0.0,24.458
2011-07-05,,5.458,7.25,1.792,0.042,27.417
2011-07-06,,5.792,7.292,1.5,0.0,26.25
2011-07-07,,4.75,6.042,1.292,0.0,30.5
2011-07-08,,7.167,10.042,2.875,0.0,29.292
2011-07-09,,5.708,9.042,3.333,0.0,27.958
2011-07-10,,2.875,3.917,1.042,0.0,27.625
2011-07-11,,4.636,5.909,1.273,0.043,27.292
2011-07-12,,5.917,7.833,1.917,0.0,33.708
