date,PM25_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,SO2_mean,THC_mean
2011-02-12,6.104,8.3,6.708,7.844,1.136,175.696,2.739,0.0,178.435
2011-02-13,8.958,11.558,22.787,33.702,10.914,176.478,16.913,0.652,193.391
2011-02-14,14.666,16.717,25.196,35.49,10.294,176.261,13.87,1.0,190.13
2011-02-15,14.062,17.475,19.879,30.642,10.763,180.304,10.696,0.958,191.0
2011-02-16,4.875,8.758,8.59,12.34,3.75,175.565,3.0,0.0,178.565
2011-02-17,10.292,11.942,12.198,14.865,2.667,176.478,7.913,0.364,184.391
2011-02-18,7.021,8.875,11.958,14.469,2.51,177.435,5.391,0.042,182.826
2011-02-19,11.208,11.425,13.521,15.344,1.823,178.0,5.609,0.292,183.609
2011-02-20,14.125,15.752,26.211,39.754,13.543,181.273,28.864,0.375,210.136
2011-02-21,16.919,18.599,20.05,30.718,10.668,179.522,12.609,1.714,192.13
2011-02-22,11.3,14.467,17.037,23.03,5.993,178.429,6.19,0.864,184.619
2011-02-23,11.5,14.992,21.271,25.636,4.365,175.826,9.913,0.478,185.739
2011-02-24,22.042,23.792,6.597,7.66,1.062,179.304,3.783,2.217,183.087
2011-02-25,9.125,12.633,12.083,13.702,1.618,177.087,5.696,0.087,182.783
2011-02-26,9.646,11.6,9.812,12.583,2.771,179.0,6.087,0.087,185.087
2011-02-27,9.402,10.571,9.397,11.728,2.33,177.682,4.136,0.0,181.818
2011-02-28,10.833,13.392,19.979,27.469,7.49,179.261,7.87,1.217,187.13
2011-03-01,23.292,29.75,27.333,39.365,12.031,176.826,40.261,1.13,217.087
2011-03-02,14.354,17.633,28.476,39.631,11.156,179.348,19.87,0.522,199.217
2011-03-03,12.604,13.958,9.187,10.667,1.479,177.652,4.609,0.217,182.261
2011-03-04,10.334,12.417,9.334,11.0,1.666,177.783,4.913,0.217,182.696
2011-03-05,7.562,10.938,16.837,21.812,4.976,175.545,14.955,0.4,190.5
2011-03-06,7.208,10.449,18.159,24.602,6.442,172.571,8.286,0.348,180.857
2011-03-07,8.004,11.533,9.114,11.292,2.178,177.13,4.609,0.25,181.739
2011-03-08,12.708,15.96,17.068,22.229,5.161,177.609,7.13,0.833,184.739
2011-03-09,17.907,22.229,17.086,20.877,3.791,177.652,7.739,0.833,185.391
2011-03-10,8.896,11.942,11.666,12.656,0.99,176.522,5.217,0.042,181.739
2011-03-11,8.646,11.817,8.386,10.302,1.917,175.826,3.87,0.292,179.696
2011-03-12,9.542,10.933,12.608,16.381,3.773,177.609,5.043,0.435,182.652
2011-03-13,3.916,7.025,12.104,15.708,3.604,176.826,4.435,0.0,181.261
2011-03-14,9.854,12.196,21.937,29.326,7.389,179.217,8.826,0.471,188.043
2011-03-15,18.666,19.95,15.396,18.666,3.27,177.391,5.391,0.25,182.783
2011-03-16,17.688,19.683,13.938,18.573,4.636,177.565,4.913,0.208,182.478
2011-03-17,25.771,30.158,28.521,37.396,8.875,179.0,12.478,0.5,191.478
2011-03-18,21.375,27.45,13.729,16.364,2.636,177.087,6.826,0.625,183.913
2011-03-19,6.304,8.545,5.633,7.22,1.587,176.381,2.667,0.0,179.048
2011-03-20,4.812,7.325,7.406,8.99,1.584,174.87,2.652,0.0,177.522
2011-03-21,10.75,12.5,6.451,8.165,1.715,175.739,2.565,0.0,178.304
2011-03-22,18.896,25.742,13.687,17.635,3.948,176.957,5.87,0.708,182.826
2011-03-23,19.484,27.981,12.928,16.57,3.642,175.957,4.609,0.583,180.565
2011-03-24,1.896,4.642,10.042,12.573,2.531,175.13,4.13,0.0,179.261
2011-03-25,4.334,6.533,9.438,11.146,1.708,177.174,6.174,0.125,183.348
2011-03-26,13.562,15.117,10.468,13.676,3.208,177.478,4.217,0.0,181.696
2011-03-27,14.542,16.508,17.99,21.264,3.274,179.087,6.696,0.208,185.783
2011-03-28,18.333,19.975,15.986,19.19,3.205,176.739,5.304,0.75,182.043
2011-03-29,18.348,20.296,15.701,18.986,3.285,178.636,5.864,0.435,184.5
2011-03-30,23.979,28.433,34.01,50.354,16.343,182.087,21.565,1.625,203.652
2011-03-31,15.292,23.942,20.406,31.125,10.719,176.522,10.783,0.792,187.304
2011-04-01,16.208,19.608,18.177,24.177,6.0,176.304,10.13,1.083,186.435
2011-04-02,15.167,19.525,11.438,14.906,3.469,176.435,6.609,1.333,183.043
2011-04-03,8.792,11.475,4.052,5.198,1.146,175.565,2.304,1.0,177.87
2011-04-04,6.75,8.666,9.06,11.176,2.117,176.87,5.217,1.042,182.087
