date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,187.0,66.0,58.75,50.0,12.281,8.938,10.104,1.167,17.417,0.0,4.484,18.683,10.6,7.046,2.8,199.281,3.458
2011-01-02,187.271,72.0,53.292,41.0,8.833,6.375,6.865,0.49,13.458,1.0,3.613,15.533,8.4,5.342,2.0,196.104,3.292
2011-01-03,188.031,66.0,52.417,43.0,10.636,7.354,8.24,0.886,21.5,0.0,5.175,24.825,10.3,5.896,1.3,198.667,3.826
2011-01-04,187.813,68.0,51.167,39.0,8.468,6.521,7.156,0.636,18.667,0.0,5.675,22.867,6.2,4.733,3.4,196.281,3.667
2011-01-05,186.469,63.0,46.708,38.0,9.948,8.916,10.25,1.334,15.304,0.0,3.675,19.065,7.9,5.525,3.4,196.417,3.565
2011-01-06,186.334,55.0,47.708,37.0,11.707,13.719,17.115,3.396,11.062,0.0,3.669,13.433,9.2,6.3,3.4,198.041,3.583
2011-01-07,187.551,63.0,52.875,37.0,9.416,9.116,10.734,1.618,5.812,0.0,3.258,10.158,9.6,6.538,4.3,196.966,3.208
2011-01-08,187.375,64.0,50.333,34.0,12.229,10.646,12.375,1.729,5.708,0.0,2.642,9.742,8.9,5.304,1.6,199.604,3.458
2011-01-09,190.588,72.0,58.125,41.0,16.418,15.471,19.666,4.195,26.5,0.0,5.276,28.917,10.9,6.875,3.9,207.006,5.0
2011-01-10,188.688,72.0,57.042,43.0,18.666,18.146,24.552,6.406,34.416,0.0,5.517,35.917,10.7,6.292,1.6,207.354,5.565
2011-01-11,187.654,56.0,47.0,37.0,11.299,10.463,12.59,2.127,21.958,0.0,5.033,26.933,8.7,6.842,3.8,198.952,3.0
2011-01-12,188.418,65.0,53.125,38.0,13.274,14.557,20.246,5.688,7.458,0.0,3.786,13.647,8.3,4.742,0.3,201.692,3.667
2011-01-13,188.136,65.0,51.292,38.0,10.729,11.562,13.875,2.312,19.708,0.0,4.8,23.375,8.3,6.1,2.8,198.864,2.833
2011-01-14,189.735,63.0,49.833,37.0,14.768,16.288,21.902,5.614,34.25,0.0,6.342,36.458,10.1,6.504,2.9,204.502,4.458
2011-01-15,187.667,67.0,55.042,38.0,15.01,14.729,17.719,2.989,15.625,0.0,3.65,17.842,8.1,5.492,3.4,202.677,3.5
2011-01-16,187.292,84.0,70.708,60.0,11.99,12.719,15.688,2.969,15.208,3.0,2.196,16.8,6.3,4.646,2.9,199.281,3.125
2011-01-17,185.417,83.0,63.25,40.0,13.864,13.688,19.969,6.281,10.042,1.0,2.342,13.383,10.1,4.996,1.1,199.281,3.826
2011-01-18,185.554,76.0,65.75,53.0,18.516,18.188,29.562,11.375,12.438,0.0,2.964,15.266,8.9,4.983,0.6,204.07,4.292
2011-01-19,186.438,90.0,82.792,73.0,24.021,22.102,43.831,21.729,20.104,17.0,2.742,27.25,7.5,6.204,5.4,210.458,4.708
2011-01-20,184.138,91.0,80.609,67.0,16.411,16.259,20.203,3.944,9.555,2.0,2.417,15.679,9.7,7.722,6.0,200.549,3.5
2011-01-21,185.182,87.0,82.417,78.0,16.912,13.875,16.47,2.595,13.146,7.0,2.483,20.267,8.3,7.558,6.6,202.094,3.042
2011-01-22,184.573,87.0,71.667,46.0,12.969,10.271,12.896,2.625,9.584,0.0,4.167,14.775,12.1,8.4,5.1,197.542,2.833
2011-01-23,186.908,84.0,56.167,40.0,10.526,8.418,9.902,1.484,9.521,3.0,2.975,13.567,8.6,6.025,2.9,197.434,2.667
2011-01-24,188.156,52.0,44.125,37.0,8.625,7.792,9.246,1.454,7.521,0.0,3.133,10.608,4.8,2.546,1.1,196.781,2.174
2011-01-25,189.631,73.0,50.167,40.0,10.258,9.7,12.427,2.727,15.042,0.0,4.429,16.04,6.7,2.658,0.3,199.888,3.0
2011-01-26,189.188,58.0,45.583,32.0,9.271,8.969,11.083,2.114,6.562,0.0,3.292,10.792,6.0,2.858,0.4,198.458,2.5
2011-01-27,191.052,69.0,54.542,43.0,14.864,16.198,21.417,5.219,27.104,0.0,4.783,26.475,8.2,4.162,-0.5,205.917,4.083
2011-01-28,189.604,76.0,56.125,37.0,17.636,13.464,18.163,4.698,34.917,0.0,5.242,34.358,9.4,5.896,2.6,207.239,4.25
