date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,8.106,9.799800000000001,1.6938000000000002,1.5832000000000002,,183.75,4.0,7.833,191.583
2011-01-02,5.025,5.558400000000001,0.5334,1.9045999999999998,,191.435,3.435,2.609,194.043
2011-01-03,7.325,8.2416,0.9164,2.4584,,191.375,3.783,4.0,195.375
2011-01-04,7.306400000000001,8.5364,1.23,4.2332,,193.957,4.696,6.435,200.391
2011-01-05,7.5418,8.883199999999999,1.3417999999999999,1.6082,,191.043,3.348,4.435,195.478
2011-01-06,9.556799999999999,11.330400000000001,1.7734,1.5582,,182.261,3.391,6.087,188.348
2011-01-07,9.366800000000001,11.2334,1.8668,1.225,,184.042,3.087,6.375,190.417
2011-01-08,8.9832,10.7834,1.7998,1.0166,,184.333,3.391,8.792,193.125
2011-01-09,12.575,15.9248,3.35,3.8167999999999997,,186.875,4.435,9.292,196.167
2011-01-10,13.9168,17.9332,4.0168,3.553,,191.739,5.565,12.087,203.826
2011-01-11,9.587399999999999,11.3674,1.7802,3.2358,,189.833,4.13,8.417,198.25
2011-01-12,12.761199999999999,16.247,3.4854,1.5694,,191.292,4.174,12.042,203.333
2011-01-13,11.241800000000001,14.741800000000001,3.5001999999999995,2.6418,,190.208,4.087,15.75,205.958
2011-01-14,8.867799999999999,10.774000000000001,1.9062000000000001,4.4584,,193.174,4.261,7.696,200.87
2011-01-15,9.0914,10.175,1.0834,1.9082000000000001,,191.292,3.696,7.708,199.0
2011-01-16,10.4672,13.1938,2.7268,1.1378,,191.375,4.087,12.333,203.708
2011-01-17,12.1736,15.9572,3.7832,0.7121999999999999,,189.792,3.348,10.458,200.25
2011-01-18,19.1038,28.2164,9.1122,1.2324,,192.087,5.0,19.174,211.261
2011-01-19,21.2166,32.6918,11.475,1.1416,,192.222,5.0,24.333,216.556
2011-01-20,15.8416,19.717000000000002,3.875,0.8462,,192.0,3.875,18.0,210.0
2011-01-21,14.478199999999998,17.5232,3.0452000000000004,0.6916,,190.25,3.625,13.333,203.583
2011-01-22,9.575199999999999,11.3332,1.7584,0.9339999999999999,,189.542,3.0,10.708,200.25
2011-01-23,7.483199999999999,9.125,1.6414000000000002,1.2668,,191.375,3.083,9.792,201.167
