date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,6.292,7.583,1.292,,14.333,11.9,6.592,1.4
2011-01-02,4.458,5.167,0.708,,16.708,8.5,6.742,4.6
2011-01-03,3.875,4.542,0.667,,17.0,9.7,6.442,2.8
2011-01-04,4.043,4.739,0.696,,23.208,7.3,5.279,2.8
2011-01-05,9.348,10.261,0.913,,12.826,8.0,4.204,1.8
2011-01-06,10.667,11.542,0.875,,15.917,9.4,6.071,2.5
2011-01-07,9.958,10.542,0.583,,10.958,8.2,5.35,1.3
2011-01-08,8.167,8.625,0.458,,12.375,9.6,3.929,0.1
2011-01-09,10.375,11.167,0.792,,17.458,11.5,6.7,2.8
2011-01-10,10.208,11.375,1.167,,26.583,11.1,6.529,2.2
2011-01-11,8.773,9.091,0.318,,24.917,10.2,6.879,2.7
2011-01-12,8.792,9.833,1.042,,9.458,7.7,3.567,-0.2
2011-01-13,9.208,10.417,1.208,,19.083,9.5,6.821,4.6
2011-01-14,8.667,9.292,0.625,,37.042,9.5,7.433,5.3
2011-01-15,8.625,9.25,0.625,,15.583,8.6,6.025,2.9
2011-01-16,11.042,11.708,0.667,,16.083,6.2,5.238,3.1
2011-01-17,10.391,11.565,1.174,,13.292,10.0,4.992,0.9
2011-01-18,23.696,31.913,8.217,,19.375,10.9,4.596,-1.1
2011-01-19,18.292,22.833,4.542,,17.333,7.7,5.746,3.5
2011-01-20,14.708,16.042,1.333,,11.917,10.0,7.725,5.1
2011-01-21,13.5,14.792,1.292,,17.542,10.1,7.804,6.5
2011-01-22,6.875,7.958,1.083,,11.5,11.2,7.229,3.6
2011-01-23,7.208,8.083,0.875,,10.875,11.1,7.425,4.7
2011-01-24,4.833,5.542,0.708,,11.083,5.2,4.058,3.0
2011-01-25,5.652,6.565,0.913,,17.5,6.6,3.717,1.7
2011-01-26,6.958,7.917,0.958,,12.625,6.1,3.454,1.1
2011-01-27,9.261,10.261,1.0,,25.95,8.2,4.638,0.6
2011-01-28,10.583,11.458,0.875,,28.875,8.6,5.542,2.4
2011-01-29,6.875,7.458,0.583,,11.625,6.3,3.471,0.1
2011-01-30,7.292,8.5,1.208,,9.458,7.9,3.404,-0.1
2011-01-31,8.444,8.722,0.278,,13.25,7.2,3.454,0.0
2011-02-01,6.364,6.364,0.0,,19.458,8.0,4.188,-0.9
2011-02-02,4.318,4.318,0.0,,10.583,2.8,1.104,-1.6
2011-02-03,8.909,9.364,0.455,,12.708,5.1,0.783,-3.5
2011-02-04,6.727,6.773,0.045,,19.75,7.2,4.1,0.8
2011-02-05,10.045,10.091,0.045,,39.75,8.3,4.425,-0.9
2011-02-06,18.7,28.6,9.9,,33.261,11.0,7.096,4.0
2011-02-07,17.261,20.739,3.478,,18.417,9.7,8.217,5.7
2011-02-08,3.25,3.25,0.0,,13.292,5.8,3.146,0.1
2011-02-09,5.167,5.25,0.083,,14.333,6.0,2.521,0.0
2011-02-10,9.625,10.167,0.542,,17.208,6.8,3.2,-0.9
2011-02-11,7.042,7.292,0.25,,13.917,7.9,4.138,-0.8
2011-02-12,5.292,5.458,0.167,,17.292,8.7,3.833,-0.3
2011-02-13,17.0,19.696,2.696,,22.708,6.5,4.029,1.6
2011-02-14,26.913,36.0,9.087,,16.583,6.5,5.192,2.8
2011-02-15,17.75,24.25,6.5,,18.708,8.1,4.962,2.6
2011-02-16,10.667,11.542,0.875,,18.292,7.6,3.433,-0.5
2011-02-17,5.304,5.696,0.391,,15.5,7.5,4.271,1.8
2011-02-18,6.542,6.708,0.167,,10.792,4.6,1.533,-1.7
2011-02-19,5.292,5.583,0.292,,12.125,6.9,1.8,-3.4
2011-02-20,10.261,11.435,1.174,,15.083,8.4,2.979,-1.7
2011-02-21,19.261,22.739,3.478,,22.083,8.3,5.038,0.1
2011-02-22,15.708,16.667,0.958,,24.25,11.3,7.754,4.1
2011-02-23,20.667,26.292,5.625,,17.042,12.2,9.625,7.8
2011-02-24,11.5,11.708,0.208,,36.0,12.5,8.25,5.1
2011-02-25,17.458,18.667,1.208,,33.042,7.3,6.462,4.5
2011-02-26,6.542,6.542,0.0,,14.542,6.3,4.217,-0.2
2011-02-27,9.174,10.174,1.0,,15.792,6.3,1.717,-2.0
