date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean
2011-01-01,7.819,8.25,0.431,4.347,34.569,
2011-01-02,8.681,9.583,0.903,1.68,11.264,
2011-01-03,7.361,7.889,0.528,5.611,32.25,
2011-01-04,6.833,7.639,0.805,2.389,19.444,
2011-01-05,10.569,11.785,1.216,1.468,12.528,
2011-01-06,20.055,25.514,5.458,1.653,13.778,
2011-01-07,21.542,28.805,7.264,1.597,11.097,
2011-01-08,18.722,26.014,7.292,1.389,9.805,
2011-01-09,17.861,20.778,2.917,7.916,39.167,
2011-01-10,25.542,40.083,14.542,6.819,51.903,
2011-01-11,12.472,13.82,1.347,3.533,18.986,
2011-01-12,17.439,21.417,3.978,1.86,12.989,
2011-01-13,11.708,13.083,1.375,4.361,23.764,
2011-01-14,20.181,25.959,5.778,3.139,27.542,
2011-01-15,21.153,28.5,7.347,2.069,16.042,
2011-01-16,21.5,31.403,9.903,1.722,12.944,
2011-01-17,24.292,50.0,25.708,1.278,10.556,
2011-01-18,29.886,57.134,27.248,3.161,17.5,
2011-01-19,23.319,28.403,5.083,3.315,19.389,
2011-01-20,17.917,26.653,8.736,1.736,8.139,
2011-01-21,21.319,31.194,9.875,1.639,8.625,
2011-01-22,15.306,20.25,4.944,1.792,12.319,
2011-01-23,8.445,9.625,1.181,1.584,7.444,
2011-01-24,8.986,10.403,1.417,1.847,11.139,
2011-01-25,11.278,12.917,1.639,2.625,16.556,
2011-01-26,11.624,13.614,1.99,2.163,9.694,
2011-01-27,26.556,38.389,11.833,2.778,28.833,
2011-01-28,19.111,32.125,13.014,3.264,34.084,
2011-01-29,15.305,17.236,1.931,3.306,16.889,
2011-01-30,17.597,21.014,3.416,2.528,12.222,
2011-01-31,26.867,42.38,15.513,4.557,22.52,
2011-02-01,9.583,10.569,0.986,4.375,28.5,
2011-02-02,7.639,8.75,1.111,1.361,9.125,
2011-02-03,12.25,14.07,1.819,1.195,11.375,
2011-02-04,12.778,14.361,1.583,3.444,23.167,
2011-02-05,17.611,19.861,2.25,4.194,34.472,
2011-02-06,24.43,33.403,8.972,5.181,45.939,
2011-02-07,13.986,15.18,1.194,2.597,24.403,
2011-02-08,7.416,8.445,1.028,1.167,9.153,
2011-02-09,9.795,11.225,1.43,1.223,10.069,
2011-02-10,15.319,18.528,3.208,1.736,10.555,
2011-02-11,17.833,22.639,4.806,1.625,8.472,
2011-02-12,21.319,25.347,4.028,3.653,17.083,
2011-02-13,23.958,30.806,6.847,2.153,16.958,
2011-02-14,24.444,44.653,20.209,1.5,14.332,
2011-02-15,26.639,48.014,21.375,2.347,22.361,
2011-02-16,18.385,25.112,6.727,1.758,12.498,
2011-02-17,7.361,8.208,0.847,1.847,10.973,
2011-02-18,7.542,8.528,0.986,1.5,9.986,
2011-02-19,7.778,8.5,0.722,1.25,10.625,
2011-02-20,22.542,34.0,11.458,1.75,12.708,
2011-02-21,26.958,42.611,15.653,2.306,17.764,
2011-02-22,18.514,21.078,2.564,2.069,23.014,
2011-02-23,19.887,28.97,9.083,2.751,24.792,
2011-02-24,22.681,26.625,3.945,5.0,38.986,
2011-02-25,18.514,21.278,2.764,2.583,29.306,
2011-02-26,11.18,12.514,1.333,1.153,8.847,
2011-02-27,17.708,21.528,3.819,1.458,8.111,
2011-02-28,17.347,19.417,2.069,1.758,12.111,
2011-03-01,28.055,44.806,16.75,3.333,22.069,
2011-03-02,26.278,32.708,6.43,2.167,16.32,
2011-03-03,15.32,17.764,2.445,1.5,13.528,
2011-03-04,12.055,12.5,0.444,1.083,15.653,
2011-03-05,25.306,39.361,14.056,1.444,11.292,
2011-03-06,13.07,16.653,3.583,1.542,22.222,
2011-03-07,24.347,28.681,4.333,4.153,45.278,
2011-03-08,27.288,39.426,12.138,3.583,53.305,
2011-03-09,18.653,21.305,2.653,1.889,27.146,
2011-03-10,13.194,14.292,1.097,1.708,16.042,
2011-03-11,10.069,10.791,0.722,3.042,24.014,
2011-03-12,10.458,11.847,1.389,1.542,11.583,
2011-03-13,24.93,34.389,9.459,2.264,15.042,
2011-03-14,21.278,31.347,10.069,3.222,23.403,
2011-03-15,19.593,21.105,1.511,4.747,36.496,
2011-03-16,18.945,20.819,1.875,2.695,24.792,
2011-03-17,16.236,19.403,3.167,1.57,34.611,
2011-03-18,10.18,10.5,0.319,1.014,22.458,
2011-03-19,13.042,14.389,1.347,2.153,15.708,
2011-03-20,18.542,22.903,4.361,1.597,17.556,
2011-03-21,18.181,20.722,2.542,1.958,19.361,
2011-03-22,34.897,52.625,17.727,3.69,22.293,
2011-03-23,17.181,19.986,2.805,1.292,11.972,
2011-03-24,6.292,6.778,0.486,2.5,31.236,
2011-03-25,5.319,5.653,0.333,1.514,14.305,
2011-03-26,9.5,10.389,0.889,1.5,12.556,
2011-03-27,21.861,28.208,6.347,2.875,25.472,
2011-03-28,13.63,14.127,0.497,3.873,40.847,
2011-03-29,35.611,44.569,8.958,4.25,35.014,
2011-03-30,21.014,24.514,3.5,5.764,35.014,
2011-03-31,5.917,6.18,0.264,1.917,23.07,
2011-04-01,37.986,47.431,9.444,4.889,41.625,
2011-04-02,18.958,19.944,0.986,2.556,32.333,
2011-04-03,12.833,14.153,1.319,2.097,19.736,
2011-04-04,11.083,12.236,1.153,1.542,9.194,
2011-04-05,24.96,29.395,4.435,2.942,14.805,
2011-04-06,31.653,42.5,10.847,5.139,19.542,
2011-04-07,27.247,35.275,8.028,4.224,18.556,
2011-04-08,19.681,22.583,2.903,2.042,23.153,
2011-04-09,10.917,11.569,0.653,1.444,31.93,
2011-04-10,15.986,17.5,1.514,3.833,31.764,
2011-04-11,16.875,18.056,1.181,2.444,34.0,
2011-04-12,18.056,22.528,4.472,1.961,26.375,
2011-04-13,14.833,15.75,0.917,4.542,35.319,
2011-04-14,30.292,34.097,3.805,5.0,40.194,
2011-04-15,21.846,24.891,3.045,4.077,37.642,
2011-04-16,17.042,19.0,1.958,2.264,43.944,
2011-04-17,18.972,22.819,3.847,2.306,17.305,
2011-04-18,13.431,15.07,1.639,2.639,23.986,
2011-04-19,8.351,9.018,0.666,1.0,10.736,
