date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,98.0,66.792,32.0,10.958,16.097,5.139,1.0,13.181,12.0,6.629,1.0,195.542,3.542,13.625,209.167
2011-01-02,83.0,52.917,30.0,4.93,6.028,1.097,1.5,13.056,12.6,7.583,4.0,188.75,2.696,6.625,195.375
2011-01-03,64.0,43.958,26.0,3.846,4.861,1.014,1.0,8.264,11.0,6.346,3.3,186.208,2.25,4.875,191.083
2011-01-04,69.0,50.167,30.0,7.222,8.236,1.014,3.5,21.792,9.2,5.842,2.6,189.0,3.583,6.667,195.667
2011-01-05,80.0,52.958,28.0,9.778,11.083,1.306,2.417,8.75,9.2,4.496,1.2,190.304,2.208,6.391,196.696
2011-01-06,74.0,53.75,33.0,14.625,16.847,2.222,1.708,9.792,10.9,5.579,1.0,190.625,2.417,9.208,199.833
2011-01-07,82.0,45.333,18.0,8.194,9.889,1.694,1.0,7.639,10.6,5.846,2.7,190.083,2.208,7.917,198.0
2011-01-08,75.0,40.667,19.0,9.597,12.069,2.472,1.0,8.903,12.0,5.367,1.2,191.958,2.833,9.75,201.708
2011-01-09,82.0,52.958,28.0,10.528,14.403,3.875,1.333,13.597,13.4,7.208,-0.1,192.0,3.174,9.042,201.042
2011-01-10,69.0,52.25,26.0,17.933,23.789,5.856,1.167,15.917,14.2,7.95,3.1,191.0,4.125,14.125,205.125
2011-01-11,62.0,52.208,40.0,12.347,14.097,1.75,1.375,17.153,11.9,7.946,4.2,188.333,3.417,9.375,197.708
2011-01-12,48.0,32.625,18.0,11.417,13.375,1.959,1.0,8.181,10.8,5.125,0.8,189.565,3.125,9.261,198.826
2011-01-13,74.0,53.083,36.0,14.472,16.931,2.458,1.083,12.708,11.3,6.258,2.4,188.208,3.208,9.792,198.0
2011-01-14,79.0,54.875,28.0,11.264,13.07,1.806,1.667,13.875,10.8,6.529,4.2,190.625,3.875,8.958,199.583
2011-01-15,72.0,55.333,29.0,7.375,8.667,1.292,1.0,10.833,9.8,6.412,3.8,188.875,2.917,6.25,195.125
2011-01-16,95.0,64.833,41.0,20.212,31.581,11.369,1.292,15.274,8.4,5.638,2.6,192.083,4.0,11.792,203.875
2011-01-17,99.0,92.333,73.0,17.907,39.709,21.803,1.0,16.792,8.0,3.779,1.1,190.917,4.167,14.25,205.167
2011-01-18,99.0,78.042,44.0,17.972,44.819,26.847,1.208,20.597,13.3,5.962,0.1,192.75,4.542,17.292,210.042
2011-01-19,99.0,77.333,42.0,14.375,36.722,22.347,1.333,14.833,11.2,6.388,1.4,190.696,3.417,12.087,202.783
2011-01-20,99.0,93.708,84.0,14.056,19.903,5.847,1.0,10.778,10.1,7.612,5.6,186.833,3.542,10.792,197.625
2011-01-21,99.0,96.625,87.0,14.139,22.292,8.153,1.0,11.25,10.1,8.096,6.6,188.333,3.417,10.917,199.25
2011-01-22,99.0,84.625,56.0,11.18,16.139,4.958,1.0,9.694,16.3,9.529,5.1,188.833,3.25,10.542,199.375
2011-01-23,91.0,67.0,41.0,12.236,17.611,5.375,1.667,11.0,14.6,8.792,4.9,188.583,3.435,10.583,199.167
2011-01-24,78.0,54.042,28.0,14.035,16.894,2.859,2.5,9.111,10.1,5.129,1.5,188.167,3.167,9.0,197.167
2011-01-25,60.0,48.458,29.0,10.514,12.222,1.708,3.292,11.792,8.4,4.208,1.6,188.458,3.042,7.542,196.0
2011-01-26,72.0,52.042,25.0,12.5,14.292,1.792,3.417,11.153,9.3,3.704,0.5,190.696,3.125,7.783,198.478
2011-01-27,80.0,63.792,39.0,17.5,21.625,4.125,3.25,16.458,9.9,4.079,0.1,191.875,3.875,10.417,202.292
2011-01-28,84.0,65.958,41.0,12.819,14.972,2.153,1.75,20.431,7.5,4.25,1.1,191.875,3.542,8.667,200.542
2011-01-29,66.0,32.5,14.0,4.861,5.903,1.042,1.125,10.111,10.4,4.804,0.9,190.417,2.458,5.417,195.833
2011-01-30,69.0,42.75,24.0,14.028,16.514,2.486,2.0,11.458,9.3,3.879,0.0,191.542,2.435,8.0,199.542
2011-01-31,84.0,58.0,30.0,16.087,21.013,4.925,3.75,10.917,9.2,4.1,0.2,191.833,2.75,10.042,201.875
2011-02-01,80.0,61.625,36.0,16.153,33.403,17.25,2.708,16.181,10.5,3.642,-1.8,191.167,3.458,10.667,201.833
2011-02-02,90.0,70.333,48.0,11.505,13.037,1.532,2.542,10.367,3.8,0.879,-1.6,190.609,2.667,8.261,198.87
2011-02-03,71.0,54.042,34.0,10.153,11.847,1.694,2.042,10.944,6.8,1.512,-3.3,191.261,2.333,9.261,200.522
2011-02-04,70.0,51.792,34.0,9.042,10.68,1.639,1.625,19.639,8.0,4.079,0.1,189.292,2.833,8.167,197.458
2011-02-05,76.0,51.375,32.0,11.056,12.639,1.583,1.583,22.375,11.2,6.192,1.4,190.167,3.458,10.167,200.333
2011-02-06,99.0,88.792,54.0,20.139,27.278,7.139,1.292,22.584,9.9,7.804,5.4,190.25,4.522,12.917,203.167
2011-02-07,99.0,87.417,63.0,13.918,19.797,5.878,1.0,20.139,17.0,12.342,7.7,187.125,3.333,11.188,198.312
2011-02-08,63.0,52.125,34.0,6.222,7.279,1.057,1.9,11.403,9.2,5.408,1.1,186.917,2.167,6.292,193.208
2011-02-09,71.0,56.875,37.0,8.722,10.208,1.486,6.778,10.0,7.3,3.138,-0.1,187.958,2.292,7.417,195.375
