date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean,CO_mean
2011-01-01,2.984,4.542,1.558,3.325,,193.104,6.542,24.375,199.646,5.458
2011-01-02,2.967,4.15,1.183,3.592,,194.958,7.396,14.125,202.354,5.708
2011-01-03,3.592,4.958,1.367,4.208,,198.25,8.375,26.25,206.625,6.042
2011-01-04,3.15,4.983,1.833,4.467,,193.458,6.167,18.583,199.625,5.625
2011-01-05,5.052,7.865,2.813,5.923,,202.432,11.296,19.826,213.727,6.391
2011-01-06,5.539,9.298,3.759,6.967,,200.188,11.062,16.083,211.25,6.333
2011-01-07,4.667,6.983,2.317,4.883,,195.834,7.396,14.625,203.229,5.208
2011-01-08,4.192,6.383,2.192,4.417,,194.23,7.146,16.333,201.375,4.667
2011-01-09,5.792,7.717,1.925,5.942,,200.583,11.02,27.583,211.604,6.292
2011-01-10,7.552,10.506,2.954,9.596,,200.625,12.125,45.25,212.75,7.75
2011-01-11,6.175,9.5,3.325,7.892,,201.75,12.188,32.792,213.938,7.083
2011-01-12,5.162,7.96,2.798,5.048,,196.014,9.64,12.292,205.655,6.042
2011-01-13,4.617,7.167,2.55,6.083,,196.75,8.916,20.417,205.666,5.917
2011-01-14,6.817,9.608,2.792,7.567,,205.354,13.688,37.0,219.042,7.25
2011-01-15,5.684,7.016,1.333,4.267,,198.854,9.292,20.167,208.146,6.083
2011-01-16,6.517,10.317,3.8,1.942,,194.167,10.0,15.625,204.167,7.292
2011-01-17,4.792,7.483,2.692,2.375,,192.438,8.146,10.625,200.584,6.333
2011-01-18,5.773,9.393,3.62,3.894,,192.046,10.068,12.125,202.114,5.591
2011-01-19,10.162,14.987,4.825,2.239,,193.208,12.52,16.833,205.729,6.75
2011-01-20,5.05,6.9,1.85,2.434,,190.98,9.625,11.5,200.604,5.917
2011-01-21,4.842,6.492,1.65,2.983,,191.896,9.125,14.909,201.02,5.792
2011-01-22,2.392,3.983,1.591,2.075,,192.458,8.458,10.583,200.916,5.667
2011-01-23,3.05,5.517,2.467,4.542,,199.229,10.771,11.667,210.0,5.75
2011-01-24,2.76,4.945,2.185,4.92,,195.374,8.036,12.333,203.409,5.652
2011-01-25,3.589,6.574,2.985,6.477,,198.016,8.879,21.933,206.894,6.875
2011-01-26,4.0,6.967,2.967,6.992,,202.27,11.834,,214.104,6.5
2011-01-27,4.975,7.55,2.575,11.053,,198.962,67.481,,266.443,6.708
2011-01-28,5.308,7.783,2.475,9.325,,198.916,39.98,,238.896,7.042
2011-01-29,3.241,4.192,0.95,5.558,,194.354,17.729,,212.084,5.667
2011-01-30,5.313,7.983,2.67,6.706,,196.584,15.02,,211.604,6.625
2011-01-31,5.432,8.071,2.638,4.469,,195.44,10.682,22.444,206.122,6.333
2011-02-01,5.065,8.17,3.106,3.549,,198.812,13.792,21.625,212.604,7.958
2011-02-02,2.528,4.486,1.958,5.025,,192.504,7.042,9.5,199.546,3.864
2011-02-03,3.542,6.4,2.858,5.675,,197.021,35.229,10.875,232.25,2.417
2011-02-04,3.825,5.967,2.141,5.608,,200.062,40.521,16.167,240.583,2.708
2011-02-05,5.517,7.592,2.075,3.6,,202.688,17.5,39.083,220.188,4.0
2011-02-06,9.035,14.601,5.566,2.043,,201.402,25.5,24.25,226.902,5.667
2011-02-07,5.746,7.758,2.011,1.855,,193.771,12.292,14.042,206.062,1.5
2011-02-08,2.25,4.258,2.008,1.517,,194.229,7.146,8.458,201.375,0.292
2011-02-09,3.177,5.822,2.645,4.754,,200.208,14.072,12.792,214.28,1.375
2011-02-10,4.333,7.1,2.767,5.558,,202.5,12.916,14.875,215.416,1.792
2011-02-11,4.275,6.558,2.283,3.617,,201.312,15.896,13.13,217.208,1.375
2011-02-12,3.567,5.242,1.675,3.725,,200.916,10.375,11.708,211.292,0.875
2011-02-13,7.717,11.605,3.888,1.348,,197.312,12.229,16.667,209.542,2.875
2011-02-14,10.292,14.966,4.674,1.66,,202.672,19.368,17.478,222.04,4.773
2011-02-15,6.167,8.158,1.992,1.067,,201.062,13.5,15.375,214.562,2.542
2011-02-16,4.932,7.457,2.525,2.82,,200.938,13.021,17.792,213.958,2.0
2011-02-17,2.602,4.444,1.842,2.127,,192.416,6.394,10.25,198.811,0.458
2011-02-18,2.817,4.817,2.0,4.65,,201.208,10.312,11.167,211.521,0.792
2011-02-19,2.508,4.133,1.625,4.992,,202.5,13.729,14.958,216.23,1.042
2011-02-20,4.019,6.398,2.38,5.467,,204.958,31.75,17.167,236.708,1.458
2011-02-21,7.454,10.583,3.129,7.345,,199.898,19.473,20.625,219.372,1.625
2011-02-22,8.138,11.444,3.306,1.594,,197.78,14.312,23.542,212.092,5.045
2011-02-23,7.288,9.965,2.676,1.793,,193.458,12.688,15.583,206.146,6.083
2011-02-24,4.767,6.042,1.275,6.167,,195.417,74.646,37.5,270.062,6.125
2011-02-25,4.909,6.958,2.05,2.236,,195.938,36.416,30.833,232.354,6.375
2011-02-26,2.892,3.8,0.908,1.833,,196.75,30.354,12.542,227.104,4.542
2011-02-27,4.283,6.999,2.717,2.98,,198.924,22.345,11.667,221.269,5.083
2011-02-28,5.725,8.15,2.425,2.667,,199.312,17.958,12.958,217.271,5.75
2011-03-01,6.397,11.355,4.958,1.325,,201.854,25.833,17.208,227.688,7.792
2011-03-02,6.583,10.05,3.467,1.408,,200.062,22.146,14.667,222.208,7.0
