date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-03-20,186.458,12.833,7.834,11.611,3.778,,1.69,,199.292,4.708
2011-03-21,188.565,13.739,12.167,20.93,8.764,,2.021,,202.304,5.25
2011-03-22,187.833,14.875,12.604,19.226,6.623,,1.854,,202.708,4.522
2011-03-23,183.75,14.292,12.347,20.889,8.542,,1.527,,198.042,4.833
2011-03-24,186.833,9.375,3.639,5.43,1.792,,2.834,,196.208,4.375
2011-03-25,187.917,8.0,2.611,3.639,1.028,,1.875,,195.917,2.917
2011-03-26,188.667,8.875,4.917,7.639,2.722,,1.521,,197.542,2.75
2011-03-27,190.375,12.417,11.139,18.215,7.076,,1.782,,202.792,3.292
2011-03-28,188.905,17.429,9.846,15.391,5.545,,2.07,,206.333,3.391
2011-03-29,187.417,16.583,11.32,16.889,5.569,,3.084,,204.0,4.208
2011-03-30,183.792,15.375,7.32,13.792,6.472,,6.864,,199.167,3.167
2011-03-31,184.75,9.917,3.236,5.07,1.833,,1.688,,194.667,2.417
2011-04-01,189.375,18.333,10.361,16.028,5.667,,2.047,,207.708,
2011-04-02,186.792,15.25,8.014,12.361,4.347,,1.458,,202.042,
2011-04-03,186.25,11.0,3.805,5.819,2.014,,1.604,,197.25,
2011-04-04,186.75,11.417,6.278,10.958,4.68,,1.312,,198.167,
2011-04-05,186.652,12.174,8.278,14.472,6.195,,1.458,,198.826,
2011-04-06,187.25,15.625,9.778,18.264,8.486,,2.041,,202.875,
2011-04-07,185.125,14.833,8.389,14.958,6.57,,2.208,,199.958,
2011-04-08,183.958,15.667,8.847,15.667,6.819,,1.126,,199.625,
2011-04-09,185.375,15.333,5.306,9.222,3.917,,1.354,,200.708,
2011-04-10,187.833,13.208,4.806,7.167,2.361,,2.396,,201.042,
2011-04-11,187.917,13.208,6.042,9.764,3.722,,1.604,,201.125,
2011-04-12,188.435,9.565,8.731,15.804,7.073,,1.396,,198.0,
2011-04-13,187.826,8.435,7.162,11.021,3.859,,2.53,,196.261,
2011-04-14,187.583,8.958,8.236,12.584,4.347,,1.729,,196.542,
2011-04-15,185.833,11.958,9.167,13.236,4.069,,1.128,,197.792,
2011-04-16,188.0,10.417,5.25,7.681,2.431,,1.0,,198.417,
2011-04-17,185.708,8.042,5.361,7.833,2.472,,2.812,,193.75,
2011-04-18,185.208,7.208,4.778,7.111,2.333,,1.312,,192.417,
2011-04-19,189.652,7.826,4.097,6.528,2.431,,1.042,,197.478,
