date,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,15.6665,21.5,5.8335,12.021,87.5,23.3125,-20.0,201.833,6.25,10.417,212.25
2011-01-02,10.6455,14.521,3.875,13.9795,107.5,30.9165,-28.0,202.417,4.708,7.958,210.375
2011-01-03,4.7915,5.625,0.8335,4.2915,90.0,44.4795,15.0,192.958,3.667,1.042,194.0
2011-01-04,12.5205,16.4795,3.958,8.0625,95.0,21.6875,-33.5,198.625,5.167,6.625,205.25
2011-01-05,9.7925,12.235,2.443,8.03,82.5,26.229,-12.5,195.864,4.095,2.136,198.0
2011-01-06,15.229,20.6665,5.4375,10.75,110.0,47.3125,-8.0,196.458,4.125,8.625,205.083
2011-01-07,8.271,10.375,2.1045,5.375,80.0,34.125,-2.5,195.625,3.583,1.583,197.208
2011-01-08,6.75,8.0415,1.292,7.0625,83.5,32.0415,-3.5,195.5,3.25,1.458,196.958
2011-01-09,20.9375,28.2085,7.271,19.6665,86.5,24.5625,-24.5,201.083,5.083,11.417,212.5
2011-01-10,22.1455,28.208,6.0625,14.292,103.0,48.375,0.5,197.75,4.542,12.417,210.167
2011-01-11,16.4165,28.625,12.2085,14.4585,86.5,24.2705,-6.5,198.375,4.625,11.042,209.417
2011-01-12,16.0415,23.4375,7.3955,8.749500000000001,64.5,13.292,-22.0,196.625,4.583,6.875,203.5
2011-01-13,14.3125,20.354,6.0415,6.9585,129.0,37.4795,-34.0,194.917,3.958,4.625,199.542
2011-01-14,10.271,12.8955,2.625,8.083,70.0,28.729,-5.0,197.75,3.958,3.083,200.833
2011-01-15,7.229,8.5415,1.3125,10.896,78.5,35.625,-5.5,197.5,3.583,1.917,199.417
2011-01-16,19.5835,29.3545,9.771,17.7915,53.0,30.521,16.0,199.667,4.583,11.875,211.542
2011-01-17,30.8585,53.2395,22.381,24.6875,88.5,31.5415,-6.0,207.0,6.227,24.955,231.955
2011-01-18,29.979,47.229,17.25,24.1665,74.0,18.625,-34.5,201.667,6.208,19.083,220.75
2011-01-19,21.167,33.7915,12.625,25.5415,92.0,40.25,-21.5,197.167,4.625,11.0,208.167
2011-01-20,27.4165,37.7085,10.292,34.8125,24.5,15.0,4.0,197.458,5.75,11.375,208.833
2011-01-21,19.9375,26.0835,6.146,14.395499999999998,43.0,29.625,17.5,195.417,4.708,7.042,202.458
2011-01-22,17.542,23.833,6.292,15.875,100.5,54.6455,24.0,198.208,5.208,12.625,210.833
2011-01-23,14.3335,22.521,8.1875,11.8955,103.0,51.7915,11.0,197.625,4.417,11.625,209.25
2011-01-24,13.7295,17.7085,3.979,8.6455,64.0,21.625,-10.5,195.917,4.042,5.5,201.417
2011-01-25,20.7915,31.5415,10.75,14.8545,89.5,25.5,-24.5,198.609,5.125,11.826,210.435
2011-01-26,14.896,19.542,4.646,8.083,43.5,8.1045,-28.5,198.208,4.375,4.708,202.917
2011-01-27,24.3335,38.125,13.7915,13.0,56.5,-3.146,-54.5,203.0,5.708,11.708,214.708
2011-01-28,11.2915,17.354,6.0625,11.9375,45.0,4.5,-35.5,197.875,3.958,4.458,202.333
2011-01-29,5.375,6.4585,1.083,7.625,46.0,7.6875,-16.5,196.125,3.292,1.125,197.25
2011-01-30,14.1045,17.646,3.5415,8.375,54.0,9.3955,-24.0,197.0,4.125,4.417,201.417
2011-01-31,16.2085,20.354,4.146,9.4375,90.5,15.2915,-33.5,197.667,4.208,4.583,202.25
2011-02-01,19.229,27.9165,8.6875,9.1875,88.5,10.0625,-47.0,200.583,4.625,8.208,208.792
2011-02-02,11.506,14.195,2.689,8.9795,50.0,1.0,-31.5,197.391,3.682,2.217,199.609
2011-02-03,18.458,26.667,8.208,11.7085,72.0,8.583,-38.5,199.833,4.333,9.292,209.125
2011-02-04,13.646,16.25,2.6045,11.9795,114.0,29.125,-41.0,196.583,3.667,3.833,200.417
2011-02-05,14.896,17.0,2.104,17.5625,91.0,38.292,-4.0,199.958,4.25,7.083,207.042
2011-02-06,25.2295,34.917,9.6875,42.104,70.5,31.458,-19.0,201.417,5.708,14.167,215.583
2011-02-07,25.125,45.6875,20.5625,38.979,110.0,69.0625,37.5,201.708,6.375,27.208,228.917
2011-02-08,5.7285,7.301,1.5725000000000002,4.089,87.5,50.792,12.0,191.818,3.136,1.0,192.818
2011-02-09,12.5625,16.021,3.458,5.6665,80.5,26.6875,-14.5,192.958,3.875,3.125,196.083
2011-02-10,12.625,15.3335,2.708,7.083,96.5,40.4165,-6.5,193.0,3.833,2.875,195.875
2011-02-11,7.583,8.7295,1.1455,7.625,72.5,30.604,-7.5,192.708,3.583,1.042,193.75
2011-02-12,5.646,6.3125,0.6665,9.604,66.5,22.167,-21.0,192.958,3.292,0.917,193.875
2011-02-13,16.248,19.811,3.5629999999999997,20.0625,71.5,34.2295,-10.0,194.773,3.773,5.773,200.545
2011-02-14,30.229,54.6665,24.4375,42.7705,60.5,28.146,-2.0,199.75,6.792,24.25,224.0
2011-02-15,14.0205,31.75,17.729,24.771,118.0,51.104,13.5,196.708,4.958,13.833,210.542
2011-02-16,14.625,17.854,3.2295,14.958,57.5,24.6665,1.0,193.625,3.208,8.167,201.792
2011-02-17,16.5625,27.875,11.3125,17.4585,80.5,25.0835,-29.5,195.583,4.083,11.292,206.875
2011-02-18,7.9585,9.521,1.5625,8.7085,44.0,5.396,-27.0,193.708,3.25,1.5,195.208
2011-02-19,12.104,13.5,1.3955,13.0,81.5,15.604,-41.5,196.5,3.917,5.208,201.708
2011-02-20,22.7085,28.2915,5.583,12.75,100.5,33.1455,-33.5,197.625,4.25,10.458,208.083
2011-02-21,16.9375,20.5415,3.604,14.375,141.0,65.6665,-8.5,193.25,3.667,5.958,199.208
2011-02-22,14.9375,18.1875,3.25,25.7085,108.5,70.2085,22.5,193.917,3.542,6.5,200.417
2011-02-23,17.9585,25.4585,7.5,38.271,126.5,78.0205,45.5,193.917,4.542,13.042,206.958
2011-02-24,9.6665,10.729,1.0625,26.3955,148.5,100.4375,67.0,191.417,4.125,2.958,194.375
2011-02-25,8.6875,10.0415,1.354,14.7085,92.5,61.9375,27.5,192.0,3.625,2.292,194.292
2011-02-26,6.083,6.8335,0.75,8.729,86.0,40.0625,17.5,192.458,3.0,1.458,193.917
2011-02-27,5.6955,6.7940000000000005,1.0985,10.7725,67.0,23.771,-5.0,192.773,3.045,1.182,193.955
2011-02-28,15.2915,16.9795,1.6875,12.9375,57.5,20.875,-23.5,195.0,3.792,5.167,200.167
2011-03-01,23.2915,30.5,7.2085,22.9375,126.5,68.875,12.0,195.708,4.875,17.75,213.458
2011-03-02,25.792,40.0415,14.25,26.854,62.5,48.8125,36.5,196.375,5.167,16.125,212.5
2011-03-03,15.021,18.0,2.9795,25.5625,128.0,74.5,40.5,193.167,4.208,6.917,200.083
2011-03-04,7.8125,8.1665,0.354,19.396,70.0,45.0835,19.0,193.708,3.25,1.0,194.708
2011-03-05,22.3125,30.5625,8.25,20.083,73.0,37.8335,6.5,196.75,5.333,9.875,206.625
2011-03-06,22.25,41.4585,19.2085,21.604,166.5,104.9585,42.5,199.042,5.167,24.917,223.958
2011-03-07,14.021,15.75,1.729,21.0835,154.5,119.167,77.0,192.0,4.708,7.125,199.125
2011-03-08,18.896,21.5625,2.667,26.875,106.5,93.792,78.5,193.625,4.958,8.0,201.625
2011-03-09,18.167,20.5415,2.375,22.7705,85.5,64.875,38.5,193.583,4.375,7.167,200.75
2011-03-10,14.25,16.5835,2.3335,7.9375,71.5,52.604,35.0,193.083,4.708,4.333,197.417
2011-03-11,8.5835,9.1875,0.604,10.6455,82.0,53.0205,28.0,192.292,3.417,4.0,196.292
2011-03-12,8.7085,10.75,2.0415,6.604,98.5,41.3335,-1.0,191.917,3.375,1.417,193.333
2011-03-13,8.667,10.333,1.6669999999999998,7.292,90.5,42.896,-3.0,192.833,3.458,1.333,194.167
2011-03-14,15.9165,17.6875,1.771,15.125,104.5,50.854,-2.5,194.958,3.833,8.333,203.292
2011-03-15,15.649000000000001,19.6845,4.036,15.3885,102.5,49.854,-0.5,194.583,3.667,5.958,200.542
2011-03-16,21.875,23.692999999999998,1.818,19.5625,104.0,56.896,0.0,195.87,3.87,9.957,205.826
2011-03-17,29.5415,37.8125,8.271,41.083,108.0,66.3125,35.5,202.0,5.542,21.25,223.25
2011-03-18,22.3125,37.0415,14.729,42.5625,101.5,80.9165,40.5,211.292,6.542,32.875,244.167
2011-03-19,5.2085,6.1665,0.958,4.9885,94.5,64.8125,28.5,189.583,2.208,0.5,190.083
2011-03-20,7.2705,8.1875,0.9165,10.292,139.5,71.0625,4.0,191.917,2.333,2.083,194.0
2011-03-21,5.5625,6.2085,0.646,7.65,110.0,61.5835,16.5,191.708,2.375,0.333,192.042
2011-03-22,22.1665,27.4375,5.2705,27.8825,139.0,69.667,-10.5,196.042,3.75,9.167,205.208
2011-03-23,19.333,20.604,1.271,39.6665,107.0,83.854,59.5,193.375,4.167,10.167,203.542
2011-03-24,14.167,16.333,2.167,18.6455,150.0,88.125,51.0,192.667,3.667,9.542,202.208
2011-03-25,7.792,8.667,0.875,7.2085,149.0,73.104,9.0,192.833,2.792,2.5,195.333
2011-03-26,10.4565,11.8915,1.4344999999999999,9.7085,102.0,54.9585,6.0,195.5,2.826,3.091,198.591
2011-03-27,17.1875,18.4585,1.271,16.125,147.5,79.021,-4.0,195.625,3.25,7.292,202.917
2011-03-28,14.542,16.9585,2.4165,20.229,157.5,82.417,20.0,194.292,3.542,6.0,200.292
2011-03-29,14.3125,15.75,1.4375,16.229,185.0,112.9585,42.0,192.667,3.042,6.458,199.125
2011-03-30,34.1665,43.9375,9.771,29.271,192.0,125.333,67.5,198.208,4.917,25.042,223.25
2011-03-31,18.042,24.7295,6.6875,18.646,184.5,102.2915,43.5,197.417,3.833,20.417,217.833
2011-04-01,17.229,19.5415,2.3125,20.729,172.0,96.875,18.0,,2.125,,
2011-04-02,13.1455,14.9375,1.7919999999999998,30.2915,203.0,109.292,46.0,,2.333,,
2011-04-03,7.2085,7.8955,0.6875,13.083,126.0,76.917,46.0,,1.583,,
2011-04-04,5.761,6.761,1.0,9.1365,128.0,72.625,26.0,,1.727,,
2011-04-05,18.667,21.521,2.854,15.125,180.0,96.75,4.0,,2.625,,
2011-04-06,16.896,18.5205,1.625,18.0415,211.0,128.958,34.0,,2.625,,
2011-04-07,26.591,29.7045,3.1135,28.932000000000002,205.0,128.591,74.0,,3.318,,
2011-04-08,23.3545,26.708,3.3545,25.292,223.0,156.125,78.0,,3.25,,
2011-04-09,20.7085,26.9585,6.25,23.333,164.0,141.375,122.0,,3.5,,
2011-04-10,9.458,10.1455,0.6875,18.625,181.0,135.375,74.0,,3.0,,
2011-04-11,12.375,13.6875,1.3125,36.146,192.0,125.25,69.0,,3.083,,
2011-04-12,9.8915,11.0435,1.152,19.196,146.0,99.167,55.0,,2.609,,
2011-04-13,17.979,19.8125,1.8335,24.6665,232.0,131.958,24.0,,2.875,,
2011-04-14,18.1875,19.708,1.521,30.2085,242.0,159.25,69.0,,3.125,,
2011-04-15,21.9165,25.6875,3.771,32.854,258.0,184.542,105.0,,3.167,,
2011-04-16,10.646,11.7705,1.125,23.6455,249.0,162.625,95.0,,2.5,,
2011-04-17,4.5625,4.6875,0.125,13.042,204.0,135.958,75.0,,1.75,,
2011-04-18,10.854,12.0415,1.1875,22.3125,168.0,139.583,118.0,,2.375,,
2011-04-19,11.8565,13.2955,1.4380000000000002,11.9585,124.0,92.208,60.0,185.917,2.792,12.333,198.25
2011-04-20,14.75,18.5625,3.8125,14.521,169.0,100.833,42.0,189.042,2.625,14.0,203.042
2011-04-21,12.229,13.375,1.1455,20.917,143.0,111.5,73.0,185.167,2.083,7.208,192.375
2011-04-22,18.8955,20.6455,1.75,41.1875,173.0,143.583,106.0,189.0,3.292,17.875,206.875
2011-04-23,11.0,11.667,0.6665,15.957999999999998,206.0,166.167,125.0,183.25,1.792,8.25,191.5
2011-04-24,5.458,5.6455,0.1875,11.271,200.0,151.542,99.0,183.583,2.042,3.0,186.583
2011-04-25,12.6875,14.6875,2.0,16.2915,188.0,121.958,68.0,189.333,2.708,6.625,195.958
2011-04-26,15.363499999999998,17.159,1.7955,19.863500000000002,178.0,111.864,59.0,187.773,2.955,7.182,194.955
2011-04-27,12.130500000000001,13.9565,1.826,32.9995,283.0,179.083,82.0,188.455,2.826,15.091,203.545
2011-04-28,5.5415,6.6665,1.125,14.125,258.0,182.583,113.0,189.875,2.375,6.583,196.458
2011-04-29,6.854,7.625,0.7705,15.1875,199.0,141.375,87.0,193.375,2.583,3.583,196.958
2011-04-30,13.4375,14.9375,1.5,24.896,201.0,147.625,76.0,196.208,3.667,10.458,206.667
2011-05-01,10.8335,12.0,1.1665,26.1045,233.0,173.167,135.0,197.5,3.0,12.75,210.25
2011-05-02,5.0205,5.583,0.5625,81.9165,233.0,188.917,139.0,191.917,2.833,2.5,194.417
2011-05-03,9.25,9.9795,0.729,58.672,189.0,145.375,96.0,197.792,3.083,6.75,204.542
2011-05-04,7.3335,8.229,0.8955,34.125,257.0,181.833,114.0,193.917,2.667,7.042,200.958
2011-05-05,6.1875,6.583,0.396,20.2705,168.0,143.208,120.0,194.25,2.125,1.958,196.208
2011-05-06,9.4165,10.333,0.9165,26.521,184.0,149.583,121.0,193.917,2.208,5.25,199.167
2011-05-07,13.417,15.146,1.729,46.5,183.0,159.833,139.0,196.292,3.625,12.5,208.792
2011-05-08,7.208,8.0,0.792,25.104,294.0,205.667,131.0,193.125,2.708,9.458,202.583
2011-05-09,13.0455,14.0415,0.996,26.5,254.0,194.792,128.0,195.391,3.182,19.565,214.957
2011-05-10,16.896,20.1045,3.2085,22.8335,285.0,205.0,162.0,195.167,3.542,23.875,219.042
2011-05-11,12.5205,13.1665,0.646,22.125,182.0,146.0,136.0,194.292,2.792,11.042,205.333
2011-05-12,13.354,15.4585,2.1045,37.917,182.0,156.125,135.0,195.833,3.792,16.917,212.75
2011-05-13,13.6875,17.4585,3.7705,44.333,283.0,196.792,143.0,193.875,3.25,15.208,209.083
2011-05-14,9.229,10.875,1.646,38.75,268.0,183.583,108.0,193.75,2.833,12.375,206.125
2011-05-15,6.583,7.1875,0.604,16.896,269.0,200.917,123.0,193.333,2.292,5.708,199.042
2011-05-16,14.729500000000002,16.771,2.0415,26.087,243.0,186.167,127.0,195.958,2.833,14.833,210.792
2011-05-17,17.625,20.8125,3.1875,31.3955,231.0,179.917,151.0,196.875,3.5,14.125,211.0
2011-05-18,11.9585,13.1455,1.1875,30.417,251.0,193.542,130.0,195.083,2.958,10.083,205.167
2011-05-19,18.625,19.979,1.354,40.083,279.0,212.958,140.0,198.167,3.458,18.458,216.625
2011-05-20,19.9375,21.729,1.7915,39.167,298.0,229.958,151.0,197.958,3.208,20.375,218.333
2011-05-21,17.9375,19.7085,1.771,45.5625,318.0,240.958,168.0,196.75,3.208,23.75,220.5
2011-05-22,9.8335,11.0,1.1665,29.3125,268.0,192.208,148.0,196.292,2.75,12.958,209.25
2011-05-23,11.587,12.913,1.3265,17.854,184.0,155.167,138.0,193.957,2.304,15.391,209.348
2011-05-24,13.5205,15.271,1.75,16.0415,204.0,153.458,118.0,194.458,2.542,12.458,206.917
2011-05-25,18.0,20.7085,2.708,22.1045,264.0,194.042,122.0,196.542,2.75,22.542,219.083
2011-05-26,21.6665,25.2915,3.625,34.979,191.0,163.75,145.0,203.583,3.333,20.333,223.917
2011-05-27,16.7705,18.0,1.229,31.0625,195.0,177.333,155.0,198.208,2.542,16.25,214.458
2011-05-28,12.3125,14.625,2.3125,27.5205,209.0,181.292,154.0,198.042,3.333,13.958,212.0
2011-05-29,7.25,8.5,1.25,9.271,190.0,178.75,166.0,196.208,2.417,9.708,205.917
2011-05-30,7.9375,9.9375,2.0,4.7295,245.0,189.375,160.0,191.5,2.042,6.727,198.227
2011-05-31,8.0,9.021,1.0205,11.5625,204.0,164.833,121.0,191.583,1.583,6.167,197.75
2011-06-01,13.0835,15.3335,2.25,39.521,158.0,137.625,118.0,193.542,2.333,9.167,202.708
2011-06-02,20.25,25.542,5.292,50.854,154.0,143.833,129.0,198.208,3.792,17.583,215.792
2011-06-03,19.1875,23.2085,4.0205,23.6875,263.0,204.5,139.0,197.667,3.5,20.583,218.25
2011-06-04,15.832999999999998,17.667,1.833,37.854,287.0,224.708,155.0,201.625,3.583,24.167,225.792
2011-06-05,10.0625,10.875,0.8125,47.5,257.0,216.125,174.0,200.917,3.167,18.458,219.375
