date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,93.0,73.417,42.0,11.98,16.688,4.708,8.625,14.0,6.4,0.017,-4.2,194.5,3.125,8.167,202.667
2011-01-02,95.0,58.458,28.0,8.25,12.125,3.875,4.917,10.688,7.8,2.288,-3.3,192.292,2.25,6.208,198.5
2011-01-03,65.0,39.0,20.0,8.282,12.454,4.173,0.208,6.458,7.4,3.317,-1.2,189.708,2.583,6.875,196.583
2011-01-04,76.0,54.125,31.0,14.292,23.625,9.334,3.917,10.292,6.5,1.171,-3.2,191.5,2.917,7.0,198.5
2011-01-05,74.0,58.25,44.0,19.166,44.188,25.021,4.042,9.75,2.7,0.279,-3.2,191.417,2.565,7.333,198.75
2011-01-06,84.0,60.083,28.0,26.89,77.528,50.638,6.5,13.73,6.6,0.65,-5.6,192.417,3.292,11.708,204.125
2011-01-07,69.0,50.083,32.0,13.938,26.438,12.5,1.542,7.25,5.1,1.558,-1.6,191.667,2.583,7.042,198.708
2011-01-08,80.0,58.708,29.0,17.5,36.75,19.25,4.875,9.334,5.6,-0.412,-4.7,193.167,3.042,9.417,202.583
2011-01-09,83.0,61.333,32.0,21.604,54.958,33.354,8.458,14.375,7.2,0.271,-5.0,193.75,3.167,9.708,203.458
2011-01-10,84.0,53.708,29.0,27.756,75.911,48.155,7.5,16.146,7.6,2.992,-2.4,194.25,3.833,12.792,207.042
2011-01-11,86.0,56.875,27.0,17.604,53.458,35.854,6.583,13.562,5.6,0.779,-2.1,192.417,2.625,8.417,200.833
2011-01-12,67.0,42.042,24.0,23.521,69.375,45.854,4.917,12.229,3.6,-0.983,-5.1,192.125,3.0,10.958,203.083
2011-01-13,74.0,50.917,29.0,25.528,87.726,62.198,10.542,18.138,8.2,0.683,-6.5,193.333,3.739,14.571,207.905
2011-01-14,65.0,41.083,24.0,14.875,29.377,14.502,8.25,13.25,5.0,0.496,-3.8,194.083,3.25,8.375,202.458
2011-01-15,51.0,39.417,28.0,9.729,16.646,6.917,8.708,14.771,4.8,1.933,-1.1,193.333,2.667,7.417,200.75
2011-01-16,64.0,41.042,27.0,20.562,49.208,28.646,10.083,17.104,4.6,1.633,-1.3,192.167,2.958,8.5,200.667
2011-01-17,72.0,52.25,27.0,26.146,85.333,59.188,8.375,14.605,5.8,0.392,-3.7,192.0,3.083,11.625,203.625
2011-01-18,76.0,56.917,29.0,32.938,111.104,78.166,15.292,21.23,7.2,-0.079,-6.1,193.125,3.417,12.375,205.5
2011-01-19,77.0,58.0,35.0,26.792,71.5,44.708,12.542,20.604,9.3,3.067,-3.1,193.042,3.304,12.208,205.25
2011-01-20,94.0,80.458,60.0,17.04,31.895,14.855,8.25,16.188,2.6,1.488,0.6,188.522,2.125,6.87,195.391
2011-01-21,97.0,90.75,78.0,13.674,22.918,9.244,2.583,10.208,2.0,1.079,0.3,188.375,2.167,7.167,195.542
2011-01-22,96.0,86.042,75.0,11.584,20.625,9.042,1.458,7.125,5.0,2.692,-0.2,187.292,2.208,7.208,194.5
2011-01-23,97.0,78.292,44.0,17.916,61.834,43.917,7.333,14.354,5.7,1.446,-1.6,189.875,3.5,11.208,201.083
2011-01-24,68.0,45.667,34.0,16.52,33.938,17.416,5.792,10.833,2.8,0.15,-1.9,188.417,2.458,7.458,195.875
2011-01-25,91.0,63.292,31.0,24.792,69.604,44.812,10.417,16.562,5.0,-0.296,-4.9,191.167,3.125,12.208,203.375
2011-01-26,78.0,46.083,26.0,20.108,51.62,31.512,6.087,14.551,1.9,-1.329,-5.2,190.182,2.727,8.091,198.273
2011-01-27,81.0,57.667,30.0,24.549,84.443,59.894,9.208,12.66,3.4,-1.762,-6.6,191.783,3.583,10.13,201.913
2011-01-28,73.0,47.833,27.0,16.188,32.166,15.98,7.458,9.312,1.5,-1.329,-3.6,189.75,2.792,6.583,196.333
2011-01-29,68.0,47.708,25.0,13.75,25.084,11.333,4.917,6.584,2.6,-0.975,-4.1,189.333,2.417,5.333,194.667
2011-01-30,83.0,54.0,26.0,23.924,67.928,44.004,5.625,8.021,2.4,-2.079,-6.2,189.542,3.083,8.542,198.083
2011-01-31,79.0,55.667,27.0,26.125,77.666,51.542,6.875,9.208,4.7,-1.829,-7.5,193.208,3.208,9.833,203.042
2011-02-01,80.0,54.667,31.0,24.065,71.5,47.435,4.667,8.917,6.5,-0.829,-7.6,189.667,3.042,7.792,197.458
2011-02-02,55.0,37.5,18.0,15.938,37.292,21.354,3.667,5.244,1.8,-0.712,-2.8,188.625,2.435,5.25,193.875
2011-02-03,77.0,53.583,28.0,26.522,78.109,51.587,6.583,8.604,2.9,-2.454,-7.2,190.522,3.292,9.609,200.13
2011-02-04,79.0,52.5,21.0,22.5,64.375,41.875,9.458,12.458,7.1,-0.162,-7.6,190.708,3.75,9.708,200.417
2011-02-05,80.0,55.625,27.0,17.926,31.877,13.951,12.667,12.938,7.2,1.625,-3.4,190.708,3.5,7.792,198.5
2011-02-06,97.0,81.125,50.0,26.396,73.396,47.0,18.125,22.042,6.9,1.954,-3.8,190.917,4.417,11.208,202.125
2011-02-07,98.0,94.333,86.0,21.384,92.65,71.266,7.167,14.083,8.9,5.367,2.9,191.375,4.9,13.0,204.375
2011-02-08,97.0,47.667,19.0,18.584,45.166,26.584,3.75,6.584,6.5,2.917,-2.5,189.125,3.043,8.25,197.375
2011-02-09,88.0,66.542,43.0,20.229,60.666,40.438,3.5,7.062,2.1,-1.754,-4.9,190.542,2.625,7.583,198.125
2011-02-10,83.0,60.583,33.0,19.858,51.914,32.055,6.125,8.146,5.7,0.312,-4.5,190.478,2.625,8.217,198.696
2011-02-11,76.0,46.25,22.0,14.812,23.688,8.875,5.958,8.0,5.3,0.596,-3.6,189.292,2.542,6.333,195.625
2011-02-12,71.0,47.0,27.0,12.645,20.396,7.75,6.375,8.666,4.2,-0.267,-5.0,191.0,2.5,6.125,197.125
2011-02-13,69.0,51.042,26.0,29.7,72.498,42.797,11.333,13.5,5.7,1.392,-3.3,190.5,3.625,10.208,200.708
2011-02-14,95.0,72.292,52.0,24.708,59.458,34.75,13.5,18.354,6.5,3.033,-0.4,189.125,3.042,10.042,199.167
2011-02-15,97.0,65.167,34.0,15.521,53.188,37.666,15.958,20.542,9.8,3.588,-0.3,190.25,3.609,9.458,199.708
2011-02-16,70.0,52.917,30.0,27.917,69.77,41.854,10.375,12.896,4.2,0.242,-2.7,189.167,3.25,10.75,199.917
2011-02-17,76.0,49.917,23.0,18.286,37.563,19.278,10.375,12.229,5.0,0.788,-2.4,191.261,2.667,8.043,199.304
2011-02-18,60.0,41.25,30.0,12.834,22.208,9.375,5.75,7.166,1.7,-1.538,-5.7,190.583,2.333,5.375,195.958
2011-02-19,74.0,50.5,24.0,18.375,32.562,14.188,6.667,8.5,4.5,-1.9,-8.3,192.375,3.042,6.5,198.875
2011-02-20,73.0,50.875,22.0,28.902,63.297,34.395,8.292,10.458,7.7,0.404,-6.5,193.333,3.5,8.708,202.042
2011-02-21,76.0,53.292,23.0,27.618,72.774,45.158,12.783,13.407,11.3,2.938,-4.5,192.467,3.636,10.867,203.333
2011-02-22,81.0,57.0,28.0,29.479,68.604,39.125,20.667,24.229,9.4,3.625,-2.4,188.609,4.0,10.217,198.826
2011-02-23,97.0,82.208,43.0,26.584,53.292,26.708,19.25,26.479,10.5,5.783,2.3,187.792,4.208,13.625,201.417
2011-02-24,70.0,44.083,30.0,15.652,24.294,8.642,20.042,19.958,11.6,7.404,3.2,185.833,3.391,8.333,194.167
2011-02-25,98.0,92.375,81.0,19.812,29.917,10.104,10.833,14.166,2.3,1.183,0.4,187.458,3.417,11.875,199.333
2011-02-26,83.0,54.292,32.0,13.646,25.708,12.062,5.792,7.875,4.8,2.2,-0.2,186.667,3.13,10.167,196.833
2011-02-27,45.0,35.792,24.0,16.789,35.234,18.446,5.167,6.875,3.9,0.754,-1.9,185.833,2.417,7.25,193.083
2011-02-28,77.0,54.958,31.0,30.584,75.23,44.646,8.708,10.334,5.0,-0.454,-6.3,186.875,3.087,10.167,197.042
2011-03-01,98.0,80.917,52.0,30.52,88.458,57.938,4.0,7.646,11.3,4.246,-1.2,190.125,3.304,11.958,202.083
2011-03-02,96.0,93.75,88.0,23.299,59.548,36.25,10.0,14.188,5.1,2.133,0.9,190.042,3.167,10.917,200.958
2011-03-03,91.0,63.833,37.0,13.25,18.812,5.562,11.667,12.062,8.0,3.467,-1.0,189.292,3.043,7.792,197.083
